timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
2450883,1758713700874,6.21,-50.97,153.86,782,0,784,793,823,33.333333333333336,-0.105,-0.783,0.639
2450913,1758713700876,6.21,-50.97,153.86,787,1,786,796,828,33.333333333333336,-0.105,-0.783,0.639
2450942,1758713700878,6.21,-50.96,153.85,786,4,790,795,828,34.48275862068966,-0.105,-0.783,0.638
2450971,1758713700880,6.21,-50.96,153.85,784,0,787,798,828,34.48275862068966,-0.105,-0.783,0.639
2451001,1758713700882,6.21,-50.96,153.85,782,0,782,797,824,33.333333333333336,-0.105,-0.783,0.639
2451030,1758713700884,6.21,-50.96,153.84,787,6,778,796,827,34.48275862068966,-0.105,-0.783,0.639
2451060,1758713700886,6.21,-50.96,153.84,781,2,786,796,853,33.333333333333336,-0.105,-0.783,0.639
2451089,1758713700888,6.2,-50.96,153.84,786,1,783,791,821,34.48275862068966,-0.105,-0.783,0.639
2451119,1758713700890,6.2,-50.96,153.83,787,6,779,794,831,33.333333333333336,-0.105,-0.783,0.639
2451149,1758713700892,6.21,-50.96,153.83,785,2,783,790,829,33.333333333333336,-0.105,-0.783,0.639
2451178,1758713700895,6.2,-50.96,153.83,787,0,785,797,826,34.48275862068966,-0.105,-0.783,0.638
2451208,1758713700897,6.2,-50.96,153.82,786,4,785,798,828,33.333333333333336,-0.105,-0.783,0.638
2451237,1758713700898,6.2,-50.96,153.82,783,3,789,793,822,34.48275862068966,-0.105,-0.783,0.638
2451267,1758713700900,6.2,-50.96,153.82,788,3,779,797,828,33.333333333333336,-0.105,-0.783,0.638
2451296,1758713700902,6.2,-50.96,153.81,787,2,788,799,828,34.48275862068966,-0.105,-0.783,0.638
2451326,1758713700904,6.2,-50.96,153.81,783,0,786,795,828,33.333333333333336,-0.105,-0.783,0.638
2451355,1758713700906,6.2,-50.96,153.81,786,2,785,797,827,34.48275862068966,-0.105,-0.783,0.638
2451385,1758713700909,6.2,-50.96,153.81,786,7,781,798,823,33.333333333333336,-0.105,-0.783,0.638
2451415,1758713700911,6.2,-50.96,153.8,781,2,778,796,827,33.333333333333336,-0.105,-0.783,0.638
2451444,1758713700913,6.2,-50.96,153.8,787,1,786,788,827,34.48275862068966,-0.105,-0.783,0.638
2451473,1758713700914,6.2,-50.96,153.8,782,2,785,792,828,34.48275862068966,-0.105,-0.783,0.638
2451503,1758713700917,6.2,-50.96,153.79,788,3,777,796,829,33.333333333333336,-0.105,-0.783,0.638
2451532,1758713700919,6.2,-50.96,153.79,783,0,780,791,828,34.48275862068966,-0.105,-0.783,0.638
2451562,1758713700922,6.2,-50.96,153.79,785,0,786,796,820,33.333333333333336,-0.105,-0.783,0.638
2451592,1758713700924,6.2,-50.96,153.78,787,0,784,796,821,33.333333333333336,-0.105,-0.783,0.638
2451621,1758713700925,6.2,-50.96,153.78,787,4,785,797,835,34.48275862068966,-0.105,-0.783,0.638
2451651,1758713700928,6.2,-50.96,153.78,788,0,787,796,826,33.333333333333336,-0.105,-0.783,0.638
2451680,1758713700929,6.2,-50.96,153.78,783,3,778,797,827,34.48275862068966,-0.105,-0.783,0.638
2451710,1758713700932,6.2,-50.96,153.77,781,4,787,795,827,33.333333333333336,-0.105,-0.783,0.639
2451740,1758713700934,6.2,-50.96,153.77,784,0,786,798,827,33.333333333333336,-0.105,-0.783,0.639
2451760,1758713700935,6.2,-50.96,153.77,786,1,781,794,814,50.0,-0.105,-0.783,0.638
2451790,1758713700938,6.2,-50.96,153.76,786,2,782,794,827,33.333333333333336,-0.105,-0.783,0.638
2451819,1758713700940,6.2,-50.96,153.76,782,0,786,799,820,34.48275862068966,-0.105,-0.783,0.638
2451849,1758713700942,6.2,-50.96,153.76,788,2,785,791,841,33.333333333333336,-0.105,-0.783,0.638
2451878,1758713700944,6.2,-50.96,153.76,791,3,784,792,829,34.48275862068966,-0.105,-0.783,0.638
2451908,1758713700946,6.2,-50.95,153.75,786,0,783,798,829,33.333333333333336,-0.105,-0.783,0.638
2451937,1758713700948,6.2,-50.96,153.75,785,0,786,797,830,34.48275862068966,-0.105,-0.783,0.638
2451966,1758713700951,6.2,-50.96,153.75,782,0,783,797,823,34.48275862068966,-0.105,-0.783,0.639
2451996,1758713700953,6.2,-50.96,153.74,785,0,785,796,824,33.333333333333336,-0.105,-0.783,0.639
2452025,1758713700955,6.2,-50.96,153.74,782,0,783,795,823,34.48275862068966,-0.105,-0.783,0.638
2452055,1758713700958,6.2,-50.96,153.74,786,1,790,789,827,33.333333333333336,-0.105,-0.783,0.639
2452084,1758713700960,6.2,-50.96,153.74,787,2,777,798,827,34.48275862068966,-0.106,-0.783,0.639
2452114,1758713700962,6.2,-50.96,153.73,788,0,786,797,850,33.333333333333336,-0.105,-0.783,0.639
2452143,1758713700964,6.2,-50.96,153.73,787,0,786,798,826,34.48275862068966,-0.105,-0.783,0.639
2452173,1758713700965,6.2,-50.96,153.73,786,3,781,797,829,33.333333333333336,-0.105,-0.783,0.639
2452202,1758713700968,6.2,-50.96,153.72,786,12,778,796,825,34.48275862068966,-0.105,-0.783,0.639
2452232,1758713700970,6.2,-50.96,153.72,787,8,777,794,834,33.333333333333336,-0.105,-0.783,0.639
2452262,1758713700972,6.2,-50.96,153.72,786,0,782,798,826,33.333333333333336,-0.105,-0.783,0.639
2452291,1758713700973,6.2,-50.96,153.71,788,3,777,796,827,34.48275862068966,-0.106,-0.783,0.639
2452321,1758713700975,6.2,-50.96,153.71,783,4,780,795,828,33.333333333333336,-0.105,-0.783,0.639
2452350,1758713700977,6.2,-50.96,153.7,785,0,784,799,827,34.48275862068966,-0.106,-0.783,0.638
2452380,1758713700979,6.2,-50.96,153.7,783,0,785,796,827,33.333333333333336,-0.106,-0.783,0.639
2452409,1758713700982,6.2,-50.97,153.7,785,0,784,794,823,34.48275862068966,-0.106,-0.783,0.639
2452439,1758713700984,6.2,-50.97,153.7,788,0,786,797,827,33.333333333333336,-0.106,-0.783,0.639
2452468,1758713700986,6.2,-50.96,153.69,782,1,786,795,827,34.48275862068966,-0.105,-0.783,0.639
2452498,1758713700987,6.2,-50.97,153.69,787,7,787,796,822,33.333333333333336,-0.105,-0.783,0.639
2452527,1758713700990,6.2,-50.97,153.69,785,4,776,793,859,34.48275862068966,-0.105,-0.783,0.639
2452556,1758713700992,6.2,-50.97,153.68,782,0,778,788,831,34.48275862068966,-0.105,-0.783,0.639
2452586,1758713700994,6.2,-50.97,153.68,786,0,780,797,828,33.333333333333336,-0.105,-0.783,0.638
2452615,1758713700996,6.2,-50.97,153.68,781,3,787,790,828,34.48275862068966,-0.105,-0.783,0.638
2452645,1758713700998,6.2,-50.96,153.68,786,3,787,801,829,33.333333333333336,-0.105,-0.783,0.638
2452674,1758713701000,6.2,-50.97,153.67,783,4,782,816,829,34.48275862068966,-0.105,-0.783,0.638
2452703,1758713701002,6.2,-50.97,153.67,782,7,790,795,827,34.48275862068966,-0.105,-0.783,0.638
2452733,1758713701004,6.2,-50.97,153.67,781,4,785,796,828,33.333333333333336,-0.105,-0.783,0.638
2452762,1758713701006,6.2,-50.97,153.66,787,3,783,788,822,34.48275862068966,-0.105,-0.783,0.638
2452791,1758713701008,6.2,-50.97,153.66,787,6,783,790,823,34.48275862068966,-0.105,-0.783,0.638
2452821,1758713701010,6.2,-50.97,153.66,783,0,785,795,827,33.333333333333336,-0.105,-0.783,0.638
2452850,1758713701012,6.2,-50.97,153.65,784,2,788,785,832,34.48275862068966,-0.105,-0.783,0.638
2452880,1758713701014,6.2,-50.97,153.65,788,4,777,791,826,33.333333333333336,-0.105,-0.783,0.638
2452910,1758713701016,6.2,-50.97,153.65,787,3,786,798,829,33.333333333333336,-0.105,-0.783,0.638
2452939,1758713701018,6.2,-50.97,153.65,783,5,784,791,823,34.48275862068966,-0.105,-0.783,0.638
2452968,1758713701020,6.2,-50.97,153.64,787,0,786,795,827,34.48275862068966,-0.105,-0.783,0.638
2452998,1758713701022,6.2,-50.97,153.64,789,3,786,792,830,33.333333333333336,-0.105,-0.783,0.638
2453027,1758713701024,6.2,-50.97,153.63,792,3,787,794,828,34.48275862068966,-0.105,-0.783,0.638
2453057,1758713701026,6.2,-50.97,153.63,784,1,783,789,824,33.333333333333336,-0.105,-0.783,0.638
2453086,1758713701028,6.2,-50.97,153.63,789,0,781,797,829,34.48275862068966,-0.105,-0.783,0.638
2453116,1758713701030,6.2,-50.97,153.63,789,3,778,792,828,33.333333333333336,-0.105,-0.783,0.638
2453146,1758713701032,6.2,-50.97,153.62,789,0,788,788,823,33.333333333333336,-0.105,-0.783,0.638
2453175,1758713701034,6.2,-50.97,153.62,781,0,788,796,821,34.48275862068966,-0.105,-0.783,0.638
2453205,1758713701036,6.2,-50.97,153.62,785,4,788,793,825,33.333333333333336,-0.105,-0.783,0.638
