timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
112582,1755584602499,20.42,-40.19,32.45,769,775,805,874,848,33.333333333333336,-0.353,-0.614,0.705
112611,1755584602528,20.45,-40.19,32.47,767,778,820,864,847,34.48275862068966,-0.356,-0.616,0.709
112641,1755584602558,20.49,-40.13,32.5,767,769,807,870,854,33.333333333333336,-0.356,-0.616,0.708
112670,1755584602587,20.47,-40.07,32.52,758,773,823,861,839,34.48275862068966,-0.356,-0.616,0.705
112700,1755584602617,20.48,-40.09,32.55,774,772,834,872,846,33.333333333333336,-0.353,-0.616,0.706
112729,1755584602646,20.49,-40.09,32.57,759,775,826,854,852,34.48275862068966,-0.352,-0.613,0.707
112759,1755584602676,20.49,-40.05,32.58,755,771,828,855,855,33.333333333333336,-0.354,-0.613,0.705
112789,1755584602706,20.52,-40.1,32.6,767,776,818,869,842,33.333333333333336,-0.355,-0.613,0.703
112818,1755584602735,20.54,-40.13,32.64,759,776,819,869,860,34.48275862068966,-0.352,-0.613,0.705
112848,1755584602765,20.56,-40.1,32.66,758,785,812,875,862,33.333333333333336,-0.349,-0.61,0.709
112877,1755584602794,20.54,-40.07,32.61,761,778,825,865,854,34.48275862068966,-0.355,-0.61,0.71
112906,1755584602824,20.54,-40.09,32.62,762,776,826,861,845,34.48275862068966,-0.359,-0.612,0.706
112936,1755584602853,20.56,-40.13,32.65,761,774,822,859,867,33.333333333333336,-0.354,-0.612,0.707
112965,1755584602882,20.55,-40.13,32.61,761,769,820,872,858,34.48275862068966,-0.354,-0.613,0.709
112995,1755584602912,20.54,-40.13,32.61,762,773,819,865,863,33.333333333333336,-0.357,-0.615,0.706
113024,1755584602941,20.57,-40.16,32.66,763,778,821,866,855,34.48275862068966,-0.356,-0.615,0.706
113054,1755584602971,20.57,-40.14,32.66,763,776,827,866,859,33.333333333333336,-0.351,-0.612,0.709
113083,1755584603000,20.52,-40.13,32.62,756,779,820,860,850,34.48275862068966,-0.352,-0.611,0.71
113113,1755584603030,20.53,-40.13,32.61,761,772,825,871,857,33.333333333333336,-0.357,-0.613,0.708
113142,1755584603059,20.54,-40.13,32.64,763,781,818,862,860,34.48275862068966,-0.36,-0.614,0.706
113171,1755584603088,20.57,-40.16,32.66,762,775,811,862,852,34.48275862068966,-0.354,-0.612,0.706
113201,1755584603118,20.53,-40.2,32.61,769,775,830,857,851,33.333333333333336,-0.35,-0.612,0.705
113230,1755584603147,20.5,-40.21,32.6,759,770,825,868,846,34.48275862068966,-0.351,-0.613,0.705
113260,1755584603177,20.47,-40.23,32.58,766,774,816,865,855,33.333333333333336,-0.356,-0.614,0.707
113289,1755584603206,20.48,-40.24,32.58,764,776,817,860,851,34.48275862068966,-0.358,-0.614,0.707
113319,1755584603236,20.52,-40.24,32.59,762,773,824,871,850,33.333333333333336,-0.354,-0.614,0.706
113348,1755584603265,20.51,-40.24,32.57,768,772,830,852,854,34.48275862068966,-0.351,-0.615,0.706
113378,1755584603295,20.49,-40.25,32.54,762,775,825,878,845,33.333333333333336,-0.353,-0.617,0.706
113407,1755584603324,20.51,-40.26,32.58,763,770,804,874,852,34.48275862068966,-0.359,-0.616,0.705
113436,1755584603354,20.52,-40.25,32.63,764,779,814,862,860,34.48275862068966,-0.359,-0.615,0.704
113466,1755584603383,20.54,-40.25,32.67,767,760,834,871,856,33.333333333333336,-0.354,-0.614,0.702
113496,1755584603413,20.48,-40.27,32.65,760,763,824,871,851,33.333333333333336,-0.35,-0.614,0.703
113525,1755584603443,20.45,-40.27,32.63,763,772,827,864,855,34.48275862068966,-0.351,-0.616,0.706
113555,1755584603472,20.48,-40.25,32.66,756,768,840,874,862,33.333333333333336,-0.353,-0.618,0.708
113585,1755584603502,20.51,-40.23,32.69,758,771,821,868,852,33.333333333333336,-0.352,-0.615,0.707
113614,1755584603531,20.53,-40.24,32.7,763,770,824,865,861,34.48275862068966,-0.349,-0.613,0.705
113643,1755584603561,20.49,-40.23,32.67,764,773,825,864,851,34.48275862068966,-0.352,-0.614,0.705
113673,1755584603590,20.46,-40.23,32.68,759,762,802,877,854,33.333333333333336,-0.355,-0.615,0.705
113703,1755584603620,20.51,-40.27,32.72,757,763,816,869,861,33.333333333333336,-0.354,-0.615,0.705
113723,1755584603640,20.53,-40.28,32.73,763,772,820,852,860,50.0,-0.351,-0.615,0.708
113752,1755584603670,20.53,-40.26,32.72,765,779,823,848,853,34.48275862068966,-0.35,-0.615,0.709
113782,1755584603699,20.5,-40.24,32.73,760,761,807,869,853,33.333333333333336,-0.354,-0.615,0.704
113811,1755584603728,20.5,-40.27,32.75,755,775,818,862,854,34.48275862068966,-0.356,-0.614,0.701
113841,1755584603758,20.5,-40.29,32.77,756,780,828,866,854,33.333333333333336,-0.353,-0.615,0.705
113870,1755584603787,20.49,-40.27,32.77,762,764,833,861,848,34.48275862068966,-0.349,-0.615,0.707
113900,1755584603817,20.49,-40.25,32.77,760,778,813,855,851,33.333333333333336,-0.353,-0.617,0.705
113929,1755584603846,20.51,-40.24,32.8,762,768,822,871,851,34.48275862068966,-0.356,-0.615,0.702
113958,1755584603876,20.49,-40.24,32.81,763,773,812,870,849,34.48275862068966,-0.357,-0.614,0.701
113988,1755584603905,20.48,-40.27,32.82,758,776,819,864,857,33.333333333333336,-0.353,-0.615,0.704
114018,1755584603935,20.49,-40.24,32.84,763,776,828,862,850,33.333333333333336,-0.351,-0.616,0.708
114048,1755584603965,20.48,-40.2,32.86,762,779,821,861,846,33.333333333333336,-0.352,-0.616,0.706
114077,1755584603995,20.5,-40.23,32.87,759,774,818,858,854,34.48275862068966,-0.355,-0.614,0.703
114107,1755584604024,20.49,-40.23,32.88,761,771,823,864,852,33.333333333333336,-0.357,-0.613,0.702
114137,1755584604054,20.48,-40.25,32.89,761,774,825,867,851,33.333333333333336,-0.356,-0.612,0.702
114166,1755584604083,20.44,-40.26,32.88,758,765,824,861,845,34.48275862068966,-0.354,-0.615,0.702
114196,1755584604113,20.43,-40.29,32.91,767,778,811,870,849,33.333333333333336,-0.353,-0.616,0.704
114225,1755584604142,20.47,-40.25,32.93,763,774,822,856,851,34.48275862068966,-0.351,-0.615,0.71
114255,1755584604172,20.44,-40.21,32.91,759,772,842,860,848,33.333333333333336,-0.351,-0.615,0.708
114284,1755584604202,20.45,-40.2,32.92,761,770,818,862,853,34.48275862068966,-0.356,-0.614,0.702
114314,1755584604231,20.46,-40.26,32.94,762,777,815,868,847,33.333333333333336,-0.358,-0.616,0.703
114343,1755584604260,20.43,-40.25,32.96,754,768,813,863,850,34.48275862068966,-0.353,-0.615,0.707
114373,1755584604290,20.42,-40.24,32.96,763,778,832,859,851,33.333333333333336,-0.35,-0.615,0.708
114402,1755584604320,20.42,-40.24,32.96,760,772,823,862,850,34.48275862068966,-0.353,-0.614,0.708
114432,1755584604349,20.42,-40.22,32.99,771,769,800,867,852,33.333333333333336,-0.355,-0.615,0.705
114461,1755584604379,20.45,-40.26,33.02,761,778,827,864,857,34.48275862068966,-0.353,-0.614,0.706
114491,1755584604408,20.44,-40.26,33.03,770,771,816,861,853,33.333333333333336,-0.348,-0.613,0.709
114521,1755584604438,20.43,-40.22,33.01,766,770,818,873,847,33.333333333333336,-0.35,-0.614,0.71
114550,1755584604467,20.43,-40.22,33.0,762,763,815,862,850,34.48275862068966,-0.356,-0.613,0.706
114579,1755584604496,20.46,-40.23,33.04,758,768,821,857,839,34.48275862068966,-0.359,-0.614,0.704
114609,1755584604526,20.46,-40.25,33.05,764,766,827,868,855,33.333333333333336,-0.355,-0.612,0.703
114638,1755584604555,20.42,-40.27,33.04,761,774,828,854,846,34.48275862068966,-0.352,-0.615,0.706
114667,1755584604585,20.44,-40.27,33.06,762,782,813,867,851,34.48275862068966,-0.353,-0.616,0.71
114697,1755584604614,20.45,-40.22,33.07,758,770,819,865,838,33.333333333333336,-0.356,-0.615,0.71
114727,1755584604644,20.47,-40.2,33.09,763,774,820,858,855,33.333333333333336,-0.356,-0.613,0.708
114756,1755584604673,20.45,-40.22,33.09,762,769,811,862,853,34.48275862068966,-0.355,-0.613,0.705
