timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
22592,1755584708610,44.08,-87.68,-32.94,759,775,835,869,882,34.48275862068966,-0.687,-0.722,0.02
22622,1755584708639,44.06,-87.64,-32.92,763,765,815,863,883,33.333333333333336,-0.689,-0.724,0.016
22651,1755584708669,44.03,-87.7,-32.91,756,768,825,870,885,34.48275862068966,-0.687,-0.723,0.016
22672,1755584708689,44.01,-87.76,-32.91,753,771,826,865,873,47.61904761904762,-0.685,-0.722,0.015
22701,1755584708718,43.98,-87.82,-32.94,762,777,820,863,882,34.48275862068966,-0.685,-0.723,0.015
22731,1755584708748,43.98,-87.87,-32.95,762,760,831,861,876,33.333333333333336,-0.686,-0.723,0.015
22760,1755584708777,43.96,-87.93,-32.93,758,768,822,867,884,34.48275862068966,-0.688,-0.725,0.017
22790,1755584708807,43.94,-87.9,-32.92,755,772,827,857,876,33.333333333333336,-0.688,-0.723,0.015
22819,1755584708837,43.93,-87.9,-32.9,766,772,824,858,881,34.48275862068966,-0.687,-0.723,0.015
22849,1755584708867,43.91,-87.87,-32.89,758,776,832,864,879,33.333333333333336,-0.686,-0.724,0.019
22869,1755584708886,43.91,-87.81,-32.89,756,767,824,872,885,50.0,-0.687,-0.724,0.022
22899,1755584708916,43.9,-87.73,-32.88,755,774,822,867,884,33.333333333333336,-0.687,-0.724,0.019
22928,1755584708945,43.88,-87.76,-32.88,755,775,818,867,877,34.48275862068966,-0.688,-0.725,0.016
22958,1755584708975,43.89,-87.8,-32.88,760,767,834,880,883,33.333333333333336,-0.687,-0.724,0.018
22987,1755584709005,43.87,-87.76,-32.88,759,779,835,860,890,34.48275862068966,-0.686,-0.724,0.018
23017,1755584709034,43.83,-87.69,-32.88,758,766,837,875,879,33.333333333333336,-0.688,-0.725,0.017
23047,1755584709064,43.8,-87.71,-32.88,762,773,810,879,874,33.333333333333336,-0.686,-0.724,0.016
23076,1755584709094,43.82,-87.74,-32.88,758,769,823,871,876,34.48275862068966,-0.685,-0.723,0.021
23106,1755584709123,43.82,-87.67,-32.89,760,761,824,866,876,33.333333333333336,-0.687,-0.724,0.021
23136,1755584709153,43.8,-87.6,-32.88,757,773,814,861,890,33.333333333333336,-0.687,-0.725,0.015
23165,1755584709183,43.8,-87.69,-32.86,755,772,833,862,874,34.48275862068966,-0.687,-0.726,0.014
23195,1755584709212,43.79,-87.76,-32.84,761,767,838,866,879,33.333333333333336,-0.688,-0.725,0.019
23225,1755584709242,43.79,-87.63,-32.82,754,776,831,858,882,33.333333333333336,-0.687,-0.722,0.022
23254,1755584709272,43.79,-87.65,-32.86,759,781,819,871,880,34.48275862068966,-0.685,-0.72,0.014
23284,1755584709301,43.75,-87.78,-32.9,759,775,830,866,883,33.333333333333336,-0.686,-0.721,0.009
23314,1755584709331,43.66,-87.83,-32.93,756,774,828,868,876,33.333333333333336,-0.685,-0.723,0.012
23343,1755584709361,43.54,-87.76,-32.98,761,781,824,862,882,34.48275862068966,-0.68,-0.724,0.02
23373,1755584709391,43.43,-87.65,-33.06,757,779,825,863,881,33.333333333333336,-0.678,-0.725,0.023
23393,1755584709411,43.44,-87.66,-33.11,751,770,814,863,867,50.0,-0.68,-0.726,0.02
23423,1755584709440,43.41,-87.66,-33.1,759,773,824,865,904,33.333333333333336,-0.688,-0.731,0.021
23453,1755584709470,43.41,-87.66,-33.07,763,780,831,863,877,33.333333333333336,-0.685,-0.728,0.021
23482,1755584709500,43.37,-87.54,-33.06,758,770,827,868,883,34.48275862068966,-0.684,-0.727,0.026
23512,1755584709529,43.31,-87.38,-33.13,757,775,811,870,874,33.333333333333336,-0.683,-0.727,0.023
23542,1755584709559,43.25,-87.4,-33.2,762,777,826,866,885,33.333333333333336,-0.681,-0.727,0.015
23572,1755584709588,43.19,-87.47,-33.18,761,768,826,866,874,33.333333333333336,-0.686,-0.734,0.022
23601,1755584709618,43.2,-87.45,-33.15,762,772,829,873,872,34.48275862068966,-0.682,-0.731,0.026
23630,1755584709648,43.27,-87.45,-33.14,760,772,824,868,878,34.48275862068966,-0.682,-0.731,0.027
23660,1755584709677,43.29,-87.45,-33.12,761,769,825,868,877,33.333333333333336,-0.682,-0.731,0.024
23690,1755584709707,43.25,-87.46,-33.13,764,776,821,862,872,33.333333333333336,-0.679,-0.729,0.021
23719,1755584709736,43.27,-87.52,-33.15,761,770,830,863,872,34.48275862068966,-0.682,-0.73,0.021
23749,1755584709766,43.23,-87.51,-33.14,759,777,822,866,877,33.333333333333336,-0.681,-0.732,0.023
23778,1755584709796,43.2,-87.46,-33.12,752,769,852,871,883,34.48275862068966,-0.679,-0.73,0.025
23808,1755584709825,43.17,-87.45,-33.13,758,770,823,872,874,33.333333333333336,-0.68,-0.731,0.023
23838,1755584709855,43.15,-87.52,-33.13,777,775,824,858,872,33.333333333333336,-0.681,-0.73,0.021
23867,1755584709884,43.2,-87.62,-33.1,757,770,827,853,878,34.48275862068966,-0.683,-0.731,0.023
23897,1755584709914,43.21,-87.61,-33.04,756,766,832,866,882,33.333333333333336,-0.682,-0.733,0.025
