timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
127891,1755584924300,25.98,-78.98,-52.64,818,762,769,804,837,34.48275862068966,-0.426,-0.883,0.171
127921,1755584924309,25.99,-79.04,-52.65,804,771,777,791,822,33.333333333333336,-0.429,-0.882,0.167
127950,1755584924339,25.99,-79.06,-52.65,814,773,769,789,842,34.48275862068966,-0.428,-0.882,0.168
127980,1755584924368,25.96,-79.07,-52.66,816,772,768,800,847,33.333333333333336,-0.426,-0.883,0.171
128009,1755584924397,25.98,-79.08,-52.67,817,776,763,804,846,34.48275862068966,-0.426,-0.885,0.174
128039,1755584924427,26.0,-79.03,-52.67,818,768,768,801,831,33.333333333333336,-0.427,-0.885,0.172
128068,1755584924456,26.0,-79.02,-52.67,819,777,775,796,820,34.48275862068966,-0.428,-0.883,0.169
128098,1755584924486,26.0,-79.05,-52.68,819,791,772,798,837,33.333333333333336,-0.426,-0.884,0.169
128127,1755584924515,26.01,-79.06,-52.67,817,774,778,805,828,34.48275862068966,-0.427,-0.884,0.172
128157,1755584924545,26.04,-79.02,-52.66,815,775,767,796,828,33.333333333333336,-0.427,-0.885,0.172
