timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
41455,1755585124577,25.19,-87.71,-50.21,820,853,846,834,840,33.333333333333336,-0.414,-0.904,0.032
41485,1755585124606,25.3,-87.78,-50.19,833,870,835,839,847,33.333333333333336,-0.415,-0.902,0.034
41514,1755585124635,25.24,-87.78,-50.21,833,859,832,843,841,34.48275862068966,-0.416,-0.903,0.031
41544,1755585124665,25.21,-87.76,-50.21,825,866,826,837,836,33.333333333333336,-0.412,-0.903,0.029
41574,1755585124695,25.31,-87.82,-50.21,827,865,836,837,856,33.333333333333336,-0.413,-0.906,0.033
41603,1755585124724,25.28,-87.81,-50.21,833,875,833,838,844,34.48275862068966,-0.413,-0.903,0.038
41633,1755585124754,25.3,-87.84,-50.22,831,865,828,846,846,33.333333333333336,-0.417,-0.9,0.038
41662,1755585124783,25.26,-87.83,-50.26,832,856,821,853,843,34.48275862068966,-0.42,-0.901,0.037
41692,1755585124813,25.17,-87.81,-50.27,826,867,826,836,839,33.333333333333336,-0.42,-0.904,0.034
41721,1755585124843,25.23,-87.82,-50.24,830,870,832,828,844,34.48275862068966,-0.416,-0.904,0.033
41751,1755585124872,25.2,-87.8,-50.71,832,865,834,842,860,33.333333333333336,-0.414,-0.904,0.032
41781,1755585124902,25.16,-87.8,-50.72,832,862,843,833,847,33.333333333333336,-0.413,-0.905,0.035
41810,1755585124932,25.22,-87.75,-50.7,828,870,831,847,851,34.48275862068966,-0.414,-0.909,0.04
41840,1755585124961,25.17,-87.64,-50.63,826,872,838,836,850,33.333333333333336,-0.414,-0.909,0.036
41870,1755585124991,25.24,-87.7,-50.59,836,867,833,837,851,33.333333333333336,-0.41,-0.904,0.034
41899,1755585125020,25.24,-87.73,-50.62,831,858,834,830,845,34.48275862068966,-0.411,-0.897,0.036
41928,1755585125050,25.18,-87.7,-50.69,832,873,833,839,854,34.48275862068966,-0.418,-0.899,0.04
41958,1755585125079,25.22,-87.64,-50.68,833,874,834,837,838,33.333333333333336,-0.42,-0.906,0.042
41987,1755585125108,25.21,-87.68,-50.65,831,881,836,865,841,34.48275862068966,-0.414,-0.902,0.039
42017,1755585125138,25.28,-87.7,-50.67,828,864,827,835,852,33.333333333333336,-0.413,-0.9,0.039
42047,1755585125168,25.25,-87.62,-50.74,834,872,832,841,844,33.333333333333336,-0.417,-0.902,0.038
