timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
70927,1755585360384,10.2,91.56,69.99,819,776,775,756,809,34.48275862068966,-0.236,0.97,0.088
70956,1755585360413,10.18,91.53,70.08,822,778,774,759,808,34.48275862068966,-0.233,0.967,0.086
70986,1755585360443,10.15,91.53,70.04,820,771,777,763,810,33.333333333333336,-0.233,0.972,0.084
71016,1755585360472,10.18,91.5,70.03,822,773,767,757,804,33.333333333333336,-0.237,0.97,0.089
71045,1755585360501,10.21,91.51,70.07,823,774,779,756,805,34.48275862068966,-0.24,0.969,0.09
71074,1755585360531,10.25,91.53,70.13,822,769,772,755,831,34.48275862068966,-0.239,0.971,0.088
71104,1755585360560,10.25,91.48,70.13,816,773,771,756,821,33.333333333333336,-0.235,0.969,0.088
71133,1755585360590,10.25,91.46,70.13,822,769,778,764,801,34.48275862068966,-0.233,0.972,0.087
71163,1755585360619,10.26,91.45,70.12,827,786,772,759,801,33.333333333333336,-0.239,0.972,0.085
71192,1755585360648,10.28,91.37,70.13,820,783,776,773,810,34.48275862068966,-0.242,0.967,0.085
71221,1755585360678,10.26,91.27,70.17,819,772,770,756,810,34.48275862068966,-0.241,0.969,0.089
71251,1755585360707,10.3,91.25,70.16,821,768,765,759,804,33.333333333333336,-0.241,0.97,0.092
71280,1755585360736,10.33,91.17,70.16,835,772,770,757,811,34.48275862068966,-0.24,0.969,0.09
71309,1755585360766,10.34,91.09,70.23,822,771,779,759,816,34.48275862068966,-0.238,0.969,0.094
71339,1755585360795,10.35,91.05,70.24,825,776,774,757,812,33.333333333333336,-0.237,0.972,0.097
71368,1755585360825,10.36,91.02,70.22,824,772,772,758,820,34.48275862068966,-0.237,0.971,0.095
71398,1755585360854,10.4,90.91,70.19,824,773,781,755,808,33.333333333333336,-0.237,0.967,0.097
71427,1755585360884,10.4,90.9,70.24,819,773,775,763,801,34.48275862068966,-0.236,0.969,0.101
71456,1755585360913,10.41,90.92,70.21,821,781,774,762,810,34.48275862068966,-0.236,0.97,0.097
71486,1755585360943,10.43,90.85,70.14,823,772,773,763,804,33.333333333333336,-0.239,0.966,0.09
71516,1755585360972,10.45,90.75,70.17,816,784,771,761,806,33.333333333333336,-0.244,0.966,0.095
71545,1755585361002,10.47,90.71,70.21,818,778,771,757,813,34.48275862068966,-0.243,0.967,0.102
71574,1755585361031,10.5,90.67,70.21,816,769,773,758,808,34.48275862068966,-0.244,0.966,0.102
71604,1755585361061,10.52,90.63,70.31,818,778,769,757,811,33.333333333333336,-0.246,0.967,0.103
71633,1755585361090,10.53,90.65,70.38,824,775,767,756,817,34.48275862068966,-0.243,0.968,0.108
71663,1755585361120,10.58,90.69,70.44,818,773,767,756,806,33.333333333333336,-0.245,0.968,0.103
71693,1755585361149,10.58,90.63,70.54,818,778,767,758,805,33.333333333333336,-0.243,0.965,0.102
71722,1755585361178,10.57,90.56,70.64,820,768,775,761,809,34.48275862068966,-0.239,0.97,0.109
71751,1755585361208,10.59,90.63,70.64,823,781,773,762,807,34.48275862068966,-0.24,0.972,0.11
71781,1755585361237,10.59,90.66,70.69,828,774,775,762,807,33.333333333333336,-0.237,0.967,0.104
71810,1755585361267,10.58,90.52,70.69,821,789,768,761,806,34.48275862068966,-0.234,0.967,0.104
71840,1755585361296,10.58,90.54,70.73,825,773,766,762,810,33.333333333333336,-0.235,0.971,0.11
71869,1755585361326,10.61,90.56,70.76,816,775,779,758,808,34.48275862068966,-0.237,0.97,0.111
71899,1755585361355,10.63,90.56,70.78,819,775,775,759,806,33.333333333333336,-0.235,0.968,0.11
71928,1755585361385,10.64,90.54,70.79,824,780,775,758,809,34.48275862068966,-0.232,0.969,0.107
71957,1755585361414,10.65,90.49,70.8,822,770,772,757,810,34.48275862068966,-0.233,0.97,0.107
71987,1755585361443,10.69,90.44,70.76,817,774,777,754,807,33.333333333333336,-0.236,0.969,0.105
72016,1755585361473,10.73,90.38,70.8,816,779,777,756,807,34.48275862068966,-0.241,0.965,0.105
72045,1755585361502,10.76,90.35,70.86,824,771,769,764,817,34.48275862068966,-0.245,0.968,0.107
72075,1755585361532,10.8,90.38,70.92,822,766,773,756,807,33.333333333333336,-0.243,0.969,0.11
72105,1755585361561,10.82,90.33,70.97,825,775,771,764,803,33.333333333333336,-0.237,0.968,0.11
72134,1755585361591,10.82,90.3,70.99,821,779,776,762,799,34.48275862068966,-0.233,0.967,0.114
72163,1755585361620,10.83,90.35,71.0,823,780,768,760,811,34.48275862068966,-0.232,0.973,0.113
72193,1755585361649,10.83,90.33,71.02,821,773,766,762,809,33.333333333333336,-0.234,0.969,0.107
72222,1755585361679,10.8,90.26,71.03,832,777,775,758,814,34.48275862068966,-0.234,0.965,0.107
72252,1755585361709,10.81,90.23,71.0,823,770,774,759,806,33.333333333333336,-0.239,0.966,0.113
72281,1755585361738,10.84,90.24,71.09,817,770,780,759,806,34.48275862068966,-0.241,0.966,0.113
72311,1755585361768,10.85,90.23,71.12,819,775,766,757,807,33.333333333333336,-0.237,0.969,0.113
72341,1755585361797,10.86,90.22,71.13,821,775,770,755,846,33.333333333333336,-0.235,0.967,0.117
72370,1755585361826,10.88,90.26,71.16,819,778,770,757,809,34.48275862068966,-0.236,0.969,0.116
72399,1755585361856,10.9,90.28,71.19,828,773,771,757,806,34.48275862068966,-0.236,0.969,0.113
72429,1755585361885,10.9,90.22,71.2,821,777,775,757,812,33.333333333333336,-0.237,0.965,0.109
72458,1755585361915,10.91,90.15,71.3,823,773,768,762,806,34.48275862068966,-0.242,0.965,0.111
72488,1755585361944,10.92,90.19,71.39,821,774,777,760,806,33.333333333333336,-0.242,0.968,0.113
72517,1755585361974,10.95,90.21,71.42,822,761,773,755,810,34.48275862068966,-0.239,0.966,0.111
72546,1755585362003,10.98,90.1,71.45,817,771,776,756,809,34.48275862068966,-0.237,0.967,0.11
72576,1755585362032,11.0,90.01,71.5,816,775,771,753,807,33.333333333333336,-0.234,0.967,0.116
72605,1755585362062,11.02,90.04,71.53,820,775,783,761,809,34.48275862068966,-0.233,0.97,0.118
72635,1755585362091,11.04,90.11,71.56,823,770,780,761,809,33.333333333333336,-0.235,0.971,0.115
72664,1755585362121,11.03,90.11,71.57,825,779,771,762,810,34.48275862068966,-0.234,0.967,0.11
72694,1755585362150,11.0,90.03,71.59,820,778,773,761,807,33.333333333333336,-0.236,0.963,0.11
72723,1755585362180,11.0,89.99,71.64,826,770,770,759,813,34.48275862068966,-0.239,0.97,0.114
72752,1755585362209,11.02,90.01,71.69,819,777,764,762,811,34.48275862068966,-0.239,0.97,0.116
72782,1755585362239,11.03,90.0,71.78,825,770,770,754,813,33.333333333333336,-0.234,0.969,0.113
72811,1755585362268,10.98,89.94,71.87,819,783,769,755,810,34.48275862068966,-0.234,0.967,0.115
72841,1755585362298,11.01,89.97,71.93,817,779,776,758,810,33.333333333333336,-0.24,0.971,0.115
72871,1755585362328,11.03,90.02,71.97,817,779,777,756,810,33.333333333333336,-0.236,0.969,0.114
72900,1755585362357,11.04,89.96,71.97,822,773,771,764,805,34.48275862068966,-0.234,0.968,0.111
72930,1755585362386,11.05,89.92,72.03,820,778,771,762,807,33.333333333333336,-0.232,0.969,0.116
72959,1755585362415,11.04,89.96,72.03,820,778,775,757,812,34.48275862068966,-0.229,0.973,0.12
72988,1755585362445,11.06,90.01,72.01,823,772,769,753,811,34.48275862068966,-0.23,0.971,0.115
73018,1755585362474,11.05,89.92,72.03,821,773,769,758,802,33.333333333333336,-0.233,0.967,0.112
73047,1755585362504,11.03,89.89,72.1,818,770,772,761,807,34.48275862068966,-0.235,0.969,0.116
73077,1755585362534,11.02,89.93,72.14,823,775,776,758,807,33.333333333333336,-0.233,0.97,0.118
73097,1755585362553,11.04,89.91,72.14,822,773,778,761,805,50.0,-0.23,0.972,0.116
73126,1755585362583,11.0,89.89,72.14,819,776,775,761,808,34.48275862068966,-0.226,0.968,0.116
