timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
34060,1755585531068,17.92,37.03,-10.13,790,844,772,750,812,34.48275862068966,-0.29,0.584,0.772
34089,1755585531097,17.95,37.11,-10.13,789,837,771,754,812,34.48275862068966,-0.292,0.585,0.77
34119,1755585531127,17.95,37.11,-10.13,784,846,776,753,811,33.333333333333336,-0.291,0.583,0.765
34148,1755585531157,17.94,37.08,-10.1,795,841,775,753,804,34.48275862068966,-0.29,0.585,0.767
34178,1755585531187,17.92,37.07,-10.1,791,858,788,756,806,33.333333333333336,-0.288,0.587,0.767
34208,1755585531217,17.9,37.1,-10.09,799,852,762,753,811,33.333333333333336,-0.288,0.587,0.77
34228,1755585531236,17.89,37.13,-10.09,788,844,769,750,807,50.0,-0.29,0.586,0.77
34257,1755585531265,17.89,37.14,-10.1,789,838,783,756,811,34.48275862068966,-0.29,0.587,0.764
34287,1755585531295,17.85,37.09,-10.1,794,845,767,755,806,33.333333333333336,-0.288,0.587,0.762
34316,1755585531324,17.81,37.1,-10.1,793,842,773,751,815,34.48275862068966,-0.286,0.59,0.767
34346,1755585531354,17.81,37.15,-10.12,794,845,769,760,803,33.333333333333336,-0.286,0.588,0.766
34376,1755585531384,17.8,37.15,-10.14,794,846,773,749,810,33.333333333333336,-0.286,0.587,0.763
34405,1755585531413,17.76,37.14,-10.14,794,855,763,756,813,34.48275862068966,-0.284,0.587,0.766
34435,1755585531443,17.77,37.16,-10.19,787,848,779,763,812,33.333333333333336,-0.286,0.589,0.768
34464,1755585531472,17.79,37.19,-10.23,792,847,776,755,795,34.48275862068966,-0.286,0.589,0.766
34494,1755585531502,17.78,37.14,-10.27,790,855,771,752,811,33.333333333333336,-0.284,0.587,0.762
34523,1755585531532,17.78,37.09,-10.33,794,825,778,754,813,34.48275862068966,-0.283,0.587,0.767
34553,1755585531561,17.79,37.09,-10.41,794,846,767,752,806,33.333333333333336,-0.283,0.588,0.77
34582,1755585531590,17.8,37.12,-10.48,795,841,778,753,800,34.48275862068966,-0.285,0.588,0.768
34612,1755585531620,17.77,37.11,-10.52,790,844,767,753,807,33.333333333333336,-0.285,0.588,0.765
34641,1755585531649,17.81,37.08,-10.58,795,845,771,753,812,34.48275862068966,-0.289,0.587,0.767
34671,1755585531679,17.81,37.1,-10.58,792,850,771,759,807,33.333333333333336,-0.29,0.587,0.77
34700,1755585531708,17.81,37.13,-10.6,786,848,770,755,802,34.48275862068966,-0.284,0.587,0.771
34729,1755585531737,17.83,37.14,-10.66,792,858,787,754,803,34.48275862068966,-0.283,0.586,0.772
34759,1755585531767,17.81,37.18,-10.7,789,846,767,755,811,33.333333333333336,-0.283,0.584,0.771
34788,1755585531796,17.87,37.16,-10.8,790,847,767,757,810,34.48275862068966,-0.284,0.584,0.764
34818,1755585531826,17.86,37.11,-10.87,792,846,772,756,802,33.333333333333336,-0.287,0.587,0.766
34847,1755585531855,17.86,37.1,-10.95,795,834,766,749,808,34.48275862068966,-0.289,0.588,0.768
34877,1755585531885,17.9,37.11,-10.52,794,852,770,752,808,33.333333333333336,-0.29,0.585,0.77
34906,1755585531915,17.89,37.11,-10.55,789,839,762,755,807,34.48275862068966,-0.289,0.587,0.766
34936,1755585531944,17.95,37.08,-10.64,793,846,774,756,804,33.333333333333336,-0.289,0.586,0.763
34966,1755585531974,17.95,37.0,-10.68,788,842,772,751,807,33.333333333333336,-0.294,0.585,0.762
34995,1755585532004,18.02,36.94,-10.75,798,842,769,755,801,34.48275862068966,-0.294,0.585,0.759
35025,1755585532033,18.1,36.84,-10.86,800,845,771,754,808,33.333333333333336,-0.297,0.583,0.758
35054,1755585532062,18.07,36.69,-10.86,790,845,765,760,802,34.48275862068966,-0.298,0.582,0.762
35084,1755585532092,18.05,36.6,-10.86,794,854,768,756,805,33.333333333333336,-0.294,0.582,0.767
35113,1755585532121,18.09,36.58,-10.94,791,847,769,752,800,34.48275862068966,-0.292,0.582,0.771
35143,1755585532151,18.07,36.59,-10.96,794,850,788,753,804,33.333333333333336,-0.294,0.579,0.77
35172,1755585532180,18.1,36.49,-11.0,790,835,770,752,809,34.48275862068966,-0.297,0.576,0.767
35201,1755585532210,18.15,36.38,-11.0,784,849,773,755,809,34.48275862068966,-0.3,0.578,0.769
35231,1755585532239,18.12,36.39,-10.98,796,855,772,753,834,33.333333333333336,-0.3,0.579,0.77
35261,1755585532269,18.13,36.36,-10.99,790,843,772,759,811,33.333333333333336,-0.299,0.574,0.774
35290,1755585532298,18.19,36.31,-10.96,786,846,778,752,809,34.48275862068966,-0.297,0.574,0.774
35320,1755585532328,18.21,36.27,-10.95,796,840,763,753,807,33.333333333333336,-0.295,0.576,0.772
35349,1755585532357,18.2,36.22,-10.94,796,838,775,757,801,34.48275862068966,-0.294,0.574,0.774
35378,1755585532387,18.26,36.14,-10.96,797,841,775,753,808,34.48275862068966,-0.299,0.573,0.776
35408,1755585532416,18.23,36.14,-10.93,791,847,762,755,807,33.333333333333336,-0.295,0.574,0.775
35437,1755585532446,18.23,36.1,-10.96,789,841,775,748,810,34.48275862068966,-0.292,0.572,0.776
35467,1755585532475,18.28,36.01,-11.0,788,848,769,752,803,33.333333333333336,-0.295,0.571,0.777
35496,1755585532504,18.29,35.97,-11.02,793,849,770,758,808,34.48275862068966,-0.297,0.571,0.776
35526,1755585532534,18.32,35.89,-11.03,793,844,778,756,808,33.333333333333336,-0.298,0.57,0.778
35555,1755585532563,18.39,35.93,-11.03,786,852,774,750,807,34.48275862068966,-0.298,0.569,0.781
35585,1755585532593,18.42,35.94,-11.04,790,848,769,749,802,33.333333333333336,-0.294,0.569,0.776
