timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
18588,1755585625272,21.99,-54.14,-45.85,777,785,778,816,838,34.48275862068966,-0.366,-0.796,0.481
18618,1755585625301,22.06,-54.41,-45.86,774,772,774,824,833,33.333333333333336,-0.37,-0.795,0.481
18648,1755585625331,22.06,-54.53,-45.89,769,783,769,819,831,33.333333333333336,-0.369,-0.797,0.482
18677,1755585625360,21.92,-54.56,-45.98,774,782,773,815,833,34.48275862068966,-0.37,-0.796,0.476
18707,1755585625390,21.8,-54.7,-46.08,773,780,777,822,827,33.333333333333336,-0.367,-0.798,0.469
18736,1755585625419,21.73,-54.85,-46.16,773,778,775,819,833,34.48275862068966,-0.365,-0.797,0.47
18766,1755585625449,21.69,-55.11,-46.24,775,773,770,820,821,33.333333333333336,-0.364,-0.799,0.481
18795,1755585625479,21.67,-54.99,-46.25,781,776,773,816,823,34.48275862068966,-0.365,-0.806,0.485
18825,1755585625508,21.51,-54.97,-46.27,777,780,766,816,823,33.333333333333336,-0.364,-0.801,0.475
18854,1755585625538,21.63,-55.16,-46.21,781,783,771,819,827,34.48275862068966,-0.361,-0.799,0.472
18884,1755585625567,21.47,-55.29,-46.32,780,779,771,816,822,33.333333333333336,-0.36,-0.797,0.472
18913,1755585625597,21.24,-55.41,-46.47,780,775,768,815,822,34.48275862068966,-0.359,-0.797,0.467
18943,1755585625626,21.2,-55.78,-46.52,774,781,782,817,828,33.333333333333336,-0.356,-0.798,0.464
18972,1755585625656,21.25,-56.13,-46.56,774,776,771,819,820,34.48275862068966,-0.357,-0.804,0.473
19002,1755585625685,21.28,-56.02,-46.53,774,780,779,810,831,33.333333333333336,-0.36,-0.809,0.48
19031,1755585625715,21.22,-56.05,-46.53,773,771,768,809,858,34.48275862068966,-0.357,-0.806,0.476
19061,1755585625745,21.38,-56.18,-46.49,778,778,777,818,832,33.333333333333336,-0.355,-0.806,0.472
19081,1755585625764,21.39,-56.26,-46.53,771,776,778,822,826,50.0,-0.355,-0.807,0.47
19110,1755585625794,21.23,-56.27,-46.64,775,781,770,817,829,34.48275862068966,-0.351,-0.807,0.465
19140,1755585625824,21.28,-56.45,-46.71,781,781,776,813,831,33.333333333333336,-0.352,-0.806,0.471
19170,1755585625853,21.35,-56.49,-46.7,776,765,771,815,830,33.333333333333336,-0.353,-0.811,0.474
19199,1755585625883,21.26,-56.46,-46.78,777,771,774,810,838,34.48275862068966,-0.35,-0.806,0.473
19229,1755585625912,21.32,-56.53,-46.79,774,766,773,819,828,33.333333333333336,-0.351,-0.806,0.47
19259,1755585625942,21.35,-56.47,-46.75,775,775,766,831,827,33.333333333333336,-0.352,-0.807,0.468
19288,1755585625971,21.36,-56.65,-46.83,782,780,777,822,828,34.48275862068966,-0.35,-0.807,0.472
19318,1755585626001,21.39,-56.71,-46.88,779,779,772,820,823,33.333333333333336,-0.352,-0.81,0.477
19347,1755585626031,21.28,-56.61,-46.91,775,772,767,821,828,34.48275862068966,-0.349,-0.808,0.474
19377,1755585626060,21.29,-56.71,-46.94,776,775,774,822,825,33.333333333333336,-0.345,-0.804,0.467
19406,1755585626090,21.29,-56.77,-46.95,772,784,777,814,829,34.48275862068966,-0.35,-0.807,0.467
19436,1755585626119,21.27,-56.83,-46.94,775,778,769,820,842,33.333333333333336,-0.349,-0.805,0.467
19465,1755585626149,21.36,-56.95,-46.96,776,783,770,827,835,34.48275862068966,-0.349,-0.806,0.472
19495,1755585626179,21.28,-56.95,-46.96,773,779,778,817,820,33.333333333333336,-0.35,-0.81,0.471
19525,1755585626208,21.26,-57.04,-46.99,773,786,778,820,835,33.333333333333336,-0.347,-0.807,0.47
19554,1755585626238,21.37,-57.08,-46.98,771,773,773,811,829,34.48275862068966,-0.347,-0.807,0.474
19584,1755585626268,21.37,-57.08,-47.01,771,781,775,822,830,33.333333333333336,-0.349,-0.803,0.472
19614,1755585626297,21.34,-57.12,-47.06,772,774,771,815,825,33.333333333333336,-0.352,-0.804,0.468
19643,1755585626327,21.26,-57.23,-47.13,775,775,774,820,837,34.48275862068966,-0.356,-0.806,0.467
19673,1755585626356,21.19,-57.36,-47.14,774,780,768,815,816,33.333333333333336,-0.354,-0.805,0.466
19703,1755585626386,21.17,-57.47,-47.14,773,779,778,817,830,33.333333333333336,-0.353,-0.808,0.47
19732,1755585626416,21.06,-57.52,-47.19,774,768,768,816,828,34.48275862068966,-0.349,-0.811,0.474
19762,1755585626445,21.0,-57.53,-47.2,771,771,765,818,821,33.333333333333336,-0.346,-0.809,0.471
19791,1755585626475,21.09,-57.62,-47.19,768,773,772,834,820,34.48275862068966,-0.342,-0.812,0.475
19821,1755585626504,20.99,-57.52,-47.23,771,776,773,815,827,33.333333333333336,-0.344,-0.817,0.479
19850,1755585626534,20.9,-57.42,-47.28,769,780,780,814,824,34.48275862068966,-0.34,-0.808,0.472
19880,1755585626563,21.01,-57.55,-47.31,775,789,771,814,822,33.333333333333336,-0.342,-0.807,0.472
19909,1755585626593,20.88,-57.57,-47.37,767,771,772,811,821,34.48275862068966,-0.344,-0.809,0.471
19939,1755585626623,20.86,-57.71,-47.46,773,769,775,820,818,33.333333333333336,-0.342,-0.807,0.473
19969,1755585626652,20.88,-57.86,-47.51,765,769,787,825,824,33.333333333333336,-0.342,-0.805,0.474
19998,1755585626682,20.84,-57.84,-47.52,776,777,769,814,832,34.48275862068966,-0.336,-0.806,0.476
20028,1755585626711,20.88,-57.89,-47.53,766,782,775,814,827,33.333333333333336,-0.335,-0.81,0.478
20057,1755585626741,20.77,-57.9,-47.59,769,780,786,819,821,34.48275862068966,-0.34,-0.811,0.473
20087,1755585626770,20.81,-58.01,-47.55,768,782,774,817,819,33.333333333333336,-0.342,-0.811,0.468
20116,1755585626800,20.84,-58.06,-47.59,777,771,779,815,822,34.48275862068966,-0.34,-0.81,0.472
20146,1755585626830,20.69,-58.01,-47.65,779,780,770,814,839,33.333333333333336,-0.341,-0.812,0.472
20176,1755585626859,20.73,-58.1,-47.65,776,779,769,815,816,33.333333333333336,-0.338,-0.812,0.47
20205,1755585626889,20.75,-58.15,-47.65,766,778,771,821,824,34.48275862068966,-0.338,-0.814,0.475
20225,1755585626909,20.69,-58.15,-47.67,767,772,770,822,823,50.0,-0.337,-0.815,0.476
20255,1755585626938,20.69,-58.21,-47.65,781,782,768,813,826,33.333333333333336,-0.338,-0.811,0.472
20284,1755585626968,20.77,-58.26,-47.63,774,774,774,806,830,34.48275862068966,-0.337,-0.807,0.477
20314,1755585626997,20.68,-58.24,-47.73,774,778,771,807,836,33.333333333333336,-0.336,-0.808,0.48
20344,1755585627027,20.65,-58.19,-47.75,776,773,774,823,827,33.333333333333336,-0.336,-0.81,0.478
20373,1755585627057,20.68,-58.27,-47.72,775,770,768,821,831,34.48275862068966,-0.339,-0.813,0.472
20403,1755585627086,20.72,-58.29,-47.68,775,783,768,820,836,33.333333333333336,-0.338,-0.809,0.479
20432,1755585627116,20.7,-58.18,-47.75,763,779,766,811,819,34.48275862068966,-0.334,-0.805,0.483
20462,1755585627146,20.63,-58.05,-47.84,774,769,770,821,833,33.333333333333336,-0.337,-0.805,0.476
20492,1755585627175,20.67,-58.06,-47.86,771,780,776,815,825,33.333333333333336,-0.339,-0.809,0.474
20522,1755585627205,20.72,-58.13,-47.82,777,776,767,816,831,33.333333333333336,-0.34,-0.812,0.475
20551,1755585627235,20.77,-58.23,-47.82,775,782,766,813,825,34.48275862068966,-0.335,-0.806,0.479
20581,1755585627264,20.74,-58.25,-47.91,769,772,772,811,825,33.333333333333336,-0.337,-0.808,0.48
20611,1755585627294,20.49,-58.19,-47.98,773,777,771,821,835,33.333333333333336,-0.34,-0.813,0.47
20640,1755585627324,20.5,-58.42,-47.96,769,778,777,824,827,34.48275862068966,-0.341,-0.812,0.47
20670,1755585627353,20.53,-58.54,-47.96,776,785,772,810,824,33.333333333333336,-0.341,-0.814,0.481
20699,1755585627383,20.44,-58.37,-47.95,767,776,769,812,833,34.48275862068966,-0.336,-0.814,0.485
20729,1755585627413,20.52,-58.33,-47.9,772,772,771,810,832,33.333333333333336,-0.332,-0.812,0.482
20759,1755585627443,20.54,-58.37,-47.9,763,779,771,819,830,33.333333333333336,-0.331,-0.808,0.48
20788,1755585627472,20.51,-58.39,-47.95,768,782,769,816,827,34.48275862068966,-0.331,-0.805,0.481
20818,1755585627501,20.52,-58.4,-47.98,768,774,772,819,821,33.333333333333336,-0.338,-0.809,0.479
20847,1755585627531,20.58,-58.47,-47.94,774,786,769,812,827,34.48275862068966,-0.336,-0.811,0.481
20877,1755585627561,20.62,-58.53,-48.0,768,771,772,811,828,33.333333333333336,-0.333,-0.81,0.485
20907,1755585627590,20.7,-58.5,-48.03,772,782,777,818,835,33.333333333333336,-0.329,-0.81,0.488
20936,1755585627619,20.67,-58.43,-48.09,772,778,766,808,828,34.48275862068966,-0.328,-0.805,0.484
20966,1755585627649,20.64,-58.5,-48.2,776,778,780,814,828,33.333333333333336,-0.328,-0.8,0.479
20995,1755585627679,20.61,-58.54,-48.33,772,777,772,815,834,34.48275862068966,-0.332,-0.807,0.48
21025,1755585627708,20.56,-58.54,-48.39,766,775,771,818,826,33.333333333333336,-0.336,-0.811,0.484
21054,1755585627738,20.6,-58.57,-48.37,773,772,768,822,819,34.48275862068966,-0.338,-0.813,0.481
21084,1755585627768,20.6,-58.69,-48.38,764,787,765,814,825,33.333333333333336,-0.336,-0.81,0.478
21114,1755585627797,20.56,-58.65,-48.4,772,777,770,817,826,33.333333333333336,-0.333,-0.809,0.476
21143,1755585627827,20.51,-58.72,-48.41,764,775,771,815,828,34.48275862068966,-0.33,-0.807,0.474
21173,1755585627856,20.53,-58.77,-48.42,775,779,768,813,826,33.333333333333336,-0.332,-0.81,0.48
21202,1755585627886,20.47,-58.8,-48.45,764,778,777,821,834,34.48275862068966,-0.332,-0.807,0.481
21232,1755585627915,20.5,-58.83,-48.48,766,787,771,814,824,33.333333333333336,-0.332,-0.807,0.478
21262,1755585627945,20.5,-58.93,-48.5,771,774,767,803,827,33.333333333333336,-0.334,-0.809,0.477
21291,1755585627975,20.49,-58.98,-48.51,773,781,759,808,840,34.48275862068966,-0.336,-0.811,0.477
21321,1755585628004,20.48,-59.05,-48.48,782,782,770,819,822,33.333333333333336,-0.337,-0.812,0.476
21350,1755585628034,20.51,-59.17,-48.47,774,782,774,813,825,34.48275862068966,-0.333,-0.812,0.476
21380,1755585628064,20.44,-59.14,-48.52,772,774,770,822,827,33.333333333333336,-0.334,-0.813,0.478
