timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
56164,1755586218814,22.49,-32.51,-11.43,773,787,774,752,821,34.48275862068966,-0.391,-0.495,0.776
56194,1755586218843,22.53,-32.55,-11.44,767,773,778,760,821,33.333333333333336,-0.394,-0.498,0.776
56223,1755586218873,22.5,-32.56,-11.42,772,784,771,754,815,34.48275862068966,-0.396,-0.499,0.775
56253,1755586218902,22.52,-32.54,-11.43,773,772,776,757,812,33.333333333333336,-0.391,-0.494,0.779
56282,1755586218932,22.49,-32.47,-11.45,773,772,772,755,814,34.48275862068966,-0.392,-0.495,0.775
56312,1755586218961,22.5,-32.51,-11.45,767,773,774,754,823,33.333333333333336,-0.397,-0.497,0.774
56341,1755586218991,22.46,-32.54,-11.44,770,772,768,749,814,34.48275862068966,-0.399,-0.496,0.774
56371,1755586219020,22.48,-32.54,-11.45,768,772,791,749,810,33.333333333333336,-0.394,-0.495,0.777
56400,1755586219050,22.43,-32.5,-11.45,763,780,772,749,815,34.48275862068966,-0.393,-0.496,0.778
56430,1755586219079,22.42,-32.45,-11.45,769,772,771,749,810,33.333333333333336,-0.398,-0.496,0.777
56459,1755586219109,22.45,-32.5,-11.43,764,781,775,748,819,34.48275862068966,-0.399,-0.496,0.773
56489,1755586219138,22.53,-32.56,-11.4,766,770,775,756,826,33.333333333333336,-0.4,-0.498,0.775
56518,1755586219168,22.45,-32.55,-11.4,767,777,778,757,818,34.48275862068966,-0.394,-0.496,0.776
56548,1755586219198,22.46,-32.54,-11.42,772,774,763,749,814,33.333333333333336,-0.392,-0.496,0.778
56578,1755586219227,22.46,-32.53,-11.42,771,772,779,750,818,33.333333333333336,-0.396,-0.499,0.779
56607,1755586219257,22.44,-32.56,-11.4,767,771,777,773,814,34.48275862068966,-0.395,-0.495,0.775
56637,1755586219286,22.46,-32.6,-11.42,772,768,766,749,819,33.333333333333336,-0.393,-0.491,0.776
56666,1755586219316,22.41,-32.6,-11.46,774,764,774,757,817,34.48275862068966,-0.396,-0.494,0.778
56696,1755586219345,22.44,-32.63,-11.48,769,767,793,752,816,33.333333333333336,-0.395,-0.496,0.776
56725,1755586219375,22.46,-32.64,-11.5,767,772,775,746,817,34.48275862068966,-0.399,-0.497,0.776
56755,1755586219404,22.38,-32.62,-11.51,773,764,766,754,823,33.333333333333336,-0.4,-0.497,0.773
56784,1755586219434,22.41,-32.67,-11.51,768,777,776,742,821,34.48275862068966,-0.394,-0.495,0.774
56814,1755586219463,22.43,-32.74,-11.55,767,770,774,756,805,33.333333333333336,-0.389,-0.494,0.78
56843,1755586219493,22.32,-32.7,-11.66,767,767,763,757,818,34.48275862068966,-0.39,-0.497,0.781
56873,1755586219523,22.36,-32.69,-11.69,771,775,768,753,815,33.333333333333336,-0.394,-0.502,0.776
56903,1755586219552,22.41,-32.71,-11.67,768,772,775,754,818,33.333333333333336,-0.396,-0.502,0.773
56932,1755586219582,22.34,-32.74,-11.71,766,770,772,748,816,34.48275862068966,-0.39,-0.499,0.774
56962,1755586219612,22.33,-32.75,-11.77,774,762,768,753,822,33.333333333333336,-0.393,-0.501,0.777
56992,1755586219641,22.33,-32.71,-11.76,765,774,774,761,817,33.333333333333336,-0.4,-0.504,0.776
57021,1755586219671,22.36,-32.72,-11.72,766,775,766,752,817,34.48275862068966,-0.399,-0.502,0.773
57041,1755586219691,22.38,-32.74,-11.72,768,768,762,754,819,50.0,-0.398,-0.501,0.771
57071,1755586219721,22.29,-32.78,-11.73,768,774,772,760,818,33.333333333333336,-0.395,-0.503,0.773
57091,1755586219741,22.3,-32.78,-11.71,773,778,773,757,823,50.0,-0.391,-0.506,0.776
57121,1755586219770,22.39,-32.76,-11.67,776,772,776,748,812,33.333333333333336,-0.391,-0.504,0.776
57150,1755586219800,22.36,-32.71,-11.64,765,769,771,754,813,34.48275862068966,-0.389,-0.503,0.775
57180,1755586219829,22.33,-32.71,-11.64,775,774,765,751,817,33.333333333333336,-0.391,-0.502,0.771
57210,1755586219859,22.3,-32.71,-11.63,772,763,767,749,808,33.333333333333336,-0.394,-0.5,0.772
57239,1755586219888,22.24,-32.73,-11.62,775,773,773,756,808,34.48275862068966,-0.393,-0.501,0.772
57268,1755586219918,22.25,-32.78,-11.63,771,771,777,757,818,34.48275862068966,-0.389,-0.499,0.773
57298,1755586219947,22.17,-32.81,-11.67,765,771,766,754,815,33.333333333333336,-0.387,-0.499,0.776
