timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
84459,1755586357284,11.48,57.81,6.98,818,763,844,879,880,34.48275862068966,-0.198,0.829,0.535
84488,1755586357314,11.44,57.87,6.95,815,772,852,881,874,34.48275862068966,-0.198,0.829,0.534
84518,1755586357343,11.43,57.86,6.88,824,774,850,876,868,33.333333333333336,-0.197,0.828,0.53
84547,1755586357372,11.4,57.85,6.84,824,763,842,867,871,34.48275862068966,-0.2,0.829,0.533
84576,1755586357402,11.38,57.87,6.77,833,762,845,881,872,34.48275862068966,-0.2,0.829,0.533
84606,1755586357431,11.38,57.9,6.76,821,776,850,878,871,33.333333333333336,-0.206,0.828,0.527
84635,1755586357460,11.37,57.87,6.78,825,767,847,883,877,34.48275862068966,-0.209,0.828,0.528
84664,1755586357491,11.39,57.88,6.8,838,766,843,880,889,34.48275862068966,-0.207,0.829,0.534
84694,1755586357520,11.4,57.9,6.77,821,776,853,874,875,33.333333333333336,-0.202,0.83,0.534
84724,1755586357550,11.38,57.88,6.72,820,769,851,875,877,33.333333333333336,-0.201,0.828,0.531
84754,1755586357579,11.38,57.84,6.67,821,764,841,878,877,33.333333333333336,-0.202,0.827,0.535
84783,1755586357609,11.43,57.85,6.62,821,764,845,884,868,34.48275862068966,-0.203,0.828,0.534
84813,1755586357638,11.45,57.87,6.6,821,768,835,876,879,33.333333333333336,-0.205,0.826,0.532
84842,1755586357668,11.46,57.85,6.57,820,769,849,881,878,34.48275862068966,-0.206,0.825,0.53
84872,1755586357698,11.45,57.8,6.63,821,766,850,881,873,33.333333333333336,-0.21,0.826,0.531
84902,1755586357727,11.47,57.78,6.66,819,774,863,876,872,33.333333333333336,-0.207,0.828,0.535
84931,1755586357756,11.48,57.84,6.66,824,774,838,883,871,34.48275862068966,-0.205,0.827,0.537
84961,1755586357786,11.47,57.84,6.65,815,768,838,876,868,33.333333333333336,-0.204,0.828,0.534
84990,1755586357815,11.45,57.77,6.61,819,766,856,872,876,34.48275862068966,-0.204,0.829,0.532
85019,1755586357845,11.38,57.72,6.61,819,767,855,877,882,34.48275862068966,-0.208,0.828,0.535
85049,1755586357874,11.35,57.79,6.63,820,770,843,882,875,33.333333333333336,-0.204,0.828,0.54
85078,1755586357903,11.37,57.82,6.55,821,769,842,866,874,34.48275862068966,-0.202,0.826,0.539
85107,1755586357933,11.38,57.8,6.53,812,769,843,881,871,34.48275862068966,-0.205,0.824,0.536
85137,1755586357962,11.37,57.8,6.54,823,775,844,876,875,33.333333333333336,-0.206,0.825,0.536
85166,1755586357992,11.4,57.87,6.48,823,765,845,874,874,34.48275862068966,-0.205,0.828,0.536
85196,1755586358021,11.41,57.91,6.49,825,774,833,869,873,33.333333333333336,-0.207,0.828,0.534
85225,1755586358051,11.42,57.87,6.49,821,771,836,878,878,34.48275862068966,-0.208,0.826,0.534
85255,1755586358080,11.43,57.91,6.49,816,770,839,880,877,33.333333333333336,-0.207,0.827,0.529
85284,1755586358110,11.44,57.92,6.51,815,777,846,878,880,34.48275862068966,-0.208,0.827,0.529
85314,1755586358139,11.47,57.88,6.48,821,776,855,878,881,33.333333333333336,-0.21,0.826,0.533
85343,1755586358169,11.48,57.88,6.51,822,759,850,883,874,34.48275862068966,-0.209,0.825,0.532
85373,1755586358198,11.48,57.87,6.57,820,773,839,879,880,33.333333333333336,-0.207,0.828,0.529
85402,1755586358228,11.46,57.84,6.57,821,771,857,880,874,34.48275862068966,-0.201,0.829,0.532
85432,1755586358257,11.47,57.82,6.54,823,774,842,881,877,33.333333333333336,-0.202,0.826,0.534
85461,1755586358287,11.48,57.82,6.58,821,772,838,881,874,34.48275862068966,-0.207,0.825,0.536
85491,1755586358316,11.46,57.83,6.63,827,781,840,879,871,33.333333333333336,-0.203,0.829,0.534
85521,1755586358346,11.45,57.86,6.58,822,777,836,869,872,33.333333333333336,-0.198,0.83,0.534
85550,1755586358376,11.46,57.89,6.55,825,770,848,874,866,34.48275862068966,-0.203,0.83,0.538
85580,1755586358405,11.49,57.88,6.55,819,773,853,876,875,33.333333333333336,-0.201,0.827,0.535
85609,1755586358435,11.47,57.87,6.52,828,768,846,880,867,34.48275862068966,-0.198,0.829,0.531
85639,1755586358464,11.46,57.88,6.47,819,775,848,874,877,33.333333333333336,-0.204,0.83,0.534
85668,1755586358493,11.48,57.88,6.45,820,777,843,876,876,34.48275862068966,-0.207,0.828,0.534
85697,1755586358523,11.5,57.87,6.46,820,766,844,884,876,34.48275862068966,-0.206,0.83,0.53
85727,1755586358552,11.51,57.89,6.42,817,770,850,880,875,33.333333333333336,-0.205,0.833,0.534
85756,1755586358582,11.53,57.93,6.4,816,772,838,890,873,34.48275862068966,-0.208,0.828,0.534
85786,1755586358611,11.56,57.93,6.46,821,769,836,873,877,33.333333333333336,-0.21,0.825,0.531
85815,1755586358641,11.54,57.94,6.56,819,774,840,878,878,34.48275862068966,-0.205,0.832,0.534
85845,1755586358670,11.57,57.98,6.48,824,780,848,879,867,33.333333333333336,-0.201,0.832,0.535
85874,1755586358700,11.61,57.96,6.5,815,765,848,883,877,34.48275862068966,-0.207,0.826,0.538
85904,1755586358729,11.61,58.01,6.61,815,774,839,881,875,33.333333333333336,-0.205,0.827,0.536
85933,1755586358759,11.6,58.02,6.57,819,768,847,886,867,34.48275862068966,-0.197,0.832,0.527
85963,1755586358788,11.63,57.98,6.5,813,776,839,880,878,33.333333333333336,-0.204,0.83,0.528
85992,1755586358818,11.61,57.94,6.61,817,774,845,879,891,34.48275862068966,-0.209,0.83,0.533
86022,1755586358847,11.64,57.94,6.6,819,761,852,879,871,33.333333333333336,-0.202,0.83,0.533
86051,1755586358876,11.69,57.94,6.54,819,770,850,876,875,34.48275862068966,-0.202,0.831,0.531
86080,1755586358906,11.66,57.86,6.61,818,768,844,869,873,34.48275862068966,-0.204,0.828,0.528
86110,1755586358935,11.66,57.78,6.63,821,777,837,890,876,33.333333333333336,-0.203,0.829,0.532
86139,1755586358965,11.67,57.81,6.62,821,773,842,872,879,34.48275862068966,-0.2,0.833,0.535
86169,1755586358994,11.66,57.82,6.61,818,770,859,879,874,33.333333333333336,-0.198,0.829,0.534
86198,1755586359024,11.69,57.84,6.62,818,776,838,881,880,34.48275862068966,-0.201,0.827,0.534
86228,1755586359053,11.68,57.81,6.6,821,773,840,877,873,33.333333333333336,-0.2,0.831,0.531
86257,1755586359083,11.66,57.83,6.62,822,766,847,876,869,34.48275862068966,-0.199,0.832,0.533
86287,1755586359112,11.67,57.87,6.58,815,763,848,887,873,33.333333333333336,-0.2,0.831,0.535
86316,1755586359142,11.69,57.89,6.59,810,771,849,871,874,34.48275862068966,-0.204,0.829,0.531
86346,1755586359171,11.66,57.88,6.67,819,777,838,892,871,33.333333333333336,-0.203,0.829,0.531
86375,1755586359201,11.68,57.88,6.64,820,765,850,874,875,34.48275862068966,-0.2,0.831,0.532
86405,1755586359230,11.69,57.9,6.67,823,771,849,884,872,33.333333333333336,-0.203,0.829,0.534
86434,1755586359259,11.7,57.87,6.68,822,771,840,876,879,34.48275862068966,-0.201,0.829,0.533
86463,1755586359289,11.72,57.83,6.61,817,771,840,872,874,34.48275862068966,-0.198,0.831,0.531
86493,1755586359319,11.75,57.84,6.56,820,772,852,882,874,33.333333333333336,-0.2,0.83,0.537
86522,1755586359348,11.76,57.83,6.52,818,767,831,872,867,34.48275862068966,-0.198,0.828,0.534
86552,1755586359377,11.82,57.78,6.39,821,787,842,887,870,33.333333333333336,-0.199,0.828,0.53
86581,1755586359407,11.79,57.82,6.37,818,771,852,877,876,34.48275862068966,-0.203,0.829,0.54
