timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
52478,1755586439258,23.76,-30.55,-39.48,818,768,823,866,872,34.48275862068966,-0.4,-0.463,0.789
52508,1755586439287,23.76,-30.6,-39.52,813,777,830,870,874,33.333333333333336,-0.401,-0.463,0.791
52537,1755586439317,23.77,-30.61,-39.54,815,761,825,875,871,34.48275862068966,-0.403,-0.466,0.795
52567,1755586439346,23.76,-30.59,-39.55,816,769,819,863,876,33.333333333333336,-0.403,-0.468,0.794
52596,1755586439376,23.79,-30.56,-39.56,809,767,807,877,871,34.48275862068966,-0.4,-0.465,0.793
52626,1755586439405,23.78,-30.57,-39.6,812,771,819,873,872,33.333333333333336,-0.4,-0.463,0.791
52655,1755586439434,23.79,-30.61,-39.63,819,773,813,885,874,34.48275862068966,-0.406,-0.465,0.791
52685,1755586439464,23.78,-30.61,-39.62,811,767,815,869,867,33.333333333333336,-0.407,-0.469,0.794
52714,1755586439494,23.82,-30.57,-39.61,816,762,813,875,875,34.48275862068966,-0.403,-0.471,0.797
52744,1755586439523,23.82,-30.52,-39.61,817,774,831,875,898,33.333333333333336,-0.398,-0.466,0.794
52773,1755586439553,23.81,-30.54,-39.65,818,766,818,864,874,34.48275862068966,-0.4,-0.461,0.79
52803,1755586439583,23.78,-30.58,-39.68,809,764,839,864,879,33.333333333333336,-0.405,-0.464,0.792
52833,1755586439612,23.79,-30.56,-39.65,816,771,820,868,881,33.333333333333336,-0.407,-0.468,0.796
52862,1755586439642,23.8,-30.54,-39.62,831,767,822,877,878,34.48275862068966,-0.403,-0.467,0.795
52892,1755586439671,23.79,-30.52,-39.63,813,772,829,875,874,33.333333333333336,-0.399,-0.463,0.793
52921,1755586439701,23.76,-30.53,-39.67,815,768,821,873,878,34.48275862068966,-0.4,-0.464,0.795
52951,1755586439730,23.78,-30.49,-39.66,816,777,812,870,878,33.333333333333336,-0.405,-0.469,0.798
52980,1755586439760,23.83,-30.45,-39.62,811,774,820,874,875,34.48275862068966,-0.406,-0.466,0.793
53010,1755586439789,23.83,-30.48,-39.64,817,761,814,869,880,33.333333333333336,-0.402,-0.459,0.791
53039,1755586439819,23.76,-30.53,-39.7,818,770,832,862,877,34.48275862068966,-0.403,-0.463,0.797
53069,1755586439848,23.77,-30.49,-39.71,820,772,828,882,880,33.333333333333336,-0.405,-0.468,0.802
53099,1755586439878,23.83,-30.43,-39.69,819,773,818,870,874,33.333333333333336,-0.405,-0.462,0.795
53128,1755586439907,23.77,-30.49,-39.73,812,766,820,865,876,34.48275862068966,-0.403,-0.457,0.786
53158,1755586439937,23.7,-30.6,-39.78,814,768,822,869,868,33.333333333333336,-0.405,-0.461,0.793
53187,1755586439967,23.73,-30.53,-39.74,815,770,819,869,877,34.48275862068966,-0.406,-0.469,0.803
53217,1755586439997,23.84,-30.4,-39.68,817,762,819,878,867,33.333333333333336,-0.405,-0.467,0.799
53247,1755586440026,23.83,-30.39,-39.66,816,774,819,867,876,33.333333333333336,-0.403,-0.46,0.79
53276,1755586440056,23.81,-30.46,-39.71,812,772,822,866,869,34.48275862068966,-0.404,-0.458,0.79
53306,1755586440085,23.78,-30.48,-39.72,815,768,821,873,875,33.333333333333336,-0.406,-0.464,0.797
53335,1755586440115,23.82,-30.38,-39.67,814,770,828,871,873,34.48275862068966,-0.406,-0.468,0.803
53365,1755586440145,23.89,-30.26,-39.63,814,769,821,867,870,33.333333333333336,-0.402,-0.464,0.8
53395,1755586440174,23.97,-30.24,-39.65,815,768,825,880,875,33.333333333333336,-0.404,-0.456,0.789
53424,1755586440204,23.88,-30.32,-39.73,814,767,825,867,878,34.48275862068966,-0.407,-0.456,0.785
53454,1755586440233,23.87,-30.4,-39.73,813,775,816,887,877,33.333333333333336,-0.409,-0.459,0.792
53483,1755586440263,23.86,-30.4,-39.73,814,771,818,868,889,34.48275862068966,-0.405,-0.464,0.798
53513,1755586440292,24.3,-30.33,-39.72,816,770,818,868,878,33.333333333333336,-0.401,-0.468,0.799
53542,1755586440322,24.31,-30.3,-39.71,815,763,800,869,867,34.48275862068966,-0.401,-0.463,0.793
53572,1755586440352,24.24,-30.35,-39.79,816,770,825,882,872,33.333333333333336,-0.402,-0.452,0.788
