timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
100307,1755586605206,37.97,-66.43,-37.21,811,770,817,864,873,33.333333333333336,-0.635,-0.017,-0.784
100336,1755586605236,38.06,-68.66,-37.1,809,773,823,860,887,34.48275862068966,-0.635,-0.017,-0.785
100366,1755586605265,38.16,-70.88,-37.01,808,773,824,866,870,33.333333333333336,-0.629,-0.012,-0.785
100395,1755586605295,38.12,-73.06,-37.09,810,769,820,872,862,34.48275862068966,-0.625,-0.006,-0.786
100425,1755586605324,38.01,-75.19,-37.24,809,769,822,871,870,33.333333333333336,-0.624,-0.008,-0.782
100454,1755586605355,38.07,-77.14,-37.23,811,767,828,870,868,34.48275862068966,-0.624,-0.012,-0.787
100475,1755586605374,38.12,-79.13,-37.22,805,772,815,859,870,47.61904761904762,-0.619,-0.016,-0.796
100504,1755586605404,38.07,-81.13,-37.2,807,768,818,856,869,34.48275862068966,-0.618,-0.021,-0.802
100534,1755586605433,38.09,-83.14,-37.14,810,767,810,856,881,33.333333333333336,-0.622,-0.022,-0.794
100563,1755586605463,38.16,-85.02,-37.06,809,777,831,856,872,34.48275862068966,-0.626,-0.015,-0.784
100593,1755586605492,38.23,-86.79,-37.0,809,766,813,865,866,33.333333333333336,-0.625,-0.012,-0.784
100622,1755586605522,38.26,-88.57,-36.96,805,762,813,865,881,34.48275862068966,-0.622,-0.014,-0.799
100652,1755586605552,38.2,-90.58,-36.98,807,767,806,862,887,33.333333333333336,-0.621,-0.013,-0.801
100682,1755586605581,38.22,-92.33,-37.0,811,773,816,861,871,33.333333333333336,-0.622,-0.01,-0.783
100711,1755586605611,38.15,-93.97,-36.99,807,775,817,863,869,34.48275862068966,-0.628,-0.01,-0.792
100741,1755586605641,38.15,-95.84,-37.07,808,764,814,864,872,33.333333333333336,-0.623,-0.007,-0.793
100771,1755586605671,38.23,-97.63,-37.19,812,770,819,853,867,33.333333333333336,-0.628,-0.01,-0.784
100801,1755586605700,38.25,-99.17,-37.19,811,776,818,859,871,33.333333333333336,-0.629,-0.013,-0.783
100830,1755586605730,38.42,-100.64,-37.08,805,771,816,862,871,34.48275862068966,-0.624,-0.014,-0.795
100860,1755586605759,38.49,-102.27,-37.08,812,775,818,855,875,33.333333333333336,-0.613,-0.011,-0.796
100889,1755586605789,38.42,-103.74,-37.08,810,769,821,854,871,34.48275862068966,-0.618,-0.012,-0.794
100919,1755586605818,38.39,-105.14,-36.97,808,773,826,850,871,33.333333333333336,-0.624,-0.017,-0.794
100948,1755586605848,38.57,-106.63,-36.76,808,764,818,865,873,34.48275862068966,-0.623,-0.018,-0.795
100978,1755586605878,38.64,-108.02,-36.64,810,773,819,863,858,33.333333333333336,-0.619,-0.012,-0.791
101008,1755586605907,38.52,-109.37,-36.54,808,770,822,863,874,33.333333333333336,-0.625,-0.012,-0.795
101037,1755586605937,38.68,-110.77,-36.34,810,761,817,855,867,34.48275862068966,-0.621,-0.013,-0.793
101067,1755586605966,38.76,-112.08,-36.26,807,768,817,863,868,33.333333333333336,-0.616,-0.009,-0.794
101096,1755586605996,38.63,-113.41,-36.22,806,772,815,864,870,34.48275862068966,-0.618,-0.003,-0.801
101126,1755586606025,38.61,-114.77,-36.23,811,768,825,862,864,33.333333333333336,-0.614,-0.002,-0.793
101155,1755586606055,38.64,-116.06,-36.29,811,770,817,866,872,34.48275862068966,-0.616,-0.001,-0.795
101185,1755586606085,38.56,-117.35,-36.28,805,778,827,856,882,33.333333333333336,-0.615,-0.007,-0.801
101215,1755586606114,38.58,-118.62,-36.22,813,766,817,863,872,33.333333333333336,-0.61,-0.002,-0.802
101244,1755586606144,38.59,-112.73,-36.3,810,768,816,850,870,34.48275862068966,-0.607,0.002,-0.8
101274,1755586606174,38.43,-114.13,-36.4,809,777,817,856,868,33.333333333333336,-0.614,-0.003,-0.799
101304,1755586606203,38.43,-115.47,-36.43,805,771,822,850,865,33.333333333333336,-0.616,-0.004,-0.792
101333,1755586606233,38.48,-116.71,-36.42,808,770,818,863,870,34.48275862068966,-0.621,-0.006,-0.79
101363,1755586606262,38.52,-117.92,-36.33,807,767,817,857,874,33.333333333333336,-0.617,-0.007,-0.795
