timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
67197,1755586685794,19.8,-87.28,7.88,839,772,820,841,854,33.333333333333336,-0.359,-0.924,0.015
67226,1755586685823,19.81,-87.28,7.88,840,764,811,855,860,34.48275862068966,-0.358,-0.925,0.015
67256,1755586685853,19.82,-87.29,7.91,833,772,813,860,840,33.333333333333336,-0.358,-0.927,0.012
67285,1755586685882,19.82,-87.35,7.95,841,772,814,857,853,34.48275862068966,-0.361,-0.927,0.012
67315,1755586685912,19.84,-87.33,7.99,842,769,821,861,852,33.333333333333336,-0.361,-0.927,0.015
67344,1755586685941,19.86,-87.3,8.01,840,768,814,852,856,34.48275862068966,-0.359,-0.927,0.016
67374,1755586685971,19.91,-87.28,8.08,842,774,819,853,859,33.333333333333336,-0.36,-0.928,0.014
67404,1755586686001,19.92,-87.33,8.11,841,766,812,852,860,33.333333333333336,-0.363,-0.924,0.013
67433,1755586686030,19.96,-87.43,8.13,835,767,826,852,853,34.48275862068966,-0.365,-0.925,0.015
67463,1755586686060,20.0,-87.41,8.17,837,760,811,854,863,33.333333333333336,-0.365,-0.927,0.011
67492,1755586686089,19.96,-87.44,8.21,831,766,813,839,854,34.48275862068966,-0.363,-0.928,0.008
67522,1755586686119,19.96,-87.47,8.28,839,769,825,853,860,33.333333333333336,-0.363,-0.93,0.011
67551,1755586686148,20.01,-87.41,8.39,841,765,808,852,860,34.48275862068966,-0.366,-0.931,0.013
67581,1755586686178,20.0,-87.28,8.47,845,771,817,848,853,33.333333333333336,-0.367,-0.927,0.009
67610,1755586686207,19.94,-87.26,8.52,840,775,825,854,854,34.48275862068966,-0.367,-0.925,0.007
67640,1755586686237,19.89,-87.26,8.55,840,764,815,852,860,33.333333333333336,-0.366,-0.927,0.011
67669,1755586686266,19.84,-87.12,8.52,838,767,835,856,852,34.48275862068966,-0.366,-0.925,0.016
67698,1755586686296,19.8,-86.95,8.49,840,764,817,853,847,34.48275862068966,-0.365,-0.921,0.013
67728,1755586686325,19.8,-87.06,8.51,837,774,829,852,864,33.333333333333336,-0.368,-0.923,0.01
67758,1755586686355,19.74,-87.15,8.54,839,772,825,849,857,33.333333333333336,-0.368,-0.922,0.011
67787,1755586686384,19.7,-87.23,8.57,842,764,821,853,854,34.48275862068966,-0.366,-0.924,0.016
67816,1755586686414,19.7,-87.22,8.62,841,768,815,854,859,34.48275862068966,-0.366,-0.926,0.018
67846,1755586686443,19.69,-87.22,8.67,843,767,806,861,860,33.333333333333336,-0.366,-0.924,0.018
67876,1755586686473,19.67,-87.25,8.7,840,767,819,848,862,33.333333333333336,-0.366,-0.918,0.019
67906,1755586686503,19.69,-87.28,8.67,830,766,824,853,856,33.333333333333336,-0.368,-0.917,0.019
67935,1755586686532,19.68,-87.28,8.64,831,767,816,852,859,34.48275862068966,-0.369,-0.92,0.016
67965,1755586686562,19.65,-87.3,8.66,836,764,820,857,858,33.333333333333336,-0.368,-0.926,0.016
67995,1755586686592,19.66,-87.31,8.71,838,770,819,848,854,33.333333333333336,-0.367,-0.925,0.017
68024,1755586686621,19.63,-87.32,8.72,837,774,821,851,856,34.48275862068966,-0.367,-0.92,0.018
68054,1755586686651,19.58,-87.33,8.67,830,780,817,854,867,33.333333333333336,-0.364,-0.921,0.019
68083,1755586686680,19.6,-87.36,8.65,832,766,814,855,849,34.48275862068966,-0.366,-0.922,0.018
68113,1755586686710,19.64,-87.38,8.62,835,767,808,857,855,33.333333333333336,-0.368,-0.922,0.019
68142,1755586686740,19.67,-87.36,8.62,838,771,822,845,860,34.48275862068966,-0.367,-0.924,0.017
68172,1755586686769,19.68,-87.45,8.63,839,773,825,860,866,33.333333333333336,-0.366,-0.923,0.016
68202,1755586686799,19.7,-87.48,8.62,830,776,819,857,857,33.333333333333336,-0.366,-0.923,0.017
68231,1755586686828,19.74,-87.44,8.64,838,769,816,855,855,34.48275862068966,-0.363,-0.926,0.019
68260,1755586686857,19.79,-87.4,8.65,841,774,816,855,858,34.48275862068966,-0.362,-0.924,0.015
68290,1755586686887,19.84,-87.4,8.66,833,774,814,852,859,33.333333333333336,-0.364,-0.924,0.014
68319,1755586686917,19.89,-87.39,8.68,840,774,810,856,855,34.48275862068966,-0.364,-0.927,0.018
