timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
41286,1755586765364,60.0,-107.84,-17.85,811,766,832,872,874,34.48275862068966,-0.879,-0.468,-0.126
41316,1755586765394,60.03,-107.8,-17.84,811,769,834,873,877,33.333333333333336,-0.877,-0.466,-0.131
41345,1755586765424,59.99,-107.76,-17.85,808,772,837,870,878,34.48275862068966,-0.876,-0.467,-0.129
41375,1755586765453,59.98,-107.69,-17.84,810,776,832,870,882,33.333333333333336,-0.878,-0.464,-0.132
41405,1755586765483,60.0,-107.67,-17.81,808,766,825,883,897,33.333333333333336,-0.878,-0.466,-0.131
41435,1755586765513,60.04,-107.64,-17.82,813,770,831,867,880,33.333333333333336,-0.874,-0.465,-0.128
41464,1755586765543,60.0,-107.59,-17.83,812,767,828,866,887,34.48275862068966,-0.876,-0.466,-0.13
41494,1755586765572,60.06,-107.54,-17.8,810,754,830,879,879,33.333333333333336,-0.879,-0.469,-0.122
41524,1755586765602,60.21,-107.36,-17.76,811,770,821,866,881,33.333333333333336,-0.879,-0.468,-0.116
41554,1755586765632,60.19,-107.21,-17.73,811,772,824,876,885,33.333333333333336,-0.88,-0.467,-0.122
41583,1755586765661,60.26,-107.14,-17.72,810,766,829,879,886,34.48275862068966,-0.879,-0.464,-0.128
41613,1755586765691,60.34,-107.14,-17.73,806,764,834,871,878,33.333333333333336,-0.881,-0.463,-0.13
41643,1755586765721,60.33,-107.1,-17.73,806,756,823,869,880,33.333333333333336,-0.881,-0.465,-0.126
41673,1755586765751,60.39,-107.03,-17.75,808,766,835,880,880,33.333333333333336,-0.879,-0.464,-0.126
41693,1755586765771,60.43,-106.99,-17.77,807,761,847,867,876,50.0,-0.88,-0.465,-0.129
41723,1755586765801,60.42,-106.95,-17.76,819,769,829,867,875,33.333333333333336,-0.879,-0.467,-0.128
41752,1755586765830,60.42,-106.91,-17.78,809,776,837,879,879,34.48275862068966,-0.879,-0.465,-0.126
41782,1755586765860,60.33,-106.89,-17.8,811,769,841,872,872,33.333333333333336,-0.88,-0.465,-0.13
41811,1755586765889,60.35,-106.88,-17.78,806,772,834,873,874,34.48275862068966,-0.879,-0.47,-0.124
41841,1755586765919,60.46,-106.76,-17.76,822,775,830,870,877,33.333333333333336,-0.878,-0.469,-0.117
41871,1755586765949,60.47,-106.64,-17.74,811,774,834,870,869,33.333333333333336,-0.88,-0.468,-0.122
41900,1755586765978,60.49,-106.61,-17.73,816,769,827,865,878,34.48275862068966,-0.877,-0.468,-0.13
41930,1755586766008,60.47,-106.66,-17.78,810,768,838,873,887,33.333333333333336,-0.877,-0.464,-0.13
41959,1755586766037,60.41,-106.61,-17.79,809,770,845,875,879,34.48275862068966,-0.879,-0.464,-0.125
41989,1755586766067,60.43,-106.57,-17.79,810,768,832,871,887,33.333333333333336,-0.877,-0.468,-0.123
42019,1755586766096,60.48,-106.58,-17.81,808,780,827,867,888,33.333333333333336,-0.876,-0.466,-0.125
42048,1755586766126,60.48,-106.53,-17.86,804,766,832,866,877,34.48275862068966,-0.876,-0.465,-0.121
42078,1755586766156,60.46,-106.41,-17.9,815,763,835,873,888,33.333333333333336,-0.879,-0.467,-0.123
42107,1755586766185,60.54,-106.39,-17.91,808,770,843,867,879,34.48275862068966,-0.876,-0.469,-0.124
42137,1755586766215,60.65,-106.38,-18.0,816,767,836,879,882,33.333333333333336,-0.872,-0.471,-0.121
42167,1755586766245,60.61,-106.28,-18.14,804,777,837,866,878,33.333333333333336,-0.873,-0.471,-0.12
42196,1755586766274,60.52,-106.3,-18.36,808,777,831,863,892,34.48275862068966,-0.875,-0.47,-0.124
42226,1755586766304,60.45,-106.4,-18.53,810,772,833,872,887,33.333333333333336,-0.879,-0.472,-0.124
42256,1755586766334,60.45,-106.44,-18.56,801,765,850,871,880,33.333333333333336,-0.878,-0.475,-0.119
42285,1755586766363,60.51,-106.37,-18.56,804,765,836,871,887,34.48275862068966,-0.878,-0.476,-0.114
42315,1755586766393,60.45,-106.28,-18.55,810,776,826,873,913,33.333333333333336,-0.878,-0.478,-0.12
42344,1755586766422,60.42,-106.32,-18.55,815,766,831,872,889,34.48275862068966,-0.873,-0.479,-0.125
42374,1755586766452,60.45,-106.37,-18.59,810,762,832,871,877,33.333333333333336,-0.874,-0.479,-0.121
42404,1755586766481,60.37,-106.3,-18.59,808,762,830,874,882,33.333333333333336,-0.876,-0.478,-0.117
42433,1755586766511,60.37,-106.25,-18.59,811,770,831,871,878,34.48275862068966,-0.874,-0.481,-0.118
42463,1755586766541,60.44,-106.25,-18.58,808,773,849,868,887,33.333333333333336,-0.873,-0.481,-0.119
42492,1755586766570,60.42,-106.23,-18.6,809,778,842,866,877,34.48275862068966,-0.873,-0.48,-0.12
42522,1755586766600,60.28,-106.21,-18.64,808,773,828,876,883,33.333333333333336,-0.872,-0.482,-0.118
42551,1755586766630,60.23,-106.18,-18.65,811,764,827,876,880,34.48275862068966,-0.869,-0.482,-0.118
42581,1755586766659,60.33,-106.19,-18.66,808,767,816,873,889,33.333333333333336,-0.87,-0.481,-0.118
42611,1755586766689,60.31,-106.16,-18.67,807,774,836,871,889,33.333333333333336,-0.87,-0.482,-0.12
42640,1755586766718,60.24,-106.09,-18.66,811,765,829,871,880,34.48275862068966,-0.869,-0.483,-0.119
42670,1755586766748,60.2,-106.03,-18.68,807,764,833,872,876,33.333333333333336,-0.869,-0.481,-0.119
42699,1755586766777,60.22,-106.04,-18.69,810,766,831,876,879,34.48275862068966,-0.872,-0.483,-0.119
42729,1755586766807,60.25,-106.0,-18.69,804,768,834,862,877,33.333333333333336,-0.869,-0.482,-0.115
42758,1755586766836,60.2,-105.89,-18.7,811,772,825,872,884,34.48275862068966,-0.87,-0.482,-0.117
42788,1755586766866,60.2,-105.88,-18.68,807,771,838,871,873,33.333333333333336,-0.871,-0.485,-0.12
42817,1755586766895,60.28,-105.84,-18.66,816,769,832,872,879,34.48275862068966,-0.868,-0.483,-0.118
42847,1755586766925,60.23,-105.8,-18.68,814,769,833,869,885,33.333333333333336,-0.869,-0.483,-0.119
42877,1755586766955,60.21,-105.74,-18.66,809,773,832,873,881,33.333333333333336,-0.869,-0.484,-0.119
42906,1755586766984,60.29,-105.71,-18.65,805,771,827,873,880,34.48275862068966,-0.87,-0.484,-0.117
42936,1755586767014,60.26,-105.67,-18.64,810,772,836,866,882,33.333333333333336,-0.869,-0.484,-0.119
42966,1755586767044,60.27,-105.65,-18.63,812,780,826,874,882,33.333333333333336,-0.869,-0.483,-0.119
42995,1755586767073,60.26,-105.63,-18.65,812,765,834,866,884,34.48275862068966,-0.869,-0.484,-0.12
43025,1755586767103,60.2,-105.59,-18.65,811,762,836,867,884,33.333333333333336,-0.869,-0.486,-0.12
43054,1755586767132,60.27,-105.59,-18.63,811,765,834,864,878,34.48275862068966,-0.869,-0.487,-0.118
43084,1755586767162,60.33,-105.52,-18.61,810,779,835,876,885,33.333333333333336,-0.87,-0.483,-0.115
43113,1755586767192,60.3,-105.46,-18.61,809,772,837,866,878,34.48275862068966,-0.869,-0.482,-0.119
43143,1755586767221,60.27,-105.44,-18.62,811,768,841,867,874,33.333333333333336,-0.868,-0.483,-0.123
43173,1755586767251,60.25,-105.44,-18.63,805,766,833,870,874,33.333333333333336,-0.868,-0.485,-0.121
43203,1755586767281,60.23,-105.42,-18.63,810,770,824,877,878,33.333333333333336,-0.869,-0.486,-0.117
43232,1755586767310,60.28,-105.36,-18.6,805,771,833,877,885,34.48275862068966,-0.869,-0.485,-0.116
43262,1755586767340,60.33,-105.32,-18.58,809,763,835,873,879,33.333333333333336,-0.87,-0.483,-0.119
43291,1755586767369,60.25,-105.27,-18.59,819,768,824,871,868,34.48275862068966,-0.869,-0.484,-0.122
43321,1755586767399,60.22,-105.31,-18.57,808,770,832,878,884,33.333333333333336,-0.868,-0.487,-0.12
43351,1755586767429,60.3,-105.31,-18.56,810,776,826,869,872,33.333333333333336,-0.868,-0.485,-0.115
43380,1755586767459,60.24,-105.23,-18.56,810,762,823,871,879,34.48275862068966,-0.869,-0.484,-0.118
43410,1755586767488,60.26,-105.22,-18.53,810,774,830,873,888,33.333333333333336,-0.869,-0.486,-0.122
43440,1755586767518,60.33,-105.21,-18.52,814,763,835,871,882,33.333333333333336,-0.868,-0.486,-0.119
43469,1755586767548,60.24,-105.13,-18.54,806,769,833,868,896,34.48275862068966,-0.869,-0.484,-0.118
43499,1755586767577,60.21,-105.11,-18.55,812,769,829,871,872,33.333333333333336,-0.871,-0.484,-0.12
43529,1755586767607,60.35,-105.12,-18.52,807,769,830,869,871,33.333333333333336,-0.869,-0.485,-0.12
43558,1755586767636,60.33,-105.09,-18.52,814,769,827,875,881,34.48275862068966,-0.867,-0.485,-0.12
43588,1755586767666,60.23,-105.07,-18.54,811,771,839,870,882,33.333333333333336,-0.868,-0.484,-0.122
43608,1755586767686,60.2,-105.07,-18.56,812,766,841,870,873,50.0,-0.869,-0.483,-0.121
43637,1755586767716,60.24,-105.08,-18.55,810,764,822,873,878,34.48275862068966,-0.871,-0.482,-0.12
43667,1755586767745,60.21,-105.05,-18.54,809,773,831,867,877,33.333333333333336,-0.87,-0.482,-0.118
43697,1755586767775,60.15,-105.05,-18.56,810,760,833,875,864,33.333333333333336,-0.869,-0.485,-0.115
43726,1755586767805,60.17,-105.05,-18.55,809,768,828,874,873,34.48275862068966,-0.869,-0.485,-0.112
43756,1755586767835,60.17,-104.98,-18.54,815,778,830,878,878,33.333333333333336,-0.871,-0.483,-0.111
43786,1755586767864,60.11,-104.94,-18.53,815,769,836,873,873,33.333333333333336,-0.871,-0.484,-0.117
43816,1755586767894,60.12,-104.93,-18.54,805,765,827,878,882,33.333333333333336,-0.868,-0.484,-0.12
43846,1755586767923,60.1,-104.93,-18.57,807,784,829,869,876,33.333333333333336,-0.87,-0.485,-0.117
43875,1755586767953,59.96,-104.81,-18.55,824,763,833,873,878,34.48275862068966,-0.87,-0.485,-0.112
43905,1755586767983,59.96,-104.79,-18.57,805,772,819,875,893,33.333333333333336,-0.871,-0.485,-0.113
43934,1755586768012,60.07,-104.8,-18.56,810,765,832,877,885,34.48275862068966,-0.87,-0.484,-0.115
43964,1755586768042,60.04,-104.73,-18.57,808,768,822,873,881,33.333333333333336,-0.869,-0.484,-0.115
43994,1755586768072,59.99,-104.69,-18.58,807,772,839,875,879,33.333333333333336,-0.87,-0.485,-0.115
44023,1755586768101,60.07,-104.67,-18.56,812,772,817,867,889,34.48275862068966,-0.87,-0.486,-0.113
44053,1755586768131,60.03,-104.61,-18.56,809,766,821,870,900,33.333333333333336,-0.869,-0.485,-0.114
44083,1755586768160,59.95,-104.61,-18.58,804,775,837,866,877,33.333333333333336,-0.87,-0.485,-0.114
44112,1755586768190,59.96,-104.57,-18.56,808,777,830,870,890,34.48275862068966,-0.869,-0.484,-0.112
44142,1755586768220,59.99,-104.53,-18.54,810,768,830,876,878,33.333333333333336,-0.869,-0.486,-0.112
44171,1755586768249,59.98,-104.5,-18.54,804,777,825,866,881,34.48275862068966,-0.867,-0.486,-0.113
44201,1755586768279,59.96,-104.5,-18.55,813,765,835,870,875,33.333333333333336,-0.869,-0.484,-0.115
44230,1755586768309,59.95,-104.5,-18.55,812,758,825,884,876,34.48275862068966,-0.869,-0.484,-0.114
44260,1755586768338,59.97,-104.51,-18.56,808,766,842,879,880,33.333333333333336,-0.869,-0.486,-0.113
44290,1755586768368,59.92,-104.52,-18.57,812,776,843,876,883,33.333333333333336,-0.868,-0.487,-0.113
44319,1755586768397,59.93,-104.48,-18.56,808,765,830,860,876,34.48275862068966,-0.869,-0.487,-0.11
44349,1755586768427,59.97,-104.41,-18.54,805,760,831,872,876,33.333333333333336,-0.869,-0.486,-0.11
44378,1755586768456,59.96,-104.39,-18.55,809,765,826,869,882,34.48275862068966,-0.868,-0.484,-0.115
44408,1755586768486,59.94,-104.42,-18.56,816,767,826,866,880,33.333333333333336,-0.87,-0.485,-0.116
44437,1755586768515,59.95,-104.42,-18.56,809,772,825,879,883,34.48275862068966,-0.87,-0.487,-0.11
44467,1755586768545,59.95,-104.36,-18.56,807,772,824,876,873,33.333333333333336,-0.868,-0.488,-0.11
