timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
89518,1755586917585,12.29,63.2,32.01,793,830,801,818,801,33.333333333333336,-0.219,0.872,0.45
89547,1755586917614,12.3,63.25,32.01,797,828,794,818,802,34.48275862068966,-0.219,0.874,0.449
89576,1755586917643,12.29,63.29,32.04,799,833,796,822,810,34.48275862068966,-0.218,0.874,0.444
89606,1755586917673,12.29,63.28,32.07,790,836,786,822,800,33.333333333333336,-0.219,0.874,0.446
89635,1755586917703,12.33,63.25,32.11,797,834,791,817,799,34.48275862068966,-0.218,0.873,0.445
89656,1755586917723,12.33,63.23,32.15,799,829,781,820,819,47.61904761904762,-0.215,0.873,0.447
89685,1755586917753,12.32,63.26,32.15,798,842,791,820,813,34.48275862068966,-0.211,0.876,0.451
89715,1755586917782,12.34,63.31,32.12,798,834,788,821,812,33.333333333333336,-0.212,0.876,0.449
89744,1755586917812,12.36,63.31,32.14,800,831,791,821,806,34.48275862068966,-0.214,0.872,0.447
89774,1755586917841,12.37,63.33,32.15,794,842,799,813,810,33.333333333333336,-0.214,0.875,0.446
89804,1755586917871,12.37,63.33,32.15,798,825,786,812,810,33.333333333333336,-0.214,0.875,0.441
89833,1755586917900,12.36,63.29,32.14,798,842,804,818,809,34.48275862068966,-0.214,0.875,0.442
89862,1755586917930,12.39,63.27,32.13,799,836,787,822,807,34.48275862068966,-0.217,0.875,0.447
89892,1755586917959,12.42,63.31,32.15,797,832,801,819,844,33.333333333333336,-0.216,0.874,0.447
89921,1755586917988,12.42,63.29,32.18,800,836,789,818,812,34.48275862068966,-0.216,0.872,0.443
89951,1755586918018,12.4,63.26,32.19,793,843,789,822,805,33.333333333333336,-0.216,0.875,0.443
89980,1755586918048,12.42,63.27,32.2,795,827,793,813,805,34.48275862068966,-0.217,0.876,0.448
90000,1755586918067,12.45,63.29,32.19,802,834,803,814,810,50.0,-0.218,0.876,0.452
90029,1755586918097,12.49,63.34,32.24,794,836,794,820,821,34.48275862068966,-0.216,0.875,0.446
90059,1755586918127,12.49,63.32,32.26,796,830,784,821,813,33.333333333333336,-0.214,0.874,0.442
