timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
27612,1755586956131,20.8,-56.5,-13.06,777,880,779,815,840,34.48275862068966,-0.377,-0.777,0.503
27642,1755586956161,20.83,-56.46,-13.04,776,878,785,808,840,33.333333333333336,-0.379,-0.776,0.505
27671,1755586956190,20.81,-56.44,-13.01,770,886,779,799,839,34.48275862068966,-0.378,-0.773,0.501
27701,1755586956220,20.83,-56.55,-13.0,776,884,777,802,835,33.333333333333336,-0.377,-0.776,0.502
27730,1755586956249,20.81,-56.59,-12.96,778,874,783,808,835,34.48275862068966,-0.375,-0.776,0.504
27760,1755586956279,20.83,-56.57,-12.93,771,882,771,807,822,33.333333333333336,-0.373,-0.776,0.505
27790,1755586956309,20.83,-56.52,-12.91,781,881,772,808,835,33.333333333333336,-0.373,-0.775,0.504
27820,1755586956339,20.79,-56.64,-12.91,775,881,778,802,836,33.333333333333336,-0.371,-0.774,0.498
27849,1755586956369,20.75,-56.73,-12.93,778,887,773,808,829,34.48275862068966,-0.374,-0.777,0.499
27879,1755586956398,20.71,-56.69,-12.91,777,880,781,807,838,33.333333333333336,-0.374,-0.777,0.496
27909,1755586956428,20.7,-56.76,-12.91,772,880,779,809,837,33.333333333333336,-0.376,-0.78,0.501
27938,1755586956457,20.72,-56.77,-12.86,767,881,773,807,828,34.48275862068966,-0.377,-0.783,0.506
27967,1755586956487,20.86,-56.72,-12.77,770,884,777,807,837,34.48275862068966,-0.379,-0.785,0.51
27997,1755586956516,20.97,-56.54,-12.67,766,889,764,806,839,33.333333333333336,-0.376,-0.782,0.508
28027,1755586956546,21.04,-56.47,-12.61,775,872,776,794,828,33.333333333333336,-0.373,-0.776,0.504
28056,1755586956575,21.13,-56.45,-12.61,784,866,776,807,830,34.48275862068966,-0.374,-0.773,0.5
28086,1755586956605,21.07,-56.46,-12.66,775,873,777,811,832,33.333333333333336,-0.376,-0.771,0.497
28115,1755586956634,21.11,-56.48,-12.7,783,874,780,801,836,34.48275862068966,-0.379,-0.774,0.499
28145,1755586956664,21.12,-56.45,-12.7,776,864,772,813,832,33.333333333333336,-0.383,-0.777,0.502
28174,1755586956694,21.17,-56.43,-12.67,779,885,773,808,832,34.48275862068966,-0.383,-0.777,0.503
28204,1755586956723,21.23,-56.39,-12.64,782,895,778,807,833,33.333333333333336,-0.38,-0.777,0.504
28234,1755586956753,21.23,-56.3,-12.61,780,873,776,799,836,33.333333333333336,-0.377,-0.773,0.507
28263,1755586956782,21.21,-56.28,-12.64,774,883,770,802,837,34.48275862068966,-0.376,-0.769,0.507
28293,1755586956812,21.2,-56.26,-12.64,775,879,769,801,826,33.333333333333336,-0.376,-0.77,0.505
28323,1755586956842,21.24,-56.24,-12.63,780,881,778,810,834,33.333333333333336,-0.378,-0.774,0.504
28352,1755586956871,21.29,-56.18,-12.58,779,873,774,810,842,34.48275862068966,-0.379,-0.776,0.503
28382,1755586956901,21.35,-56.07,-12.53,780,878,771,803,842,33.333333333333336,-0.38,-0.775,0.504
28412,1755586956931,21.42,-55.96,-12.46,779,872,776,802,834,33.333333333333336,-0.381,-0.772,0.503
28441,1755586956960,21.42,-56.01,-12.49,777,885,774,802,835,34.48275862068966,-0.382,-0.77,0.502
28471,1755586956990,21.38,-56.08,-12.52,774,870,776,810,838,33.333333333333336,-0.384,-0.772,0.505
28501,1755586957019,21.36,-56.13,-12.52,773,871,767,816,850,33.333333333333336,-0.384,-0.772,0.506
28530,1755586957049,21.34,-56.15,-12.57,777,874,775,803,829,34.48275862068966,-0.383,-0.771,0.51
28559,1755586957079,21.22,-56.02,-12.64,775,884,771,810,825,34.48275862068966,-0.388,-0.762,0.512
28589,1755586957108,21.23,-55.95,-12.71,778,882,780,811,826,33.333333333333336,-0.387,-0.762,0.515
28619,1755586957138,21.2,-55.89,-12.77,768,878,778,801,831,33.333333333333336,-0.383,-0.774,0.517
28648,1755586957167,21.31,-55.75,-12.73,776,886,775,811,839,34.48275862068966,-0.378,-0.784,0.517
28678,1755586957197,21.42,-55.56,-12.63,773,877,779,805,838,33.333333333333336,-0.375,-0.78,0.516
28707,1755586957227,21.58,-55.6,-12.57,774,888,788,807,832,34.48275862068966,-0.375,-0.769,0.511
28737,1755586957257,21.73,-55.6,-12.52,777,871,780,794,831,33.333333333333336,-0.376,-0.764,0.512
28757,1755586957276,21.8,-55.57,-12.5,767,878,768,810,832,50.0,-0.374,-0.763,0.512
28787,1755586957306,21.81,-55.56,-12.53,773,886,769,801,833,33.333333333333336,-0.376,-0.765,0.51
28816,1755586957335,21.65,-55.67,-12.57,776,882,777,806,833,34.48275862068966,-0.381,-0.763,0.508
28846,1755586957364,21.47,-55.78,-12.62,780,882,767,814,842,33.333333333333336,-0.384,-0.768,0.51
28875,1755586957394,21.44,-55.75,-12.59,776,877,779,809,817,34.48275862068966,-0.388,-0.773,0.514
28904,1755586957424,21.26,-55.68,-12.57,772,870,778,799,838,34.48275862068966,-0.388,-0.775,0.515
28934,1755586957453,21.23,-55.61,-12.49,776,886,775,810,837,33.333333333333336,-0.384,-0.775,0.517
28964,1755586957483,21.19,-55.5,-12.43,781,879,775,804,828,33.333333333333336,-0.382,-0.773,0.52
28994,1755586957512,21.17,-55.38,-12.37,773,877,774,810,839,33.333333333333336,-0.376,-0.767,0.515
29023,1755586957542,21.12,-55.37,-12.34,776,881,778,809,832,34.48275862068966,-0.374,-0.766,0.516
29053,1755586957572,21.09,-55.27,-12.3,780,878,774,808,832,33.333333333333336,-0.375,-0.765,0.518
29082,1755586957601,21.02,-55.07,-12.3,777,873,777,805,836,34.48275862068966,-0.375,-0.762,0.52
29112,1755586957631,20.93,-54.83,-12.31,773,864,781,807,831,33.333333333333336,-0.376,-0.759,0.525
29142,1755586957661,20.91,-54.79,-12.31,777,884,776,805,828,33.333333333333336,-0.376,-0.753,0.524
29171,1755586957690,21.06,-54.79,-12.24,775,876,781,811,838,34.48275862068966,-0.378,-0.753,0.531
29201,1755586957720,21.15,-54.68,-12.21,777,865,766,800,833,33.333333333333336,-0.378,-0.755,0.534
29230,1755586957750,21.21,-54.57,-12.2,780,868,771,804,837,34.48275862068966,-0.377,-0.753,0.534
29260,1755586957779,21.18,-54.59,-12.24,771,878,781,805,834,33.333333333333336,-0.379,-0.753,0.534
