timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
72602,1755587084120,61.28,-98.65,-33.54,772,769,774,750,879,50.0,-0.881,-0.479,-0.07
72632,1755587084151,61.3,-98.68,-33.57,768,773,776,746,881,33.333333333333336,-0.878,-0.477,-0.069
72652,1755587084171,61.28,-98.64,-33.58,774,771,770,747,876,50.0,-0.877,-0.476,-0.067
72672,1755587084191,61.28,-98.64,-33.6,769,775,772,747,884,50.0,-0.876,-0.478,-0.069
72702,1755587084221,61.3,-98.6,-33.61,768,774,774,750,886,33.333333333333336,-0.877,-0.479,-0.072
72732,1755587084250,61.32,-98.68,-33.62,771,777,769,750,875,33.333333333333336,-0.879,-0.481,-0.071
72762,1755587084280,61.33,-98.68,-33.63,764,775,774,748,878,33.333333333333336,-0.876,-0.479,-0.07
72791,1755587084310,61.37,-98.81,-33.67,773,767,776,752,888,34.48275862068966,-0.875,-0.48,-0.073
72821,1755587084340,61.38,-98.84,-33.7,769,774,771,753,887,33.333333333333336,-0.873,-0.48,-0.072
72851,1755587084370,61.41,-98.76,-33.69,766,777,771,747,878,33.333333333333336,-0.874,-0.479,-0.068
72881,1755587084400,61.37,-98.72,-33.71,769,770,773,750,869,33.333333333333336,-0.876,-0.483,-0.07
72911,1755587084430,61.41,-98.72,-33.69,766,784,772,748,882,33.333333333333336,-0.878,-0.485,-0.072
72941,1755587084460,61.41,-98.69,-33.67,766,772,772,747,881,33.333333333333336,-0.874,-0.483,-0.074
72961,1755587084480,61.42,-98.7,-33.68,769,767,784,752,882,50.0,-0.872,-0.48,-0.074
72991,1755587084510,61.34,-98.69,-33.7,765,788,770,749,865,33.333333333333336,-0.871,-0.481,-0.077
73021,1755587084540,61.27,-98.74,-33.77,771,772,772,755,893,33.333333333333336,-0.869,-0.481,-0.079
73051,1755587084569,61.24,-98.82,-33.88,768,776,776,750,876,33.333333333333336,-0.868,-0.479,-0.074
73081,1755587084599,61.2,-98.74,-33.92,773,767,775,754,886,33.333333333333336,-0.872,-0.48,-0.071
73101,1755587084619,61.19,-98.67,-33.93,765,774,777,751,875,50.0,-0.876,-0.483,-0.072
73131,1755587084649,61.17,-98.65,-33.93,769,775,774,742,910,33.333333333333336,-0.879,-0.486,-0.071
73161,1755587084679,61.19,-98.64,-33.9,771,770,770,749,883,33.333333333333336,-0.878,-0.486,-0.072
73190,1755587084709,61.24,-98.61,-33.87,772,771,773,747,868,34.48275862068966,-0.875,-0.484,-0.071
73220,1755587084739,61.23,-98.51,-33.87,767,776,769,746,868,33.333333333333336,-0.873,-0.484,-0.07
73250,1755587084769,61.22,-98.55,-33.89,767,770,771,744,885,33.333333333333336,-0.874,-0.484,-0.074
73280,1755587084799,61.24,-98.58,-33.88,776,769,770,750,872,33.333333333333336,-0.876,-0.485,-0.074
73310,1755587084829,61.29,-98.58,-33.88,768,775,771,748,870,33.333333333333336,-0.875,-0.484,-0.071
73330,1755587084849,61.28,-98.55,-33.87,770,772,770,747,883,50.0,-0.874,-0.484,-0.068
73360,1755587084879,61.28,-98.58,-33.88,767,772,766,743,886,33.333333333333336,-0.874,-0.485,-0.071
73390,1755587084909,61.28,-98.57,-33.86,768,768,773,753,882,33.333333333333336,-0.877,-0.485,-0.069
73410,1755587084929,61.24,-98.54,-33.85,768,779,771,753,880,50.0,-0.874,-0.483,-0.07
73440,1755587084959,61.33,-98.53,-33.85,766,765,774,741,869,33.333333333333336,-0.876,-0.485,-0.072
73470,1755587084989,61.34,-98.5,-33.81,767,757,774,749,887,33.333333333333336,-0.876,-0.483,-0.073
73490,1755587085009,61.35,-98.49,-33.8,774,764,775,753,872,50.0,-0.876,-0.482,-0.07
73520,1755587085039,61.29,-98.47,-33.81,766,775,775,749,875,33.333333333333336,-0.873,-0.481,-0.069
73540,1755587085059,61.26,-98.44,-33.83,771,771,769,750,888,50.0,-0.871,-0.483,-0.073
73570,1755587085089,61.29,-98.46,-33.84,771,780,778,749,886,33.333333333333336,-0.874,-0.483,-0.077
73600,1755587085118,61.25,-98.55,-33.87,772,780,773,748,870,33.333333333333336,-0.875,-0.482,-0.075
73629,1755587085148,61.22,-98.62,-33.93,775,769,774,751,880,34.48275862068966,-0.872,-0.482,-0.075
73650,1755587085168,61.21,-98.63,-33.94,772,773,766,744,874,47.61904761904762,-0.871,-0.484,-0.076
73679,1755587085198,61.21,-98.68,-33.97,777,771,772,751,879,34.48275862068966,-0.873,-0.484,-0.074
73709,1755587085228,61.22,-98.68,-33.98,772,780,774,748,881,33.333333333333336,-0.874,-0.484,-0.074
73739,1755587085258,61.23,-98.59,-33.97,778,775,775,750,881,33.333333333333336,-0.875,-0.484,-0.072
73769,1755587085288,61.2,-98.55,-33.96,772,766,771,746,883,33.333333333333336,-0.874,-0.487,-0.074
73799,1755587085318,61.2,-98.52,-33.94,768,760,774,747,896,33.333333333333336,-0.873,-0.488,-0.075
73829,1755587085348,61.21,-98.56,-33.95,765,770,774,747,877,33.333333333333336,-0.871,-0.487,-0.075
73849,1755587085368,61.21,-98.54,-33.93,759,774,773,752,881,50.0,-0.873,-0.486,-0.074
73879,1755587085398,61.24,-98.53,-33.92,769,773,774,745,877,33.333333333333336,-0.874,-0.485,-0.076
73909,1755587085428,61.28,-98.56,-33.91,769,766,771,754,882,33.333333333333336,-0.875,-0.485,-0.076
