timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
52618,1755587161524,10.23,60.64,69.09,822,895,867,879,883,34.48275862068966,-0.223,0.844,0.5
52648,1755587161554,10.19,60.61,69.18,816,883,864,883,874,33.333333333333336,-0.222,0.844,0.497
52677,1755587161583,10.23,60.55,69.17,819,888,848,877,888,34.48275862068966,-0.22,0.846,0.501
52706,1755587161612,10.21,60.52,69.17,824,885,872,879,881,34.48275862068966,-0.218,0.844,0.499
52736,1755587161642,10.17,60.49,69.25,816,884,852,879,884,33.333333333333336,-0.22,0.847,0.5
52765,1755587161671,10.17,60.48,69.25,824,880,868,878,884,34.48275862068966,-0.22,0.848,0.506
52795,1755587161701,10.16,60.49,69.25,816,876,854,886,884,33.333333333333336,-0.221,0.844,0.506
52824,1755587161730,10.14,60.47,69.3,823,898,860,891,882,34.48275862068966,-0.222,0.842,0.499
52854,1755587161760,10.11,60.42,69.32,819,884,846,885,883,33.333333333333336,-0.222,0.842,0.502
52883,1755587161789,10.12,60.4,69.33,821,890,863,894,883,34.48275862068966,-0.223,0.845,0.505
52913,1755587161819,10.13,60.41,69.38,823,891,850,880,883,33.333333333333336,-0.222,0.842,0.507
52942,1755587161848,10.17,60.44,69.39,821,887,860,885,891,34.48275862068966,-0.22,0.842,0.504
52971,1755587161877,10.18,60.41,69.37,821,885,857,879,873,34.48275862068966,-0.219,0.839,0.5
53001,1755587161907,10.18,60.37,69.42,818,885,857,876,888,33.333333333333336,-0.222,0.841,0.498
53030,1755587161936,10.17,60.34,69.48,815,892,853,877,893,34.48275862068966,-0.216,0.844,0.499
53060,1755587161966,10.21,60.29,69.36,819,889,845,898,891,33.333333333333336,-0.22,0.842,0.501
53089,1755587161996,10.21,60.32,69.45,824,886,853,879,879,34.48275862068966,-0.223,0.84,0.502
53119,1755587162025,10.18,60.32,69.53,818,876,853,884,887,33.333333333333336,-0.223,0.842,0.508
53149,1755587162055,10.25,60.51,69.56,820,886,851,882,883,33.333333333333336,-0.224,0.844,0.517
53178,1755587162085,10.27,60.71,69.59,814,889,863,887,899,34.48275862068966,-0.223,0.838,0.511
53208,1755587162114,10.29,60.91,69.72,824,893,860,880,890,33.333333333333336,-0.226,0.833,0.51
53237,1755587162144,10.29,61.05,69.93,817,893,858,876,875,34.48275862068966,-0.227,0.842,0.502
53267,1755587162173,10.3,61.17,70.1,815,884,860,880,884,33.333333333333336,-0.224,0.837,0.509
53297,1755587162203,10.41,61.62,70.25,822,897,860,878,882,33.333333333333336,-0.225,0.843,0.509
53326,1755587162232,10.52,62.04,70.53,822,887,851,879,885,34.48275862068966,-0.224,0.844,0.495
53356,1755587162262,10.44,62.42,70.73,824,896,863,888,895,33.333333333333336,-0.216,0.846,0.486
53385,1755587162291,10.51,62.68,70.81,825,888,846,877,875,34.48275862068966,-0.214,0.858,0.479
53414,1755587162321,10.48,62.93,70.84,825,893,854,880,904,34.48275862068966,-0.207,0.861,0.472
53444,1755587162350,10.46,62.76,70.84,819,891,861,883,882,33.333333333333336,-0.207,0.859,0.467
53473,1755587162379,10.36,62.68,70.91,830,890,857,873,890,34.48275862068966,-0.204,0.858,0.466
53503,1755587162408,10.33,62.73,70.91,818,881,857,881,879,33.333333333333336,-0.208,0.866,0.468
53532,1755587162438,10.34,62.75,70.92,830,894,861,885,892,34.48275862068966,-0.209,0.864,0.46
53561,1755587162468,10.33,62.71,70.97,821,887,854,887,885,34.48275862068966,-0.211,0.865,0.458
53591,1755587162497,10.29,62.74,71.02,818,891,841,879,884,33.333333333333336,-0.207,0.867,0.461
53620,1755587162527,10.24,62.69,71.05,819,885,858,892,885,34.48275862068966,-0.204,0.87,0.455
53650,1755587162556,10.11,62.5,71.03,821,892,855,880,900,33.333333333333336,-0.203,0.868,0.456
53679,1755587162585,10.08,62.41,71.0,817,885,853,879,889,34.48275862068966,-0.209,0.869,0.463
53709,1755587162615,10.01,62.36,71.02,822,885,853,881,883,33.333333333333336,-0.212,0.87,0.464
53738,1755587162644,9.96,62.2,71.04,825,886,858,887,885,34.48275862068966,-0.211,0.866,0.465
53768,1755587162674,9.94,62.13,71.06,817,883,839,871,886,33.333333333333336,-0.21,0.863,0.468
53797,1755587162703,9.94,62.04,71.06,823,881,855,883,878,34.48275862068966,-0.21,0.864,0.466
53827,1755587162732,9.88,61.83,71.04,818,887,853,888,878,33.333333333333336,-0.208,0.865,0.468
53856,1755587162762,9.86,61.81,71.02,823,885,849,888,888,34.48275862068966,-0.207,0.864,0.477
53885,1755587162791,9.9,61.83,71.02,824,878,851,885,883,34.48275862068966,-0.211,0.858,0.481
53915,1755587162821,9.93,61.75,71.06,816,885,847,865,870,33.333333333333336,-0.212,0.856,0.477
53945,1755587162850,9.91,61.8,71.12,818,888,849,883,877,33.333333333333336,-0.21,0.86,0.48
53974,1755587162880,9.96,61.73,71.07,820,883,854,880,880,34.48275862068966,-0.209,0.86,0.481
54003,1755587162909,9.99,61.75,71.06,817,882,850,884,888,34.48275862068966,-0.209,0.86,0.48
54033,1755587162939,9.96,61.7,71.04,822,900,855,889,889,33.333333333333336,-0.207,0.861,0.472
54062,1755587162968,9.9,61.39,70.98,816,882,857,877,909,34.48275862068966,-0.209,0.854,0.477
54092,1755587162998,9.92,61.3,70.94,826,894,851,885,885,33.333333333333336,-0.219,0.858,0.489
54121,1755587163027,9.96,61.35,70.99,826,883,863,887,886,34.48275862068966,-0.22,0.854,0.488
54151,1755587163057,9.97,61.3,71.07,819,882,848,884,882,33.333333333333336,-0.218,0.852,0.485
54180,1755587163086,10.01,61.23,71.11,824,886,851,873,902,34.48275862068966,-0.212,0.851,0.491
54210,1755587163116,10.03,61.25,71.09,826,889,856,884,886,33.333333333333336,-0.211,0.853,0.492
54239,1755587163145,10.02,61.26,71.1,819,885,849,879,886,34.48275862068966,-0.212,0.852,0.492
54269,1755587163175,10.03,61.24,71.13,822,894,859,883,886,33.333333333333336,-0.214,0.852,0.489
54298,1755587163205,10.01,61.14,71.17,822,876,849,885,882,34.48275862068966,-0.216,0.851,0.488
54328,1755587163234,9.98,61.11,71.26,823,884,857,884,891,33.333333333333336,-0.216,0.849,0.495
54357,1755587163263,10.03,61.12,71.27,818,888,863,894,894,34.48275862068966,-0.213,0.85,0.494
54387,1755587163293,10.04,61.06,71.25,827,882,852,884,883,33.333333333333336,-0.212,0.851,0.486
54416,1755587163322,9.99,60.91,71.26,812,884,854,887,883,34.48275862068966,-0.213,0.849,0.486
54446,1755587163352,10.01,60.82,71.25,822,883,861,876,872,33.333333333333336,-0.219,0.848,0.497
