timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
16946,1755587204191,53.16,-2.84,101.5,782,906,843,877,890,33.333333333333336,-0.999,-0.025,0.08
16976,1755587204220,53.22,-3.12,101.69,782,903,836,883,899,33.333333333333336,-0.998,-0.026,0.079
17005,1755587204250,53.25,-3.39,101.94,777,916,834,871,885,34.48275862068966,-1.002,-0.026,0.08
17035,1755587204280,53.24,-3.71,102.2,784,906,841,881,884,33.333333333333336,-1.002,-0.025,0.08
17065,1755587204310,53.3,-4.06,102.46,782,908,835,887,894,33.333333333333336,-0.999,-0.026,0.08
17095,1755587204340,53.33,-4.33,102.72,777,905,827,883,888,33.333333333333336,-1.001,-0.03,0.084
17125,1755587204370,53.31,-4.47,102.96,785,913,837,879,893,33.333333333333336,-1.003,-0.028,0.083
17145,1755587204390,53.51,-4.66,103.15,778,905,838,877,895,50.0,-1.001,-0.027,0.083
17165,1755587204410,53.72,-4.94,103.32,778,912,836,877,893,50.0,-1.0,-0.028,0.081
17195,1755587204439,53.79,-5.17,103.57,779,909,839,874,878,33.333333333333336,-1.003,-0.031,0.084
17224,1755587204469,53.76,-5.43,103.83,772,910,845,885,888,34.48275862068966,-1.002,-0.029,0.081
17254,1755587204499,53.82,-5.69,104.07,782,897,832,868,908,33.333333333333336,-1.002,-0.031,0.082
17284,1755587204529,53.78,-5.95,104.37,779,907,833,881,895,33.333333333333336,-1.004,-0.031,0.082
17314,1755587204559,53.8,-6.17,104.61,781,902,820,880,886,33.333333333333336,-1.0,-0.029,0.079
17343,1755587204588,53.79,-6.42,104.82,788,910,839,882,891,34.48275862068966,-0.999,-0.029,0.081
17373,1755587204618,53.76,-6.66,105.09,776,901,835,874,892,33.333333333333336,-1.0,-0.03,0.08
17403,1755587204648,53.86,-7.01,105.25,783,901,858,872,889,33.333333333333336,-0.997,-0.03,0.077
17433,1755587204677,54.01,-7.29,105.39,777,900,834,874,895,33.333333333333336,-0.999,-0.032,0.08
17462,1755587204707,53.96,-7.59,105.63,782,905,851,871,891,34.48275862068966,-1.0,-0.03,0.077
17492,1755587204737,54.04,-8.18,105.76,775,901,832,876,892,33.333333333333336,-0.998,-0.033,0.071
