timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
42070,1755587305401,13.74,59.42,-10.8,787,778,768,852,864,34.48275862068966,-0.242,0.845,0.504
42100,1755587305431,13.76,59.46,-10.75,783,774,770,852,872,33.333333333333336,-0.24,0.844,0.496
42129,1755587305460,13.81,59.44,-10.75,787,770,768,846,873,34.48275862068966,-0.238,0.843,0.492
42159,1755587305489,13.93,59.47,-10.83,791,777,773,851,879,33.333333333333336,-0.238,0.847,0.496
42188,1755587305519,14.01,59.29,-10.95,797,780,774,853,864,34.48275862068966,-0.239,0.848,0.492
42217,1755587305548,14.02,59.07,-11.02,792,775,772,834,870,34.48275862068966,-0.233,0.834,0.494
42247,1755587305577,14.07,59.1,-11.09,789,770,769,847,861,33.333333333333336,-0.24,0.845,0.496
42276,1755587305607,14.04,59.05,-11.12,790,776,774,842,867,34.48275862068966,-0.244,0.848,0.49
42306,1755587305637,13.94,58.96,-11.14,800,781,770,845,889,33.333333333333336,-0.243,0.84,0.493
42335,1755587305666,13.96,58.93,-11.13,794,771,770,838,866,34.48275862068966,-0.242,0.842,0.5
42365,1755587305696,13.53,59.17,-11.09,793,782,771,847,869,33.333333333333336,-0.246,0.851,0.499
42394,1755587305725,13.52,59.33,-11.02,794,770,776,845,879,34.48275862068966,-0.242,0.837,0.498
42424,1755587305755,13.53,59.29,-10.99,793,773,767,852,864,33.333333333333336,-0.24,0.834,0.495
42453,1755587305785,13.45,59.34,-10.91,790,780,778,845,876,34.48275862068966,-0.242,0.844,0.492
42483,1755587305814,13.44,59.24,-10.98,795,777,774,844,862,33.333333333333336,-0.239,0.839,0.492
42513,1755587305843,13.47,59.32,-10.97,791,784,780,846,869,33.333333333333336,-0.241,0.843,0.496
42542,1755587305873,13.41,59.41,-10.9,795,783,773,847,869,34.48275862068966,-0.239,0.847,0.495
42572,1755587305903,13.39,59.34,-10.88,787,776,770,851,861,33.333333333333336,-0.238,0.84,0.491
42601,1755587305932,13.42,59.36,-10.89,791,781,776,844,865,34.48275862068966,-0.24,0.839,0.5
42631,1755587305961,13.43,59.46,-10.85,793,779,765,845,867,33.333333333333336,-0.243,0.846,0.499
42660,1755587305991,13.38,59.49,-10.8,784,774,770,844,866,34.48275862068966,-0.238,0.842,0.491
42690,1755587306020,13.35,59.45,-10.76,797,780,772,839,866,33.333333333333336,-0.234,0.838,0.492
42719,1755587306050,13.34,59.53,-10.73,793,778,766,851,873,34.48275862068966,-0.237,0.849,0.498
42748,1755587306079,13.33,59.44,-10.79,790,777,769,843,871,34.48275862068966,-0.234,0.84,0.497
42778,1755587306109,13.29,59.44,-10.79,788,778,772,851,857,33.333333333333336,-0.234,0.839,0.496
42807,1755587306138,13.27,59.4,-10.81,804,788,776,837,869,34.48275862068966,-0.234,0.845,0.496
42837,1755587306167,13.25,59.38,-10.84,791,775,770,841,868,33.333333333333336,-0.235,0.845,0.495
42866,1755587306197,13.17,59.27,-10.82,787,773,776,845,868,34.48275862068966,-0.232,0.837,0.498
42896,1755587306226,13.15,59.23,-10.83,789,783,777,841,859,33.333333333333336,-0.232,0.844,0.497
42925,1755587306256,13.18,59.18,-10.92,783,775,773,839,870,34.48275862068966,-0.232,0.842,0.498
42954,1755587306285,13.2,59.17,-10.93,793,780,771,842,866,34.48275862068966,-0.234,0.842,0.5
42984,1755587306315,13.17,59.13,-10.93,795,772,770,841,876,33.333333333333336,-0.233,0.843,0.498
43013,1755587306344,13.12,59.07,-10.93,797,772,773,848,863,34.48275862068966,-0.231,0.842,0.498
43043,1755587306373,13.07,59.02,-10.94,799,774,773,837,869,33.333333333333336,-0.228,0.838,0.503
43072,1755587306403,13.08,59.09,-10.94,799,771,777,842,859,34.48275862068966,-0.229,0.84,0.506
43101,1755587306432,13.11,59.16,-10.98,788,769,773,852,875,34.48275862068966,-0.23,0.845,0.503
43131,1755587306462,13.1,59.17,-10.99,790,784,775,849,868,33.333333333333336,-0.227,0.839,0.501
43160,1755587306491,13.09,59.15,-11.02,792,778,772,845,867,34.48275862068966,-0.228,0.84,0.501
43190,1755587306520,13.07,59.09,-11.05,791,781,769,843,862,33.333333333333336,-0.231,0.843,0.498
43219,1755587306550,13.03,59.03,-11.06,786,778,773,835,871,34.48275862068966,-0.23,0.837,0.503
43249,1755587306579,13.05,59.1,-11.05,790,795,771,861,868,33.333333333333336,-0.232,0.842,0.508
43278,1755587306609,13.05,59.15,-11.04,791,772,766,842,866,34.48275862068966,-0.23,0.842,0.506
43308,1755587306638,13.01,59.15,-11.05,788,785,774,848,867,33.333333333333336,-0.229,0.837,0.501
43337,1755587306668,12.98,59.08,-11.04,792,782,773,839,861,34.48275862068966,-0.221,0.837,0.504
43366,1755587306697,13.01,59.13,-11.07,798,777,772,850,866,34.48275862068966,-0.225,0.843,0.507
43396,1755587306726,13.07,59.16,-11.1,792,776,778,849,872,33.333333333333336,-0.226,0.841,0.507
43425,1755587306756,13.07,59.56,-11.08,792,776,775,848,863,34.48275862068966,-0.226,0.837,0.507
43455,1755587306786,13.06,59.56,-11.04,791,778,768,845,867,33.333333333333336,-0.223,0.84,0.505
43484,1755587306815,13.07,59.52,-11.11,788,771,776,851,868,34.48275862068966,-0.224,0.846,0.499
43514,1755587306844,13.05,59.58,-11.13,781,778,774,843,865,33.333333333333336,-0.222,0.842,0.504
43543,1755587306874,13.05,59.59,-11.14,795,776,767,838,859,34.48275862068966,-0.224,0.841,0.505
43573,1755587306904,13.0,59.52,-11.16,793,779,770,839,859,33.333333333333336,-0.225,0.844,0.498
43602,1755587306933,12.9,59.36,-11.24,794,770,772,840,866,34.48275862068966,-0.224,0.839,0.497
43632,1755587306963,12.86,59.29,-11.23,781,781,775,845,866,33.333333333333336,-0.226,0.842,0.503
43662,1755587306993,12.89,59.3,-11.29,802,772,769,851,870,33.333333333333336,-0.227,0.843,0.508
43691,1755587307022,12.92,59.29,-11.31,799,767,768,843,864,34.48275862068966,-0.23,0.841,0.507
43721,1755587307052,12.85,59.2,-11.29,786,800,778,839,876,33.333333333333336,-0.229,0.839,0.502
43750,1755587307081,12.84,59.11,-11.31,795,779,769,838,872,34.48275862068966,-0.225,0.836,0.504
43780,1755587307111,12.81,59.0,-11.35,789,775,761,848,877,33.333333333333336,-0.225,0.84,0.505
43809,1755587307140,12.85,59.02,-11.41,789,782,774,852,862,34.48275862068966,-0.228,0.841,0.507
43839,1755587307170,12.87,59.01,-11.42,787,782,771,852,863,33.333333333333336,-0.227,0.836,0.51
43868,1755587307199,12.87,59.0,-11.44,788,771,769,840,867,34.48275862068966,-0.227,0.837,0.508
43897,1755587307228,12.82,59.06,-11.39,794,788,781,842,865,34.48275862068966,-0.225,0.839,0.509
43927,1755587307257,12.84,59.15,-11.41,793,781,773,838,860,33.333333333333336,-0.223,0.839,0.512
43956,1755587307287,12.88,59.15,-11.45,785,777,770,845,870,34.48275862068966,-0.226,0.841,0.51
43986,1755587307316,12.87,59.14,-11.45,789,782,778,849,877,33.333333333333336,-0.225,0.837,0.507
44015,1755587307346,12.86,59.07,-11.46,789,776,774,836,860,34.48275862068966,-0.221,0.834,0.508
44044,1755587307375,12.91,59.19,-11.49,791,773,767,844,865,34.48275862068966,-0.226,0.842,0.513
44074,1755587307405,12.96,59.24,-11.51,784,777,766,853,862,33.333333333333336,-0.228,0.841,0.511
44104,1755587307435,12.97,59.23,-11.51,797,779,763,839,871,33.333333333333336,-0.227,0.838,0.504
44133,1755587307464,12.95,59.21,-11.52,791,772,770,838,863,34.48275862068966,-0.226,0.841,0.502
44163,1755587307494,12.91,59.13,-11.5,790,788,777,836,867,33.333333333333336,-0.224,0.841,0.504
44193,1755587307523,12.94,59.14,-11.59,798,774,775,843,861,33.333333333333336,-0.224,0.84,0.509
44222,1755587307553,12.95,59.19,-11.61,800,774,774,840,854,34.48275862068966,-0.228,0.841,0.511
44251,1755587307582,12.92,59.19,-11.59,792,775,769,842,865,34.48275862068966,-0.227,0.839,0.506
44281,1755587307612,12.92,59.17,-11.61,783,780,762,839,860,33.333333333333336,-0.224,0.835,0.507
44310,1755587307641,12.89,59.09,-11.62,793,776,769,847,853,34.48275862068966,-0.223,0.835,0.51
44340,1755587307671,12.92,59.17,-11.67,793,770,773,846,867,33.333333333333336,-0.226,0.839,0.509
44370,1755587307700,12.5,59.17,-11.72,794,777,774,848,861,33.333333333333336,-0.228,0.838,0.507
