timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
53349,1755587400326,50.91,-80.31,-33.38,773,778,764,816,846,34.48275862068966,-0.776,-0.624,0.107
53379,1755587400356,50.91,-80.33,-33.39,780,777,765,822,837,33.333333333333336,-0.774,-0.62,0.106
53408,1755587400386,50.92,-80.31,-33.42,773,770,764,824,846,34.48275862068966,-0.777,-0.618,0.107
53438,1755587400415,50.93,-80.25,-33.42,778,775,764,818,847,33.333333333333336,-0.779,-0.619,0.108
53467,1755587400445,50.92,-80.23,-33.41,777,775,773,818,847,34.48275862068966,-0.776,-0.622,0.105
53497,1755587400474,50.93,-80.28,-33.41,772,779,764,816,844,33.333333333333336,-0.773,-0.623,0.103
53527,1755587400504,50.93,-80.3,-33.43,775,773,775,813,832,33.333333333333336,-0.774,-0.621,0.112
53556,1755587400533,50.95,-80.24,-33.45,775,772,767,814,844,34.48275862068966,-0.778,-0.62,0.112
53586,1755587400563,50.95,-80.27,-33.43,784,779,770,824,846,33.333333333333336,-0.776,-0.624,0.108
53615,1755587400592,50.99,-80.26,-33.4,777,774,767,817,843,34.48275862068966,-0.773,-0.625,0.107
53645,1755587400622,50.98,-80.25,-33.41,776,754,765,811,844,33.333333333333336,-0.773,-0.621,0.109
53674,1755587400652,50.96,-80.26,-33.43,779,777,771,821,849,34.48275862068966,-0.776,-0.618,0.11
53695,1755587400672,50.99,-80.26,-33.43,776,782,768,814,836,47.61904761904762,-0.78,-0.62,0.11
53725,1755587400702,50.98,-80.2,-33.41,774,777,774,819,843,33.333333333333336,-0.778,-0.622,0.108
53754,1755587400731,50.96,-80.24,-33.41,776,774,768,812,845,34.48275862068966,-0.774,-0.621,0.105
53784,1755587400761,51.0,-80.29,-33.43,785,775,773,825,844,33.333333333333336,-0.777,-0.62,0.107
53813,1755587400791,50.93,-80.25,-33.44,779,776,774,821,843,34.48275862068966,-0.779,-0.619,0.108
53843,1755587400820,50.92,-80.2,-33.45,778,772,768,813,848,33.333333333333336,-0.778,-0.621,0.108
53872,1755587400850,50.94,-80.22,-33.43,776,768,773,825,840,34.48275862068966,-0.777,-0.623,0.105
53892,1755587400870,50.91,-80.26,-33.42,777,774,769,818,839,50.0,-0.775,-0.622,0.102
53922,1755587400899,50.87,-80.32,-33.45,766,779,767,819,848,33.333333333333336,-0.776,-0.618,0.103
53952,1755587400929,50.81,-80.31,-33.49,772,772,768,820,845,33.333333333333336,-0.778,-0.619,0.11
53981,1755587400959,50.79,-80.3,-33.49,778,776,765,817,844,34.48275862068966,-0.777,-0.625,0.109
54011,1755587400988,50.84,-80.28,-33.47,780,779,769,815,837,33.333333333333336,-0.772,-0.626,0.108
54040,1755587401018,50.8,-80.28,-33.48,781,774,769,815,840,34.48275862068966,-0.772,-0.625,0.109
54070,1755587401047,50.8,-80.24,-33.47,778,771,773,813,846,33.333333333333336,-0.775,-0.625,0.108
54099,1755587401077,50.8,-80.29,-33.44,770,768,771,820,843,34.48275862068966,-0.776,-0.624,0.103
54129,1755587401106,50.83,-80.32,-33.42,777,779,769,818,840,33.333333333333336,-0.775,-0.622,0.106
54159,1755587401136,50.8,-80.25,-33.44,782,775,775,817,839,33.333333333333336,-0.775,-0.621,0.11
54188,1755587401166,50.75,-80.22,-33.45,784,771,773,810,842,34.48275862068966,-0.777,-0.621,0.109
54218,1755587401196,50.83,-80.27,-33.43,780,769,762,819,849,33.333333333333336,-0.778,-0.622,0.109
54248,1755587401226,50.85,-80.22,-33.42,776,772,766,821,840,33.333333333333336,-0.776,-0.621,0.111
54268,1755587401245,50.81,-80.17,-33.41,775,768,765,826,848,50.0,-0.775,-0.62,0.11
54298,1755587401275,50.83,-80.17,-33.42,771,771,768,818,841,33.333333333333336,-0.776,-0.619,0.108
54327,1755587401304,50.9,-80.23,-33.42,776,783,768,822,843,34.48275862068966,-0.778,-0.62,0.111
54357,1755587401334,50.9,-80.17,-33.41,777,774,772,813,845,33.333333333333336,-0.776,-0.618,0.11
54386,1755587401363,50.88,-80.18,-33.43,773,778,768,824,841,34.48275862068966,-0.778,-0.62,0.108
54416,1755587401393,50.9,-80.23,-33.42,785,783,772,816,847,33.333333333333336,-0.778,-0.622,0.107
54446,1755587401423,50.89,-80.21,-33.4,774,771,772,817,838,33.333333333333336,-0.776,-0.621,0.11
54475,1755587401452,50.91,-80.19,-33.41,776,777,766,815,828,34.48275862068966,-0.775,-0.62,0.11
54505,1755587401482,50.91,-80.18,-33.42,776,771,768,823,846,33.333333333333336,-0.776,-0.619,0.109
54534,1755587401511,50.91,-80.15,-33.42,779,779,775,821,838,34.48275862068966,-0.778,-0.621,0.109
54564,1755587401541,50.9,-80.15,-33.41,777,771,766,821,850,33.333333333333336,-0.775,-0.622,0.105
54593,1755587401570,50.93,-80.16,-33.41,776,768,771,811,853,34.48275862068966,-0.776,-0.62,0.106
54623,1755587401600,50.9,-80.21,-33.42,778,779,766,834,839,33.333333333333336,-0.777,-0.619,0.109
54652,1755587401629,50.92,-80.2,-33.42,775,773,769,814,845,34.48275862068966,-0.778,-0.62,0.108
