timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
66365,1755587494205,22.71,2.57,144.81,777,781,770,810,842,33.333333333333336,-0.225,0.32,0.934
66394,1755587494234,22.69,2.59,144.72,769,777,764,812,830,34.48275862068966,-0.223,0.321,0.934
66423,1755587494263,22.68,2.6,144.59,764,773,764,807,840,34.48275862068966,-0.22,0.321,0.932
66453,1755587494293,22.68,2.61,144.48,767,773,765,810,841,33.333333333333336,-0.22,0.321,0.932
66482,1755587494322,22.69,2.59,144.36,772,775,771,814,844,34.48275862068966,-0.222,0.319,0.933
66512,1755587494352,22.69,2.58,144.25,769,779,765,816,838,33.333333333333336,-0.224,0.319,0.936
66541,1755587494382,22.73,2.67,144.14,767,767,770,813,837,34.48275862068966,-0.224,0.319,0.935
66561,1755587494401,22.67,2.79,144.08,774,763,768,815,841,50.0,-0.224,0.321,0.932
66591,1755587494431,22.67,2.82,143.95,776,765,773,815,840,33.333333333333336,-0.221,0.324,0.931
66620,1755587494460,22.61,2.88,143.84,770,770,768,808,843,34.48275862068966,-0.22,0.324,0.929
66650,1755587494490,22.59,2.86,143.7,768,779,771,814,837,33.333333333333336,-0.221,0.322,0.925
66680,1755587494519,22.54,2.74,143.56,769,769,775,810,834,33.333333333333336,-0.221,0.322,0.921
66709,1755587494549,22.42,2.61,143.43,768,765,768,810,846,34.48275862068966,-0.222,0.318,0.924
66738,1755587494578,22.46,2.57,143.29,768,775,770,808,833,34.48275862068966,-0.225,0.316,0.931
66767,1755587494607,22.51,2.53,143.18,769,781,774,813,836,34.48275862068966,-0.227,0.315,0.937
66797,1755587494637,22.47,2.49,143.15,768,777,770,815,833,33.333333333333336,-0.226,0.316,0.939
66826,1755587494666,22.55,2.6,143.09,769,781,770,807,838,34.48275862068966,-0.219,0.32,0.94
66855,1755587494695,22.6,2.7,143.0,767,772,759,815,835,34.48275862068966,-0.215,0.321,0.939
66885,1755587494725,22.56,2.66,142.87,771,774,768,819,842,33.333333333333336,-0.216,0.317,0.932
66914,1755587494754,22.54,2.64,142.76,764,767,775,811,839,34.48275862068966,-0.219,0.315,0.934
66944,1755587494784,22.56,2.67,142.66,769,777,770,817,830,33.333333333333336,-0.223,0.316,0.939
66973,1755587494813,22.54,2.69,142.6,770,773,766,811,837,34.48275862068966,-0.225,0.315,0.936
67003,1755587494843,22.57,2.68,142.53,768,766,776,815,836,33.333333333333336,-0.222,0.316,0.932
67032,1755587494872,22.56,2.69,142.46,772,777,767,813,836,34.48275862068966,-0.217,0.32,0.932
67062,1755587494902,22.51,2.74,142.35,766,766,768,818,838,33.333333333333336,-0.214,0.322,0.932
67091,1755587494931,22.56,2.72,142.2,768,769,766,811,835,34.48275862068966,-0.214,0.325,0.93
67121,1755587494961,22.52,2.71,142.09,765,777,773,807,837,33.333333333333336,-0.215,0.322,0.93
