timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
150852,1755597947526,23.69,-44.53,2.67,761,771,826,872,831,33.333333333333336,-0.401,-0.645,0.65
150881,1755597947528,23.65,-44.54,2.64,773,766,815,868,845,34.48275862068966,-0.401,-0.644,0.65
150911,1755597947530,23.63,-44.55,2.63,769,767,817,868,836,33.333333333333336,-0.401,-0.646,0.651
150940,1755597947532,23.65,-44.54,2.65,772,772,814,873,837,34.48275862068966,-0.402,-0.646,0.652
150970,1755597947534,23.64,-44.54,2.65,771,770,822,866,835,33.333333333333336,-0.402,-0.645,0.651
151000,1755597947536,23.64,-44.54,2.65,779,769,822,869,841,33.333333333333336,-0.401,-0.645,0.651
151030,1755597947538,23.63,-44.54,2.65,767,766,826,869,844,33.333333333333336,-0.401,-0.645,0.651
151059,1755597947540,23.62,-44.53,2.65,769,775,825,871,843,34.48275862068966,-0.401,-0.646,0.652
151089,1755597947542,23.61,-44.52,2.66,769,764,819,873,834,33.333333333333336,-0.4,-0.645,0.652
151118,1755597947544,23.61,-44.51,2.67,771,769,823,874,831,34.48275862068966,-0.399,-0.644,0.654
151148,1755597947546,23.61,-44.48,2.66,772,774,805,868,830,33.333333333333336,-0.398,-0.645,0.653
151177,1755597947548,23.61,-44.45,2.65,765,774,808,868,830,34.48275862068966,-0.399,-0.645,0.651
151207,1755597947550,23.61,-44.47,2.65,773,772,816,868,833,33.333333333333336,-0.4,-0.646,0.651
151236,1755597947553,23.63,-44.46,2.68,767,769,817,865,842,34.48275862068966,-0.4,-0.644,0.653
151265,1755597947555,23.65,-44.43,2.67,769,771,816,872,847,34.48275862068966,-0.4,-0.641,0.653
151295,1755597947557,23.61,-44.44,2.63,767,763,818,866,841,33.333333333333336,-0.401,-0.643,0.652
151325,1755597947559,23.61,-44.45,2.63,772,767,821,869,837,33.333333333333336,-0.402,-0.646,0.652
151354,1755597947561,23.67,-44.45,2.66,770,767,820,867,838,34.48275862068966,-0.402,-0.645,0.652
151384,1755597947563,23.63,-44.42,2.64,771,779,811,874,835,33.333333333333336,-0.402,-0.645,0.652
151414,1755597947565,23.6,-44.4,2.63,766,769,818,868,835,33.333333333333336,-0.4,-0.647,0.652
151444,1755597947567,23.67,-44.42,2.66,772,775,817,871,840,33.333333333333336,-0.399,-0.645,0.651
151473,1755597947569,23.65,-44.45,2.63,764,770,811,871,833,34.48275862068966,-0.4,-0.645,0.651
151503,1755597947571,23.62,-44.44,2.62,773,766,820,865,837,33.333333333333336,-0.401,-0.647,0.652
151532,1755597947573,23.68,-44.4,2.65,768,767,822,873,833,34.48275862068966,-0.401,-0.644,0.652
151562,1755597947575,23.68,-44.42,2.64,770,764,815,864,839,33.333333333333336,-0.4,-0.644,0.65
151591,1755597947577,23.64,-44.44,2.63,769,767,812,868,838,34.48275862068966,-0.401,-0.645,0.65
151621,1755597947579,23.66,-44.43,2.65,774,764,821,868,841,33.333333333333336,-0.403,-0.646,0.652
151650,1755597947581,23.68,-44.41,2.67,767,773,828,869,838,34.48275862068966,-0.402,-0.646,0.651
151680,1755597947583,23.68,-44.42,2.68,767,772,827,866,847,33.333333333333336,-0.4,-0.644,0.648
151709,1755597947585,23.66,-44.45,2.66,771,764,820,873,840,34.48275862068966,-0.4,-0.644,0.65
151739,1755597947587,23.66,-44.47,2.66,767,772,820,869,841,33.333333333333336,-0.401,-0.646,0.653
151768,1755597947589,23.68,-44.43,2.7,769,770,825,872,838,34.48275862068966,-0.401,-0.645,0.65
151798,1755597947592,23.67,-44.44,2.7,770,771,813,865,837,33.333333333333336,-0.4,-0.643,0.647
151828,1755597947593,23.63,-44.51,2.67,766,772,815,865,846,33.333333333333336,-0.4,-0.644,0.649
151857,1755597947596,23.64,-44.49,2.67,774,769,818,868,835,34.48275862068966,-0.4,-0.645,0.652
151887,1755597947598,23.67,-44.44,2.7,771,776,818,866,837,33.333333333333336,-0.4,-0.645,0.651
151916,1755597947600,23.66,-44.47,2.69,766,773,822,870,839,34.48275862068966,-0.399,-0.644,0.647
151946,1755597947602,23.64,-44.51,2.66,767,769,819,868,843,33.333333333333336,-0.399,-0.644,0.647
151975,1755597947603,23.65,-44.53,2.66,772,768,819,868,835,34.48275862068966,-0.401,-0.646,0.65
152005,1755597947606,23.67,-44.5,2.68,766,772,824,872,833,33.333333333333336,-0.4,-0.645,0.65
152035,1755597947609,23.65,-44.48,2.67,768,770,819,874,848,33.333333333333336,-0.398,-0.645,0.648
152064,1755597947611,23.64,-44.51,2.64,768,768,815,869,838,34.48275862068966,-0.399,-0.646,0.647
152093,1755597947613,23.66,-44.54,2.64,769,764,826,874,842,34.48275862068966,-0.399,-0.645,0.648
152123,1755597947615,23.67,-44.53,2.65,764,770,818,872,842,33.333333333333336,-0.4,-0.645,0.65
152152,1755597947618,23.65,-44.5,2.64,771,758,814,869,830,34.48275862068966,-0.402,-0.646,0.649
152182,1755597947619,23.65,-44.52,2.65,768,764,812,872,843,33.333333333333336,-0.401,-0.645,0.645
152211,1755597947622,23.68,-44.57,2.66,772,765,819,869,839,34.48275862068966,-0.401,-0.646,0.647
152241,1755597947624,23.67,-44.55,2.66,771,764,814,864,839,33.333333333333336,-0.399,-0.647,0.65
152270,1755597947625,23.64,-44.52,2.65,773,766,821,873,835,34.48275862068966,-0.398,-0.647,0.65
152300,1755597947628,23.66,-44.52,2.65,769,774,810,871,835,33.333333333333336,-0.4,-0.646,0.648
152330,1755597947630,23.7,-44.52,2.68,766,765,805,870,850,33.333333333333336,-0.402,-0.647,0.647
152359,1755597947632,23.69,-44.52,2.69,771,768,821,866,838,34.48275862068966,-0.4,-0.645,0.646
152389,1755597947634,23.65,-44.54,2.67,769,772,824,873,837,33.333333333333336,-0.399,-0.646,0.648
152419,1755597947636,23.66,-44.52,2.68,770,769,805,868,840,33.333333333333336,-0.401,-0.647,0.649
152449,1755597947638,23.68,-44.5,2.71,768,767,812,871,841,33.333333333333336,-0.4,-0.644,0.647
152478,1755597947641,23.64,-44.53,2.7,773,764,819,868,836,34.48275862068966,-0.399,-0.644,0.646
152508,1755597947643,23.63,-44.55,2.69,771,763,826,869,836,33.333333333333336,-0.4,-0.646,0.649
152537,1755597947645,23.63,-44.5,2.7,771,770,823,869,843,34.48275862068966,-0.399,-0.647,0.652
152567,1755597947647,23.64,-44.49,2.72,774,776,824,874,843,33.333333333333336,-0.399,-0.646,0.648
152597,1755597947649,23.64,-44.53,2.72,772,774,817,871,829,33.333333333333336,-0.4,-0.644,0.645
152617,1755597947651,23.62,-44.57,2.71,770,769,822,867,838,50.0,-0.401,-0.644,0.645
152646,1755597947653,23.62,-44.58,2.73,765,767,818,874,840,34.48275862068966,-0.401,-0.646,0.651
152676,1755597947655,23.65,-44.53,2.76,768,760,817,870,833,33.333333333333336,-0.398,-0.647,0.652
152696,1755597947657,23.65,-44.52,2.76,771,771,815,870,843,50.0,-0.396,-0.645,0.65
152726,1755597947659,23.6,-44.55,2.72,771,775,822,870,836,33.333333333333336,-0.396,-0.643,0.647
152755,1755597947661,23.6,-44.55,2.71,769,772,822,869,845,34.48275862068966,-0.4,-0.644,0.649
152785,1755597947663,23.65,-44.52,2.75,770,774,820,871,850,33.333333333333336,-0.402,-0.646,0.648
152814,1755597947665,23.68,-44.52,2.78,767,770,836,867,836,34.48275862068966,-0.4,-0.645,0.647
152844,1755597947667,23.68,-44.54,2.77,772,764,826,861,839,33.333333333333336,-0.398,-0.644,0.648
152873,1755597947669,23.65,-44.54,2.73,773,774,818,871,840,34.48275862068966,-0.399,-0.644,0.649
152903,1755597947671,23.62,-44.53,2.73,769,765,813,873,837,33.333333333333336,-0.401,-0.644,0.649
152923,1755597947673,23.63,-44.53,2.72,768,771,806,868,827,50.0,-0.402,-0.644,0.648
152952,1755597947675,23.64,-44.53,2.73,770,762,811,876,841,34.48275862068966,-0.402,-0.645,0.649
152982,1755597947677,23.65,-44.53,2.73,768,772,822,868,837,33.333333333333336,-0.401,-0.645,0.648
153012,1755597947679,23.64,-44.53,2.72,767,773,819,874,840,33.333333333333336,-0.4,-0.644,0.648
153041,1755597947681,23.65,-44.55,2.71,770,771,818,868,838,34.48275862068966,-0.4,-0.645,0.649
153071,1755597947683,23.66,-44.54,2.72,771,773,818,871,841,33.333333333333336,-0.401,-0.646,0.65
153100,1755597947685,23.65,-44.49,2.74,767,772,816,874,843,34.48275862068966,-0.4,-0.646,0.65
153130,1755597947687,23.65,-44.47,2.75,764,768,824,870,841,33.333333333333336,-0.4,-0.645,0.649
153160,1755597947689,23.65,-44.45,2.77,763,764,816,870,833,33.333333333333336,-0.4,-0.644,0.648
153180,1755597947691,23.65,-44.45,2.77,769,762,819,868,844,50.0,-0.401,-0.644,0.648
153209,1755597947693,23.65,-44.47,2.78,771,770,817,878,844,34.48275862068966,-0.402,-0.643,0.648
153239,1755597947696,23.64,-44.48,2.8,769,768,823,878,828,33.333333333333336,-0.402,-0.645,0.651
153268,1755597947698,23.68,-44.44,2.84,773,765,825,872,845,34.48275862068966,-0.401,-0.645,0.652
153298,1755597947700,23.66,-44.4,2.84,771,769,822,865,838,33.333333333333336,-0.398,-0.642,0.65
153327,1755597947702,23.63,-44.43,2.81,772,767,820,879,846,34.48275862068966,-0.399,-0.643,0.649
153357,1755597947704,23.66,-44.4,2.83,771,766,824,870,844,33.333333333333336,-0.399,-0.643,0.652
153386,1755597947706,23.69,-44.3,2.86,778,766,819,874,839,34.48275862068966,-0.401,-0.645,0.654
153416,1755597947708,23.67,-44.25,2.87,774,766,828,876,836,33.333333333333336,-0.4,-0.643,0.652
153445,1755597947710,23.71,-44.22,2.92,765,769,818,877,846,34.48275862068966,-0.403,-0.643,0.653
153475,1755597947713,23.69,-44.11,2.96,767,767,827,883,841,33.333333333333336,-0.404,-0.641,0.655
153504,1755597947715,23.76,-44.02,3.02,767,773,839,883,835,34.48275862068966,-0.408,-0.644,0.659
153534,1755597947717,23.81,-43.9,3.09,774,764,834,890,844,33.333333333333336,-0.408,-0.639,0.657
153563,1755597947719,23.84,-43.9,3.12,765,764,824,874,838,34.48275862068966,-0.406,-0.636,0.656
153593,1755597947721,23.83,-43.98,3.11,767,770,833,894,839,33.333333333333336,-0.405,-0.637,0.654
153622,1755597947723,23.89,-43.96,3.14,767,774,833,896,843,34.48275862068966,-0.405,-0.637,0.656
153652,1755597947725,23.97,-43.94,3.21,771,764,843,898,837,33.333333333333336,-0.407,-0.637,0.661
153681,1755597947727,24.05,-43.89,3.19,769,769,845,898,844,34.48275862068966,-0.408,-0.635,0.659
153711,1755597947729,23.93,-43.86,3.13,770,776,851,896,847,33.333333333333336,-0.409,-0.63,0.657
153740,1755597947731,23.87,-43.84,3.05,766,769,848,902,848,34.48275862068966,-0.404,-0.632,0.658
153770,1755597947733,23.82,-43.87,3.02,767,773,854,914,846,33.333333333333336,-0.406,-0.63,0.657
153799,1755597947735,23.92,-44.0,3.06,768,770,866,911,853,34.48275862068966,-0.408,-0.633,0.656
153829,1755597947737,24.11,-44.07,3.12,767,771,858,920,859,33.333333333333336,-0.409,-0.633,0.657
153859,1755597947739,24.07,-44.09,3.11,766,773,861,912,858,33.333333333333336,-0.407,-0.632,0.657
153888,1755597947741,23.97,-44.07,3.05,767,768,855,914,861,34.48275862068966,-0.402,-0.631,0.655
153918,1755597947743,23.91,-44.18,2.92,765,772,850,922,877,33.333333333333336,-0.399,-0.631,0.653
153947,1755597947745,23.87,-44.33,2.8,769,766,849,921,895,34.48275862068966,-0.402,-0.633,0.654
153977,1755597947748,23.88,-44.29,2.89,774,775,848,917,893,33.333333333333336,-0.405,-0.637,0.658
154006,1755597947750,24.06,-44.31,3.01,771,766,855,918,906,34.48275862068966,-0.406,-0.637,0.655
154036,1755597947751,24.29,-44.49,3.1,769,764,860,925,911,33.333333333333336,-0.407,-0.635,0.646
154065,1755597947753,24.44,-44.52,3.22,772,763,861,941,895,34.48275862068966,-0.415,-0.637,0.652
154095,1755597947756,24.47,-44.34,3.31,766,769,852,917,915,33.333333333333336,-0.413,-0.639,0.655
154125,1755597947757,24.46,-44.21,3.43,771,772,855,928,907,33.333333333333336,-0.408,-0.635,0.652
154154,1755597947759,24.69,-44.26,3.54,767,767,864,924,911,34.48275862068966,-0.406,-0.633,0.648
154184,1755597947762,24.91,-44.26,3.64,776,766,869,932,909,33.333333333333336,-0.414,-0.636,0.65
154213,1755597947763,24.84,-44.21,3.64,772,767,869,940,916,34.48275862068966,-0.418,-0.638,0.647
154243,1755597947766,24.7,-44.24,3.61,770,771,868,939,908,33.333333333333336,-0.416,-0.635,0.641
154272,1755597947768,24.79,-44.34,3.64,767,769,863,942,917,34.48275862068966,-0.418,-0.634,0.64
154292,1755597947770,24.92,-44.37,3.69,769,768,867,934,907,50.0,-0.421,-0.636,0.645
154322,1755597947771,25.0,-44.35,3.71,766,769,868,938,912,33.333333333333336,-0.424,-0.637,0.648
154351,1755597947774,25.02,-44.33,3.76,766,770,880,939,907,34.48275862068966,-0.425,-0.635,0.644
154381,1755597947776,25.09,-44.34,3.78,765,768,874,938,909,33.333333333333336,-0.426,-0.636,0.641
154401,1755597947778,25.19,-44.35,3.82,769,772,884,934,905,50.0,-0.429,-0.636,0.642
154430,1755597947779,25.29,-44.3,3.89,767,769,866,941,913,34.48275862068966,-0.43,-0.637,0.644
154460,1755597947781,25.28,-44.23,3.98,770,767,872,937,901,33.333333333333336,-0.431,-0.635,0.642
154490,1755597947783,25.34,-44.24,4.04,769,766,874,939,903,33.333333333333336,-0.43,-0.634,0.639
154519,1755597947785,25.4,-44.31,4.03,768,772,867,935,909,34.48275862068966,-0.428,-0.632,0.638
154549,1755597947787,25.44,-44.34,4.0,772,764,879,927,914,33.333333333333336,-0.431,-0.634,0.639
