timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
158541,1755601157306,57.49,-68.74,-58.48,784,769,781,375,873,33.333333333333336,-0.839,-0.507,0.198
158570,1755601157308,57.49,-68.73,-58.48,785,776,777,360,871,34.48275862068966,-0.84,-0.508,0.198
158600,1755601157310,57.49,-68.71,-58.48,789,766,775,359,881,33.333333333333336,-0.84,-0.508,0.198
158630,1755601157312,57.51,-68.72,-58.48,788,794,781,404,874,33.333333333333336,-0.839,-0.508,0.198
158660,1755601157314,57.52,-68.72,-58.48,786,772,777,397,878,33.333333333333336,-0.84,-0.507,0.199
158690,1755601157316,57.5,-68.7,-58.48,775,769,779,385,871,33.333333333333336,-0.84,-0.506,0.199
158720,1755601157318,57.5,-68.7,-58.49,782,769,782,358,875,33.333333333333336,-0.839,-0.507,0.199
158750,1755601157320,57.48,-68.69,-58.49,786,775,778,382,873,33.333333333333336,-0.84,-0.507,0.199
158770,1755601157322,57.47,-68.68,-58.5,783,771,785,393,872,50.0,-0.839,-0.507,0.199
158800,1755601157324,57.48,-68.67,-58.5,783,777,777,358,886,33.333333333333336,-0.839,-0.507,0.2
158830,1755601157326,57.51,-68.68,-58.51,785,773,777,401,881,33.333333333333336,-0.839,-0.507,0.2
158860,1755601157329,57.52,-68.69,-58.52,784,764,782,402,873,33.333333333333336,-0.839,-0.506,0.199
158889,1755601157332,57.51,-68.69,-58.53,788,771,774,381,878,34.48275862068966,-0.839,-0.507,0.199
158919,1755601157334,57.51,-68.69,-58.54,785,773,784,348,877,33.333333333333336,-0.838,-0.507,0.2
158939,1755601157337,57.53,-68.7,-58.55,786,771,776,394,878,50.0,-0.838,-0.507,0.2
158959,1755601157340,57.53,-68.7,-58.55,790,773,778,399,883,50.0,-0.839,-0.507,0.198
158979,1755601157342,57.52,-68.69,-58.55,782,776,775,389,895,50.0,-0.839,-0.507,0.197
159000,1755601157344,57.52,-68.7,-58.55,787,772,779,342,876,47.61904761904762,-0.84,-0.508,0.197
159020,1755601157347,57.52,-68.71,-58.56,782,772,777,338,875,50.0,-0.839,-0.508,0.197
159049,1755601157349,57.53,-68.72,-58.57,777,775,774,365,864,34.48275862068966,-0.839,-0.508,0.198
159079,1755601157351,57.51,-68.7,-58.57,782,776,779,402,865,33.333333333333336,-0.839,-0.507,0.199
159109,1755601157353,57.53,-68.71,-58.59,780,775,781,384,881,33.333333333333336,-0.839,-0.507,0.198
159139,1755601157356,57.53,-68.73,-58.59,782,772,782,360,879,33.333333333333336,-0.839,-0.508,0.197
159159,1755601157359,57.52,-68.73,-58.59,782,775,777,395,883,50.0,-0.839,-0.508,0.198
159189,1755601157361,57.52,-68.71,-58.6,789,767,768,358,873,33.333333333333336,-0.839,-0.507,0.199
159219,1755601157362,57.5,-68.71,-58.6,785,767,781,342,877,33.333333333333336,-0.839,-0.508,0.198
159239,1755601157364,57.49,-68.7,-58.6,786,771,778,381,875,50.0,-0.839,-0.506,0.199
159259,1755601157367,57.49,-68.7,-58.6,786,768,776,399,874,50.0,-0.839,-0.506,0.199
159289,1755601157369,57.48,-68.7,-58.61,787,775,778,359,903,33.333333333333336,-0.839,-0.507,0.199
159310,1755601157372,57.49,-68.7,-58.61,789,770,780,389,872,47.61904761904762,-0.84,-0.508,0.199
159339,1755601157373,57.5,-68.71,-58.62,787,783,779,373,873,34.48275862068966,-0.839,-0.507,0.198
159360,1755601157376,57.49,-68.72,-58.62,786,773,774,407,875,47.61904761904762,-0.838,-0.507,0.199
159390,1755601157378,57.48,-68.72,-58.63,785,777,778,370,876,33.333333333333336,-0.838,-0.508,0.199
159420,1755601157380,57.49,-68.7,-58.63,787,774,778,347,882,33.333333333333336,-0.839,-0.509,0.2
159449,1755601157382,57.52,-68.72,-58.63,781,773,789,363,876,34.48275862068966,-0.838,-0.508,0.198
159469,1755601157384,57.49,-68.72,-58.63,787,769,778,361,872,50.0,-0.839,-0.507,0.197
159499,1755601157385,57.46,-68.71,-58.63,787,776,780,393,874,33.333333333333336,-0.839,-0.505,0.196
159529,1755601157387,57.46,-68.71,-58.65,789,768,779,403,875,33.333333333333336,-0.838,-0.505,0.198
159559,1755601157390,57.49,-68.71,-58.66,785,772,774,386,872,33.333333333333336,-0.839,-0.507,0.197
159589,1755601157392,57.47,-68.7,-58.65,792,772,777,340,876,33.333333333333336,-0.839,-0.508,0.197
159619,1755601157394,57.48,-68.69,-58.66,786,763,779,335,867,33.333333333333336,-0.838,-0.507,0.198
159648,1755601157396,57.52,-68.71,-58.68,788,772,775,367,884,34.48275862068966,-0.839,-0.507,0.198
159678,1755601157398,57.52,-68.7,-58.68,783,768,773,382,877,33.333333333333336,-0.84,-0.508,0.197
159708,1755601157400,57.51,-68.68,-58.68,785,773,774,388,875,33.333333333333336,-0.839,-0.508,0.198
159738,1755601157402,57.54,-68.7,-58.7,785,770,776,365,878,33.333333333333336,-0.838,-0.507,0.198
159768,1755601157404,57.54,-68.69,-58.72,790,780,782,353,874,33.333333333333336,-0.839,-0.507,0.198
159798,1755601157406,57.55,-68.69,-58.73,784,776,777,398,879,33.333333333333336,-0.84,-0.507,0.197
159827,1755601157409,57.55,-68.69,-58.73,783,769,778,405,874,34.48275862068966,-0.84,-0.508,0.196
159847,1755601157410,57.53,-68.68,-58.73,788,774,777,377,866,50.0,-0.84,-0.508,0.197
159877,1755601157413,57.55,-68.69,-58.73,787,777,779,396,880,33.333333333333336,-0.84,-0.508,0.198
159897,1755601157414,57.58,-68.7,-58.74,785,769,778,354,880,50.0,-0.84,-0.508,0.197
159927,1755601157416,57.56,-68.7,-58.74,785,776,773,380,878,33.333333333333336,-0.84,-0.508,0.196
159957,1755601157418,57.52,-68.7,-58.73,784,772,774,363,913,33.333333333333336,-0.841,-0.508,0.197
159977,1755601157421,57.5,-68.69,-58.72,785,779,778,374,880,50.0,-0.84,-0.508,0.199
160007,1755601157423,57.53,-68.7,-58.73,781,768,774,376,880,33.333333333333336,-0.84,-0.508,0.199
160037,1755601157424,57.51,-68.69,-58.73,785,771,777,335,874,33.333333333333336,-0.84,-0.508,0.197
160067,1755601157426,57.51,-68.69,-58.73,784,768,774,340,878,33.333333333333336,-0.84,-0.507,0.199
160097,1755601157428,57.52,-68.67,-58.74,786,762,778,404,879,33.333333333333336,-0.839,-0.507,0.197
160127,1755601157430,57.52,-68.69,-58.75,781,778,779,410,881,33.333333333333336,-0.841,-0.508,0.197
160147,1755601157433,57.5,-68.69,-58.74,787,772,777,379,872,50.0,-0.841,-0.509,0.197
160177,1755601157435,57.49,-68.68,-58.73,788,778,778,406,874,33.333333333333336,-0.839,-0.507,0.199
160198,1755601157437,57.5,-68.67,-58.74,784,778,786,386,877,47.61904761904762,-0.839,-0.506,0.199
160228,1755601157439,57.51,-68.68,-58.74,783,773,775,417,882,33.333333333333336,-0.84,-0.506,0.197
160257,1755601157441,57.51,-68.69,-58.75,788,773,780,386,899,34.48275862068966,-0.84,-0.506,0.198
160287,1755601157443,57.52,-68.68,-58.76,786,773,770,362,871,33.333333333333336,-0.839,-0.506,0.198
160317,1755601157445,57.52,-68.69,-58.77,782,774,781,361,871,33.333333333333336,-0.84,-0.506,0.198
160347,1755601157447,57.55,-68.71,-58.79,788,772,778,405,872,33.333333333333336,-0.84,-0.506,0.198
