timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
105054,1755601859004,11.02,44.35,5.88,783,832,813,331,863,34.48275862068966,-0.185,0.694,0.707
105084,1755601859007,11.02,44.37,5.86,785,835,807,418,864,33.333333333333336,-0.188,0.693,0.708
105113,1755601859008,11.02,44.39,5.85,783,836,826,422,864,34.48275862068966,-0.189,0.692,0.707
105143,1755601859010,11.03,44.4,5.84,780,835,828,355,865,33.333333333333336,-0.188,0.693,0.706
105172,1755601859013,11.03,44.4,5.83,787,832,810,328,866,34.48275862068966,-0.187,0.694,0.707
105202,1755601859015,11.01,44.39,5.83,782,837,819,400,867,33.333333333333336,-0.186,0.693,0.707
105231,1755601859016,11.0,44.38,5.82,778,842,813,427,868,34.48275862068966,-0.186,0.692,0.708
105261,1755601859018,11.01,44.39,5.81,786,837,817,384,874,33.333333333333336,-0.189,0.692,0.709
105290,1755601859021,11.01,44.4,5.82,783,838,812,321,856,34.48275862068966,-0.19,0.692,0.708
105320,1755601859023,11.0,44.4,5.85,786,837,812,356,863,33.333333333333336,-0.188,0.692,0.705
105349,1755601859025,10.99,44.38,5.86,780,831,810,440,861,34.48275862068966,-0.185,0.692,0.705
105378,1755601859027,10.99,44.37,5.85,786,830,810,400,868,34.48275862068966,-0.184,0.693,0.708
105408,1755601859029,10.99,44.39,5.83,777,831,814,326,864,33.333333333333336,-0.185,0.693,0.708
105437,1755601859031,11.0,44.39,5.82,784,829,814,349,873,34.48275862068966,-0.188,0.692,0.707
105466,1755601859032,10.99,44.37,5.83,785,830,812,422,864,34.48275862068966,-0.189,0.691,0.706
105496,1755601859035,11.0,44.37,5.85,786,831,815,425,869,33.333333333333336,-0.189,0.692,0.708
105516,1755601859036,11.0,44.39,5.86,781,829,806,383,864,50.0,-0.186,0.693,0.708
105545,1755601859038,11.0,44.41,5.85,781,834,818,380,868,34.48275862068966,-0.184,0.693,0.707
105575,1755601859040,11.0,44.4,5.83,782,827,823,328,870,33.333333333333336,-0.184,0.694,0.706
105605,1755601859042,10.99,44.36,5.81,784,832,817,340,868,33.333333333333336,-0.186,0.693,0.707
105634,1755601859044,10.99,44.36,5.82,782,825,811,403,865,34.48275862068966,-0.188,0.693,0.708
105664,1755601859045,10.99,44.38,5.84,781,830,814,409,868,33.333333333333336,-0.187,0.692,0.708
105693,1755601859047,10.99,44.38,5.83,784,830,810,363,860,34.48275862068966,-0.185,0.692,0.707
105723,1755601859049,10.99,44.36,5.82,786,833,810,321,866,33.333333333333336,-0.185,0.693,0.706
105752,1755601859052,10.98,44.36,5.81,779,837,811,359,865,34.48275862068966,-0.186,0.693,0.706
105782,1755601859053,10.97,44.36,5.81,782,838,814,425,865,33.333333333333336,-0.186,0.692,0.707
105811,1755601859055,10.98,44.38,5.81,786,837,815,399,868,34.48275862068966,-0.187,0.693,0.708
105841,1755601859058,10.99,44.39,5.81,777,839,811,309,853,33.333333333333336,-0.186,0.692,0.707
105870,1755601859060,11.0,44.38,5.79,782,836,812,325,864,34.48275862068966,-0.186,0.692,0.705
105900,1755601859062,10.98,44.36,5.8,784,834,809,403,862,33.333333333333336,-0.186,0.693,0.706
105929,1755601859064,10.99,44.36,5.79,778,834,817,407,865,34.48275862068966,-0.186,0.694,0.708
105959,1755601859066,10.99,44.38,5.78,778,834,810,334,875,33.333333333333336,-0.186,0.694,0.708
105988,1755601859068,10.99,44.38,5.77,778,839,816,326,875,34.48275862068966,-0.186,0.692,0.707
106017,1755601859070,10.99,44.36,5.76,777,832,816,406,866,34.48275862068966,-0.187,0.692,0.707
106047,1755601859072,10.99,44.37,5.77,781,826,821,425,871,33.333333333333336,-0.187,0.692,0.707
106077,1755601859074,10.99,44.39,5.77,786,836,815,363,864,33.333333333333336,-0.187,0.693,0.708
106106,1755601859076,11.0,44.41,5.77,780,829,813,314,867,34.48275862068966,-0.186,0.693,0.707
106126,1755601859079,11.0,44.4,5.77,787,840,814,402,867,50.0,-0.186,0.693,0.706
106155,1755601859081,10.98,44.38,5.77,782,832,812,359,866,34.48275862068966,-0.186,0.693,0.705
106185,1755601859083,10.98,44.38,5.76,786,825,814,406,865,33.333333333333336,-0.186,0.694,0.707
106214,1755601859085,10.98,44.4,5.76,788,839,813,440,866,34.48275862068966,-0.186,0.693,0.709
106244,1755601859088,11.0,44.41,5.75,784,846,813,389,865,33.333333333333336,-0.186,0.693,0.708
106273,1755601859091,10.99,44.4,5.75,784,838,814,329,861,34.48275862068966,-0.186,0.693,0.706
106302,1755601859093,10.99,44.39,5.74,780,837,818,376,864,34.48275862068966,-0.186,0.693,0.706
106332,1755601859095,10.99,44.4,5.75,785,834,815,428,866,33.333333333333336,-0.186,0.693,0.709
106361,1755601859097,11.01,44.4,5.74,784,830,821,409,869,34.48275862068966,-0.185,0.693,0.708
106391,1755601859099,11.0,44.38,5.74,783,839,817,332,867,33.333333333333336,-0.185,0.693,0.706
106420,1755601859101,11.0,44.36,5.72,780,836,814,307,862,34.48275862068966,-0.186,0.694,0.706
106449,1755601859103,10.99,44.37,5.72,780,829,819,415,859,34.48275862068966,-0.187,0.693,0.709
106479,1755601859105,11.01,44.39,5.72,780,830,817,412,860,33.333333333333336,-0.187,0.693,0.709
106509,1755601859107,11.0,44.39,5.73,781,832,813,338,863,33.333333333333336,-0.186,0.693,0.707
106538,1755601859109,11.0,44.37,5.72,782,834,816,320,864,34.48275862068966,-0.185,0.693,0.706
106568,1755601859110,11.02,44.35,5.7,785,837,813,381,868,33.333333333333336,-0.186,0.693,0.709
106597,1755601859112,11.02,44.37,5.7,784,831,814,420,866,34.48275862068966,-0.186,0.693,0.709
106627,1755601859114,11.02,44.4,5.7,779,829,807,380,867,33.333333333333336,-0.186,0.693,0.706
106656,1755601859116,11.01,44.37,5.69,786,829,816,319,868,34.48275862068966,-0.187,0.693,0.706
106686,1755601859118,11.01,44.36,5.69,783,831,821,356,875,33.333333333333336,-0.187,0.692,0.71
106715,1755601859120,11.02,44.39,5.69,783,829,814,423,860,34.48275862068966,-0.188,0.693,0.711
106745,1755601859122,11.03,44.41,5.69,784,833,812,413,864,33.333333333333336,-0.186,0.693,0.708
106774,1755601859124,11.01,44.39,5.69,791,832,812,321,862,34.48275862068966,-0.184,0.694,0.705
106804,1755601859126,11.0,44.34,5.67,778,825,816,339,866,33.333333333333336,-0.185,0.692,0.706
106833,1755601859128,11.01,44.35,5.67,783,841,809,420,874,34.48275862068966,-0.188,0.694,0.71
106863,1755601859130,11.01,44.41,5.69,781,848,823,423,868,33.333333333333336,-0.188,0.694,0.709
106892,1755601859132,11.02,44.39,5.69,784,826,817,356,870,34.48275862068966,-0.187,0.693,0.705
106922,1755601859134,11.01,44.35,5.69,779,826,811,340,870,33.333333333333336,-0.186,0.693,0.705
106951,1755601859136,11.01,44.37,5.69,777,828,808,381,868,34.48275862068966,-0.187,0.694,0.711
106981,1755601859137,11.03,44.45,5.69,782,832,815,443,868,33.333333333333336,-0.186,0.694,0.711
107010,1755601859140,11.04,44.46,5.69,780,835,807,395,865,34.48275862068966,-0.186,0.693,0.706
107040,1755601859142,11.01,44.4,5.7,783,827,809,336,861,33.333333333333336,-0.186,0.692,0.705
107069,1755601859144,11.01,44.37,5.7,785,837,803,348,865,34.48275862068966,-0.187,0.693,0.711
107099,1755601859146,11.02,44.43,5.72,784,836,816,442,865,33.333333333333336,-0.185,0.694,0.711
107128,1755601859148,11.02,44.44,5.71,783,829,813,406,864,34.48275862068966,-0.184,0.693,0.705
107158,1755601859151,10.99,44.37,5.71,788,835,816,306,861,33.333333333333336,-0.183,0.693,0.702
107187,1755601859152,10.97,44.34,5.7,785,845,818,292,870,34.48275862068966,-0.184,0.694,0.707
107216,1755601859155,10.99,44.37,5.69,783,839,809,412,874,34.48275862068966,-0.186,0.694,0.71
107246,1755601859157,10.99,44.41,5.69,778,835,808,401,868,33.333333333333336,-0.186,0.693,0.708
107275,1755601859158,10.98,44.39,5.7,778,835,816,353,868,34.48275862068966,-0.184,0.692,0.704
107305,1755601859161,10.96,44.35,5.69,776,835,813,321,864,33.333333333333336,-0.183,0.691,0.706
107334,1755601859163,10.98,44.37,5.68,782,829,810,406,865,34.48275862068966,-0.184,0.692,0.71
107364,1755601859165,10.98,44.41,5.69,784,840,822,425,862,33.333333333333336,-0.185,0.692,0.709
107393,1755601859167,10.99,44.42,5.69,783,826,806,394,868,34.48275862068966,-0.184,0.691,0.704
107423,1755601859169,10.97,44.39,5.69,781,833,811,322,860,33.333333333333336,-0.184,0.692,0.705
107452,1755601859171,10.97,44.37,5.69,781,836,816,360,869,34.48275862068966,-0.184,0.692,0.707
107481,1755601859172,10.97,44.38,5.67,785,843,814,428,866,34.48275862068966,-0.184,0.693,0.708
107511,1755601859174,10.97,44.4,5.65,786,838,818,408,858,33.333333333333336,-0.185,0.693,0.707
107540,1755601859177,10.99,44.39,5.65,779,837,812,285,870,34.48275862068966,-0.186,0.693,0.706
107570,1755601859179,10.97,44.4,5.66,782,833,812,311,867,33.333333333333336,-0.185,0.693,0.706
107599,1755601859181,10.97,44.39,5.65,780,830,811,424,863,34.48275862068966,-0.185,0.693,0.707
107629,1755601859183,10.97,44.39,5.65,782,836,814,418,866,33.333333333333336,-0.185,0.692,0.706
107658,1755601859185,10.97,44.38,5.65,784,833,819,346,859,34.48275862068966,-0.185,0.693,0.705
107688,1755601859187,10.97,44.39,5.65,783,834,815,324,862,33.333333333333336,-0.185,0.693,0.705
107718,1755601859189,10.96,44.4,5.65,783,837,818,395,861,33.333333333333336,-0.185,0.692,0.706
107747,1755601859191,10.96,44.4,5.65,787,835,813,437,863,34.48275862068966,-0.185,0.693,0.706
107776,1755601859193,10.95,44.4,5.64,782,823,813,390,873,34.48275862068966,-0.185,0.693,0.705
107806,1755601859195,10.95,44.4,5.63,786,851,816,315,868,33.333333333333336,-0.186,0.693,0.705
107835,1755601859197,10.95,44.4,5.64,784,838,817,360,881,34.48275862068966,-0.186,0.693,0.706
107865,1755601859199,10.96,44.41,5.63,785,838,809,429,869,33.333333333333336,-0.186,0.693,0.706
107895,1755601859201,10.96,44.43,5.64,784,827,810,420,869,33.333333333333336,-0.186,0.693,0.706
107924,1755601859202,10.97,44.43,5.64,779,832,813,338,860,34.48275862068966,-0.185,0.694,0.704
107954,1755601859204,10.95,44.42,5.63,781,830,822,339,865,33.333333333333336,-0.185,0.693,0.704
107983,1755601859206,10.95,44.43,5.62,785,835,815,409,870,34.48275862068966,-0.185,0.694,0.706
108012,1755601859208,10.95,44.44,5.63,786,835,811,406,868,34.48275862068966,-0.186,0.693,0.706
108042,1755601859210,10.96,44.44,5.63,781,839,816,346,864,33.333333333333336,-0.186,0.693,0.706
108071,1755601859212,10.95,44.47,5.64,778,832,816,337,868,34.48275862068966,-0.185,0.693,0.704
108100,1755601859214,10.97,44.47,5.62,783,828,816,401,867,34.48275862068966,-0.185,0.694,0.705
108130,1755601859216,10.97,44.46,5.61,783,828,815,435,865,33.333333333333336,-0.185,0.694,0.705
108160,1755601859218,10.97,44.45,5.62,786,838,813,405,866,33.333333333333336,-0.186,0.693,0.704
108190,1755601859219,10.98,44.44,5.61,785,836,807,314,863,33.333333333333336,-0.186,0.694,0.704
108219,1755601859222,10.98,44.44,5.61,781,825,807,300,859,34.48275862068966,-0.185,0.695,0.705
108248,1755601859223,10.97,44.44,5.61,783,837,809,416,863,34.48275862068966,-0.184,0.694,0.705
108278,1755601859225,10.97,44.41,5.6,779,835,814,415,872,33.333333333333336,-0.184,0.694,0.705
108308,1755601859227,10.97,44.41,5.57,784,834,823,338,864,33.333333333333336,-0.187,0.695,0.706
108337,1755601859230,10.96,44.44,5.58,781,833,809,337,872,34.48275862068966,-0.187,0.696,0.706
108367,1755601859231,10.95,44.45,5.58,782,830,815,394,868,33.333333333333336,-0.185,0.695,0.705
108396,1755601859233,10.94,44.43,5.57,782,835,816,416,864,34.48275862068966,-0.184,0.694,0.704
108426,1755601859235,10.95,44.42,5.55,780,846,806,390,867,33.333333333333336,-0.185,0.694,0.706
108456,1755601859237,10.96,44.44,5.54,784,829,816,337,863,33.333333333333336,-0.187,0.694,0.707
108485,1755601859239,10.95,44.45,5.56,781,839,808,361,871,34.48275862068966,-0.186,0.693,0.704
108515,1755601859241,10.95,44.42,5.55,782,836,809,437,875,33.333333333333336,-0.186,0.693,0.704
108544,1755601859243,10.94,44.42,5.54,780,841,811,410,863,34.48275862068966,-0.186,0.694,0.707
108574,1755601859246,10.94,44.44,5.54,783,835,817,347,866,33.333333333333336,-0.185,0.694,0.707
108603,1755601859248,10.93,44.42,5.53,793,829,816,331,866,34.48275862068966,-0.185,0.694,0.703
108633,1755601859250,10.92,44.37,5.52,785,840,811,405,866,33.333333333333336,-0.185,0.693,0.704
