timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
163121,1755602235507,19.67,63.23,60.02,775,779,780,415,814,33.333333333333336,-0.343,0.83,0.452
163151,1755602235509,19.66,63.24,60.06,777,773,775,386,820,33.333333333333336,-0.341,0.831,0.451
163180,1755602235511,19.66,63.23,60.06,778,774,780,338,817,34.48275862068966,-0.34,0.831,0.451
163210,1755602235513,19.65,63.23,60.09,778,787,785,357,822,33.333333333333336,-0.34,0.832,0.452
163240,1755602235516,19.66,63.26,60.08,779,781,789,405,822,33.333333333333336,-0.339,0.832,0.452
163270,1755602235518,19.66,63.26,60.08,779,776,775,403,820,33.333333333333336,-0.34,0.83,0.45
163300,1755602235520,19.66,63.23,60.1,774,778,774,356,821,33.333333333333336,-0.341,0.83,0.451
163329,1755602235522,19.67,63.23,60.11,774,781,784,348,815,34.48275862068966,-0.342,0.831,0.452
163359,1755602235524,19.69,63.26,60.13,777,781,782,369,816,33.333333333333336,-0.341,0.832,0.452
163389,1755602235526,19.69,63.26,60.16,780,785,777,408,823,33.333333333333336,-0.34,0.831,0.45
163418,1755602235528,19.68,63.24,60.16,773,777,775,385,819,34.48275862068966,-0.339,0.831,0.45
163448,1755602235530,19.68,63.25,60.15,777,781,787,334,820,33.333333333333336,-0.34,0.832,0.451
163478,1755602235532,19.7,63.26,60.16,775,779,783,326,819,33.333333333333336,-0.342,0.831,0.451
163508,1755602235534,19.71,63.24,60.18,778,775,782,395,812,33.333333333333336,-0.342,0.83,0.45
163537,1755602235536,19.72,63.25,60.2,768,776,784,421,816,34.48275862068966,-0.341,0.831,0.45
163567,1755602235538,19.74,63.28,60.2,780,780,783,377,819,33.333333333333336,-0.34,0.832,0.45
163597,1755602235540,19.74,63.31,60.2,780,781,780,325,821,33.333333333333336,-0.339,0.832,0.449
163627,1755602235543,19.72,63.28,60.19,775,774,779,344,821,33.333333333333336,-0.339,0.83,0.449
163647,1755602235545,19.71,63.25,60.19,781,774,783,319,831,50.0,-0.34,0.831,0.449
163677,1755602235547,19.71,63.7,60.2,776,774,776,347,821,33.333333333333336,-0.341,0.831,0.451
163707,1755602235549,19.73,63.73,60.2,774,779,774,425,820,33.333333333333336,-0.342,0.832,0.45
163736,1755602235551,19.72,63.72,60.22,775,781,782,406,825,34.48275862068966,-0.341,0.83,0.449
163766,1755602235553,19.71,63.68,60.23,773,781,784,355,819,33.333333333333336,-0.342,0.83,0.448
163796,1755602235554,19.7,63.67,60.25,779,778,778,349,812,33.333333333333336,-0.342,0.832,0.449
163816,1755602235557,19.71,63.66,60.26,777,783,781,375,821,50.0,-0.342,0.832,0.45
163845,1755602235559,19.72,63.68,60.27,778,783,779,344,820,34.48275862068966,-0.34,0.832,0.449
163875,1755602235561,19.7,63.64,60.27,770,782,778,385,824,33.333333333333336,-0.34,0.831,0.447
163905,1755602235563,19.7,63.6,60.26,780,789,784,424,822,33.333333333333336,-0.34,0.83,0.449
163935,1755602235565,19.71,63.59,60.24,779,784,783,393,818,33.333333333333336,-0.343,0.831,0.451
163965,1755602235568,19.72,63.59,60.25,774,773,775,329,820,33.333333333333336,-0.344,0.83,0.451
163994,1755602235569,19.74,63.59,60.25,774,778,787,332,818,34.48275862068966,-0.344,0.83,0.45
164014,1755602235572,19.75,63.57,60.25,778,775,781,354,821,50.0,-0.344,0.83,0.45
164044,1755602235573,19.76,63.58,60.28,776,775,782,361,814,33.333333333333336,-0.342,0.831,0.45
164074,1755602235576,19.77,63.58,60.27,778,771,781,423,820,33.333333333333336,-0.339,0.832,0.449
164103,1755602235578,19.78,63.57,60.23,779,787,782,408,822,34.48275862068966,-0.339,0.831,0.448
164133,1755602235580,19.77,63.56,60.22,778,779,780,362,820,33.333333333333336,-0.343,0.83,0.449
164163,1755602235582,19.78,63.57,60.24,773,782,777,335,813,33.333333333333336,-0.345,0.83,0.451
164192,1755602235584,19.81,63.56,60.26,773,780,782,370,815,34.48275862068966,-0.345,0.828,0.451
164222,1755602235586,19.85,63.6,60.26,774,774,785,404,817,33.333333333333336,-0.345,0.83,0.45
164252,1755602235588,19.87,63.62,60.27,780,780,782,389,819,33.333333333333336,-0.343,0.83,0.449
164281,1755602235590,19.86,63.63,60.3,777,785,785,321,817,34.48275862068966,-0.341,0.83,0.449
164311,1755602235592,19.84,63.61,60.27,777,781,782,347,816,33.333333333333336,-0.341,0.83,0.447
164341,1755602235594,19.82,63.59,60.27,778,775,777,409,824,33.333333333333336,-0.344,0.83,0.449
164370,1755602235596,19.83,63.61,60.28,778,781,783,424,811,34.48275862068966,-0.346,0.831,0.451
164400,1755602235598,19.84,63.64,60.32,778,778,781,373,815,33.333333333333336,-0.346,0.83,0.448
164430,1755602235601,19.82,63.6,60.34,780,782,785,328,815,33.333333333333336,-0.344,0.829,0.446
164459,1755602235602,19.8,63.55,60.35,776,770,775,368,827,34.48275862068966,-0.343,0.83,0.447
164489,1755602235605,19.79,63.55,60.36,775,780,776,411,814,33.333333333333336,-0.344,0.831,0.45
164519,1755602235607,19.8,63.57,60.38,774,773,778,403,820,33.333333333333336,-0.345,0.833,0.45
164549,1755602235608,19.81,63.58,60.39,777,776,783,338,817,33.333333333333336,-0.345,0.831,0.448
164578,1755602235610,19.82,63.53,60.37,774,777,776,323,817,34.48275862068966,-0.345,0.83,0.447
164608,1755602235612,19.81,63.53,60.42,776,779,781,373,817,33.333333333333336,-0.347,0.833,0.449
164638,1755602235614,19.82,63.55,60.44,777,779,781,415,820,33.333333333333336,-0.346,0.832,0.45
164667,1755602235616,19.82,63.52,60.45,780,780,781,370,819,34.48275862068966,-0.343,0.83,0.449
164697,1755602235618,19.8,63.51,60.46,772,776,785,336,823,33.333333333333336,-0.344,0.831,0.449
164717,1755602235620,19.81,63.49,60.46,771,781,792,403,831,50.0,-0.345,0.831,0.451
164747,1755602235622,19.81,63.49,60.48,779,784,780,346,813,33.333333333333336,-0.345,0.83,0.45
164777,1755602235624,19.8,63.49,60.52,783,774,780,369,819,33.333333333333336,-0.344,0.83,0.449
164806,1755602235626,19.79,63.47,60.54,780,780,779,435,819,34.48275862068966,-0.343,0.83,0.449
164836,1755602235629,19.78,63.47,60.56,776,778,784,424,819,33.333333333333336,-0.343,0.831,0.449
164866,1755602235630,19.79,63.48,60.57,777,783,777,343,821,33.333333333333336,-0.343,0.832,0.45
164895,1755602235632,19.79,63.48,60.57,777,785,783,342,820,34.48275862068966,-0.342,0.831,0.449
164925,1755602235634,19.78,63.47,60.58,781,778,782,376,815,33.333333333333336,-0.343,0.831,0.449
164955,1755602235636,19.77,63.45,60.61,779,785,784,423,820,33.333333333333336,-0.343,0.831,0.449
164985,1755602235638,19.78,63.47,60.62,777,779,771,399,828,33.333333333333336,-0.342,0.832,0.449
165014,1755602235641,19.78,63.47,60.62,777,783,783,334,814,34.48275862068966,-0.342,0.831,0.449
165044,1755602235642,19.78,63.45,60.63,779,770,780,340,819,33.333333333333336,-0.342,0.83,0.449
165074,1755602235645,19.78,63.43,60.64,781,779,785,394,817,33.333333333333336,-0.343,0.831,0.45
165104,1755602235647,19.79,63.44,60.67,776,771,777,399,823,33.333333333333336,-0.343,0.83,0.45
165134,1755602235649,19.8,63.45,60.69,779,783,783,350,819,33.333333333333336,-0.343,0.831,0.449
165164,1755602235651,19.81,63.44,60.71,778,777,784,328,819,33.333333333333336,-0.342,0.83,0.449
165193,1755602235653,19.8,63.43,60.73,781,780,782,352,819,34.48275862068966,-0.341,0.831,0.448
165223,1755602235655,19.8,63.44,60.73,779,780,777,408,819,33.333333333333336,-0.341,0.831,0.449
165253,1755602235657,19.8,63.44,60.75,775,772,782,422,824,33.333333333333336,-0.342,0.83,0.45
165283,1755602235659,19.81,63.44,60.76,768,782,786,316,817,33.333333333333336,-0.342,0.831,0.448
165313,1755602235661,19.81,63.44,60.77,775,779,775,322,817,33.333333333333336,-0.342,0.831,0.448
