timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
68326,1755602780529,15.78,13.75,-0.17,787,883,766,386,839,34.48275862068966,-0.267,0.237,0.941
68356,1755602780531,15.76,13.76,-0.19,781,880,779,414,816,33.333333333333336,-0.267,0.235,0.943
68385,1755602780533,15.75,13.77,-0.2,789,884,773,368,815,34.48275862068966,-0.268,0.233,0.944
68406,1755602780535,15.76,13.79,-0.2,786,877,773,356,814,47.61904761904762,-0.269,0.232,0.945
68435,1755602780537,15.76,13.83,-0.19,789,871,779,363,820,34.48275862068966,-0.271,0.232,0.944
68465,1755602780539,15.75,13.85,-0.18,788,882,775,313,813,33.333333333333336,-0.269,0.234,0.942
68495,1755602780541,15.76,13.85,-0.18,790,879,775,334,812,33.333333333333336,-0.269,0.235,0.942
68524,1755602780543,15.76,13.84,-0.18,788,879,777,426,837,34.48275862068966,-0.269,0.235,0.943
68553,1755602780545,15.74,13.86,-0.18,785,876,775,397,820,34.48275862068966,-0.267,0.235,0.943
68583,1755602780547,15.75,13.86,-0.19,783,866,777,327,817,33.333333333333336,-0.266,0.236,0.943
68612,1755602780548,15.72,13.87,-0.19,778,886,772,345,815,34.48275862068966,-0.267,0.237,0.943
68642,1755602780551,15.73,13.87,-0.21,783,882,775,371,816,33.333333333333336,-0.267,0.236,0.943
68671,1755602780552,15.74,13.87,-0.21,784,877,773,399,814,34.48275862068966,-0.268,0.235,0.943
68701,1755602780554,15.73,13.87,-0.21,783,875,773,338,818,33.333333333333336,-0.267,0.236,0.943
68730,1755602780557,15.73,13.86,-0.21,786,886,776,327,817,34.48275862068966,-0.268,0.237,0.942
68760,1755602780558,15.72,13.85,-0.22,787,882,772,384,820,33.333333333333336,-0.268,0.236,0.943
68790,1755602780561,15.73,13.85,-0.22,790,877,773,432,820,33.333333333333336,-0.27,0.235,0.944
68819,1755602780563,15.74,13.85,-0.2,791,876,771,405,816,34.48275862068966,-0.27,0.235,0.945
68849,1755602780565,15.77,13.84,-0.18,781,884,773,323,814,33.333333333333336,-0.268,0.235,0.944
68879,1755602780567,15.74,13.85,-0.17,788,879,770,339,810,33.333333333333336,-0.265,0.236,0.944
68908,1755602780569,15.74,13.84,-0.18,784,876,777,418,818,34.48275862068966,-0.265,0.236,0.945
68938,1755602780571,15.74,13.85,-0.19,785,878,779,403,814,33.333333333333336,-0.266,0.235,0.946
68967,1755602780573,15.75,13.87,-0.18,782,888,772,335,812,34.48275862068966,-0.269,0.235,0.945
68997,1755602780575,15.77,13.88,-0.16,777,881,769,312,810,33.333333333333336,-0.268,0.236,0.943
69026,1755602780577,15.75,13.88,-0.15,787,878,787,383,813,34.48275862068966,-0.266,0.237,0.942
69046,1755602780580,15.74,13.87,-0.15,786,883,774,346,816,50.0,-0.265,0.238,0.942
69076,1755602780581,15.75,13.88,-0.17,780,885,769,412,815,33.333333333333336,-0.265,0.238,0.944
69106,1755602780584,15.72,13.9,-0.17,784,876,773,424,806,33.333333333333336,-0.266,0.237,0.945
69135,1755602780586,15.72,13.9,-0.19,780,877,769,384,812,34.48275862068966,-0.265,0.237,0.943
69155,1755602780588,15.73,13.9,-0.2,786,880,772,429,815,50.0,-0.265,0.237,0.942
69185,1755602780589,15.71,13.9,-0.22,785,878,769,368,813,33.333333333333336,-0.266,0.237,0.942
69214,1755602780592,15.71,13.9,-0.24,785,879,768,320,819,34.48275862068966,-0.266,0.236,0.944
69234,1755602780593,15.71,13.9,-0.24,783,880,774,400,815,50.0,-0.267,0.236,0.945
69264,1755602780595,15.71,13.91,-0.26,789,871,771,342,816,33.333333333333336,-0.267,0.236,0.944
69293,1755602780598,15.7,13.92,-0.26,787,875,776,376,813,34.48275862068966,-0.267,0.236,0.943
69323,1755602780600,15.7,13.92,-0.28,785,871,773,432,811,33.333333333333336,-0.267,0.236,0.944
69352,1755602780602,15.72,13.92,-0.29,784,878,772,354,816,34.48275862068966,-0.267,0.236,0.944
69382,1755602780603,15.72,13.93,-0.3,787,884,772,318,816,33.333333333333336,-0.266,0.237,0.944
69411,1755602780606,15.72,13.92,-0.31,783,881,770,359,814,34.48275862068966,-0.266,0.236,0.943
69441,1755602780608,15.72,13.91,-0.32,785,885,776,421,811,33.333333333333336,-0.266,0.236,0.944
69470,1755602780610,15.72,13.92,-0.34,779,882,771,393,813,34.48275862068966,-0.267,0.236,0.944
69500,1755602780612,15.7,13.95,-0.34,784,880,768,320,815,33.333333333333336,-0.267,0.236,0.943
69520,1755602780614,15.71,13.95,-0.35,785,883,772,406,814,50.0,-0.268,0.235,0.943
69549,1755602780616,15.7,13.94,-0.34,786,887,775,324,815,34.48275862068966,-0.268,0.235,0.943
69578,1755602780618,15.69,13.95,-0.34,784,884,775,345,810,34.48275862068966,-0.267,0.237,0.943
69608,1755602780620,15.69,13.94,-0.35,782,876,771,418,824,33.333333333333336,-0.266,0.237,0.943
69637,1755602780622,15.67,13.95,-0.36,781,880,776,399,813,34.48275862068966,-0.266,0.236,0.943
69667,1755602780624,15.69,13.94,-0.38,783,884,772,342,818,33.333333333333336,-0.267,0.236,0.943
69696,1755602780627,15.69,13.94,-0.38,788,875,773,333,819,34.48275862068966,-0.267,0.236,0.944
69725,1755602780628,15.7,13.95,-0.38,783,880,772,410,812,34.48275862068966,-0.267,0.237,0.943
69755,1755602780631,15.69,13.96,-0.39,780,883,775,419,814,33.333333333333336,-0.267,0.236,0.943
69784,1755602780633,15.69,13.95,-0.39,794,877,773,350,804,34.48275862068966,-0.267,0.235,0.942
69814,1755602780635,15.7,13.95,-0.4,785,877,771,319,822,33.333333333333336,-0.268,0.235,0.943
69843,1755602780637,15.69,13.96,-0.39,787,874,776,371,817,34.48275862068966,-0.268,0.235,0.944
69873,1755602780639,15.71,13.97,-0.39,783,873,774,421,815,33.333333333333336,-0.267,0.235,0.943
69903,1755602780641,15.7,13.97,-0.39,781,881,771,392,812,33.333333333333336,-0.266,0.236,0.943
69932,1755602780643,15.7,13.97,-0.39,785,888,771,329,814,34.48275862068966,-0.266,0.236,0.943
69962,1755602780645,15.7,13.97,-0.4,777,875,772,362,813,33.333333333333336,-0.265,0.236,0.943
69991,1755602780647,15.69,13.97,-0.42,782,880,770,422,825,34.48275862068966,-0.265,0.236,0.943
70021,1755602780649,15.66,13.98,-0.42,781,884,771,400,810,33.333333333333336,-0.266,0.237,0.943
70050,1755602780651,15.65,13.97,-0.43,789,873,777,334,824,34.48275862068966,-0.266,0.236,0.944
