timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
21422,1755603569646,22.37,-37.24,-15.22,777,900,776,382,878,34.48275862068966,-0.344,-0.634,0.683
21452,1755603569676,22.34,-37.4,-15.25,772,900,772,448,881,33.333333333333336,-0.346,-0.637,0.688
21481,1755603569705,22.42,-37.48,-15.22,777,900,768,380,875,34.48275862068966,-0.349,-0.637,0.693
21511,1755603569735,22.68,-37.28,-15.05,776,915,771,310,884,33.333333333333336,-0.346,-0.635,0.693
21540,1755603569765,22.59,-37.52,-15.19,774,895,781,327,870,34.48275862068966,-0.347,-0.636,0.686
21570,1755603569795,22.35,-37.76,-15.32,771,891,771,424,874,33.333333333333336,-0.352,-0.634,0.686
21600,1755603569824,22.49,-37.52,-15.16,775,905,773,429,869,33.333333333333336,-0.349,-0.632,0.688
21629,1755603569853,22.26,-37.74,-15.34,769,900,770,303,884,34.48275862068966,-0.35,-0.635,0.688
21659,1755603569883,21.96,-37.86,-15.45,774,898,773,324,868,33.333333333333336,-0.352,-0.638,0.695
21688,1755603569912,22.08,-37.69,-15.36,776,901,772,422,871,34.48275862068966,-0.352,-0.64,0.7
21718,1755603569942,22.15,-37.64,-15.35,771,895,773,435,872,33.333333333333336,-0.351,-0.64,0.698
21747,1755603569972,21.99,-37.85,-15.43,776,893,772,361,871,34.48275862068966,-0.35,-0.639,0.695
21777,1755603570001,22.13,-37.81,-15.3,776,899,770,330,869,33.333333333333336,-0.352,-0.635,0.694
21807,1755603570031,22.31,-37.63,-15.16,777,901,778,384,874,33.333333333333336,-0.349,-0.63,0.693
21836,1755603570060,22.07,-37.85,-15.28,776,894,770,448,899,34.48275862068966,-0.35,-0.629,0.691
21866,1755603570090,22.01,-37.93,-15.26,773,913,767,419,877,33.333333333333336,-0.352,-0.629,0.692
21895,1755603570120,22.15,-37.93,-15.14,773,904,776,304,863,34.48275862068966,-0.354,-0.629,0.695
21925,1755603570149,22.01,-38.16,-15.2,774,894,771,316,873,33.333333333333336,-0.354,-0.629,0.694
21955,1755603570179,21.88,-38.3,-15.19,775,903,771,423,876,33.333333333333336,-0.354,-0.627,0.696
21984,1755603570208,21.92,-38.32,-15.11,763,895,772,435,874,34.48275862068966,-0.351,-0.625,0.695
22014,1755603570238,21.85,-38.42,-15.12,769,897,770,353,874,33.333333333333336,-0.35,-0.624,0.694
22043,1755603570267,21.83,-38.59,-15.12,775,894,767,314,868,34.48275862068966,-0.349,-0.624,0.694
22072,1755603570297,21.89,-38.67,-15.06,772,896,777,392,872,34.48275862068966,-0.35,-0.625,0.694
22102,1755603570327,21.82,-38.87,-15.11,773,899,769,437,864,33.333333333333336,-0.351,-0.628,0.694
22132,1755603570356,21.74,-39.07,-15.14,767,901,782,349,875,33.333333333333336,-0.351,-0.63,0.694
22161,1755603570385,21.67,-39.24,-15.15,774,894,778,297,872,34.48275862068966,-0.352,-0.631,0.695
22191,1755603570415,21.7,-39.38,-15.12,772,899,780,321,894,33.333333333333336,-0.351,-0.63,0.693
22220,1755603570445,21.66,-39.57,-15.12,766,895,771,419,867,34.48275862068966,-0.351,-0.632,0.693
22250,1755603570474,21.56,-39.67,-15.15,773,900,779,403,874,33.333333333333336,-0.351,-0.632,0.695
22279,1755603570504,21.53,-39.58,-15.14,773,891,765,320,876,34.48275862068966,-0.349,-0.63,0.696
22309,1755603570533,21.5,-39.55,-15.2,775,896,774,319,873,33.333333333333336,-0.347,-0.628,0.695
22338,1755603570562,21.45,-39.57,-15.28,775,899,772,443,873,34.48275862068966,-0.347,-0.628,0.695
22368,1755603570592,21.42,-39.55,-15.35,781,918,781,445,869,33.333333333333336,-0.347,-0.63,0.696
22397,1755603570622,21.44,-39.46,-15.36,772,887,764,365,877,34.48275862068966,-0.347,-0.632,0.696
22427,1755603570651,21.47,-39.49,-15.37,771,894,766,318,872,33.333333333333336,-0.347,-0.633,0.694
22456,1755603570681,21.52,-39.49,-15.36,772,891,785,375,857,34.48275862068966,-0.349,-0.634,0.696
22486,1755603570710,21.57,-39.45,-15.35,778,883,770,439,867,33.333333333333336,-0.348,-0.632,0.695
22515,1755603570739,21.6,-39.41,-15.34,761,900,770,404,886,34.48275862068966,-0.347,-0.631,0.695
22545,1755603570769,21.63,-39.4,-15.34,774,889,769,335,872,33.333333333333336,-0.345,-0.63,0.694
