timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
184437,1755604001401,67.36,-98.5,-50.2,776,783,770,308,897,34.48275862068966,-0.925,-0.382,-0.057
184467,1755604001403,67.36,-98.5,-50.21,778,778,770,335,894,33.333333333333336,-0.925,-0.382,-0.056
184497,1755604001405,67.34,-98.5,-50.22,775,776,775,381,897,33.333333333333336,-0.925,-0.383,-0.056
184527,1755604001407,67.33,-98.48,-50.23,772,778,766,418,895,33.333333333333336,-0.925,-0.383,-0.056
184557,1755604001409,67.36,-98.48,-50.23,770,778,764,407,897,33.333333333333336,-0.926,-0.383,-0.057
184587,1755604001411,67.37,-98.5,-50.23,780,772,774,346,904,33.333333333333336,-0.926,-0.382,-0.056
184617,1755604001414,67.36,-98.49,-50.24,783,776,779,352,895,33.333333333333336,-0.925,-0.382,-0.057
184647,1755604001415,67.31,-98.48,-50.26,767,780,770,408,886,33.333333333333336,-0.925,-0.383,-0.056
184677,1755604001418,67.33,-98.51,-50.28,772,775,767,409,887,33.333333333333336,-0.925,-0.385,-0.057
184706,1755604001419,67.38,-98.51,-50.28,779,778,772,386,901,34.48275862068966,-0.926,-0.384,-0.056
184727,1755604001422,67.4,-98.51,-50.29,771,780,765,368,905,47.61904761904762,-0.925,-0.384,-0.054
184747,1755604001424,67.39,-98.5,-50.29,771,776,775,346,903,50.0,-0.924,-0.384,-0.055
184767,1755604001426,67.38,-98.5,-50.3,775,776,763,329,887,50.0,-0.924,-0.385,-0.057
184787,1755604001429,67.38,-98.5,-50.3,770,780,770,360,899,50.0,-0.925,-0.385,-0.058
184807,1755604001431,67.4,-98.5,-50.31,772,782,767,430,904,50.0,-0.925,-0.384,-0.057
184827,1755604001433,67.42,-98.51,-50.31,774,780,771,417,899,50.0,-0.926,-0.383,-0.055
184848,1755604001435,67.43,-98.5,-50.32,770,774,770,356,899,47.61904761904762,-0.925,-0.383,-0.054
184868,1755604001437,67.42,-98.49,-50.33,778,776,773,321,910,50.0,-0.925,-0.384,-0.057
184888,1755604001439,67.4,-98.48,-50.33,771,779,763,379,899,50.0,-0.925,-0.385,-0.058
184918,1755604001440,67.4,-98.48,-50.33,775,781,768,364,899,33.333333333333336,-0.924,-0.385,-0.057
184948,1755604001442,67.41,-98.47,-50.33,780,782,767,389,905,33.333333333333336,-0.925,-0.384,-0.056
184968,1755604001445,67.41,-98.47,-50.34,770,781,770,347,899,50.0,-0.925,-0.383,-0.057
184998,1755604001447,67.4,-98.48,-50.35,776,780,770,384,895,33.333333333333336,-0.925,-0.384,-0.058
185028,1755604001449,67.39,-98.5,-50.36,777,783,768,408,910,33.333333333333336,-0.925,-0.384,-0.058
185048,1755604001451,67.4,-98.5,-50.36,771,779,767,358,898,50.0,-0.925,-0.384,-0.058
185068,1755604001454,67.42,-98.51,-50.36,773,771,773,338,896,50.0,-0.926,-0.384,-0.057
185088,1755604001456,67.44,-98.51,-50.36,770,776,775,381,900,50.0,-0.925,-0.384,-0.057
185118,1755604001458,67.45,-98.52,-50.37,774,778,770,362,895,33.333333333333336,-0.925,-0.383,-0.057
185148,1755604001460,67.43,-98.51,-50.38,779,781,769,405,899,33.333333333333336,-0.925,-0.383,-0.058
185168,1755604001461,67.43,-98.51,-50.39,774,782,772,352,897,50.0,-0.925,-0.383,-0.058
185188,1755604001464,67.44,-98.51,-50.39,772,778,775,399,894,50.0,-0.926,-0.383,-0.058
185208,1755604001466,67.45,-98.52,-50.39,780,782,774,440,896,50.0,-0.925,-0.383,-0.059
185238,1755604001468,67.46,-98.55,-50.4,776,778,773,364,897,33.333333333333336,-0.925,-0.384,-0.059
185268,1755604001470,67.45,-98.54,-50.41,773,767,773,329,884,33.333333333333336,-0.925,-0.384,-0.058
