timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
144399,1755604200307,8.64,67.44,-17.95,804,844,815,327,869,34.48275862068966,-0.139,0.916,0.389
144429,1755604200309,8.65,67.42,-17.99,799,840,812,352,849,33.333333333333336,-0.14,0.915,0.39
144458,1755604200311,8.62,67.42,-17.96,805,844,808,409,846,34.48275862068966,-0.14,0.915,0.39
144488,1755604200313,8.6,67.39,-17.96,801,844,803,413,845,33.333333333333336,-0.139,0.915,0.388
144517,1755604200315,8.58,67.27,-17.98,798,848,812,336,844,34.48275862068966,-0.139,0.915,0.388
144547,1755604200317,8.54,67.28,-17.95,797,847,803,337,846,33.333333333333336,-0.139,0.915,0.392
144576,1755604200319,8.57,67.3,-17.97,797,843,810,372,844,34.48275862068966,-0.139,0.916,0.393
144606,1755604200321,8.57,67.32,-17.97,804,846,801,398,850,33.333333333333336,-0.139,0.916,0.392
144636,1755604200324,8.55,67.3,-17.98,806,832,809,375,837,33.333333333333336,-0.139,0.914,0.391
144665,1755604200326,8.55,67.3,-17.98,802,848,816,301,841,34.48275862068966,-0.139,0.915,0.392
144695,1755604200328,8.53,67.29,-17.98,802,850,814,339,851,33.333333333333336,-0.138,0.914,0.393
144724,1755604200330,8.55,67.74,-17.98,799,836,808,409,847,34.48275862068966,-0.139,0.915,0.394
144754,1755604200332,8.55,67.74,-17.97,797,847,809,358,842,33.333333333333336,-0.138,0.915,0.394
144784,1755604200334,8.55,67.71,-17.98,803,844,809,338,843,33.333333333333336,-0.136,0.913,0.392
144813,1755604200336,8.55,67.7,-18.0,793,833,814,354,842,34.48275862068966,-0.137,0.915,0.391
144843,1755604200337,8.55,67.71,-18.0,806,839,808,381,843,33.333333333333336,-0.137,0.915,0.392
144873,1755604200339,8.57,67.66,-18.02,792,836,810,407,849,33.333333333333336,-0.137,0.913,0.391
144893,1755604200341,8.57,67.65,-18.03,802,857,807,365,848,50.0,-0.137,0.914,0.392
144923,1755604200343,8.56,67.62,-18.03,804,844,812,394,839,33.333333333333336,-0.137,0.914,0.393
144952,1755604200345,8.57,67.59,-18.05,811,835,816,366,849,34.48275862068966,-0.138,0.913,0.392
144982,1755604200348,8.57,67.59,-18.05,803,837,811,347,854,33.333333333333336,-0.139,0.914,0.395
145011,1755604200349,8.57,67.6,-18.05,801,840,816,363,849,34.48275862068966,-0.139,0.914,0.394
145041,1755604200351,8.57,67.58,-18.07,800,841,799,400,847,33.333333333333336,-0.138,0.913,0.394
145071,1755604200353,8.54,67.58,-18.05,793,833,813,386,850,33.333333333333336,-0.138,0.915,0.394
145101,1755604200356,8.54,67.62,-18.07,803,835,809,335,844,33.333333333333336,-0.138,0.915,0.397
145130,1755604200357,8.55,67.62,-18.08,803,842,816,330,849,34.48275862068966,-0.137,0.914,0.394
145160,1755604200360,8.53,67.6,-18.08,804,841,814,379,843,33.333333333333336,-0.136,0.914,0.391
145189,1755604200361,8.53,67.62,-18.12,799,837,810,383,852,34.48275862068966,-0.136,0.916,0.393
145219,1755604200363,8.54,67.61,-18.15,795,843,802,347,848,33.333333333333336,-0.137,0.915,0.394
145249,1755604200365,8.54,67.6,-18.15,802,840,808,346,843,33.333333333333336,-0.137,0.914,0.392
145278,1755604200367,8.53,67.59,-18.17,805,846,813,352,846,34.48275862068966,-0.137,0.915,0.391
145307,1755604200369,8.54,67.57,-18.18,799,835,811,409,849,34.48275862068966,-0.138,0.915,0.394
