timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
151727,1755604452185,77.66,-41.33,-64.1,782,855,834,379,880,34.48275862068966,-0.98,-0.148,0.165
151757,1755604452187,77.7,-41.33,-64.11,782,864,825,314,875,33.333333333333336,-0.982,-0.148,0.165
151786,1755604452189,77.7,-41.34,-64.1,780,865,820,350,877,34.48275862068966,-0.979,-0.148,0.165
151816,1755604452191,77.73,-41.34,-64.11,776,861,843,411,879,33.333333333333336,-0.979,-0.148,0.164
151845,1755604452193,77.74,-41.4,-64.12,777,863,832,397,880,34.48275862068966,-0.98,-0.149,0.163
151875,1755604452195,77.75,-41.41,-64.12,782,870,829,353,880,33.333333333333336,-0.979,-0.147,0.165
151904,1755604452197,77.77,-41.39,-64.13,784,859,829,322,889,34.48275862068966,-0.979,-0.145,0.166
151934,1755604452199,77.73,-41.37,-64.14,782,862,835,391,878,33.333333333333336,-0.978,-0.144,0.166
151964,1755604452201,77.74,-41.35,-64.17,786,872,826,407,881,33.333333333333336,-0.978,-0.144,0.166
151993,1755604452202,77.71,-41.32,-64.2,780,862,812,392,880,34.48275862068966,-0.978,-0.144,0.166
152023,1755604452205,77.7,-41.28,-64.23,784,870,834,322,881,33.333333333333336,-0.978,-0.145,0.165
152052,1755604452206,77.65,-41.28,-64.26,784,859,825,356,882,34.48275862068966,-0.98,-0.147,0.165
152082,1755604452209,77.62,-41.28,-64.25,780,860,833,406,877,33.333333333333336,-0.981,-0.148,0.165
152102,1755604452211,77.59,-41.29,-64.24,785,865,839,323,881,50.0,-0.981,-0.15,0.165
152132,1755604452213,77.59,-41.27,-64.24,782,864,823,398,873,33.333333333333336,-0.979,-0.15,0.165
152162,1755604452215,77.63,-41.31,-64.26,784,863,826,401,875,33.333333333333336,-0.978,-0.149,0.164
152191,1755604452217,77.64,-41.36,-64.28,783,862,826,333,881,34.48275862068966,-0.978,-0.148,0.164
152221,1755604452218,77.59,-41.38,-64.27,784,868,825,346,874,33.333333333333336,-0.98,-0.148,0.165
152251,1755604452220,77.54,-41.37,-64.26,784,868,830,398,884,33.333333333333336,-0.98,-0.147,0.167
152280,1755604452223,77.56,-41.34,-64.27,780,861,832,422,879,34.48275862068966,-0.979,-0.146,0.168
152310,1755604452225,77.52,-41.32,-64.27,784,861,831,404,883,33.333333333333336,-0.978,-0.146,0.167
