timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
106023,1755606186251,19.12,69.16,61.4,784,770,841,405,880,34.48275862068966,-0.325,0.88,0.363
106053,1755606186254,19.13,69.13,61.45,789,777,841,387,888,33.333333333333336,-0.32,0.879,0.362
106083,1755606186255,19.13,69.11,61.44,789,778,843,371,883,33.333333333333336,-0.316,0.881,0.366
106113,1755606186258,19.12,69.1,61.4,788,778,836,342,883,33.333333333333336,-0.32,0.882,0.365
106143,1755606186260,19.12,69.15,61.45,793,779,842,371,882,33.333333333333336,-0.323,0.88,0.363
106163,1755606186262,19.12,69.11,61.48,792,777,847,370,882,50.0,-0.323,0.878,0.362
106193,1755606186264,19.11,69.1,61.5,793,779,847,383,879,33.333333333333336,-0.322,0.881,0.362
106223,1755606186266,19.12,69.12,61.52,786,782,842,415,880,33.333333333333336,-0.32,0.881,0.363
106252,1755606186268,19.13,69.13,61.54,792,778,844,409,885,34.48275862068966,-0.321,0.88,0.367
106282,1755606186270,19.16,69.17,61.54,792,775,848,379,885,33.333333333333336,-0.321,0.882,0.366
106312,1755606186272,19.16,69.18,61.54,791,772,844,341,883,33.333333333333336,-0.319,0.879,0.362
106341,1755606186274,19.12,69.13,61.57,790,780,844,372,887,34.48275862068966,-0.322,0.88,0.361
106371,1755606186275,19.11,69.14,61.61,791,778,840,428,878,33.333333333333336,-0.326,0.884,0.364
106401,1755606186278,19.14,69.14,61.58,793,781,843,417,883,33.333333333333336,-0.326,0.88,0.366
106431,1755606186280,19.19,69.11,61.59,790,775,843,376,882,33.333333333333336,-0.325,0.877,0.368
106460,1755606186281,19.24,69.11,61.63,788,782,844,369,880,34.48275862068966,-0.32,0.88,0.367
106490,1755606186283,19.25,69.09,61.59,793,780,847,419,882,33.333333333333336,-0.317,0.883,0.365
106510,1755606186285,19.24,69.08,61.57,788,770,847,351,881,50.0,-0.316,0.881,0.364
106540,1755606186288,19.25,69.07,61.58,793,781,848,401,880,33.333333333333336,-0.321,0.881,0.363
106570,1755606186290,19.23,69.05,61.63,793,771,843,420,885,33.333333333333336,-0.323,0.88,0.362
106599,1755606186292,19.2,69.02,61.74,796,780,843,384,887,34.48275862068966,-0.324,0.878,0.361
106621,1755606186294,19.16,68.99,61.84,791,776,843,396,877,45.45454545454545,-0.32,0.878,0.363
106650,1755606186296,19.16,68.98,61.85,793,778,845,381,878,34.48275862068966,-0.32,0.882,0.365
106680,1755606186298,19.16,68.98,61.84,790,776,847,352,884,33.333333333333336,-0.319,0.879,0.368
106710,1755606186301,19.19,68.99,61.83,789,777,845,360,879,33.333333333333336,-0.321,0.879,0.367
106740,1755606186303,19.2,69.0,61.84,792,783,840,415,880,33.333333333333336,-0.32,0.881,0.366
106760,1755606186305,19.19,69.0,61.86,792,778,838,373,882,50.0,-0.317,0.881,0.365
106789,1755606186307,19.17,68.98,61.84,792,783,844,406,878,34.48275862068966,-0.315,0.882,0.362
106819,1755606186309,19.13,68.99,61.83,791,783,839,424,882,33.333333333333336,-0.316,0.881,0.362
106849,1755606186311,19.09,68.99,61.84,794,773,845,374,881,33.333333333333336,-0.319,0.881,0.364
106879,1755606186313,19.08,68.99,61.84,793,780,845,351,884,33.333333333333336,-0.32,0.881,0.364
106899,1755606186315,19.08,68.98,61.83,792,778,843,407,883,50.0,-0.322,0.881,0.364
106928,1755606186318,19.07,68.95,61.86,793,773,845,325,885,34.48275862068966,-0.323,0.879,0.366
106948,1755606186320,19.07,68.96,61.88,791,778,848,388,880,50.0,-0.322,0.878,0.365
106978,1755606186322,19.08,68.94,61.88,792,778,844,362,883,33.333333333333336,-0.32,0.88,0.363
107008,1755606186324,19.04,68.9,61.89,791,774,840,399,889,33.333333333333336,-0.322,0.878,0.368
107037,1755606186326,19.08,68.98,61.9,788,774,844,426,877,34.48275862068966,-0.325,0.88,0.37
107067,1755606186328,19.13,69.02,61.9,791,782,844,409,876,33.333333333333336,-0.324,0.88,0.364
107097,1755606186330,19.1,68.95,61.95,793,784,841,373,885,33.333333333333336,-0.32,0.876,0.362
107126,1755606186333,19.1,68.95,61.96,787,778,842,381,884,34.48275862068966,-0.322,0.88,0.367
107156,1755606186335,19.13,69.01,61.97,793,772,838,414,882,33.333333333333336,-0.323,0.883,0.367
107186,1755606186337,19.12,69.01,61.99,793,780,845,426,882,33.333333333333336,-0.321,0.878,0.365
107216,1755606186339,19.11,68.98,62.05,787,780,836,395,885,33.333333333333336,-0.319,0.877,0.367
107246,1755606186341,19.14,68.99,62.04,790,778,844,321,878,33.333333333333336,-0.32,0.882,0.366
107276,1755606186343,19.14,69.0,62.04,793,780,848,364,883,33.333333333333336,-0.318,0.881,0.362
107305,1755606186345,19.12,68.97,62.04,792,777,843,428,884,34.48275862068966,-0.32,0.879,0.364
107335,1755606186346,19.12,68.93,62.08,792,778,848,402,888,33.333333333333336,-0.323,0.879,0.369
107365,1755606186348,19.16,68.98,62.07,794,783,846,378,884,33.333333333333336,-0.321,0.882,0.366
107394,1755606186351,19.15,68.97,62.09,792,781,841,366,883,34.48275862068966,-0.318,0.879,0.363
107424,1755606186353,19.14,68.97,62.1,788,779,844,407,884,33.333333333333336,-0.32,0.881,0.363
107454,1755606186355,19.13,68.95,62.13,794,784,846,434,883,33.333333333333336,-0.321,0.881,0.365
107484,1755606186357,19.13,68.9,62.12,787,771,837,399,886,33.333333333333336,-0.321,0.879,0.365
107504,1755606186359,19.15,68.89,62.13,791,782,849,410,879,50.0,-0.322,0.878,0.369
107533,1755606186361,19.18,68.94,62.17,793,777,840,404,885,34.48275862068966,-0.321,0.882,0.369
107563,1755606186363,19.19,68.95,62.15,793,780,840,353,886,33.333333333333336,-0.318,0.88,0.364
107593,1755606186365,19.15,68.92,62.15,793,777,845,368,883,33.333333333333336,-0.318,0.877,0.364
107622,1755606186367,19.18,68.95,62.19,791,782,846,418,881,34.48275862068966,-0.321,0.881,0.369
107652,1755606186369,19.2,68.95,62.18,785,782,849,411,881,33.333333333333336,-0.32,0.878,0.364
107682,1755606186371,19.17,68.92,62.19,793,781,846,368,881,33.333333333333336,-0.32,0.877,0.361
107712,1755606186373,19.13,68.87,62.24,792,781,844,337,882,33.333333333333336,-0.321,0.878,0.366
107741,1755606186375,19.14,68.88,62.24,791,777,847,391,884,34.48275862068966,-0.319,0.884,0.366
107771,1755606186378,19.11,68.93,62.24,786,792,843,412,889,33.333333333333336,-0.316,0.881,0.368
107791,1755606186379,19.11,68.88,62.25,795,783,841,380,884,50.0,-0.318,0.881,0.368
107821,1755606186382,19.09,68.92,62.26,789,778,850,410,881,33.333333333333336,-0.318,0.881,0.368
107851,1755606186384,19.13,68.97,62.25,792,779,843,399,882,33.333333333333336,-0.319,0.879,0.371
107881,1755606186386,19.15,69.01,62.27,793,774,844,309,880,33.333333333333336,-0.322,0.881,0.369
107911,1755606186388,19.15,68.96,62.31,791,776,844,348,885,33.333333333333336,-0.32,0.877,0.367
107940,1755606186390,19.16,68.94,62.31,791,774,840,403,876,34.48275862068966,-0.318,0.878,0.367
107970,1755606186392,19.16,69.0,62.33,791,780,848,428,879,33.333333333333336,-0.319,0.882,0.368
108000,1755606186394,19.17,69.05,62.33,788,771,839,406,877,33.333333333333336,-0.319,0.88,0.365
108020,1755606186396,19.17,69.01,62.34,790,778,837,407,885,50.0,-0.318,0.876,0.363
108049,1755606186398,19.17,69.01,62.35,793,782,845,395,881,34.48275862068966,-0.319,0.879,0.364
108079,1755606186400,19.15,69.02,62.34,791,771,837,371,884,33.333333333333336,-0.321,0.882,0.364
108109,1755606186403,19.12,68.99,62.4,790,778,843,388,879,33.333333333333336,-0.322,0.877,0.366
108129,1755606186405,19.11,69.0,62.44,790,778,846,391,883,50.0,-0.322,0.876,0.367
108159,1755606186407,19.12,69.01,62.46,788,779,848,392,883,33.333333333333336,-0.32,0.879,0.367
108179,1755606186409,19.12,69.01,62.45,791,779,846,384,885,50.0,-0.319,0.881,0.365
