timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
211788,1755606810356,56.72,-72.15,4.65,800,768,849,335,917,33.333333333333336,-0.836,-0.523,0.165
211817,1755606810358,56.66,-72.18,4.66,803,775,852,400,914,34.48275862068966,-0.836,-0.521,0.163
211847,1755606810359,56.61,-72.19,4.66,798,772,874,414,914,33.333333333333336,-0.836,-0.521,0.165
211877,1755606810362,56.59,-72.18,4.67,797,778,855,375,916,33.333333333333336,-0.836,-0.522,0.169
211906,1755606810364,56.61,-72.14,4.7,799,779,861,331,915,34.48275862068966,-0.836,-0.521,0.171
211935,1755606810366,56.59,-72.09,4.71,800,775,850,361,914,34.48275862068966,-0.836,-0.522,0.168
211965,1755606810368,56.59,-72.07,4.73,799,777,851,421,914,33.333333333333336,-0.835,-0.522,0.166
211995,1755606810370,56.57,-72.1,4.73,801,774,841,402,912,33.333333333333336,-0.834,-0.522,0.167
212024,1755606810372,56.55,-72.09,4.74,794,772,850,317,914,34.48275862068966,-0.835,-0.522,0.169
212044,1755606810374,56.56,-72.07,4.74,799,778,861,403,912,50.0,-0.836,-0.522,0.171
212074,1755606810376,56.58,-72.03,4.75,798,774,859,356,917,33.333333333333336,-0.837,-0.522,0.173
212103,1755606810378,56.58,-71.99,4.75,801,767,851,343,913,34.48275862068966,-0.835,-0.522,0.17
212133,1755606810380,56.59,-71.99,4.74,800,780,845,392,916,33.333333333333336,-0.836,-0.522,0.168
212162,1755606810383,56.57,-72.0,4.74,796,774,847,405,908,34.48275862068966,-0.836,-0.523,0.168
212192,1755606810385,56.57,-71.99,4.75,798,764,848,368,909,33.333333333333336,-0.836,-0.522,0.17
212221,1755606810387,56.6,-71.95,4.76,799,774,856,341,910,34.48275862068966,-0.837,-0.522,0.174
212251,1755606810389,56.66,-71.91,4.79,800,774,851,396,917,33.333333333333336,-0.838,-0.522,0.173
212280,1755606810391,56.66,-71.9,4.8,797,776,851,438,914,34.48275862068966,-0.837,-0.521,0.169
212310,1755606810393,56.62,-71.91,4.81,800,776,853,402,912,33.333333333333336,-0.836,-0.521,0.166
212340,1755606810395,56.58,-71.96,4.8,797,777,861,336,912,33.333333333333336,-0.836,-0.52,0.167
212369,1755606810397,56.54,-71.98,4.81,798,777,852,351,910,34.48275862068966,-0.836,-0.52,0.17
212399,1755606810399,56.54,-71.98,4.82,796,775,853,420,914,33.333333333333336,-0.837,-0.521,0.171
212428,1755606810401,56.51,-71.98,4.84,801,775,857,419,911,34.48275862068966,-0.837,-0.522,0.172
212458,1755606810403,56.53,-71.98,4.86,802,775,855,374,924,33.333333333333336,-0.836,-0.521,0.173
212487,1755606810405,56.5,-71.96,4.86,797,776,853,352,913,34.48275862068966,-0.836,-0.52,0.172
212517,1755606810407,56.47,-71.95,4.88,799,780,849,409,919,33.333333333333336,-0.839,-0.521,0.17
212546,1755606810409,56.43,-71.97,4.92,803,777,865,422,913,34.48275862068966,-0.839,-0.52,0.169
212576,1755606810411,56.4,-71.99,4.94,800,769,848,397,915,33.333333333333336,-0.838,-0.521,0.171
212605,1755606810413,56.38,-71.99,4.95,794,779,852,344,913,34.48275862068966,-0.837,-0.521,0.172
212635,1755606810415,56.37,-71.95,4.98,800,779,848,347,910,33.333333333333336,-0.838,-0.522,0.173
212664,1755606810417,56.34,-71.88,5.03,800,779,851,419,922,34.48275862068966,-0.838,-0.52,0.175
212694,1755606810419,56.28,-71.82,5.07,797,770,846,413,912,33.333333333333336,-0.838,-0.519,0.174
212724,1755606810421,56.23,-71.82,5.13,796,780,853,353,909,33.333333333333336,-0.84,-0.519,0.173
212753,1755606810423,56.18,-71.8,5.18,801,776,848,330,906,34.48275862068966,-0.838,-0.516,0.175
212783,1755606810425,56.15,-71.73,5.21,794,768,855,402,912,33.333333333333336,-0.838,-0.515,0.178
212812,1755606810427,56.12,-71.69,5.23,796,775,854,431,916,34.48275862068966,-0.837,-0.518,0.175
212842,1755606810430,56.1,-71.68,5.27,798,779,850,378,913,33.333333333333336,-0.838,-0.518,0.176
212871,1755606810431,56.13,-71.67,5.28,801,775,853,333,918,34.48275862068966,-0.835,-0.512,0.181
212901,1755606810434,56.11,-71.61,5.28,798,778,850,371,912,33.333333333333336,-0.837,-0.513,0.181
212930,1755606810435,56.15,-71.61,5.29,797,772,851,425,907,34.48275862068966,-0.838,-0.517,0.178
212960,1755606810438,56.19,-71.61,5.31,801,774,848,396,904,33.333333333333336,-0.838,-0.517,0.178
212989,1755606810440,56.2,-71.61,5.32,796,773,862,338,911,34.48275862068966,-0.84,-0.515,0.178
