timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
21748,1755606889956,71.87,-63.52,-34.87,782,775,782,333,873,33.333333333333336,-0.956,-0.277,0.126
21778,1755606889985,71.96,-63.52,-34.9,780,768,781,405,870,33.333333333333336,-0.958,-0.28,0.123
21807,1755606890015,72.01,-63.63,-34.89,782,765,776,417,865,34.48275862068966,-0.959,-0.279,0.122
21837,1755606890044,72.04,-63.69,-34.88,780,773,783,336,871,33.333333333333336,-0.954,-0.283,0.121
21866,1755606890074,72.14,-63.8,-34.89,780,771,785,327,873,34.48275862068966,-0.955,-0.28,0.12
21895,1755606890103,72.08,-63.86,-34.85,781,3,782,360,871,34.48275862068966,-0.956,-0.276,0.118
21925,1755606890133,72.1,-63.99,-34.86,782,1,782,404,875,33.333333333333336,-0.957,-0.272,0.121
21954,1755606890162,72.04,-64.02,-34.86,783,3,781,381,872,34.48275862068966,-0.956,-0.271,0.12
21984,1755606890192,72.04,-64.08,-34.92,783,0,785,344,879,33.333333333333336,-0.957,-0.276,0.12
22014,1755606890221,72.0,-64.15,-34.9,779,0,783,310,877,33.333333333333336,-0.959,-0.277,0.118
22043,1755606890251,71.98,-64.22,-34.88,783,7,785,380,873,34.48275862068966,-0.957,-0.277,0.118
22073,1755606890280,71.98,-64.25,-34.88,782,0,779,409,874,33.333333333333336,-0.956,-0.279,0.119
22102,1755606890310,71.93,-64.22,-34.87,776,3,783,366,871,34.48275862068966,-0.955,-0.279,0.119
22132,1755606890339,71.95,-64.33,-34.87,786,0,785,343,870,33.333333333333336,-0.957,-0.276,0.118
22161,1755606890369,71.86,-64.42,-34.88,783,0,782,404,871,34.48275862068966,-0.956,-0.278,0.119
22191,1755606890399,71.78,-64.5,-35.0,793,6,778,414,871,33.333333333333336,-0.954,-0.277,0.117
22221,1755606890429,71.53,-64.49,-35.15,782,1,779,403,878,33.333333333333336,-0.952,-0.277,0.12
22250,1755606890458,71.36,-64.65,-35.28,782,5,776,340,868,34.48275862068966,-0.955,-0.277,0.122
22280,1755606890488,71.24,-64.73,-35.28,783,4,782,343,870,33.333333333333336,-0.961,-0.277,0.123
22300,1755606890508,71.19,-64.79,-35.28,783,0,782,366,873,50.0,-0.96,-0.282,0.129
22330,1755606890537,71.14,-64.8,-35.33,784,0,781,376,868,33.333333333333336,-0.955,-0.278,0.128
22359,1755606890567,70.95,-64.8,-35.38,784,0,784,424,873,34.48275862068966,-0.952,-0.282,0.13
22389,1755606890597,70.92,-64.77,-35.54,784,12,778,428,872,33.333333333333336,-0.955,-0.286,0.133
22419,1755606890626,70.72,-64.78,-35.61,783,12,782,375,870,33.333333333333336,-0.956,-0.289,0.134
22448,1755606890656,70.54,-64.71,-35.76,784,0,782,362,872,34.48275862068966,-0.946,-0.286,0.132
22478,1755606890685,70.47,-64.73,-35.83,780,0,782,397,869,33.333333333333336,-0.955,-0.286,0.139
22507,1755606890715,70.34,-64.65,-35.91,778,0,780,428,870,34.48275862068966,-0.953,-0.287,0.143
22537,1755606890745,70.28,-64.69,-36.08,783,6,783,394,874,33.333333333333336,-0.949,-0.286,0.144
22567,1755606890774,70.08,-64.63,-36.15,781,0,782,343,875,33.333333333333336,-0.949,-0.29,0.144
22596,1755606890804,70.09,-64.59,-36.17,782,3,777,367,869,34.48275862068966,-0.952,-0.294,0.146
22626,1755606890834,70.07,-64.62,-36.14,784,9,779,410,872,33.333333333333336,-0.954,-0.294,0.147
22656,1755606890863,70.01,-64.55,-36.09,783,0,783,406,872,33.333333333333336,-0.948,-0.296,0.15
22685,1755606890893,70.01,-64.47,-36.07,785,3,785,356,863,34.48275862068966,-0.948,-0.296,0.152
22715,1755606890922,70.05,-64.45,-36.05,784,2,778,338,867,33.333333333333336,-0.949,-0.296,0.153
22744,1755606890952,70.05,-64.42,-36.03,778,3,785,378,871,34.48275862068966,-0.947,-0.296,0.147
22774,1755606890982,70.01,-64.4,-36.03,783,1,781,410,879,33.333333333333336,-0.946,-0.296,0.147
22804,1755606891011,69.92,-64.42,-36.02,779,0,781,371,873,33.333333333333336,-0.948,-0.297,0.148
22833,1755606891041,69.93,-64.43,-36.06,784,0,784,332,871,34.48275862068966,-0.946,-0.297,0.15
22863,1755606891070,69.86,-64.4,-36.05,781,1,782,362,871,33.333333333333336,-0.945,-0.295,0.153
22892,1755606891100,69.83,-64.43,-36.1,785,4,781,400,869,34.48275862068966,-0.943,-0.298,0.153
22922,1755606891130,69.82,-64.41,-36.09,780,12,785,410,876,33.333333333333336,-0.948,-0.298,0.156
22952,1755606891159,69.78,-64.4,-36.09,785,0,781,340,872,33.333333333333336,-0.947,-0.297,0.157
22981,1755606891189,69.75,-64.36,-36.1,780,3,781,329,871,34.48275862068966,-0.946,-0.297,0.159
23011,1755606891219,69.69,-64.31,-36.12,782,6,782,342,864,33.333333333333336,-0.944,-0.299,0.159
23041,1755606891248,69.59,-64.23,-36.13,784,1,782,346,869,33.333333333333336,-0.943,-0.296,0.16
23070,1755606891278,69.56,-64.22,-36.17,780,10,783,343,869,34.48275862068966,-0.945,-0.296,0.159
23100,1755606891307,69.5,-64.14,-36.15,784,6,775,332,869,33.333333333333336,-0.944,-0.299,0.162
23129,1755606891337,69.5,-64.09,-36.16,784,0,780,341,874,34.48275862068966,-0.944,-0.297,0.162
23159,1755606891367,69.36,-64.07,-36.14,784,13,777,414,873,33.333333333333336,-0.943,-0.296,0.161
23188,1755606891396,69.33,-64.09,-36.21,782,3,783,393,873,34.48275862068966,-0.943,-0.297,0.163
23218,1755606891426,69.3,-64.03,-36.23,787,0,790,339,873,33.333333333333336,-0.945,-0.298,0.164
23248,1755606891455,69.31,-63.92,-36.24,784,3,782,340,875,33.333333333333336,-0.945,-0.299,0.168
23277,1755606891485,69.28,-63.83,-36.28,782,1,780,403,869,34.48275862068966,-0.942,-0.299,0.168
23307,1755606891515,69.25,-63.82,-36.44,783,0,780,417,866,33.333333333333336,-0.937,-0.299,0.166
23336,1755606891544,69.23,-63.8,-36.61,778,2,781,374,872,34.48275862068966,-0.938,-0.301,0.165
23366,1755606891574,69.17,-63.79,-36.66,784,2,784,354,866,33.333333333333336,-0.945,-0.302,0.165
23396,1755606891603,69.14,-63.75,-36.65,785,1,776,355,872,33.333333333333336,-0.945,-0.303,0.167
23425,1755606891633,69.12,-63.67,-36.61,777,0,781,419,874,34.48275862068966,-0.944,-0.305,0.171
23455,1755606891662,69.05,-63.49,-36.57,782,6,781,401,868,33.333333333333336,-0.94,-0.303,0.173
23484,1755606891692,69.02,-63.4,-36.62,783,0,776,344,871,34.48275862068966,-0.939,-0.302,0.173
23514,1755606891722,69.04,-63.4,-36.68,777,0,781,356,873,33.333333333333336,-0.938,-0.305,0.17
23543,1755606891751,69.01,-63.35,-36.67,780,0,781,391,875,34.48275862068966,-0.943,-0.307,0.17
23573,1755606891781,68.95,-63.25,-36.66,786,0,775,404,872,33.333333333333336,-0.938,-0.307,0.17
23603,1755606891811,68.94,-63.23,-36.67,780,0,784,353,871,33.333333333333336,-0.938,-0.307,0.17
23633,1755606891840,68.98,-63.2,-36.71,784,7,779,300,873,33.333333333333336,-0.939,-0.308,0.17
23662,1755606891870,68.96,-63.11,-36.68,784,0,778,351,874,34.48275862068966,-0.941,-0.307,0.173
23692,1755606891900,68.97,-63.03,-36.66,778,0,781,416,869,33.333333333333336,-0.938,-0.306,0.173
23722,1755606891929,68.94,-63.0,-36.65,780,0,771,409,870,33.333333333333336,-0.938,-0.307,0.173
23751,1755606891959,68.94,-63.0,-36.64,787,0,782,361,895,34.48275862068966,-0.939,-0.309,0.173
23781,1755606891989,68.97,-62.93,-36.64,784,0,787,358,873,33.333333333333336,-0.94,-0.309,0.174
23810,1755606892018,68.95,-62.86,-36.66,782,3,783,398,869,34.48275862068966,-0.938,-0.308,0.174
23840,1755606892048,68.97,-62.83,-36.7,782,1,785,425,866,33.333333333333336,-0.939,-0.308,0.173
23869,1755606892077,68.93,-62.78,-36.69,782,0,781,378,866,34.48275862068966,-0.941,-0.309,0.173
23899,1755606892107,68.93,-62.79,-36.7,781,8,781,330,869,33.333333333333336,-0.94,-0.31,0.172
23929,1755606892136,68.91,-62.8,-36.72,779,1,784,352,871,33.333333333333336,-0.94,-0.308,0.172
23958,1755606892166,68.89,-62.75,-36.72,779,2,784,406,873,34.48275862068966,-0.939,-0.308,0.172
23988,1755606892195,68.88,-62.7,-36.74,786,3,782,399,869,33.333333333333336,-0.94,-0.302,0.173
24017,1755606892225,68.86,-62.7,-36.73,782,0,782,353,873,34.48275862068966,-0.939,-0.305,0.173
24047,1755606892254,68.85,-62.7,-36.73,784,5,778,364,871,33.333333333333336,-0.937,-0.307,0.173
24076,1755606892284,68.83,-62.61,-36.72,780,1,781,419,872,34.48275862068966,-0.937,-0.306,0.173
24106,1755606892313,68.86,-62.57,-36.74,784,0,776,425,870,33.333333333333336,-0.939,-0.306,0.174
24135,1755606892343,68.86,-62.53,-36.73,780,2,777,378,880,34.48275862068966,-0.938,-0.308,0.174
24165,1755606892372,68.87,-62.51,-36.72,782,5,782,352,868,33.333333333333336,-0.939,-0.308,0.174
24194,1755606892402,68.88,-62.48,-36.71,782,0,778,391,872,34.48275862068966,-0.938,-0.307,0.175
24224,1755606892431,68.88,-62.51,-36.74,787,0,780,418,870,33.333333333333336,-0.936,-0.308,0.174
24253,1755606892461,68.91,-62.56,-36.78,778,3,788,383,875,34.48275862068966,-0.938,-0.308,0.173
24283,1755606892491,68.88,-62.51,-36.78,782,4,786,347,870,33.333333333333336,-0.938,-0.307,0.173
24312,1755606892520,68.93,-62.46,-36.8,785,4,781,358,869,34.48275862068966,-0.937,-0.309,0.174
24342,1755606892550,68.96,-62.4,-36.8,785,1,780,413,868,33.333333333333336,-0.938,-0.31,0.175
24371,1755606892579,68.98,-62.35,-36.8,784,0,783,403,879,34.48275862068966,-0.937,-0.31,0.174
24401,1755606892608,68.98,-62.31,-36.8,785,2,783,348,866,33.333333333333336,-0.937,-0.309,0.173
24430,1755606892638,69.0,-62.23,-36.81,785,4,776,361,875,34.48275862068966,-0.937,-0.31,0.172
24460,1755606892667,69.03,-62.18,-36.81,784,3,782,408,866,33.333333333333336,-0.938,-0.311,0.17
24489,1755606892697,69.02,-62.19,-36.83,783,0,778,406,871,34.48275862068966,-0.939,-0.311,0.17
24519,1755606892727,68.99,-62.16,-36.82,781,5,783,366,871,33.333333333333336,-0.937,-0.31,0.169
