timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
116693,1755607251693,37.08,-155.81,-22.03,795,776,836,396,876,34.48275862068966,-0.602,-0.321,-0.736
116723,1755607251695,37.09,-155.87,-22.02,797,779,840,422,876,33.333333333333336,-0.603,-0.321,-0.734
116752,1755607251697,37.14,-155.87,-22.01,797,777,838,386,876,34.48275862068966,-0.603,-0.32,-0.732
116782,1755607251699,37.16,-155.83,-21.99,797,778,843,358,879,33.333333333333336,-0.601,-0.32,-0.735
116812,1755607251701,37.15,-155.87,-21.98,798,775,836,377,878,33.333333333333336,-0.603,-0.32,-0.735
116841,1755607251703,37.18,-155.86,-21.98,797,777,841,407,875,34.48275862068966,-0.602,-0.318,-0.733
116871,1755607251705,37.23,-155.85,-21.98,792,777,841,355,877,33.333333333333336,-0.602,-0.32,-0.734
116900,1755607251707,37.26,-155.88,-21.98,799,778,839,339,874,34.48275862068966,-0.601,-0.321,-0.736
116930,1755607251709,37.26,-155.89,-21.98,794,774,844,334,875,33.333333333333336,-0.601,-0.319,-0.735
116959,1755607251711,37.28,-155.85,-21.98,790,771,841,366,881,34.48275862068966,-0.599,-0.319,-0.735
116989,1755607251713,37.25,-155.86,-21.99,794,773,843,403,877,33.333333333333336,-0.598,-0.32,-0.737
117019,1755607251715,37.25,-155.9,-22.0,794,773,848,340,873,33.333333333333336,-0.598,-0.321,-0.736
117039,1755607251717,37.23,-155.9,-22.0,794,777,840,373,883,50.0,-0.6,-0.32,-0.736
117069,1755607251719,37.24,-155.9,-21.99,794,771,838,364,876,33.333333333333336,-0.602,-0.32,-0.734
117099,1755607251721,37.28,-155.86,-21.95,794,775,842,353,877,33.333333333333336,-0.6,-0.32,-0.734
117128,1755607251723,37.29,-155.85,-21.95,794,766,842,353,875,34.48275862068966,-0.599,-0.321,-0.739
117158,1755607251725,37.23,-155.86,-21.94,795,774,842,390,876,33.333333333333336,-0.598,-0.32,-0.739
117187,1755607251727,37.23,-155.86,-21.94,794,774,843,398,878,34.48275862068966,-0.601,-0.32,-0.735
117217,1755607251730,37.27,-155.86,-21.92,795,773,842,352,874,33.333333333333336,-0.602,-0.321,-0.734
117246,1755607251732,37.29,-155.84,-21.9,797,767,836,344,873,34.48275862068966,-0.598,-0.32,-0.737
117276,1755607251734,37.26,-155.88,-21.91,797,774,835,390,879,33.333333333333336,-0.598,-0.319,-0.74
117306,1755607251736,37.23,-155.92,-21.95,794,773,843,407,880,33.333333333333336,-0.599,-0.319,-0.739
117335,1755607251738,37.2,-155.91,-21.96,795,777,839,386,872,34.48275862068966,-0.598,-0.32,-0.736
117356,1755607251741,37.22,-155.91,-21.96,797,779,841,403,878,47.61904761904762,-0.603,-0.322,-0.736
117385,1755607251743,37.23,-155.88,-21.93,803,772,839,370,875,34.48275862068966,-0.599,-0.321,-0.736
117415,1755607251745,37.2,-155.84,-21.91,794,778,839,303,879,33.333333333333336,-0.598,-0.32,-0.738
117445,1755607251747,37.17,-155.85,-21.92,796,771,836,336,883,33.333333333333336,-0.597,-0.319,-0.739
117474,1755607251749,37.12,-155.88,-21.94,797,772,841,378,875,34.48275862068966,-0.598,-0.321,-0.739
117504,1755607251751,37.12,-155.89,-21.92,794,774,848,389,871,33.333333333333336,-0.6,-0.32,-0.735
117534,1755607251753,37.18,-155.87,-21.92,796,771,834,351,874,33.333333333333336,-0.601,-0.32,-0.735
117564,1755607251755,37.14,-155.86,-21.9,795,768,837,303,876,33.333333333333336,-0.598,-0.321,-0.739
117593,1755607251757,37.1,-155.9,-21.9,790,773,838,370,877,34.48275862068966,-0.598,-0.321,-0.739
117623,1755607251759,37.08,-155.9,-21.9,797,773,840,391,874,33.333333333333336,-0.6,-0.32,-0.735
117653,1755607251761,37.09,-155.85,-21.89,798,773,837,376,874,33.333333333333336,-0.598,-0.321,-0.736
117682,1755607251763,37.1,-155.89,-21.89,792,769,842,339,878,34.48275862068966,-0.6,-0.321,-0.738
117712,1755607251766,37.1,-155.91,-21.9,796,775,840,347,875,33.333333333333336,-0.597,-0.321,-0.737
117741,1755607251767,37.06,-155.91,-21.91,795,778,837,402,875,34.48275862068966,-0.599,-0.321,-0.736
117771,1755607251770,37.03,-155.92,-21.88,796,773,839,407,874,33.333333333333336,-0.6,-0.321,-0.734
117801,1755607251772,37.07,-155.89,-21.86,794,768,842,379,877,33.333333333333336,-0.601,-0.321,-0.733
117830,1755607251774,37.09,-155.89,-21.85,794,773,839,354,877,34.48275862068966,-0.599,-0.322,-0.738
117860,1755607251775,37.04,-155.9,-21.85,798,775,840,374,878,33.333333333333336,-0.598,-0.32,-0.737
117889,1755607251778,37.02,-155.91,-21.87,798,778,837,356,871,34.48275862068966,-0.6,-0.318,-0.736
117919,1755607251780,37.03,-155.92,-21.87,795,778,839,342,875,33.333333333333336,-0.601,-0.321,-0.735
117948,1755607251782,37.06,-155.91,-21.86,796,770,837,340,878,34.48275862068966,-0.601,-0.321,-0.735
117978,1755607251784,37.05,-155.89,-21.85,796,772,838,359,879,33.333333333333336,-0.601,-0.322,-0.736
118008,1755607251786,37.05,-155.87,-21.84,788,783,838,394,878,33.333333333333336,-0.599,-0.321,-0.737
118038,1755607251788,37.05,-155.89,-21.83,798,777,844,404,876,33.333333333333336,-0.599,-0.321,-0.737
118068,1755607251790,37.07,-155.92,-21.84,794,773,835,361,873,33.333333333333336,-0.6,-0.321,-0.736
118097,1755607251792,37.05,-155.9,-21.83,795,774,839,339,873,34.48275862068966,-0.593,-0.32,-0.737
118127,1755607251794,37.03,-155.9,-21.85,797,775,840,383,876,33.333333333333336,-0.596,-0.321,-0.738
118157,1755607251796,37.03,-155.92,-21.86,791,774,837,400,875,33.333333333333336,-0.597,-0.321,-0.737
118186,1755607251798,37.03,-155.91,-21.86,795,774,840,348,874,34.48275862068966,-0.598,-0.321,-0.735
118215,1755607251800,37.04,-155.88,-21.85,793,773,839,330,881,34.48275862068966,-0.599,-0.321,-0.737
118245,1755607251803,37.01,-155.9,-21.86,795,775,841,362,875,33.333333333333336,-0.597,-0.321,-0.738
118274,1755607251805,36.97,-155.92,-21.87,795,773,839,406,875,34.48275862068966,-0.599,-0.321,-0.737
118304,1755607251807,36.94,-155.92,-21.87,798,775,840,359,875,33.333333333333336,-0.601,-0.322,-0.736
118334,1755607251809,36.93,-155.9,-21.86,794,779,842,329,876,33.333333333333336,-0.6,-0.321,-0.734
118363,1755607251810,37.0,-155.91,-21.85,794,781,841,335,876,34.48275862068966,-0.603,-0.321,-0.734
118393,1755607251812,37.03,-155.91,-21.84,799,774,841,382,872,33.333333333333336,-0.6,-0.321,-0.736
118423,1755607251815,37.0,-155.93,-21.84,796,773,839,394,876,33.333333333333336,-0.6,-0.321,-0.737
118452,1755607251817,36.97,-155.92,-21.84,792,769,840,359,874,34.48275862068966,-0.599,-0.32,-0.736
118482,1755607251818,36.98,-155.93,-21.85,795,774,839,332,873,33.333333333333336,-0.601,-0.321,-0.735
118511,1755607251820,37.0,-155.94,-21.84,796,770,836,361,878,34.48275862068966,-0.601,-0.321,-0.735
118541,1755607251823,37.02,-155.95,-21.84,793,771,841,388,876,33.333333333333336,-0.602,-0.321,-0.735
118571,1755607251825,37.02,-155.95,-21.84,797,777,842,408,875,33.333333333333336,-0.6,-0.321,-0.736
118600,1755607251827,36.99,-155.93,-21.85,796,777,840,370,876,34.48275862068966,-0.6,-0.32,-0.736
118621,1755607251829,36.98,-155.93,-21.85,793,778,835,412,874,47.61904761904762,-0.6,-0.32,-0.736
118650,1755607251832,36.97,-155.95,-21.87,797,772,840,366,877,34.48275862068966,-0.599,-0.321,-0.737
118680,1755607251834,36.99,-155.98,-21.88,796,777,840,351,879,33.333333333333336,-0.602,-0.322,-0.735
118710,1755607251836,37.03,-155.96,-21.86,793,777,840,394,876,33.333333333333336,-0.602,-0.32,-0.732
118739,1755607251839,37.05,-155.92,-21.86,798,768,843,412,876,34.48275862068966,-0.599,-0.32,-0.737
118769,1755607251841,37.0,-155.94,-21.86,788,770,838,392,875,33.333333333333336,-0.599,-0.322,-0.738
118799,1755607251843,36.96,-155.96,-21.87,791,771,839,346,880,33.333333333333336,-0.599,-0.321,-0.737
118828,1755607251845,36.96,-155.97,-21.87,794,773,840,375,876,34.48275862068966,-0.602,-0.321,-0.733
118858,1755607251847,36.98,-155.91,-21.85,794,775,840,391,875,33.333333333333336,-0.601,-0.322,-0.733
118888,1755607251849,36.98,-155.91,-21.84,795,784,839,395,881,33.333333333333336,-0.599,-0.323,-0.735
118918,1755607251851,36.95,-155.93,-21.85,790,773,833,366,881,33.333333333333336,-0.6,-0.319,-0.735
118947,1755607251853,36.95,-155.94,-21.84,792,773,840,351,876,34.48275862068966,-0.601,-0.318,-0.733
118977,1755607251855,36.97,-155.91,-21.84,795,770,839,392,873,33.333333333333336,-0.601,-0.322,-0.734
119006,1755607251857,36.95,-155.92,-21.82,790,769,838,404,875,34.48275862068966,-0.602,-0.323,-0.736
119036,1755607251860,36.98,-155.97,-21.81,793,777,836,400,878,33.333333333333336,-0.602,-0.321,-0.733
119066,1755607251862,37.01,-155.93,-21.79,795,773,839,355,910,33.333333333333336,-0.601,-0.319,-0.732
119095,1755607251864,37.07,-155.96,-21.79,792,767,835,352,875,34.48275862068966,-0.603,-0.32,-0.734
119125,1755607251866,37.08,-155.93,-21.76,792,771,841,398,874,33.333333333333336,-0.6,-0.32,-0.734
119155,1755607251868,37.1,-155.95,-21.76,797,774,840,401,879,33.333333333333336,-0.601,-0.321,-0.736
119184,1755607251870,37.08,-155.98,-21.76,795,778,841,354,876,34.48275862068966,-0.6,-0.32,-0.735
119214,1755607251872,37.12,-155.96,-21.77,796,773,842,306,872,33.333333333333336,-0.601,-0.319,-0.735
119244,1755607251874,37.11,-155.96,-21.77,796,780,844,368,878,33.333333333333336,-0.601,-0.322,-0.736
119274,1755607251876,37.07,-155.91,-21.75,790,773,835,407,878,33.333333333333336,-0.6,-0.319,-0.735
119303,1755607251878,37.07,-155.89,-21.76,795,774,837,388,876,34.48275862068966,-0.6,-0.318,-0.738
119333,1755607251880,37.09,-155.95,-21.78,792,769,838,347,875,33.333333333333336,-0.6,-0.32,-0.738
119362,1755607251882,37.07,-155.95,-21.76,790,772,840,344,874,34.48275862068966,-0.601,-0.321,-0.734
119383,1755607251885,37.07,-155.91,-21.75,796,767,838,385,876,47.61904761904762,-0.6,-0.321,-0.734
119412,1755607251886,37.09,-155.88,-21.71,795,771,837,366,881,34.48275862068966,-0.602,-0.321,-0.734
119442,1755607251889,37.14,-155.87,-21.65,795,781,843,397,872,33.333333333333336,-0.602,-0.321,-0.733
119472,1755607251891,37.16,-155.8,-21.58,796,765,833,404,875,33.333333333333336,-0.601,-0.321,-0.734
119501,1755607251892,37.11,-155.57,-21.4,797,773,840,357,878,34.48275862068966,-0.609,-0.328,-0.73
119531,1755607251894,36.88,-154.84,-21.04,792,779,836,337,874,33.333333333333336,-0.603,-0.329,-0.726
119560,1755607251896,36.7,-154.01,-20.74,799,778,838,387,872,34.48275862068966,-0.608,-0.331,-0.721
119590,1755607251898,36.27,-152.73,-20.19,800,772,833,394,880,33.333333333333336,-0.615,-0.337,-0.712
119619,1755607251900,35.79,-151.44,-19.72,796,765,835,381,876,34.48275862068966,-0.621,-0.337,-0.704
119649,1755607251902,35.7,-150.38,-19.34,800,768,824,332,873,33.333333333333336,-0.62,-0.342,-0.702
119679,1755607251904,35.94,-149.44,-19.11,800,768,829,339,866,33.333333333333336,-0.62,-0.345,-0.707
119709,1755607251906,35.89,-149.03,-18.89,804,773,822,372,864,33.333333333333336,-0.625,-0.349,-0.705
119739,1755607251909,35.81,-148.74,-18.85,802,773,824,390,860,33.333333333333336,-0.621,-0.355,-0.701
119759,1755607251911,35.79,-148.6,-18.82,798,774,819,375,865,50.0,-0.626,-0.363,-0.693
119789,1755607251913,35.84,-148.45,-18.75,804,772,819,403,861,33.333333333333336,-0.636,-0.367,-0.683
119809,1755607251915,35.99,-148.44,-18.67,800,776,824,365,863,50.0,-0.645,-0.373,-0.673
119838,1755607251917,36.33,-148.53,-18.58,802,773,816,394,860,34.48275862068966,-0.646,-0.377,-0.669
119868,1755607251919,36.66,-148.74,-18.51,801,773,824,373,857,33.333333333333336,-0.645,-0.38,-0.669
119898,1755607251921,36.87,-148.97,-18.52,800,770,817,343,863,33.333333333333336,-0.639,-0.379,-0.672
119928,1755607251923,36.97,-149.12,-18.55,802,771,819,368,859,33.333333333333336,-0.638,-0.379,-0.673
119958,1755607251925,36.96,-149.19,-18.51,801,776,823,405,861,33.333333333333336,-0.638,-0.381,-0.674
119987,1755607251926,36.96,-149.4,-18.52,800,772,819,385,858,34.48275862068966,-0.639,-0.38,-0.671
120017,1755607251929,37.05,-149.57,-18.53,802,774,814,307,863,33.333333333333336,-0.639,-0.38,-0.666
120046,1755607251931,37.14,-149.46,-18.47,800,788,818,324,859,34.48275862068966,-0.64,-0.381,-0.666
120076,1755607251933,37.24,-149.4,-18.4,800,774,821,378,870,33.333333333333336,-0.641,-0.383,-0.667
120105,1755607251935,37.38,-149.47,-18.39,801,775,820,402,858,34.48275862068966,-0.639,-0.381,-0.671
120135,1755607251937,37.51,-149.57,-18.41,800,788,817,368,857,33.333333333333336,-0.638,-0.378,-0.67
120165,1755607251939,37.61,-149.58,-18.41,802,771,818,359,860,33.333333333333336,-0.638,-0.378,-0.672
120195,1755607251941,37.63,-149.63,-18.4,801,772,820,359,857,33.333333333333336,-0.639,-0.38,-0.674
120225,1755607251943,37.67,-149.74,-18.42,802,778,819,380,859,33.333333333333336,-0.638,-0.378,-0.673
120255,1755607251945,37.75,-149.83,-18.44,800,775,813,390,857,33.333333333333336,-0.639,-0.375,-0.673
120284,1755607251947,37.81,-149.93,-18.45,800,773,812,334,856,34.48275862068966,-0.64,-0.376,-0.674
120314,1755607251949,37.83,-149.99,-18.44,796,768,817,344,861,33.333333333333336,-0.64,-0.376,-0.675
120344,1755607251951,37.87,-150.12,-18.48,801,776,817,356,854,33.333333333333336,-0.64,-0.375,-0.675
120373,1755607251953,37.89,-150.14,-18.52,803,774,817,379,858,34.48275862068966,-0.638,-0.373,-0.674
120403,1755607251955,37.95,-150.14,-18.54,801,767,815,379,855,33.333333333333336,-0.64,-0.373,-0.674
120433,1755607251957,38.04,-150.21,-18.54,799,776,817,357,867,33.333333333333336,-0.64,-0.374,-0.675
120462,1755607251959,38.11,-150.23,-18.53,800,774,813,366,858,34.48275862068966,-0.64,-0.374,-0.676
120492,1755607251961,38.16,-150.27,-18.53,804,773,812,388,859,33.333333333333336,-0.638,-0.372,-0.678
120522,1755607251964,38.2,-150.28,-18.56,802,778,816,402,858,33.333333333333336,-0.637,-0.371,-0.678
120552,1755607251965,38.24,-150.32,-18.55,795,774,813,381,853,33.333333333333336,-0.639,-0.372,-0.679
120572,1755607251968,38.27,-150.34,-18.53,799,778,815,395,857,50.0,-0.639,-0.373,-0.679
120601,1755607251969,38.29,-150.33,-18.53,795,767,817,365,858,34.48275862068966,-0.638,-0.371,-0.678
120631,1755607251972,38.33,-150.27,-18.51,800,779,820,359,857,33.333333333333336,-0.639,-0.37,-0.678
120660,1755607251974,38.39,-150.31,-18.53,801,792,816,380,858,34.48275862068966,-0.636,-0.371,-0.681
120690,1755607251976,38.4,-150.4,-18.53,799,781,818,414,881,33.333333333333336,-0.634,-0.371,-0.683
120719,1755607251977,38.43,-150.53,-18.55,797,768,813,389,859,34.48275862068966,-0.636,-0.37,-0.679
120749,1755607251980,38.44,-150.47,-18.54,797,772,817,362,858,33.333333333333336,-0.635,-0.367,-0.678
120779,1755607251982,38.46,-150.44,-18.54,799,774,812,361,861,33.333333333333336,-0.636,-0.369,-0.68
