timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
201914,1755607602354,5.78,-155.85,-13.24,794,779,775,411,878,47.61904761904762,-0.084,-0.399,-0.912
201943,1755607602356,5.7,-155.89,-13.26,794,775,783,347,885,34.48275862068966,-0.085,-0.399,-0.912
201973,1755607602358,5.66,-155.89,-13.27,798,775,784,348,871,33.333333333333336,-0.088,-0.399,-0.909
202002,1755607602360,5.63,-155.87,-13.27,795,776,787,397,880,34.48275862068966,-0.089,-0.4,-0.91
202032,1755607602362,5.6,-155.9,-13.28,791,777,776,398,876,33.333333333333336,-0.09,-0.401,-0.911
202061,1755607602364,5.59,-155.94,-13.26,796,779,783,353,874,34.48275862068966,-0.092,-0.4,-0.909
202091,1755607602366,5.6,-155.95,-13.24,796,774,783,332,878,33.333333333333336,-0.09,-0.4,-0.908
202120,1755607602368,5.64,-155.94,-13.21,795,779,783,339,875,34.48275862068966,-0.09,-0.4,-0.907
202150,1755607602370,5.65,-155.92,-13.18,794,773,784,390,878,33.333333333333336,-0.09,-0.399,-0.909
202179,1755607602373,5.66,-155.94,-13.16,797,776,781,380,879,34.48275862068966,-0.089,-0.398,-0.91
202209,1755607602375,5.64,-155.96,-13.15,795,776,783,334,877,33.333333333333336,-0.089,-0.398,-0.91
202239,1755607602377,5.62,-155.94,-13.13,790,774,785,351,879,33.333333333333336,-0.088,-0.396,-0.908
202269,1755607602379,5.6,-155.9,-13.14,798,773,787,410,877,33.333333333333336,-0.087,-0.397,-0.909
202298,1755607602381,5.56,-155.91,-13.15,793,778,786,413,880,34.48275862068966,-0.089,-0.398,-0.911
202328,1755607602383,5.55,-155.93,-13.15,794,782,786,365,875,33.333333333333336,-0.089,-0.398,-0.909
202357,1755607602385,5.5,-155.83,-13.14,792,774,784,327,879,34.48275862068966,-0.087,-0.397,-0.91
202387,1755607602387,5.34,-155.7,-13.16,796,778,784,381,884,33.333333333333336,-0.086,-0.395,-0.914
202417,1755607602389,5.12,-155.58,-13.23,792,768,779,410,880,33.333333333333336,-0.086,-0.394,-0.911
202446,1755607602391,4.97,-155.44,-13.3,792,776,782,375,874,34.48275862068966,-0.09,-0.399,-0.908
202466,1755607602393,4.91,-155.33,-13.33,793,773,781,386,879,50.0,-0.1,-0.412,-0.907
202496,1755607602395,5.01,-155.22,-13.14,795,775,784,376,887,33.333333333333336,-0.12,-0.423,-0.905
202516,1755607602397,5.18,-155.17,-12.92,797,778,786,395,881,50.0,-0.129,-0.424,-0.899
202546,1755607602398,5.52,-155.04,-12.53,795,777,796,380,880,33.333333333333336,-0.129,-0.421,-0.895
202575,1755607602401,5.72,-154.79,-12.11,791,774,801,326,876,34.48275862068966,-0.115,-0.417,-0.898
202605,1755607602403,5.8,-154.59,-11.83,796,778,784,349,876,33.333333333333336,-0.101,-0.416,-0.902
202634,1755607602405,5.79,-154.43,-11.53,794,775,786,416,873,34.48275862068966,-0.088,-0.412,-0.901
202654,1755607602407,5.78,-154.28,-11.37,798,776,778,346,877,50.0,-0.074,-0.41,-0.899
202684,1755607602409,5.58,-154.05,-11.26,793,769,783,408,880,33.333333333333336,-0.064,-0.409,-0.9
202713,1755607602410,5.23,-153.79,-11.28,796,779,792,374,874,34.48275862068966,-0.062,-0.414,-0.902
202743,1755607602413,4.84,-153.52,-11.36,796,775,780,324,872,33.333333333333336,-0.072,-0.421,-0.904
202772,1755607602414,4.52,-153.3,-11.43,796,776,782,338,909,34.48275862068966,-0.088,-0.427,-0.901
202802,1755607602417,4.35,-153.21,-11.51,796,781,786,402,876,33.333333333333336,-0.102,-0.431,-0.895
202832,1755607602419,4.37,-153.18,-11.54,793,779,784,427,877,33.333333333333336,-0.115,-0.436,-0.887
202861,1755607602421,4.48,-153.01,-11.47,791,778,780,366,878,34.48275862068966,-0.123,-0.441,-0.881
202891,1755607602423,4.5,-152.76,-11.3,795,776,779,329,879,33.333333333333336,-0.123,-0.443,-0.882
202920,1755607602425,4.54,-152.67,-11.19,797,778,781,373,884,34.48275862068966,-0.115,-0.443,-0.88
202950,1755607602427,4.56,-152.6,-11.13,793,776,782,400,881,33.333333333333336,-0.109,-0.446,-0.88
202980,1755607602429,4.52,-152.54,-11.17,800,778,780,389,875,33.333333333333336,-0.106,-0.45,-0.884
203009,1755607602431,4.34,-152.5,-11.22,796,772,783,337,876,34.48275862068966,-0.108,-0.452,-0.883
203039,1755607602433,4.15,-152.46,-11.29,790,779,781,354,877,33.333333333333336,-0.108,-0.452,-0.88
203068,1755607602436,4.0,-152.43,-11.35,797,775,787,404,882,34.48275862068966,-0.113,-0.455,-0.877
203098,1755607602438,3.9,-152.37,-11.43,791,771,784,400,877,33.333333333333336,-0.12,-0.459,-0.876
203127,1755607602440,3.79,-152.31,-11.44,791,779,785,313,877,34.48275862068966,-0.129,-0.462,-0.874
203157,1755607602442,3.68,-152.17,-11.38,796,777,780,324,883,33.333333333333336,-0.134,-0.463,-0.871
203187,1755607602444,3.67,-152.09,-11.38,797,775,785,388,872,33.333333333333336,-0.132,-0.463,-0.87
203216,1755607602446,3.72,-152.1,-11.38,794,773,783,420,878,34.48275862068966,-0.138,-0.466,-0.869
203245,1755607602448,3.76,-152.03,-11.35,797,772,787,380,877,34.48275862068966,-0.138,-0.467,-0.868
203275,1755607602450,3.8,-151.99,-11.34,795,776,781,346,878,33.333333333333336,-0.137,-0.467,-0.868
203305,1755607602452,3.86,-151.96,-11.34,795,775,785,362,879,33.333333333333336,-0.139,-0.468,-0.867
203334,1755607602454,3.9,-151.93,-11.34,794,780,782,407,876,34.48275862068966,-0.14,-0.467,-0.867
203364,1755607602456,3.95,-151.94,-11.37,796,777,783,415,883,33.333333333333336,-0.143,-0.468,-0.868
203394,1755607602458,3.95,-151.9,-11.36,798,778,785,351,875,33.333333333333336,-0.143,-0.468,-0.868
203424,1755607602460,4.01,-151.9,-11.37,795,776,783,344,876,33.333333333333336,-0.146,-0.47,-0.866
203453,1755607602462,4.05,-151.86,-11.34,797,771,783,389,879,34.48275862068966,-0.147,-0.471,-0.867
203482,1755607602464,4.1,-151.86,-11.33,797,777,783,420,880,34.48275862068966,-0.145,-0.471,-0.869
203512,1755607602466,4.14,-151.86,-11.34,795,777,788,376,873,33.333333333333336,-0.146,-0.471,-0.865
203541,1755607602468,4.14,-151.8,-11.34,791,793,785,329,878,34.48275862068966,-0.144,-0.471,-0.865
203571,1755607602470,4.17,-151.75,-11.34,789,769,780,359,880,33.333333333333336,-0.148,-0.471,-0.866
203600,1755607602472,4.22,-151.73,-11.31,791,778,785,371,878,34.48275862068966,-0.153,-0.474,-0.865
203630,1755607602474,4.34,-151.72,-11.27,794,777,785,378,880,33.333333333333336,-0.154,-0.473,-0.863
203659,1755607602476,4.49,-151.69,-11.24,793,778,784,339,874,34.48275862068966,-0.155,-0.472,-0.861
203689,1755607602478,4.63,-151.61,-11.2,791,772,786,344,880,33.333333333333336,-0.152,-0.471,-0.863
203718,1755607602480,4.75,-151.6,-11.19,792,769,783,398,875,34.48275862068966,-0.152,-0.472,-0.865
203739,1755607602482,4.84,-151.6,-11.16,796,771,785,342,880,47.61904761904762,-0.151,-0.473,-0.865
203768,1755607602484,4.94,-151.6,-11.15,796,771,778,387,879,34.48275862068966,-0.149,-0.472,-0.864
203798,1755607602486,5.03,-151.61,-11.16,793,776,792,409,874,33.333333333333336,-0.15,-0.473,-0.865
203827,1755607602488,5.08,-151.58,-11.14,795,775,779,363,877,34.48275862068966,-0.149,-0.471,-0.865
203857,1755607602491,5.15,-151.56,-11.13,795,778,786,325,876,33.333333333333336,-0.151,-0.472,-0.863
203887,1755607602493,5.23,-151.53,-11.13,794,776,785,360,876,33.333333333333336,-0.15,-0.472,-0.864
203916,1755607602495,5.3,-151.53,-11.12,793,768,786,408,880,34.48275862068966,-0.152,-0.473,-0.864
203946,1755607602497,5.37,-151.49,-11.09,793,774,787,382,876,33.333333333333336,-0.151,-0.473,-0.863
203975,1755607602499,5.43,-151.43,-11.08,791,773,785,338,878,34.48275862068966,-0.15,-0.472,-0.864
204005,1755607602501,5.47,-151.42,-11.09,792,776,780,338,879,33.333333333333336,-0.149,-0.473,-0.865
204034,1755607602503,5.46,-151.41,-11.08,792,777,784,409,878,34.48275862068966,-0.148,-0.473,-0.866
