timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
152774,1755607804770,27.14,-70.94,-32.66,790,775,813,355,847,47.61904761904762,-0.448,-0.841,0.288
152803,1755607804773,27.12,-70.91,-32.65,790,769,817,382,848,34.48275862068966,-0.448,-0.842,0.288
152833,1755607804775,27.13,-70.91,-32.65,784,780,812,411,842,33.333333333333336,-0.446,-0.841,0.286
152853,1755607804777,27.15,-70.93,-32.66,791,772,811,369,846,50.0,-0.448,-0.838,0.285
152882,1755607804778,27.13,-70.92,-32.71,791,779,807,399,848,34.48275862068966,-0.449,-0.838,0.284
152912,1755607804781,27.11,-70.96,-32.73,788,768,806,394,845,33.333333333333336,-0.45,-0.841,0.282
152942,1755607804782,27.12,-70.98,-32.73,789,768,810,355,852,33.333333333333336,-0.451,-0.844,0.282
152972,1755607804784,27.08,-70.97,-32.71,788,770,814,326,840,33.333333333333336,-0.449,-0.846,0.281
153001,1755607804786,27.1,-71.02,-32.7,787,770,808,383,846,34.48275862068966,-0.446,-0.844,0.281
153031,1755607804788,27.05,-70.99,-32.72,790,778,812,396,848,33.333333333333336,-0.449,-0.845,0.282
153060,1755607804790,26.98,-70.97,-32.69,791,772,811,355,854,34.48275862068966,-0.447,-0.845,0.281
153090,1755607804792,27.11,-71.05,-32.63,790,774,811,351,847,33.333333333333336,-0.446,-0.844,0.283
153119,1755607804794,27.09,-71.03,-32.64,787,774,807,381,845,34.48275862068966,-0.448,-0.841,0.285
153149,1755607804796,27.0,-71.01,-32.68,785,772,812,409,848,33.333333333333336,-0.447,-0.839,0.285
153178,1755607804798,27.02,-71.04,-32.7,787,779,814,397,849,34.48275862068966,-0.447,-0.841,0.287
153208,1755607804800,27.03,-71.03,-32.71,788,768,810,352,850,33.333333333333336,-0.447,-0.842,0.288
153237,1755607804802,27.05,-71.02,-32.72,786,779,809,362,849,34.48275862068966,-0.448,-0.841,0.288
153267,1755607804804,27.08,-71.0,-32.75,783,786,811,407,842,33.333333333333336,-0.448,-0.842,0.286
153297,1755607804806,27.08,-70.98,-32.77,787,776,809,398,845,33.333333333333336,-0.447,-0.844,0.282
153326,1755607804808,27.07,-71.03,-32.77,791,773,806,372,848,34.48275862068966,-0.447,-0.845,0.282
153356,1755607804810,27.08,-71.03,-32.75,788,772,812,356,849,33.333333333333336,-0.447,-0.843,0.282
153376,1755607804812,27.07,-71.02,-32.76,788,776,822,349,851,50.0,-0.449,-0.84,0.282
153406,1755607804813,27.04,-71.06,-32.81,781,774,805,311,848,33.333333333333336,-0.45,-0.837,0.283
153435,1755607804815,27.08,-71.08,-32.84,785,776,809,362,853,34.48275862068966,-0.449,-0.841,0.285
153455,1755607804817,27.1,-71.1,-32.86,790,777,812,334,846,50.0,-0.447,-0.845,0.286
153485,1755607804819,27.12,-71.06,-32.84,788,770,810,392,849,33.333333333333336,-0.445,-0.85,0.284
153514,1755607804822,27.13,-71.03,-32.82,790,774,812,402,866,34.48275862068966,-0.443,-0.849,0.283
153544,1755607804824,27.11,-71.0,-32.84,784,775,802,379,851,33.333333333333336,-0.442,-0.845,0.286
153574,1755607804825,27.09,-70.96,-32.87,789,773,809,346,846,33.333333333333336,-0.443,-0.843,0.287
153603,1755607804827,27.11,-70.95,-32.9,787,782,813,363,849,34.48275862068966,-0.445,-0.842,0.285
153633,1755607804829,27.13,-70.96,-32.92,789,776,812,389,846,33.333333333333336,-0.449,-0.844,0.282
153663,1755607804831,27.11,-70.95,-32.91,794,770,808,369,847,33.333333333333336,-0.449,-0.845,0.281
153692,1755607804833,27.08,-70.98,-32.89,788,768,810,348,842,34.48275862068966,-0.448,-0.845,0.282
153722,1755607804836,27.06,-70.96,-32.86,790,776,810,355,845,33.333333333333336,-0.446,-0.845,0.282
153751,1755607804837,27.03,-70.99,-32.85,788,775,813,400,843,34.48275862068966,-0.446,-0.844,0.28
153781,1755607804840,27.01,-71.04,-32.83,789,776,807,407,841,33.333333333333336,-0.448,-0.844,0.282
153810,1755607804842,27.0,-71.03,-32.79,791,778,816,364,838,34.48275862068966,-0.448,-0.843,0.284
153840,1755607804844,26.98,-71.05,-32.78,789,774,808,308,845,33.333333333333336,-0.446,-0.842,0.287
153869,1755607804845,27.01,-71.04,-32.79,791,776,810,361,849,34.48275862068966,-0.445,-0.841,0.289
153899,1755607804847,27.02,-70.99,-32.81,789,770,808,402,840,33.333333333333336,-0.446,-0.841,0.288
153929,1755607804850,27.0,-70.96,-32.82,789,770,809,376,845,33.333333333333336,-0.447,-0.843,0.287
153958,1755607804851,27.0,-70.95,-32.81,785,767,813,347,845,34.48275862068966,-0.448,-0.844,0.284
153988,1755607804854,27.0,-70.96,-32.79,786,774,813,367,843,33.333333333333336,-0.448,-0.842,0.283
154017,1755607804856,27.01,-70.99,-32.8,791,780,813,384,842,34.48275862068966,-0.448,-0.842,0.283
154047,1755607804858,26.99,-70.99,-32.8,790,770,811,388,853,33.333333333333336,-0.447,-0.841,0.283
154076,1755607804860,26.99,-71.01,-32.81,790,777,811,352,845,34.48275862068966,-0.447,-0.842,0.285
154106,1755607804862,26.99,-70.99,-32.81,787,783,811,342,845,33.333333333333336,-0.446,-0.842,0.286
154136,1755607804864,26.99,-70.96,-32.81,791,770,813,381,843,33.333333333333336,-0.446,-0.843,0.285
154165,1755607804866,26.99,-70.97,-32.82,785,776,811,392,850,34.48275862068966,-0.446,-0.841,0.285
154195,1755607804868,27.01,-70.96,-32.85,785,777,809,381,848,33.333333333333336,-0.447,-0.841,0.286
154224,1755607804870,26.98,-70.93,-32.86,789,778,807,346,851,34.48275862068966,-0.448,-0.842,0.286
154254,1755607804872,27.03,-70.93,-32.85,791,775,809,361,844,33.333333333333336,-0.447,-0.843,0.287
154284,1755607804874,27.05,-70.93,-32.85,786,779,810,409,845,33.333333333333336,-0.447,-0.841,0.286
154313,1755607804876,27.03,-70.91,-32.88,791,767,808,397,843,34.48275862068966,-0.447,-0.841,0.285
154343,1755607804878,27.05,-70.91,-32.89,790,767,811,347,843,33.333333333333336,-0.448,-0.841,0.283
154372,1755607804880,27.05,-70.95,-32.91,791,779,812,345,846,34.48275862068966,-0.448,-0.842,0.283
154402,1755607804882,27.04,-70.96,-32.92,788,768,808,388,848,33.333333333333336,-0.448,-0.842,0.284
154432,1755607804884,27.02,-70.93,-32.93,786,778,814,410,847,33.333333333333336,-0.448,-0.842,0.284
154461,1755607804887,27.02,-70.9,-32.94,788,772,811,363,840,34.48275862068966,-0.446,-0.842,0.285
154491,1755607804889,27.03,-70.91,-32.97,786,779,810,359,849,33.333333333333336,-0.446,-0.842,0.286
154520,1755607804891,27.04,-70.91,-32.98,790,772,813,368,849,34.48275862068966,-0.447,-0.843,0.284
154550,1755607804893,27.04,-70.9,-32.98,788,778,810,403,843,33.333333333333336,-0.448,-0.844,0.285
154579,1755607804895,27.11,-70.88,-32.94,788,779,810,394,840,34.48275862068966,-0.448,-0.846,0.287
154609,1755607804897,27.16,-70.79,-32.9,790,771,810,322,848,33.333333333333336,-0.447,-0.846,0.29
154638,1755607804899,27.22,-70.47,-32.81,792,777,812,349,843,34.48275862068966,-0.451,-0.85,0.303
154668,1755607804901,27.45,-69.7,-32.58,781,774,816,407,842,33.333333333333336,-0.461,-0.852,0.311
154698,1755607804903,27.39,-69.09,-32.22,785,773,812,414,849,33.333333333333336,-0.462,-0.851,0.303
154727,1755607804905,27.1,-68.61,-31.94,786,771,826,368,848,34.48275862068966,-0.461,-0.841,0.295
154757,1755607804907,26.91,-68.86,-31.76,786,778,838,350,850,33.333333333333336,-0.459,-0.836,0.284
154786,1755607804909,26.73,-69.5,-31.36,789,776,854,377,851,34.48275862068966,-0.474,-0.841,0.284
154816,1755607804911,26.11,-70.17,-31.11,795,771,865,409,852,33.333333333333336,-0.48,-0.845,0.284
154846,1755607804913,25.39,-70.82,-30.96,797,775,870,397,855,33.333333333333336,-0.479,-0.837,0.276
154875,1755607804915,24.79,-71.68,-30.79,798,771,885,363,860,34.48275862068966,-0.47,-0.826,0.268
154905,1755607804918,24.11,-72.62,-30.79,798,775,889,354,885,33.333333333333336,-0.457,-0.82,0.265
154934,1755607804919,23.15,-73.57,-31.17,801,775,895,386,892,34.48275862068966,-0.45,-0.81,0.279
154964,1755607804921,22.05,-73.99,-31.64,798,777,892,395,904,33.333333333333336,-0.437,-0.806,0.302
154994,1755607804923,21.41,-73.71,-32.24,799,778,903,367,912,33.333333333333336,-0.44,-0.83,0.326
155023,1755607804925,20.91,-73.06,-32.51,797,777,900,363,921,34.48275862068966,-0.439,-0.845,0.32
155053,1755607804927,20.49,-72.74,-32.64,792,778,902,398,922,33.333333333333336,-0.432,-0.849,0.305
155082,1755607804929,20.35,-72.82,-32.5,796,773,908,406,928,34.48275862068966,-0.423,-0.843,0.29
155112,1755607804932,20.39,-73.41,-32.47,796,780,904,387,937,33.333333333333336,-0.409,-0.838,0.289
155141,1755607804934,20.68,-73.68,-32.7,798,775,900,309,927,34.48275862068966,-0.405,-0.844,0.309
155171,1755607804936,20.91,-73.68,-32.98,799,776,901,340,933,33.333333333333336,-0.402,-0.842,0.308
155201,1755607804938,20.94,-73.7,-33.33,798,773,893,396,928,33.333333333333336,-0.404,-0.855,0.307
155230,1755607804941,21.39,-73.47,-33.36,800,781,891,352,927,34.48275862068966,-0.404,-0.862,0.308
155260,1755607804943,21.46,-73.56,-33.56,800,776,893,336,922,33.333333333333336,-0.405,-0.873,0.311
155289,1755607804944,21.66,-73.22,-33.77,797,774,890,331,930,34.48275862068966,-0.399,-0.866,0.312
155319,1755607804947,21.79,-72.87,-34.06,795,774,881,386,930,33.333333333333336,-0.392,-0.862,0.304
155348,1755607804949,21.91,-72.51,-34.48,796,768,879,389,932,34.48275862068966,-0.388,-0.864,0.301
155378,1755607804951,22.11,-72.17,-34.95,792,774,887,365,932,33.333333333333336,-0.388,-0.868,0.299
155407,1755607804953,22.35,-71.85,-35.41,798,774,886,352,929,34.48275862068966,-0.387,-0.867,0.298
155437,1755607804956,22.55,-72.04,-35.73,792,767,886,384,931,33.333333333333336,-0.389,-0.87,0.289
155467,1755607804958,22.49,-72.66,-36.06,798,768,888,394,925,33.333333333333336,-0.386,-0.876,0.281
155496,1755607804960,22.4,-73.3,-36.34,798,771,885,387,927,34.48275862068966,-0.383,-0.874,0.279
155526,1755607804961,22.38,-73.61,-36.52,797,777,889,346,929,33.333333333333336,-0.378,-0.88,0.282
155555,1755607804964,22.15,-74.17,-36.93,794,775,883,355,932,34.48275862068966,-0.369,-0.886,0.277
155585,1755607804966,22.08,-74.61,-37.31,791,780,886,398,927,33.333333333333336,-0.363,-0.9,0.279
155614,1755607804967,21.75,-74.86,-37.96,793,775,889,405,921,34.48275862068966,-0.36,-0.91,0.272
155644,1755607804969,21.7,-75.07,-38.21,800,777,887,350,934,33.333333333333336,-0.355,-0.909,0.261
155673,1755607804972,21.69,-75.09,-38.53,796,775,883,342,929,34.48275862068966,-0.351,-0.909,0.26
155702,1755607804974,21.66,-75.13,-38.99,788,773,885,382,928,34.48275862068966,-0.341,-0.904,0.253
155732,1755607804976,21.42,-75.25,-39.48,793,772,892,401,930,33.333333333333336,-0.324,-0.888,0.243
155761,1755607804978,21.45,-75.7,-39.7,796,776,887,366,930,34.48275862068966,-0.314,-0.884,0.245
155791,1755607804980,21.71,-75.9,-39.8,797,777,889,351,930,33.333333333333336,-0.306,-0.894,0.259
155820,1755607804982,21.95,-76.09,-39.92,798,773,889,358,925,34.48275862068966,-0.3,-0.905,0.261
155850,1755607804984,22.09,-76.42,-40.01,801,776,888,392,926,33.333333333333336,-0.294,-0.907,0.248
155880,1755607804986,22.24,-76.97,-39.86,792,775,894,394,930,33.333333333333336,-0.297,-0.909,0.238
155910,1755607804988,22.37,-77.45,-39.63,795,777,889,350,929,33.333333333333336,-0.297,-0.915,0.225
155939,1755607804990,22.51,-77.76,-39.54,800,775,889,348,928,34.48275862068966,-0.301,-0.926,0.22
155969,1755607804992,22.43,-77.97,-39.54,796,773,889,388,927,33.333333333333336,-0.299,-0.923,0.206
155998,1755607804995,22.54,-78.49,-39.43,795,770,887,396,930,34.48275862068966,-0.294,-0.92,0.193
156028,1755607804997,22.69,-78.88,-39.32,797,771,892,374,932,33.333333333333336,-0.301,-0.926,0.195
156057,1755607804999,22.73,-78.92,-39.18,792,778,890,351,929,34.48275862068966,-0.301,-0.929,0.191
156087,1755607805001,22.63,-78.91,-39.04,793,783,888,361,926,33.333333333333336,-0.298,-0.927,0.181
156116,1755607805003,22.65,-79.13,-38.8,794,784,889,419,931,34.48275862068966,-0.301,-0.928,0.175
156146,1755607805005,22.71,-79.14,-38.67,797,768,886,387,925,33.333333333333336,-0.305,-0.935,0.177
156175,1755607805007,22.57,-78.98,-38.6,793,773,882,347,919,34.48275862068966,-0.305,-0.932,0.17
156205,1755607805009,22.41,-78.95,-38.46,793,779,884,347,925,33.333333333333336,-0.308,-0.931,0.165
156234,1755607805012,22.43,-78.91,-38.25,795,781,887,405,925,34.48275862068966,-0.309,-0.931,0.164
156264,1755607805014,22.27,-78.84,-38.2,794,775,888,406,920,33.333333333333336,-0.309,-0.931,0.16
156293,1755607805016,22.12,-78.83,-38.15,793,770,882,363,923,34.48275862068966,-0.315,-0.928,0.158
156323,1755607805018,22.09,-78.75,-37.95,791,775,889,354,920,33.333333333333336,-0.32,-0.929,0.156
156352,1755607805020,22.04,-78.72,-37.86,790,774,887,396,922,34.48275862068966,-0.321,-0.934,0.16
156382,1755607805022,21.93,-78.59,-37.81,795,773,889,414,923,33.333333333333336,-0.321,-0.935,0.165
156411,1755607805024,21.97,-78.47,-37.63,794,777,881,333,923,34.48275862068966,-0.322,-0.932,0.166
156440,1755607805026,22.11,-78.29,-37.3,794,769,884,329,926,34.48275862068966,-0.324,-0.931,0.167
156470,1755607805029,22.13,-78.2,-37.15,793,769,884,377,927,33.333333333333336,-0.323,-0.93,0.165
156499,1755607805031,21.98,-78.15,-37.12,790,778,889,393,924,34.48275862068966,-0.326,-0.92,0.161
156529,1755607805033,21.92,-78.2,-37.09,794,779,885,339,924,33.333333333333336,-0.332,-0.916,0.161
156558,1755607805035,21.85,-78.32,-37.0,791,778,885,337,934,34.48275862068966,-0.336,-0.916,0.161
156588,1755607805037,21.76,-78.47,-36.95,796,774,888,316,923,33.333333333333336,-0.34,-0.92,0.166
156617,1755607805039,21.7,-78.57,-36.92,788,775,887,393,927,34.48275862068966,-0.338,-0.92,0.169
156647,1755607805041,21.6,-78.66,-36.92,794,775,887,389,923,33.333333333333336,-0.339,-0.919,0.169
156677,1755607805043,21.55,-78.68,-36.91,795,779,886,354,916,33.333333333333336,-0.34,-0.918,0.168
156706,1755607805045,21.47,-78.76,-36.9,792,773,888,362,920,34.48275862068966,-0.342,-0.918,0.166
156735,1755607805048,21.43,-78.81,-36.88,789,779,883,403,923,34.48275862068966,-0.344,-0.918,0.168
156765,1755607805050,21.37,-78.79,-36.89,788,778,886,423,923,33.333333333333336,-0.344,-0.919,0.169
156794,1755607805052,21.28,-78.82,-36.9,795,775,880,373,921,34.48275862068966,-0.344,-0.918,0.169
156824,1755607805054,21.33,-78.82,-36.86,792,775,885,340,918,33.333333333333336,-0.346,-0.918,0.17
156854,1755607805056,21.25,-78.82,-36.83,797,775,888,366,922,33.333333333333336,-0.346,-0.917,0.168
156883,1755607805058,21.25,-78.77,-36.8,792,773,882,406,920,34.48275862068966,-0.347,-0.919,0.17
156913,1755607805061,21.23,-78.69,-36.76,793,778,897,395,923,33.333333333333336,-0.347,-0.918,0.171
156942,1755607805063,21.26,-78.64,-36.72,788,779,885,357,920,34.48275862068966,-0.346,-0.915,0.17
156972,1755607805064,21.3,-78.63,-36.67,790,779,883,363,916,33.333333333333336,-0.347,-0.917,0.169
157001,1755607805067,21.33,-78.65,-36.63,794,769,887,401,921,34.48275862068966,-0.349,-0.917,0.168
157031,1755607805069,21.32,-78.65,-36.62,789,780,884,411,925,33.333333333333336,-0.351,-0.916,0.166
157060,1755607805070,21.29,-78.62,-36.58,792,774,887,357,917,34.48275862068966,-0.353,-0.914,0.166
157089,1755607805073,21.33,-78.58,-36.51,794,776,882,356,921,34.48275862068966,-0.352,-0.913,0.168
157119,1755607805074,21.37,-78.55,-36.46,793,775,883,389,921,33.333333333333336,-0.351,-0.914,0.17
157149,1755607805077,21.36,-78.52,-36.47,790,779,883,418,916,33.333333333333336,-0.351,-0.913,0.17
157178,1755607805079,21.34,-78.5,-36.48,796,781,885,372,919,34.48275862068966,-0.352,-0.912,0.171
157208,1755607805081,21.38,-78.49,-36.46,794,777,885,345,918,33.333333333333336,-0.353,-0.912,0.171
157237,1755607805082,21.4,-78.51,-36.44,795,771,882,360,919,34.48275862068966,-0.354,-0.913,0.171
157267,1755607805085,21.39,-78.53,-36.45,793,765,881,390,916,33.333333333333336,-0.355,-0.912,0.17
157297,1755607805087,21.36,-78.52,-36.45,796,777,880,401,957,33.333333333333336,-0.356,-0.913,0.17
157326,1755607805088,21.32,-78.58,-36.45,791,784,878,364,914,34.48275862068966,-0.355,-0.913,0.17
157356,1755607805091,21.33,-78.6,-36.44,794,777,884,357,922,33.333333333333336,-0.355,-0.914,0.174
157385,1755607805093,21.36,-78.55,-36.42,788,772,880,391,924,34.48275862068966,-0.355,-0.913,0.175
157415,1755607805095,21.36,-78.5,-36.41,797,778,882,406,914,33.333333333333336,-0.356,-0.913,0.173
157445,1755607805097,21.34,-78.47,-36.4,793,775,882,380,919,33.333333333333336,-0.356,-0.912,0.172
157474,1755607805099,21.34,-78.5,-36.38,788,774,881,344,922,34.48275862068966,-0.356,-0.91,0.173
157504,1755607805101,21.33,-78.46,-36.41,792,776,884,372,911,33.333333333333336,-0.357,-0.91,0.173
157534,1755607805104,21.31,-78.46,-36.44,793,774,879,409,916,33.333333333333336,-0.358,-0.912,0.172
157563,1755607805105,21.29,-78.47,-36.42,796,777,883,402,921,34.48275862068966,-0.359,-0.913,0.172
157592,1755607805107,21.29,-78.47,-36.38,790,779,877,361,922,34.48275862068966,-0.36,-0.914,0.174
157622,1755607805110,21.28,-78.43,-36.35,794,777,884,371,919,33.333333333333336,-0.357,-0.912,0.176
157651,1755607805112,21.28,-78.41,-36.37,792,782,884,416,915,34.48275862068966,-0.355,-0.911,0.178
157681,1755607805114,21.31,-78.42,-36.37,791,770,881,412,920,33.333333333333336,-0.355,-0.91,0.177
157710,1755607805117,21.35,-78.43,-36.38,793,776,880,376,916,34.48275862068966,-0.358,-0.911,0.176
157730,1755607805119,21.32,-78.42,-36.39,793,770,876,419,913,50.0,-0.359,-0.911,0.174
157760,1755607805121,21.34,-78.45,-36.39,794,771,884,366,914,33.333333333333336,-0.359,-0.911,0.174
157790,1755607805123,21.34,-78.49,-36.38,788,778,885,358,914,33.333333333333336,-0.358,-0.91,0.175
157819,1755607805125,21.3,-78.52,-36.4,794,774,882,407,918,34.48275862068966,-0.356,-0.909,0.175
157849,1755607805127,21.27,-78.52,-36.42,795,777,883,420,911,33.333333333333336,-0.356,-0.909,0.176
157878,1755607805129,21.29,-78.51,-36.44,791,774,886,376,922,34.48275862068966,-0.357,-0.912,0.176
157908,1755607805131,21.31,-78.5,-36.43,793,780,881,337,913,33.333333333333336,-0.357,-0.912,0.175
157937,1755607805133,21.31,-78.49,-36.43,792,775,878,372,920,34.48275862068966,-0.359,-0.912,0.174
157967,1755607805135,21.33,-78.49,-36.4,792,776,880,417,918,33.333333333333336,-0.36,-0.912,0.174
157996,1755607805137,21.36,-78.45,-36.37,792,776,881,399,925,34.48275862068966,-0.359,-0.91,0.176
158026,1755607805140,21.39,-78.41,-36.36,790,776,883,358,922,33.333333333333336,-0.357,-0.91,0.176
158055,1755607805141,21.39,-78.43,-36.36,791,768,885,353,942,34.48275862068966,-0.357,-0.908,0.175
