timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
226890,1755608130489,13.14,-37.6,-9.47,823,0,776,410,925,34.48275862068966,-0.225,-0.591,0.775
226920,1755608130491,13.11,-37.6,-9.47,817,2,776,365,923,33.333333333333336,-0.223,-0.591,0.776
226949,1755608130493,13.13,-37.57,-9.44,822,3,776,353,919,34.48275862068966,-0.224,-0.592,0.775
226979,1755608130496,13.11,-37.59,-9.44,822,3,774,402,917,33.333333333333336,-0.226,-0.595,0.775
227009,1755608130498,13.08,-37.59,-9.42,818,1,774,427,917,33.333333333333336,-0.225,-0.594,0.775
227038,1755608130499,13.11,-37.56,-9.41,819,4,782,359,917,34.48275862068966,-0.223,-0.591,0.773
227068,1755608130502,13.13,-37.56,-9.39,823,6,781,331,923,33.333333333333336,-0.226,-0.592,0.773
227098,1755608130504,13.08,-37.57,-9.36,824,1,781,361,919,33.333333333333336,-0.228,-0.592,0.775
227127,1755608130506,13.0,-37.55,-9.35,821,0,773,398,918,34.48275862068966,-0.221,-0.588,0.777
227157,1755608130508,13.04,-37.53,-9.37,826,0,779,388,927,33.333333333333336,-0.22,-0.59,0.776
227186,1755608130510,13.06,-37.49,-9.38,824,4,777,303,922,34.48275862068966,-0.221,-0.596,0.778
227216,1755608130512,13.07,-37.52,-9.36,822,1,776,319,923,33.333333333333336,-0.222,-0.596,0.778
227246,1755608130514,13.15,-37.51,-9.27,823,0,778,377,922,33.333333333333336,-0.229,-0.594,0.773
227275,1755608130516,13.18,-37.48,-9.23,822,1,780,395,917,34.48275862068966,-0.231,-0.589,0.771
227295,1755608130518,13.14,-37.49,-9.23,816,0,776,377,924,50.0,-0.228,-0.585,0.774
227325,1755608130520,13.17,-37.56,-9.2,824,1,777,398,922,33.333333333333336,-0.23,-0.589,0.773
227354,1755608130522,12.75,-37.61,-9.13,824,3,781,367,924,34.48275862068966,-0.229,-0.592,0.775
227384,1755608130524,12.63,-37.61,-9.12,825,0,778,341,921,33.333333333333336,-0.223,-0.597,0.778
227414,1755608130526,12.61,-37.55,-9.14,817,0,777,385,920,33.333333333333336,-0.221,-0.597,0.775
227443,1755608130528,12.62,-37.53,-9.14,822,0,780,417,923,34.48275862068966,-0.223,-0.599,0.773
227473,1755608130531,12.61,-37.52,-9.13,821,0,776,383,923,33.333333333333336,-0.225,-0.597,0.778
