timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
188249,1755608362515,70.84,-91.84,-21.72,804,774,892,359,919,50.0,-0.946,-0.336,-0.012
188279,1755608362517,70.83,-91.84,-21.72,806,767,890,415,923,33.333333333333336,-0.943,-0.336,-0.014
188308,1755608362519,70.86,-91.88,-21.73,806,777,893,387,909,34.48275862068966,-0.944,-0.337,-0.016
188338,1755608362521,70.82,-91.88,-21.72,806,771,891,331,919,33.333333333333336,-0.945,-0.338,-0.016
188368,1755608362523,70.82,-91.87,-21.72,807,768,892,339,918,33.333333333333336,-0.945,-0.337,-0.015
188388,1755608362525,70.8,-91.85,-21.72,804,778,891,382,924,50.0,-0.945,-0.336,-0.012
188418,1755608362528,70.84,-91.85,-21.73,806,773,890,354,908,33.333333333333336,-0.945,-0.336,-0.013
188448,1755608362530,70.82,-91.87,-21.73,808,773,892,396,919,33.333333333333336,-0.946,-0.337,-0.014
188468,1755608362532,70.81,-91.88,-21.73,802,775,890,365,918,50.0,-0.945,-0.337,-0.015
188488,1755608362534,70.8,-91.89,-21.73,806,770,893,382,916,50.0,-0.946,-0.338,-0.016
188518,1755608362536,70.8,-91.9,-21.72,804,767,893,355,917,33.333333333333336,-0.947,-0.337,-0.016
188548,1755608362538,70.79,-91.9,-21.7,803,778,888,407,919,33.333333333333336,-0.948,-0.338,-0.016
188578,1755608362540,70.82,-91.88,-21.66,803,776,886,432,921,33.333333333333336,-0.948,-0.338,-0.013
188598,1755608362542,70.81,-91.84,-21.64,805,778,892,382,919,50.0,-0.944,-0.335,-0.012
188618,1755608362544,70.78,-91.82,-21.64,806,774,892,336,917,50.0,-0.941,-0.334,-0.011
188648,1755608362547,70.77,-91.83,-21.64,799,774,888,385,919,33.333333333333336,-0.942,-0.335,-0.014
188678,1755608362549,70.79,-91.89,-21.65,803,772,893,395,915,33.333333333333336,-0.945,-0.337,-0.015
188698,1755608362551,70.79,-91.91,-21.64,800,769,892,367,953,50.0,-0.945,-0.336,-0.013
188728,1755608362553,70.8,-91.89,-21.64,804,773,893,391,924,33.333333333333336,-0.945,-0.335,-0.011
188748,1755608362555,70.8,-91.89,-21.64,803,775,891,363,921,50.0,-0.946,-0.335,-0.012
188778,1755608362557,70.79,-91.87,-21.64,805,774,891,397,920,33.333333333333336,-0.945,-0.335,-0.013
188808,1755608362559,70.8,-91.88,-21.66,802,773,888,376,919,33.333333333333336,-0.945,-0.335,-0.015
188838,1755608362561,70.77,-91.93,-21.71,799,772,894,296,916,33.333333333333336,-0.943,-0.335,-0.017
188858,1755608362563,70.75,-91.95,-21.74,801,775,900,358,922,50.0,-0.942,-0.336,-0.016
188878,1755608362565,70.73,-91.96,-21.79,806,770,893,387,914,50.0,-0.943,-0.335,-0.014
188908,1755608362567,70.69,-92.01,-21.81,806,772,889,375,918,33.333333333333336,-0.945,-0.336,-0.013
188938,1755608362569,70.72,-91.97,-21.79,802,767,891,335,912,33.333333333333336,-0.948,-0.337,-0.013
188968,1755608362572,70.72,-91.95,-21.76,807,776,891,345,951,33.333333333333336,-0.945,-0.337,-0.015
188988,1755608362574,70.73,-91.98,-21.75,802,773,893,364,917,50.0,-0.943,-0.339,-0.016
189018,1755608362575,70.7,-91.99,-21.74,801,767,891,354,919,33.333333333333336,-0.943,-0.338,-0.016
189038,1755608362577,70.69,-92.0,-21.74,804,774,891,388,914,50.0,-0.943,-0.336,-0.015
189058,1755608362580,70.67,-92.02,-21.74,804,768,892,442,916,50.0,-0.943,-0.336,-0.015
189088,1755608362582,70.7,-92.0,-21.73,806,776,886,373,913,33.333333333333336,-0.947,-0.337,-0.014
189118,1755608362584,70.66,-91.97,-21.7,804,773,889,367,917,33.333333333333336,-0.946,-0.338,-0.013
189148,1755608362587,70.59,-91.94,-21.68,801,774,887,421,916,33.333333333333336,-0.944,-0.338,-0.014
189177,1755608362588,70.5,-91.93,-21.66,804,770,891,411,923,34.48275862068966,-0.945,-0.337,-0.015
189207,1755608362591,70.49,-91.98,-21.68,805,777,886,386,922,33.333333333333336,-0.945,-0.337,-0.017
189228,1755608362593,70.51,-92.0,-21.69,804,773,892,414,926,47.61904761904762,-0.945,-0.336,-0.015
189257,1755608362595,70.53,-92.0,-21.69,799,772,889,389,918,34.48275862068966,-0.943,-0.335,-0.011
189287,1755608362596,70.52,-91.96,-21.7,806,778,893,336,921,33.333333333333336,-0.943,-0.335,-0.01
189317,1755608362599,70.55,-91.92,-21.69,802,773,892,349,923,33.333333333333336,-0.946,-0.336,-0.011
189347,1755608362601,70.5,-91.9,-21.66,806,780,889,413,914,33.333333333333336,-0.945,-0.336,-0.012
189367,1755608362603,70.51,-91.9,-21.66,800,776,891,348,919,50.0,-0.943,-0.336,-0.013
189387,1755608362605,70.53,-91.9,-21.66,806,772,886,374,917,50.0,-0.943,-0.337,-0.013
189417,1755608362607,70.55,-91.92,-21.66,806,773,898,355,916,33.333333333333336,-0.944,-0.337,-0.012
189447,1755608362609,70.52,-91.9,-21.65,805,766,890,398,921,33.333333333333336,-0.943,-0.336,-0.011
189477,1755608362612,70.57,-91.87,-21.64,807,773,893,404,918,33.333333333333336,-0.944,-0.336,-0.012
189507,1755608362614,70.59,-91.9,-21.64,805,778,892,384,924,33.333333333333336,-0.945,-0.335,-0.012
189527,1755608362616,70.59,-91.92,-21.64,800,776,894,414,924,50.0,-0.944,-0.335,-0.013
189557,1755608362618,70.53,-91.91,-21.63,803,773,893,364,912,33.333333333333336,-0.944,-0.336,-0.013
189577,1755608362620,70.53,-91.9,-21.63,805,773,884,413,918,50.0,-0.945,-0.335,-0.012
189607,1755608362622,70.55,-91.95,-21.65,806,766,884,370,920,33.333333333333336,-0.945,-0.335,-0.012
189637,1755608362624,70.54,-91.97,-21.66,799,776,891,327,925,33.333333333333336,-0.944,-0.336,-0.013
189667,1755608362626,70.55,-91.96,-21.65,804,776,896,365,917,33.333333333333336,-0.947,-0.337,-0.012
189697,1755608362628,70.55,-91.96,-21.64,801,776,897,397,917,33.333333333333336,-0.947,-0.337,-0.012
189727,1755608362630,70.56,-91.98,-21.65,804,770,891,396,914,33.333333333333336,-0.945,-0.338,-0.012
189757,1755608362632,70.54,-91.99,-21.67,802,770,887,349,919,33.333333333333336,-0.942,-0.337,-0.012
189777,1755608362634,70.57,-91.98,-21.68,802,774,890,401,919,50.0,-0.944,-0.337,-0.012
189797,1755608362636,70.57,-91.99,-21.68,804,777,887,362,918,50.0,-0.946,-0.337,-0.013
189817,1755608362638,70.58,-91.99,-21.69,807,778,888,325,917,50.0,-0.948,-0.336,-0.012
189838,1755608362640,70.28,-91.95,-21.67,804,773,887,364,915,47.61904761904762,-0.947,-0.336,-0.011
189858,1755608362642,70.27,-91.92,-21.66,806,776,894,416,921,50.0,-0.945,-0.335,-0.013
189878,1755608362645,70.27,-91.92,-21.67,804,770,890,419,920,50.0,-0.942,-0.334,-0.014
189898,1755608362647,70.26,-91.94,-21.69,806,773,893,367,921,50.0,-0.941,-0.334,-0.013
189918,1755608362649,70.26,-91.96,-21.72,806,772,893,344,916,50.0,-0.941,-0.334,-0.014
189939,1755608362651,70.28,-91.98,-21.74,804,769,890,392,912,47.61904761904762,-0.944,-0.336,-0.014
189959,1755608362654,70.28,-92.0,-21.75,801,776,886,430,916,50.0,-0.947,-0.337,-0.014
189989,1755608362655,70.28,-91.96,-21.74,804,778,892,356,914,33.333333333333336,-0.945,-0.336,-0.013
190018,1755608362657,70.27,-91.96,-21.75,805,774,889,349,918,34.48275862068966,-0.944,-0.336,-0.013
190039,1755608362660,70.28,-91.95,-21.75,800,774,895,397,914,47.61904761904762,-0.946,-0.337,-0.013
190069,1755608362662,70.26,-91.93,-21.74,801,772,891,321,920,33.333333333333336,-0.946,-0.338,-0.013
190089,1755608362664,70.28,-91.92,-21.74,804,765,889,383,918,50.0,-0.947,-0.338,-0.014
190119,1755608362666,70.25,-91.93,-21.73,803,767,892,351,917,33.333333333333336,-0.945,-0.338,-0.013
190149,1755608362668,70.25,-91.92,-21.73,800,771,890,399,916,33.333333333333336,-0.946,-0.338,-0.013
190169,1755608362670,70.25,-91.93,-21.73,805,766,889,352,918,50.0,-0.945,-0.338,-0.014
190199,1755608362672,70.27,-91.92,-21.72,804,775,890,382,920,33.333333333333336,-0.946,-0.339,-0.014
190229,1755608362675,70.21,-91.93,-21.71,804,778,894,427,917,33.333333333333336,-0.944,-0.338,-0.014
190249,1755608362677,70.22,-91.93,-21.71,806,768,892,359,919,50.0,-0.942,-0.337,-0.013
190279,1755608362679,70.23,-91.95,-21.72,801,769,893,402,915,33.333333333333336,-0.943,-0.338,-0.012
190299,1755608362681,70.25,-91.92,-21.72,805,773,889,349,925,50.0,-0.945,-0.338,-0.011
190329,1755608362683,70.13,-91.86,-21.71,806,774,897,400,918,33.333333333333336,-0.943,-0.336,-0.012
190349,1755608362685,70.1,-91.88,-21.73,805,767,888,305,920,50.0,-0.94,-0.334,-0.014
190379,1755608362688,70.13,-91.88,-21.75,807,778,888,383,918,33.333333333333336,-0.943,-0.336,-0.013
190400,1755608362690,70.15,-91.88,-21.73,802,766,892,322,918,47.61904761904762,-0.948,-0.338,-0.011
190420,1755608362692,70.13,-91.87,-21.72,799,773,892,355,921,50.0,-0.946,-0.338,-0.011
190440,1755608362694,70.1,-91.87,-21.72,804,773,897,408,914,50.0,-0.943,-0.338,-0.012
190470,1755608362696,70.15,-91.87,-21.72,804,772,890,365,919,33.333333333333336,-0.944,-0.339,-0.01
190500,1755608362698,70.15,-91.88,-21.71,800,773,886,369,918,33.333333333333336,-0.946,-0.338,-0.01
190520,1755608362700,70.15,-91.86,-21.71,806,766,886,374,917,50.0,-0.943,-0.338,-0.01
190550,1755608362702,70.13,-91.85,-21.71,805,773,888,366,916,33.333333333333336,-0.942,-0.338,-0.01
190570,1755608362704,70.14,-91.86,-21.71,804,776,891,382,913,50.0,-0.944,-0.338,-0.011
190600,1755608362706,70.16,-91.87,-21.71,803,776,890,364,917,33.333333333333336,-0.946,-0.338,-0.01
190621,1755608362708,70.15,-91.86,-21.7,804,775,889,367,922,47.61904761904762,-0.946,-0.337,-0.01
190641,1755608362710,70.15,-91.87,-21.7,799,775,884,435,917,50.0,-0.945,-0.337,-0.009
190661,1755608362712,70.17,-91.84,-21.7,801,775,891,433,919,50.0,-0.944,-0.337,-0.009
190691,1755608362714,70.2,-91.84,-21.68,809,774,887,387,912,33.333333333333336,-0.944,-0.337,-0.009
190711,1755608362716,70.19,-91.83,-21.68,804,773,886,405,919,50.0,-0.943,-0.336,-0.009
190741,1755608362718,70.16,-91.8,-21.68,799,774,893,379,920,33.333333333333336,-0.943,-0.336,-0.009
190761,1755608362721,70.16,-91.79,-21.68,804,770,889,393,919,50.0,-0.946,-0.337,-0.01
190781,1755608362722,70.17,-91.79,-21.67,800,775,898,383,916,50.0,-0.946,-0.338,-0.011
190801,1755608362724,70.21,-91.8,-21.66,800,774,888,333,920,50.0,-0.945,-0.338,-0.01
190831,1755608362726,70.19,-91.79,-21.66,804,775,887,381,919,33.333333333333336,-0.943,-0.338,-0.009
190852,1755608362729,70.21,-91.79,-21.67,805,778,890,340,922,47.61904761904762,-0.943,-0.338,-0.01
190882,1755608362730,70.22,-91.79,-21.65,806,777,893,383,916,33.333333333333336,-0.945,-0.337,-0.011
190902,1755608362732,70.24,-91.78,-21.64,806,772,897,367,915,50.0,-0.946,-0.336,-0.01
190932,1755608362734,70.19,-91.72,-21.62,804,785,891,381,916,33.333333333333336,-0.945,-0.336,-0.01
190962,1755608362736,70.21,-91.74,-21.64,802,775,889,424,919,33.333333333333336,-0.944,-0.337,-0.012
190982,1755608362738,70.22,-91.76,-21.64,801,771,889,372,914,50.0,-0.943,-0.338,-0.013
191002,1755608362740,70.22,-91.79,-21.64,804,774,889,353,921,50.0,-0.943,-0.339,-0.012
191032,1755608362743,70.23,-91.77,-21.63,804,776,893,376,919,33.333333333333336,-0.946,-0.337,-0.012
191062,1755608362744,70.25,-91.76,-21.62,804,773,892,430,917,33.333333333333336,-0.945,-0.337,-0.012
191082,1755608362747,70.29,-91.77,-21.62,804,780,894,374,918,50.0,-0.945,-0.336,-0.011
191102,1755608362749,70.29,-91.77,-21.61,800,773,888,358,919,50.0,-0.944,-0.336,-0.011
191123,1755608362751,70.27,-91.77,-21.62,802,778,888,394,921,47.61904761904762,-0.941,-0.336,-0.011
