timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
161517,1755608570880,10.49,70.42,-85.41,790,805,792,327,825,33.333333333333336,-0.182,0.951,0.264
161546,1755608570883,10.49,70.39,-85.45,792,809,794,368,818,34.48275862068966,-0.184,0.951,0.264
161576,1755608570884,10.5,70.36,-85.47,793,803,793,430,824,33.333333333333336,-0.187,0.95,0.267
161605,1755608570886,10.51,70.39,-85.47,791,807,796,415,838,34.48275862068966,-0.189,0.951,0.268
161635,1755608570888,10.51,70.42,-85.44,793,806,798,322,824,33.333333333333336,-0.186,0.951,0.266
161664,1755608570890,10.48,70.38,-85.49,788,805,799,331,821,34.48275862068966,-0.181,0.95,0.263
161694,1755608570892,10.46,70.32,-85.55,792,800,797,439,826,33.333333333333336,-0.182,0.95,0.266
161723,1755608570894,10.45,70.29,-85.56,794,801,795,432,821,34.48275862068966,-0.187,0.951,0.271
161753,1755608570896,10.45,70.33,-85.58,791,801,799,336,819,33.333333333333336,-0.188,0.951,0.271
161782,1755608570898,10.47,70.34,-85.61,793,805,800,331,824,34.48275862068966,-0.185,0.95,0.268
161812,1755608570900,10.45,70.29,-85.64,789,804,796,391,826,33.333333333333336,-0.183,0.95,0.266
161842,1755608570902,10.42,70.28,-85.68,792,810,796,452,824,33.333333333333336,-0.185,0.951,0.27
161871,1755608570904,10.44,70.29,-85.71,793,806,796,410,820,34.48275862068966,-0.187,0.951,0.272
161901,1755608570906,10.47,70.32,-85.74,793,810,793,307,828,33.333333333333336,-0.186,0.95,0.27
161930,1755608570908,10.45,70.3,-85.78,793,807,796,329,823,34.48275862068966,-0.182,0.949,0.267
161959,1755608570910,10.44,70.26,-85.84,793,804,792,431,822,34.48275862068966,-0.182,0.951,0.268
161989,1755608570912,10.45,70.25,-85.91,792,809,798,405,833,33.333333333333336,-0.186,0.951,0.271
162019,1755608570914,10.44,70.29,-85.92,794,806,792,315,821,33.333333333333336,-0.186,0.951,0.269
162049,1755608570916,10.44,70.3,-85.94,793,803,798,311,820,33.333333333333336,-0.186,0.95,0.268
162078,1755608570918,10.43,70.3,-86.01,790,799,795,384,821,34.48275862068966,-0.185,0.949,0.267
162108,1755608570921,10.43,70.24,-86.08,791,800,798,415,821,33.333333333333336,-0.186,0.948,0.267
162137,1755608570922,10.43,70.23,-86.12,792,801,797,366,826,34.48275862068966,-0.19,0.95,0.268
162167,1755608570925,10.42,70.25,-86.13,790,808,793,301,821,33.333333333333336,-0.189,0.95,0.267
162196,1755608570927,10.41,70.2,-86.2,790,807,792,335,824,34.48275862068966,-0.187,0.947,0.267
162226,1755608570929,10.41,70.18,-86.25,793,821,795,417,828,33.333333333333336,-0.191,0.948,0.272
162255,1755608570931,10.43,70.19,-86.27,792,802,796,406,815,34.48275862068966,-0.192,0.95,0.274
