timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
timestamp,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5
23741,-0.06,-0.06,0.00,771,776,772,812,812
23761,-3.36,-1.71,3.72,773,782,770,808,805
23781,-6.35,-3.66,-5.13,767,780,773,807,807
23801,-0.98,2.20,1.77,765,786,771,805,806
23821,0.24,2.56,2.81,770,785,772,804,812
23841,-0.98,2.75,2.62,770,780,765,808,810
23861,-2.93,0.98,1.34,764,779,771,807,812
23881,-5.25,-0.06,-0.79,769,780,769,809,812
23901,-5.74,0.67,-1.71,770,778,766,807,811
23921,-4.58,-0.67,-2.75,767,778,763,805,819
23941,-1.22,-1.71,-3.11,764,780,770,812,808
23961,-1.53,-1.65,-3.48,769,781,770,804,806
23981,-2.20,-2.93,-3.66,770,785,770,811,814
24001,-3.85,-2.01,-3.48,771,777,775,806,813
24021,-4.70,-0.55,-3.54,773,780,768,811,807
24041,-5.13,-1.46,-3.78,770,780,769,810,812
24061,-5.31,-1.71,-4.58,769,773,772,814,816
24081,-7.08,-0.24,-4.52,770,784,766,808,812
24101,-5.49,1.59,-2.32,766,781,762,805,816
24121,-4.94,2.44,-2.38,770,773,770,805,813
24141,-4.88,1.53,-2.01,767,774,765,811,813
24161,-6.65,2.14,-1.28,769,776,771,809,810
24181,-5.86,3.85,-1.89,770,783,770,801,809
24201,-4.52,5.07,-1.28,767,786,772,805,810
24221,-4.46,5.74,-0.85,763,780,768,807,812
24241,-4.64,6.04,-0.06,771,786,767,809,807
24261,-3.48,6.04,0.24,767,778,769,810,807
24281,-3.36,3.78,-1.22,768,785,773,809,805
24301,-3.05,1.46,-2.56,768,779,771,809,817
24321,-3.17,0.06,-1.83,770,785,769,815,806
24341,-5.49,0.12,-1.40,766,778,772,809,813
24361,-5.74,-0.92,-1.71,766,782,767,806,801
24381,-4.21,-0.98,-1.28,762,782,766,811,803
24401,-2.50,-0.85,0.18,769,779,770,806,811
24421,-0.49,0.79,1.65,772,782,771,806,810
24441,0.24,-0.12,1.71,768,790,769,814,814
24461,0.18,-1.65,1.95,765,769,767,807,814
24481,-1.22,-2.99,2.08,771,781,770,802,818
24501,-5.19,-1.83,0.85,772,779,764,813,804
24521,-3.85,0.00,3.23,768,786,775,810,804
24541,0.49,0.24,3.91,766,783,769,806,812
24561,3.05,-0.31,4.27,769,782,773,807,802
24581,-1.59,-1.28,2.62,770,781,769,806,808
24601,-1.71,-1.83,2.99,771,780,769,801,807
24621,-1.71,-2.50,2.62,769,777,774,812,810
24641,-2.87,-2.69,0.18,764,786,767,807,824
24661,-1.10,-3.54,2.08,769,783,769,808,815
24681,1.46,-4.58,2.75,768,776,772,806,809
24701,0.24,-6.84,1.59,766,774,770,804,808
24721,-1.22,-6.96,0.31,763,778,765,802,816
24741,-2.99,-6.96,-0.85,770,780,772,817,812
24761,-7.57,-7.14,-1.65,773,785,770,811,812
24781,-12.45,-5.74,-1.77,769,784,770,810,808
24801,-10.56,-4.15,0.85,765,785,767,807,810
24821,-3.30,-3.85,2.14,767,783,773,810,813
24841,0.43,-3.85,2.38,768,780,774,809,807
24861,2.08,-3.36,3.11,768,781,770,810,810
24881,-1.10,-3.54,0.06,767,782,773,811,804
24901,-1.95,-3.30,-1.95,771,782,767,811,801
24921,-0.18,-1.53,-3.48,769,787,775,807,810
24941,2.01,-1.34,-4.52,770,777,769,804,808
