timestamp(ms),ax(g),ay(g),az(g),pitch(¡Æ),roll(¡Æ),yaw(¡Æ)
5353,-0.021,-0.004,1.012,1.20,-0.23,0.00
6683,-0.018,-0.005,1.012,1.03,-0.27,0.00
7811,-0.017,-0.005,1.011,0.96,-0.27,0.00
8919,-0.045,-0.156,1.002,2.57,-8.85,3.31
10192,-0.124,-0.974,0.157,7.18,-80.83,3.31
11300,-0.112,-0.977,0.145,6.49,-81.56,2.09
12399,-0.020,-0.990,0.077,1.18,-85.57,2.09
13517,-0.026,-0.990,0.072,1.49,-85.83,2.09
14626,-0.024,-0.992,0.036,1.38,-87.92,2.09
15725,-0.046,-0.691,-0.711,2.67,-135.82,0.36
16833,-0.006,0.075,-0.997,0.32,175.72,0.36
17932,-0.006,0.078,-0.997,0.32,175.50,0.36
19031,-0.073,-0.835,-0.521,4.27,-121.96,25.39
20130,-0.014,0.003,1.010,0.77,0.17,25.39
21238,-0.013,0.003,1.009,0.76,0.19,25.39
22347,0.003,0.001,1.010,-0.16,0.08,-19.19
23455,-0.016,-0.008,1.010,0.93,-0.45,-19.19
24564,-0.018,-0.013,1.010,1.02,-0.72,-19.19
25682,-0.015,-0.013,1.010,0.87,-0.73,-19.19
26780,-0.014,-0.014,1.009,0.79,-0.78,-19.19
27899,-0.014,-0.008,1.010,0.80,-0.45,-19.19
29017,-0.014,-0.004,1.010,0.77,-0.22,-19.19
30116,-0.025,-0.114,1.004,1.40,-6.46,-12.82
31224,-0.026,-0.992,-0.032,1.51,-91.83,-11.33
32342,-0.046,-0.990,-0.062,2.63,-93.58,-10.46
33451,-0.051,-0.987,-0.094,2.92,-95.42,-9.10
34694,-0.031,-0.990,-0.081,1.77,-94.68,-6.88
35793,0.524,-0.327,0.636,-36.23,-27.25,-24.06
36902,0.996,0.053,0.134,-81.76,21.54,-22.43
38010,0.992,0.129,0.077,-81.41,59.29,-27.46
39128,0.696,0.318,-0.636,-44.37,153.48,-33.56
40256,0.143,0.009,-0.989,-8.21,179.47,-33.56
41364,0.047,0.073,-0.997,-2.67,175.81,-33.56
42473,0.044,0.063,-0.997,-2.50,176.38,-33.56
43610,0.042,0.072,-0.996,-2.41,175.86,-33.56
44748,0.043,0.067,-0.997,-2.47,176.16,-33.56
45846,0.706,0.172,-0.661,-45.94,165.43,-20.92
46955,0.084,0.003,1.028,-4.69,0.18,-36.61
48063,-0.020,-0.014,1.010,1.13,-0.80,-36.61
49162,-0.036,-0.051,1.009,2.05,-2.90,-34.48
50280,-0.008,-0.959,0.267,0.47,-74.45,-34.48
51389,-0.006,-0.993,0.013,0.36,-89.25,-35.42
52498,-0.011,-0.941,0.313,0.66,-71.59,-34.48
53606,-0.007,0.624,0.768,0.42,39.13,-23.10
54714,0.005,0.998,0.078,-0.28,85.53,-21.91
55852,0.007,1.000,0.044,-0.42,87.49,-21.91
56970,0.145,0.311,0.830,-9.31,20.51,34.02
58098,0.040,0.206,0.984,-2.27,11.81,35.29
59216,-0.011,-0.040,1.038,0.62,-2.20,-99.62
60324,-0.080,0.080,0.846,5.36,5.37,-70.71
61442,0.027,-0.400,0.925,-1.52,-23.38,-69.83
62551,0.010,-0.437,0.909,-0.54,-25.68,-69.83
63862,0.001,-0.452,0.902,-0.04,-26.64,-69.83
