timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
101828,1755584787867,35.47,-87.49,-17.76,760,773,818,856,859,33.333333333333336,-0.581,-0.809,0.023
101857,1755584787875,35.47,-87.49,-17.75,748,772,817,859,865,34.48275862068966,-0.582,-0.811,0.024
101887,1755584787905,35.49,-87.93,-17.73,753,779,812,841,897,33.333333333333336,-0.581,-0.811,0.023
101916,1755584787935,35.47,-87.93,-17.73,764,773,805,852,865,34.48275862068966,-0.579,-0.809,0.022
101937,1755584787955,35.45,-87.93,-17.74,759,769,814,857,859,47.61904761904762,-0.578,-0.809,0.022
101966,1755584787984,35.45,-87.91,-17.74,766,765,817,861,865,34.48275862068966,-0.58,-0.811,0.024
101995,1755584788014,35.45,-87.89,-17.71,759,775,808,855,868,34.48275862068966,-0.581,-0.811,0.025
102025,1755584788044,35.47,-87.86,-17.67,764,773,819,852,868,33.333333333333336,-0.58,-0.811,0.024
102055,1755584788073,35.5,-87.83,-17.65,759,775,825,859,862,33.333333333333336,-0.579,-0.808,0.023
102084,1755584788103,35.46,-87.84,-17.69,764,777,818,857,866,34.48275862068966,-0.578,-0.807,0.022
