timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
92684,1755584889071,29.24,-76.85,-47.34,822,775,773,799,831,33.333333333333336,-0.471,-0.854,0.2
92713,1755584889101,29.16,-76.84,-47.38,820,772,778,801,845,34.48275862068966,-0.474,-0.855,0.19
92743,1755584889131,29.24,-76.92,-47.36,834,770,778,795,828,33.333333333333336,-0.477,-0.858,0.191
92773,1755584889161,29.26,-76.86,-47.35,818,761,770,791,833,33.333333333333336,-0.477,-0.859,0.198
92802,1755584889190,29.21,-76.78,-47.31,818,780,776,800,836,34.48275862068966,-0.476,-0.859,0.198
92832,1755584889220,29.27,-76.84,-47.28,815,776,777,789,835,33.333333333333336,-0.474,-0.857,0.202
92861,1755584889249,29.31,-76.68,-47.24,812,765,768,791,832,34.48275862068966,-0.475,-0.852,0.209
92891,1755584889279,29.38,-76.31,-47.19,812,769,771,801,831,33.333333333333336,-0.477,-0.85,0.205
92920,1755584889308,29.47,-76.17,-47.12,824,766,770,797,830,34.48275862068966,-0.478,-0.857,0.193
92950,1755584889339,29.44,-76.36,-47.04,811,772,784,800,842,33.333333333333336,-0.47,-0.857,0.189
92971,1755584889358,29.45,-76.45,-46.99,817,773,776,799,828,47.61904761904762,-0.467,-0.85,0.202
93000,1755584889388,29.47,-76.35,-47.03,822,765,775,797,839,34.48275862068966,-0.471,-0.847,0.209
93029,1755584889417,29.38,-76.27,-47.04,817,766,773,802,824,34.48275862068966,-0.476,-0.85,0.206
93059,1755584889447,29.54,-76.33,-46.96,819,771,778,799,838,33.333333333333336,-0.478,-0.855,0.204
93088,1755584889477,29.54,-76.32,-46.91,819,776,775,793,840,34.48275862068966,-0.474,-0.853,0.202
93118,1755584889506,29.44,-76.31,-46.93,812,765,774,804,844,33.333333333333336,-0.474,-0.847,0.2
93148,1755584889535,29.53,-76.35,-46.95,819,766,774,790,838,33.333333333333336,-0.479,-0.846,0.201
93177,1755584889565,29.49,-76.43,-46.97,821,771,776,795,833,34.48275862068966,-0.479,-0.848,0.203
93207,1755584889595,29.46,-76.47,-46.98,813,782,774,795,841,33.333333333333336,-0.476,-0.849,0.205
93236,1755584889624,29.51,-76.44,-47.01,814,780,772,799,832,34.48275862068966,-0.478,-0.849,0.202
93266,1755584889654,29.4,-76.45,-47.04,815,764,778,805,826,33.333333333333336,-0.481,-0.85,0.197
93295,1755584889683,29.39,-76.51,-47.04,820,773,772,793,832,34.48275862068966,-0.478,-0.848,0.196
93325,1755584889713,29.46,-76.6,-47.08,820,772,767,806,828,33.333333333333336,-0.477,-0.849,0.199
93355,1755584889743,29.41,-76.54,-47.09,822,778,769,796,833,33.333333333333336,-0.479,-0.851,0.204
93384,1755584889772,29.39,-76.45,-47.06,817,776,767,800,823,34.48275862068966,-0.479,-0.853,0.204
93414,1755584889802,29.41,-76.4,-47.03,822,774,777,802,833,33.333333333333336,-0.476,-0.849,0.196
93444,1755584889831,29.32,-76.5,-47.1,808,771,775,802,834,33.333333333333336,-0.476,-0.847,0.191
93473,1755584889861,29.29,-76.58,-47.13,816,773,771,796,829,34.48275862068966,-0.479,-0.851,0.198
93502,1755584889890,29.33,-76.57,-47.09,819,776,773,794,832,34.48275862068966,-0.478,-0.853,0.207
93532,1755584889920,29.38,-76.55,-47.09,818,774,776,793,822,33.333333333333336,-0.475,-0.852,0.205
93561,1755584889950,29.35,-76.56,-47.1,820,763,775,796,825,34.48275862068966,-0.476,-0.85,0.201
93591,1755584889979,29.3,-76.54,-47.12,818,769,776,805,822,33.333333333333336,-0.479,-0.85,0.198
93621,1755584890009,29.32,-76.58,-47.11,825,772,775,784,836,33.333333333333336,-0.479,-0.85,0.198
93650,1755584890038,29.32,-76.57,-47.1,820,773,771,802,837,34.48275862068966,-0.478,-0.853,0.201
93680,1755584890068,29.31,-76.53,-47.09,817,777,781,798,840,33.333333333333336,-0.477,-0.854,0.201
93709,1755584890097,29.31,-76.52,-47.09,820,770,775,801,827,34.48275862068966,-0.477,-0.852,0.2
93739,1755584890127,29.3,-76.53,-47.07,817,774,771,801,834,33.333333333333336,-0.479,-0.852,0.199
93769,1755584890156,29.31,-76.55,-47.03,819,767,768,802,835,33.333333333333336,-0.481,-0.851,0.202
93798,1755584890186,29.28,-76.5,-47.04,814,778,775,799,834,34.48275862068966,-0.48,-0.847,0.203
93828,1755584890216,29.25,-76.43,-47.06,813,772,772,786,840,33.333333333333336,-0.479,-0.847,0.203
93857,1755584890245,29.28,-76.44,-47.05,829,766,771,802,827,34.48275862068966,-0.476,-0.852,0.202
93887,1755584890275,29.34,-76.48,-47.03,817,772,773,794,823,33.333333333333336,-0.475,-0.852,0.205
93917,1755584890304,29.3,-76.43,-47.06,816,778,770,799,831,33.333333333333336,-0.475,-0.85,0.206
93946,1755584890334,29.28,-76.37,-47.08,820,770,777,802,847,34.48275862068966,-0.479,-0.85,0.203
93976,1755584890363,29.31,-76.42,-47.03,822,765,774,801,824,33.333333333333336,-0.485,-0.85,0.199
94005,1755584890393,29.3,-76.44,-46.94,814,772,772,801,836,34.48275862068966,-0.486,-0.851,0.202
94025,1755584890413,29.28,-76.44,-46.89,820,777,775,795,833,50.0,-0.482,-0.85,0.206
94055,1755584890443,29.38,-76.39,-46.83,817,771,775,793,830,33.333333333333336,-0.475,-0.845,0.213
94085,1755584890472,29.55,-76.31,-46.8,819,776,782,797,833,33.333333333333336,-0.475,-0.849,0.213
94114,1755584890502,29.57,-76.26,-46.75,818,758,781,790,833,34.48275862068966,-0.476,-0.856,0.203
94143,1755584890531,29.64,-76.26,-46.66,821,772,771,794,826,34.48275862068966,-0.48,-0.856,0.192
94173,1755584890561,29.72,-76.39,-46.62,821,774,775,793,833,33.333333333333336,-0.483,-0.845,0.192
94203,1755584890590,29.67,-76.46,-46.65,815,777,786,798,834,33.333333333333336,-0.486,-0.836,0.198
94232,1755584890620,29.61,-76.43,-46.69,818,766,780,796,841,34.48275862068966,-0.487,-0.842,0.203
94262,1755584890650,29.54,-76.47,-46.71,817,770,791,792,834,33.333333333333336,-0.483,-0.847,0.203
94291,1755584890679,29.5,-76.48,-46.71,821,765,774,801,827,34.48275862068966,-0.48,-0.846,0.209
94321,1755584890709,29.53,-76.41,-46.76,824,767,776,799,844,33.333333333333336,-0.481,-0.841,0.212
94351,1755584890739,29.48,-76.32,-46.82,816,769,778,793,828,33.333333333333336,-0.485,-0.841,0.206
94381,1755584890768,29.37,-76.37,-46.86,820,774,774,793,828,33.333333333333336,-0.484,-0.845,0.201
94410,1755584890798,29.4,-76.37,-46.82,823,775,778,800,822,34.48275862068966,-0.487,-0.849,0.202
94440,1755584890828,29.35,-76.33,-46.8,815,774,776,794,836,33.333333333333336,-0.484,-0.845,0.201
94469,1755584890857,29.24,-76.34,-46.84,815,769,793,800,826,34.48275862068966,-0.479,-0.843,0.205
94499,1755584890887,29.37,-76.42,-46.87,818,781,773,796,827,33.333333333333336,-0.482,-0.847,0.209
94528,1755584890916,29.36,-76.36,-46.88,826,777,771,797,818,34.48275862068966,-0.481,-0.849,0.208
94558,1755584890946,29.33,-76.3,-46.88,824,780,778,795,830,33.333333333333336,-0.482,-0.848,0.206
94588,1755584890975,29.37,-76.29,-46.89,819,763,777,805,832,33.333333333333336,-0.482,-0.845,0.203
94617,1755584891005,29.32,-76.36,-46.92,822,767,770,791,830,34.48275862068966,-0.483,-0.846,0.204
94647,1755584891034,29.31,-76.4,-46.9,823,772,776,791,828,33.333333333333336,-0.484,-0.85,0.208
94676,1755584891064,29.4,-76.37,-46.84,821,792,775,796,838,34.48275862068966,-0.482,-0.848,0.21
94706,1755584891093,29.4,-76.27,-46.84,812,771,776,801,838,33.333333333333336,-0.48,-0.844,0.206
94735,1755584891123,29.35,-76.26,-46.89,818,777,772,794,829,34.48275862068966,-0.483,-0.844,0.199
94765,1755584891152,29.33,-76.34,-46.89,819,787,786,794,839,33.333333333333336,-0.486,-0.846,0.199
94794,1755584891182,29.31,-76.41,-46.88,821,771,766,802,832,34.48275862068966,-0.484,-0.847,0.206
94824,1755584891211,29.29,-76.36,-46.89,816,772,789,796,823,33.333333333333336,-0.481,-0.849,0.211
94853,1755584891241,29.29,-76.29,-46.88,816,770,765,799,832,34.48275862068966,-0.479,-0.849,0.21
94883,1755584891270,29.35,-76.29,-46.85,822,774,782,790,833,33.333333333333336,-0.482,-0.849,0.207
94912,1755584891300,29.36,-76.27,-46.83,817,760,780,796,841,34.48275862068966,-0.484,-0.846,0.206
94942,1755584891330,29.3,-76.27,-46.84,808,773,772,803,836,33.333333333333336,-0.482,-0.844,0.206
94971,1755584891359,29.35,-76.27,-46.86,817,771,770,786,836,34.48275862068966,-0.481,-0.846,0.209
95001,1755584891389,29.34,-76.25,-46.86,815,775,773,798,834,33.333333333333336,-0.48,-0.847,0.209
95030,1755584891418,29.3,-76.3,-46.89,815,764,772,791,817,34.48275862068966,-0.483,-0.847,0.207
95060,1755584891448,29.31,-76.31,-46.88,812,774,787,795,842,33.333333333333336,-0.483,-0.847,0.207
95089,1755584891477,29.28,-76.26,-46.86,814,770,776,798,830,34.48275862068966,-0.481,-0.846,0.208
95119,1755584891507,29.27,-76.28,-46.89,812,774,772,793,837,33.333333333333336,-0.481,-0.845,0.206
95148,1755584891536,29.27,-76.32,-46.91,819,792,779,797,827,34.48275862068966,-0.481,-0.846,0.207
95178,1755584891566,29.24,-76.36,-46.94,822,774,771,801,851,33.333333333333336,-0.481,-0.848,0.209
95207,1755584891595,29.26,-76.32,-46.92,818,768,765,796,830,34.48275862068966,-0.482,-0.85,0.208
95237,1755584891625,29.26,-76.29,-46.91,819,764,791,797,836,33.333333333333336,-0.48,-0.848,0.205
95266,1755584891655,29.27,-76.32,-46.92,818,767,775,797,830,34.48275862068966,-0.481,-0.846,0.204
95286,1755584891674,29.25,-76.33,-46.94,819,775,772,792,825,50.0,-0.481,-0.845,0.207
95316,1755584891704,29.23,-76.25,-46.97,819,766,772,794,840,33.333333333333336,-0.484,-0.849,0.212
95346,1755584891734,29.16,-76.1,-46.99,817,774,766,797,841,33.333333333333336,-0.481,-0.849,0.21
95375,1755584891763,29.21,-76.16,-46.98,811,771,778,791,833,34.48275862068966,-0.48,-0.85,0.207
95405,1755584891793,29.23,-76.2,-46.96,819,770,769,800,821,33.333333333333336,-0.481,-0.846,0.206
95434,1755584891822,29.22,-76.22,-46.98,818,770,776,796,833,34.48275862068966,-0.483,-0.846,0.208
95464,1755584891852,29.26,-76.21,-46.98,819,771,781,803,830,33.333333333333336,-0.482,-0.847,0.209
95493,1755584891881,29.24,-76.19,-46.96,820,771,772,794,828,34.48275862068966,-0.48,-0.848,0.209
95523,1755584891911,29.22,-76.18,-46.97,821,777,775,801,838,33.333333333333336,-0.48,-0.848,0.208
95552,1755584891940,29.23,-76.17,-46.97,817,776,773,792,825,34.48275862068966,-0.481,-0.848,0.208
95582,1755584891970,29.22,-76.16,-46.95,818,773,754,798,832,33.333333333333336,-0.482,-0.847,0.208
95611,1755584891999,29.25,-76.16,-46.96,825,775,777,797,828,34.48275862068966,-0.482,-0.847,0.207
95641,1755584892029,29.23,-76.16,-46.96,811,768,772,802,820,33.333333333333336,-0.48,-0.847,0.207
95670,1755584892058,29.25,-76.17,-46.96,819,773,766,794,837,34.48275862068966,-0.479,-0.847,0.209
95700,1755584892088,29.25,-76.16,-46.97,818,770,780,799,832,33.333333333333336,-0.479,-0.847,0.21
95729,1755584892117,29.23,-76.19,-46.97,820,769,770,798,832,34.48275862068966,-0.482,-0.846,0.209
95759,1755584892147,29.27,-76.19,-46.96,817,764,771,801,844,33.333333333333336,-0.481,-0.845,0.209
95789,1755584892176,29.21,-76.15,-46.98,820,777,770,797,831,33.333333333333336,-0.479,-0.847,0.21
