timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
15527,1755584951989,52.87,-55.41,-33.58,848,772,784,752,826,33.333333333333336,-0.757,-0.598,0.272
15556,1755584952018,52.76,-55.53,-33.54,838,771,773,747,815,34.48275862068966,-0.757,-0.598,0.268
15586,1755584952048,52.72,-55.82,-33.55,846,771,768,749,817,33.333333333333336,-0.756,-0.601,0.271
15615,1755584952077,52.8,-55.98,-33.51,839,756,772,753,818,34.48275862068966,-0.755,-0.599,0.275
15645,1755584952107,52.7,-56.17,-33.51,841,768,775,746,822,33.333333333333336,-0.755,-0.6,0.278
15674,1755584952136,52.51,-56.24,-33.47,838,761,774,748,817,34.48275862068966,-0.751,-0.593,0.276
15704,1755584952166,52.44,-56.3,-33.53,842,782,767,748,821,33.333333333333336,-0.752,-0.588,0.274
15734,1755584952196,52.37,-56.38,-33.59,838,765,770,752,818,33.333333333333336,-0.759,-0.59,0.268
15763,1755584952225,52.14,-56.46,-33.58,844,769,777,755,804,34.48275862068966,-0.761,-0.595,0.266
15793,1755584952255,52.02,-56.67,-33.63,839,773,766,748,808,33.333333333333336,-0.756,-0.595,0.268
15823,1755584952285,51.93,-56.71,-33.62,839,774,773,748,817,33.333333333333336,-0.762,-0.598,0.278
15852,1755584952314,51.58,-56.59,-33.56,840,767,773,744,812,34.48275862068966,-0.757,-0.597,0.282
15882,1755584952344,51.5,-56.7,-33.58,838,772,771,749,814,33.333333333333336,-0.747,-0.594,0.278
15911,1755584952373,51.67,-57.0,-33.61,841,789,769,751,820,34.48275862068966,-0.752,-0.597,0.28
15941,1755584952403,51.56,-57.03,-33.6,841,764,770,745,816,33.333333333333336,-0.759,-0.599,0.289
15971,1755584952432,51.34,-56.83,-33.53,834,770,783,751,817,33.333333333333336,-0.749,-0.589,0.288
16000,1755584952462,51.39,-57.05,-33.59,836,768,771,752,814,34.48275862068966,-0.755,-0.591,0.288
16029,1755584952491,51.16,-57.05,-33.56,838,767,769,746,829,34.48275862068966,-0.756,-0.597,0.285
16059,1755584952521,51.05,-57.15,-33.53,844,768,772,743,820,33.333333333333336,-0.752,-0.594,0.284
16088,1755584952550,51.21,-57.36,-33.57,845,767,777,752,820,34.48275862068966,-0.75,-0.594,0.293
16118,1755584952580,51.13,-57.29,-33.49,841,775,769,741,819,33.333333333333336,-0.75,-0.595,0.297
16147,1755584952609,51.12,-57.44,-33.5,841,772,768,745,813,34.48275862068966,-0.748,-0.593,0.294
16177,1755584952639,51.21,-57.6,-33.54,846,777,768,752,813,33.333333333333336,-0.749,-0.589,0.293
16206,1755584952668,51.1,-57.67,-33.53,842,763,768,750,808,34.48275862068966,-0.754,-0.59,0.291
16236,1755584952698,50.97,-57.69,-33.48,841,766,776,746,828,33.333333333333336,-0.753,-0.589,0.289
16266,1755584952728,51.04,-57.83,-33.48,842,773,777,752,820,33.333333333333336,-0.752,-0.589,0.292
16296,1755584952758,51.01,-58.04,-33.52,841,768,772,755,816,33.333333333333336,-0.751,-0.591,0.295
16325,1755584952787,50.92,-58.13,-33.53,841,772,773,748,824,34.48275862068966,-0.751,-0.592,0.297
16355,1755584952817,50.99,-58.19,-33.54,837,761,775,749,820,33.333333333333336,-0.751,-0.589,0.299
16384,1755584952847,50.9,-58.23,-33.53,839,772,774,746,831,34.48275862068966,-0.751,-0.587,0.296
16414,1755584952876,50.84,-58.45,-33.51,842,767,776,750,819,33.333333333333336,-0.751,-0.587,0.29
16443,1755584952906,50.92,-58.86,-33.57,842,773,776,745,813,34.48275862068966,-0.749,-0.589,0.291
16473,1755584952935,50.79,-58.95,-33.61,840,774,760,743,817,33.333333333333336,-0.753,-0.593,0.295
16503,1755584952966,50.82,-58.91,-33.6,835,773,776,741,817,33.333333333333336,-0.754,-0.593,0.297
16523,1755584952985,50.88,-58.92,-33.58,845,770,773,751,819,50.0,-0.755,-0.594,0.301
16543,1755584953005,50.9,-58.91,-33.55,841,766,773,754,813,50.0,-0.754,-0.594,0.304
16572,1755584953034,50.74,-58.85,-33.53,843,775,775,751,823,34.48275862068966,-0.753,-0.596,0.301
16602,1755584953064,50.43,-58.66,-33.5,844,774,770,749,816,33.333333333333336,-0.746,-0.59,0.293
16631,1755584953093,50.49,-58.93,-33.6,851,766,774,750,809,34.48275862068966,-0.746,-0.587,0.286
16661,1755584953123,50.71,-59.16,-33.68,843,774,763,742,822,33.333333333333336,-0.755,-0.594,0.294
16691,1755584953153,50.54,-59.06,-33.62,841,764,779,748,821,33.333333333333336,-0.754,-0.596,0.303
16720,1755584953182,50.65,-58.91,-33.59,842,771,777,748,829,34.48275862068966,-0.751,-0.593,0.307
16750,1755584953212,50.75,-58.91,-33.59,841,772,770,746,822,33.333333333333336,-0.751,-0.591,0.303
16779,1755584953241,50.51,-58.85,-33.55,840,780,770,743,821,34.48275862068966,-0.754,-0.591,0.297
16809,1755584953271,50.43,-58.75,-33.55,839,767,778,753,829,33.333333333333336,-0.76,-0.589,0.297
16839,1755584953301,50.14,-58.67,-33.52,837,773,773,747,812,33.333333333333336,-0.753,-0.587,0.296
16868,1755584953330,50.1,-58.72,-33.52,837,765,792,753,822,34.48275862068966,-0.755,-0.591,0.305
16898,1755584953360,49.83,-58.59,-33.45,839,769,776,752,820,33.333333333333336,-0.754,-0.587,0.307
16927,1755584953389,49.58,-58.57,-33.45,843,777,779,747,810,34.48275862068966,-0.748,-0.581,0.306
16957,1755584953419,49.74,-58.77,-33.47,842,764,778,748,823,33.333333333333336,-0.751,-0.584,0.312
16987,1755584953449,49.68,-58.81,-33.43,841,775,777,753,827,33.333333333333336,-0.752,-0.585,0.319
17016,1755584953478,49.61,-58.85,-33.41,839,772,771,747,821,34.48275862068966,-0.745,-0.58,0.315
17046,1755584953508,49.76,-58.94,-33.42,852,763,788,747,819,33.333333333333336,-0.749,-0.58,0.315
17075,1755584953538,49.69,-59.0,-33.4,834,774,776,751,809,34.48275862068966,-0.751,-0.579,0.316
17095,1755584953557,49.63,-59.06,-33.39,842,773,774,750,834,50.0,-0.749,-0.577,0.315
17125,1755584953587,49.68,-59.16,-33.41,839,776,773,746,811,33.333333333333336,-0.746,-0.58,0.315
17154,1755584953616,49.7,-59.21,-33.39,846,775,772,746,816,34.48275862068966,-0.751,-0.584,0.317
17184,1755584953646,49.65,-59.26,-33.37,834,775,778,752,810,33.333333333333336,-0.748,-0.582,0.317
17213,1755584953676,49.69,-59.34,-33.4,836,773,778,746,813,34.48275862068966,-0.749,-0.58,0.317
17243,1755584953705,49.63,-59.41,-33.39,831,773,777,745,824,33.333333333333336,-0.749,-0.584,0.317
17273,1755584953735,49.67,-59.43,-33.35,838,772,774,743,813,33.333333333333336,-0.747,-0.582,0.319
17302,1755584953764,49.72,-59.42,-33.39,833,766,769,744,817,34.48275862068966,-0.75,-0.581,0.319
17332,1755584953794,49.7,-59.39,-33.42,833,764,773,747,814,33.333333333333336,-0.752,-0.584,0.316
17362,1755584953823,49.68,-59.27,-33.4,843,770,764,737,814,33.333333333333336,-0.747,-0.58,0.318
17391,1755584953853,49.69,-59.16,-33.41,837,769,775,748,810,34.48275862068966,-0.747,-0.583,0.325
17421,1755584953883,49.65,-59.0,-33.41,842,769,779,752,828,33.333333333333336,-0.751,-0.583,0.327
17450,1755584953912,49.63,-59.04,-33.46,833,772,778,747,795,34.48275862068966,-0.749,-0.579,0.321
17480,1755584953942,49.63,-59.02,-33.48,836,779,777,756,822,33.333333333333336,-0.75,-0.578,0.318
17509,1755584953972,49.47,-59.04,-33.5,841,760,773,754,818,34.48275862068966,-0.748,-0.58,0.315
17529,1755584953992,49.39,-59.12,-33.54,832,770,774,746,816,50.0,-0.743,-0.58,0.312
17559,1755584954021,49.45,-59.27,-33.62,841,772,776,748,815,33.333333333333336,-0.748,-0.582,0.316
17589,1755584954051,49.3,-59.29,-33.62,838,770,767,742,813,33.333333333333336,-0.744,-0.583,0.32
17619,1755584954081,49.29,-59.34,-33.61,844,768,772,747,818,33.333333333333336,-0.746,-0.585,0.322
17648,1755584954110,49.28,-59.35,-33.57,834,779,772,753,805,34.48275862068966,-0.743,-0.585,0.32
17678,1755584954140,49.18,-59.47,-33.59,837,772,773,752,816,33.333333333333336,-0.739,-0.583,0.319
17707,1755584954169,49.25,-59.54,-33.62,836,773,772,750,819,34.48275862068966,-0.744,-0.583,0.324
