timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
76685,1755585159807,23.8,-90.83,-57.55,828,871,854,832,842,50.0,-0.386,-0.918,-0.009
76715,1755585159837,23.79,-90.86,-57.57,824,857,833,836,857,33.333333333333336,-0.386,-0.921,-0.012
76745,1755585159866,23.77,-90.86,-57.59,832,860,846,849,860,33.333333333333336,-0.389,-0.921,-0.013
76774,1755585159896,23.78,-90.9,-57.55,832,869,839,833,845,34.48275862068966,-0.387,-0.92,-0.013
76804,1755585159926,23.75,-91.05,-57.54,821,861,830,826,866,33.333333333333336,-0.384,-0.919,-0.015
76833,1755585159955,23.71,-91.1,-57.55,831,864,844,834,851,34.48275862068966,-0.384,-0.917,-0.016
76863,1755585159985,23.71,-91.09,-57.56,834,873,826,833,857,33.333333333333336,-0.388,-0.917,-0.016
76892,1755585160014,23.71,-91.12,-57.54,828,873,838,838,850,34.48275862068966,-0.389,-0.918,-0.017
76922,1755585160044,23.64,-91.16,-57.58,834,867,837,832,850,33.333333333333336,-0.384,-0.916,-0.021
76952,1755585160073,23.62,-91.13,-57.6,825,866,832,840,843,33.333333333333336,-0.386,-0.918,-0.019
76981,1755585160103,23.64,-91.13,-57.58,830,863,835,837,851,34.48275862068966,-0.386,-0.918,-0.018
77011,1755585160133,23.64,-91.14,-57.59,830,882,822,836,852,33.333333333333336,-0.385,-0.917,-0.02
77041,1755585160162,23.64,-91.18,-57.58,824,866,824,836,845,33.333333333333336,-0.388,-0.918,-0.021
77070,1755585160192,23.62,-91.19,-57.57,821,865,835,826,851,34.48275862068966,-0.387,-0.917,-0.021
77100,1755585160221,23.64,-91.19,-57.58,826,875,841,834,855,33.333333333333336,-0.386,-0.915,-0.019
77129,1755585160251,23.67,-91.17,-57.6,813,868,837,833,856,34.48275862068966,-0.387,-0.917,-0.027
77159,1755585160281,23.64,-91.22,-57.6,828,861,823,832,853,33.333333333333336,-0.387,-0.918,-0.027
77188,1755585160310,23.62,-91.22,-58.06,827,864,846,823,856,34.48275862068966,-0.387,-0.916,-0.025
77218,1755585160340,23.62,-91.22,-58.09,824,855,851,837,849,33.333333333333336,-0.387,-0.917,-0.023
77248,1755585160369,23.64,-91.24,-58.08,826,877,834,829,850,33.333333333333336,-0.387,-0.918,-0.024
77277,1755585160399,23.64,-91.29,-58.07,831,861,834,837,849,34.48275862068966,-0.386,-0.918,-0.025
77307,1755585160429,23.61,-91.3,-58.1,830,867,857,851,848,33.333333333333336,-0.387,-0.915,-0.025
77337,1755585160459,23.53,-91.34,-58.15,829,859,833,840,854,33.333333333333336,-0.386,-0.915,-0.027
77357,1755585160479,23.5,-91.4,-58.17,828,853,831,838,854,50.0,-0.385,-0.916,-0.026
77387,1755585160508,23.47,-91.48,-58.16,823,869,816,843,849,33.333333333333336,-0.383,-0.916,-0.026
77416,1755585160538,23.49,-91.52,-58.16,828,868,837,839,859,34.48275862068966,-0.384,-0.916,-0.025
77446,1755585160568,23.51,-91.51,-58.16,819,857,837,837,839,33.333333333333336,-0.386,-0.917,-0.026
77475,1755585160597,23.51,-91.54,-58.14,831,865,826,842,848,34.48275862068966,-0.387,-0.916,-0.028
77505,1755585160627,23.48,-91.58,-58.14,830,868,834,837,843,33.333333333333336,-0.387,-0.917,-0.029
77535,1755585160656,23.45,-91.6,-58.16,822,862,832,847,851,33.333333333333336,-0.385,-0.916,-0.028
77564,1755585160686,23.43,-91.64,-58.19,829,865,832,833,863,34.48275862068966,-0.385,-0.917,-0.028
77594,1755585160716,23.46,-91.64,-58.16,825,854,848,827,843,33.333333333333336,-0.387,-0.919,-0.028
77624,1755585160745,23.45,-91.65,-58.15,827,871,828,826,845,33.333333333333336,-0.385,-0.917,-0.029
77653,1755585160775,23.43,-91.65,-58.18,825,874,839,843,870,34.48275862068966,-0.386,-0.916,-0.029
77683,1755585160804,23.4,-91.7,-58.19,829,872,835,839,841,33.333333333333336,-0.387,-0.917,-0.029
77712,1755585160834,23.42,-91.72,-58.14,823,865,839,845,849,34.48275862068966,-0.388,-0.917,-0.029
77741,1755585160863,23.42,-91.75,-58.13,823,862,827,841,849,34.48275862068966,-0.386,-0.916,-0.03
77771,1755585160893,23.39,-91.75,-58.14,822,866,835,833,849,33.333333333333336,-0.388,-0.916,-0.031
77801,1755585160923,23.38,-91.77,-58.12,831,863,842,827,852,33.333333333333336,-0.39,-0.917,-0.031
77831,1755585160953,23.37,-91.83,-58.09,828,875,841,835,840,33.333333333333336,-0.388,-0.915,-0.03
77851,1755585160972,23.35,-91.86,-58.1,825,864,831,834,844,50.0,-0.386,-0.913,-0.028
77880,1755585161002,23.38,-91.8,-58.13,823,876,832,835,849,34.48275862068966,-0.387,-0.915,-0.027
77910,1755585161031,23.4,-91.8,-58.11,826,878,840,844,846,33.333333333333336,-0.388,-0.917,-0.03
77939,1755585161061,23.39,-91.82,-58.1,823,859,832,832,850,34.48275862068966,-0.386,-0.914,-0.031
77969,1755585161091,23.34,-91.88,-58.15,826,861,826,828,846,33.333333333333336,-0.387,-0.914,-0.029
77999,1755585161120,23.4,-91.82,-58.16,831,860,825,834,853,33.333333333333336,-0.39,-0.917,-0.027
78028,1755585161150,23.43,-91.81,-58.15,826,861,842,839,853,34.48275862068966,-0.385,-0.916,-0.03
78058,1755585161179,23.43,-91.81,-58.17,825,863,834,839,841,33.333333333333336,-0.385,-0.915,-0.031
78087,1755585161209,23.45,-91.8,-58.18,828,865,834,842,843,34.48275862068966,-0.387,-0.915,-0.03
78117,1755585161239,23.47,-91.83,-58.18,820,863,845,832,841,33.333333333333336,-0.389,-0.915,-0.03
78147,1755585161268,23.48,-91.86,-58.16,820,858,829,841,842,33.333333333333336,-0.387,-0.916,-0.033
78176,1755585161298,23.43,-91.91,-58.17,829,857,822,842,840,34.48275862068966,-0.384,-0.918,-0.033
78206,1755585161327,23.44,-91.87,-58.18,819,874,834,835,851,33.333333333333336,-0.385,-0.915,-0.03
78235,1755585161357,23.45,-91.86,-58.22,830,867,835,837,851,34.48275862068966,-0.387,-0.914,-0.031
78265,1755585161387,23.49,-91.82,-58.23,831,865,838,832,851,33.333333333333336,-0.391,-0.915,-0.033
78294,1755585161416,23.43,-91.89,-58.23,828,861,841,842,847,34.48275862068966,-0.386,-0.916,-0.037
78324,1755585161446,23.37,-91.95,-58.22,818,866,833,833,836,33.333333333333336,-0.383,-0.916,-0.035
78354,1755585161475,23.4,-91.91,-58.2,823,859,832,834,853,33.333333333333336,-0.385,-0.917,-0.029
78383,1755585161505,23.49,-91.85,-58.17,825,869,833,833,857,34.48275862068966,-0.388,-0.916,-0.031
78403,1755585161525,23.51,-91.83,-58.15,832,870,830,836,846,50.0,-0.387,-0.915,-0.036
78433,1755585161555,23.47,-91.83,-58.16,827,861,829,842,858,33.333333333333336,-0.387,-0.915,-0.04
78463,1755585161584,23.49,-91.76,-58.12,819,871,821,838,841,33.333333333333336,-0.389,-0.918,-0.033
78492,1755585161614,23.58,-91.71,-58.06,821,866,836,833,852,34.48275862068966,-0.388,-0.917,-0.029
78522,1755585161644,23.59,-91.76,-58.1,822,864,837,840,843,33.333333333333336,-0.385,-0.913,-0.036
78551,1755585161673,23.5,-91.87,-58.11,829,857,814,836,854,34.48275862068966,-0.389,-0.914,-0.039
78581,1755585161704,23.41,-92.0,-58.11,822,864,824,835,841,33.333333333333336,-0.39,-0.915,-0.034
78601,1755585161723,23.39,-92.03,-58.13,822,863,829,838,849,50.0,-0.389,-0.914,-0.027
78631,1755585161753,23.44,-91.91,-58.14,832,868,829,832,850,33.333333333333336,-0.39,-0.915,-0.026
78661,1755585161782,23.47,-91.93,-58.13,827,860,833,838,847,33.333333333333336,-0.39,-0.916,-0.031
78690,1755585161812,23.47,-91.96,-58.1,821,868,838,843,835,34.48275862068966,-0.389,-0.917,-0.032
78720,1755585161842,23.45,-91.92,-58.09,828,856,824,840,849,33.333333333333336,-0.392,-0.914,-0.031
78749,1755585161871,23.5,-91.87,-58.08,831,874,850,832,854,34.48275862068966,-0.394,-0.913,-0.03
78779,1755585161901,23.55,-91.91,-58.07,824,866,838,839,848,33.333333333333336,-0.395,-0.913,-0.033
78809,1755585161931,23.54,-91.86,-58.04,827,860,831,832,851,33.333333333333336,-0.393,-0.915,-0.034
78838,1755585161960,23.52,-91.86,-58.05,826,864,833,828,848,34.48275862068966,-0.389,-0.916,-0.032
78868,1755585161990,23.51,-91.86,-58.07,832,862,831,834,845,33.333333333333336,-0.387,-0.915,-0.029
78888,1755585162010,23.52,-91.86,-58.08,836,866,830,831,842,50.0,-0.389,-0.915,-0.03
78918,1755585162040,23.54,-91.88,-58.08,821,860,830,837,860,33.333333333333336,-0.392,-0.915,-0.032
78947,1755585162069,23.55,-91.87,-58.08,830,861,831,831,839,34.48275862068966,-0.392,-0.915,-0.031
78977,1755585162099,23.53,-91.83,-58.1,822,864,835,838,852,33.333333333333336,-0.39,-0.914,-0.032
79007,1755585162129,23.52,-91.89,-58.11,832,864,837,837,854,33.333333333333336,-0.389,-0.916,-0.033
79036,1755585162158,23.54,-91.91,-58.09,827,867,834,830,847,34.48275862068966,-0.39,-0.915,-0.031
79066,1755585162188,23.6,-91.86,-58.07,821,869,835,847,850,33.333333333333336,-0.391,-0.916,-0.03
79095,1755585162217,23.58,-91.89,-58.1,825,860,833,834,839,34.48275862068966,-0.389,-0.913,-0.034
79125,1755585162247,23.58,-91.88,-58.1,825,862,835,827,847,33.333333333333336,-0.389,-0.915,-0.034
79155,1755585162276,23.58,-91.88,-58.07,822,857,833,830,840,33.333333333333336,-0.388,-0.916,-0.033
79184,1755585162306,23.6,-91.87,-58.07,827,858,844,825,861,34.48275862068966,-0.388,-0.913,-0.034
79213,1755585162335,23.57,-91.9,-58.11,826,861,832,837,844,34.48275862068966,-0.391,-0.913,-0.036
79243,1755585162365,23.54,-91.95,-58.1,823,865,827,849,845,33.333333333333336,-0.392,-0.913,-0.036
79272,1755585162395,23.55,-91.96,-58.09,826,870,835,841,844,34.48275862068966,-0.391,-0.913,-0.032
79293,1755585162415,23.56,-91.93,-58.1,825,858,827,838,840,47.61904761904762,-0.39,-0.913,-0.031
79322,1755585162444,23.6,-91.92,-58.1,827,865,831,840,851,34.48275862068966,-0.39,-0.914,-0.034
79352,1755585162474,23.56,-91.99,-58.1,830,869,823,837,845,33.333333333333336,-0.388,-0.913,-0.037
79382,1755585162503,23.57,-92.0,-58.09,826,870,827,843,860,33.333333333333336,-0.391,-0.914,-0.034
79411,1755585162533,23.59,-91.96,-58.09,828,867,832,832,854,34.48275862068966,-0.391,-0.914,-0.033
79441,1755585162563,23.58,-91.96,-58.09,829,868,837,838,834,33.333333333333336,-0.389,-0.913,-0.037
79471,1755585162592,23.55,-92.04,-58.09,827,866,835,836,845,33.333333333333336,-0.39,-0.913,-0.039
79500,1755585162622,23.51,-92.06,-58.09,824,866,827,844,839,34.48275862068966,-0.39,-0.913,-0.031
79530,1755585162651,23.51,-92.02,-58.11,823,863,833,840,848,33.333333333333336,-0.39,-0.914,-0.031
79559,1755585162681,23.51,-92.03,-58.12,826,861,837,840,843,34.48275862068966,-0.388,-0.913,-0.035
79589,1755585162711,23.5,-92.04,-58.12,823,871,832,832,849,33.333333333333336,-0.391,-0.914,-0.035
79618,1755585162741,23.49,-92.07,-58.11,826,871,827,836,846,34.48275862068966,-0.391,-0.914,-0.036
79648,1755585162770,23.52,-92.04,-58.09,827,868,833,827,842,33.333333333333336,-0.39,-0.914,-0.034
79678,1755585162799,23.54,-92.02,-58.1,826,848,827,833,840,33.333333333333336,-0.391,-0.913,-0.036
79707,1755585162829,23.55,-92.05,-58.11,830,865,829,841,851,34.48275862068966,-0.393,-0.913,-0.038
79737,1755585162859,23.52,-92.09,-58.15,828,866,820,838,847,33.333333333333336,-0.392,-0.912,-0.038
79767,1755585162889,23.52,-92.11,-58.17,832,875,834,839,845,33.333333333333336,-0.392,-0.914,-0.037
79797,1755585162918,23.54,-92.09,-58.17,824,862,843,837,842,33.333333333333336,-0.391,-0.915,-0.035
79826,1755585162948,23.56,-92.06,-58.17,817,870,838,840,848,34.48275862068966,-0.391,-0.915,-0.039
79856,1755585162977,23.51,-92.15,-58.2,830,861,832,831,849,33.333333333333336,-0.392,-0.913,-0.043
79885,1755585163007,23.46,-92.19,-58.24,832,867,835,834,850,34.48275862068966,-0.391,-0.913,-0.039
79915,1755585163036,23.41,-92.21,-58.3,829,861,831,828,846,33.333333333333336,-0.389,-0.916,-0.038
79944,1755585163067,23.42,-92.23,-58.3,818,866,831,828,838,34.48275862068966,-0.39,-0.915,-0.041
79964,1755585163086,23.34,-92.31,-58.34,831,865,832,833,839,50.0,-0.388,-0.911,-0.048
79994,1755585163116,23.15,-92.53,-58.46,826,858,822,838,843,33.333333333333336,-0.389,-0.91,-0.05
80023,1755585163145,23.03,-92.64,-58.52,822,864,826,835,851,34.48275862068966,-0.39,-0.914,-0.044
80053,1755585163175,23.05,-92.63,-58.5,817,857,830,836,839,33.333333333333336,-0.388,-0.918,-0.037
80083,1755585163205,23.09,-92.58,-58.5,824,863,835,840,832,33.333333333333336,-0.385,-0.916,-0.038
80103,1755585163225,23.13,-92.54,-58.51,818,869,834,833,834,50.0,-0.386,-0.915,-0.042
80133,1755585163255,23.21,-92.46,-58.45,821,856,830,830,847,33.333333333333336,-0.39,-0.915,-0.044
80163,1755585163285,23.34,-92.34,-58.35,830,857,834,842,842,33.333333333333336,-0.39,-0.916,-0.041
80192,1755585163314,23.36,-92.32,-58.35,819,856,864,834,843,34.48275862068966,-0.384,-0.913,-0.044
80222,1755585163343,23.35,-92.35,-58.38,831,864,829,838,843,33.333333333333336,-0.386,-0.916,-0.045
80251,1755585163373,23.4,-92.29,-58.33,824,862,830,833,849,34.48275862068966,-0.389,-0.917,-0.043
80281,1755585163402,23.44,-92.23,-58.33,821,857,833,825,843,33.333333333333336,-0.387,-0.914,-0.042
80310,1755585163432,23.47,-92.2,-58.34,817,870,839,831,845,34.48275862068966,-0.387,-0.915,-0.043
80340,1755585163462,23.49,-92.23,-58.34,824,867,832,833,854,33.333333333333336,-0.387,-0.915,-0.044
80369,1755585163491,23.46,-91.78,-58.34,826,877,822,839,843,34.48275862068966,-0.386,-0.914,-0.044
80399,1755585163521,23.48,-91.7,-58.36,825,855,836,835,874,33.333333333333336,-0.388,-0.912,-0.042
80429,1755585163550,23.49,-91.7,-58.4,828,866,833,833,847,33.333333333333336,-0.388,-0.912,-0.041
80458,1755585163580,23.5,-91.74,-58.44,829,873,836,840,849,34.48275862068966,-0.386,-0.914,-0.041
80487,1755585163609,23.53,-91.74,-58.45,827,866,831,828,842,34.48275862068966,-0.388,-0.915,-0.043
80517,1755585163639,23.54,-91.73,-58.44,826,868,832,839,848,33.333333333333336,-0.389,-0.915,-0.044
