timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
18205,1755585307661,10.52,96.0,26.17,824,784,776,758,803,33.333333333333336,-0.178,0.994,-0.02
18234,1755585307690,10.48,96.1,26.2,831,777,771,758,814,34.48275862068966,-0.177,0.982,-0.019
18264,1755585307720,10.44,96.22,26.21,825,776,779,754,808,33.333333333333336,-0.182,0.987,-0.02
18293,1755585307749,10.45,96.26,26.29,830,772,778,754,814,34.48275862068966,-0.187,0.989,-0.022
18323,1755585307779,10.46,96.24,26.37,823,784,771,757,812,33.333333333333336,-0.185,0.985,-0.027
18352,1755585307808,10.43,96.24,26.42,827,778,778,757,813,34.48275862068966,-0.18,0.983,-0.025
18382,1755585307837,10.39,96.3,26.43,826,782,768,757,808,33.333333333333336,-0.177,0.99,-0.023
18411,1755585307867,10.37,96.36,26.49,826,771,772,753,812,34.48275862068966,-0.178,0.989,-0.023
18441,1755585307897,10.32,96.36,26.49,830,772,773,755,807,33.333333333333336,-0.176,0.986,-0.029
18471,1755585307927,10.28,96.37,26.51,819,780,775,755,814,33.333333333333336,-0.178,0.981,-0.023
18501,1755585307956,10.26,96.37,26.54,827,770,772,761,813,33.333333333333336,-0.181,0.988,-0.022
18530,1755585307986,10.27,96.51,26.56,825,778,778,756,807,34.48275862068966,-0.18,0.99,-0.023
18560,1755585308015,10.25,96.55,26.61,821,782,767,759,813,33.333333333333336,-0.179,0.984,-0.025
18589,1755585308045,10.21,96.53,26.64,820,775,778,755,808,34.48275862068966,-0.178,0.984,-0.027
18618,1755585308074,10.13,96.48,26.64,837,776,771,760,816,34.48275862068966,-0.177,0.985,-0.026
18648,1755585308103,10.08,96.56,26.71,822,776,774,759,807,33.333333333333336,-0.177,0.991,-0.024
18677,1755585308133,10.04,96.6,26.67,839,779,768,754,806,34.48275862068966,-0.177,0.984,-0.022
18707,1755585308162,10.01,96.56,26.73,823,775,774,762,810,33.333333333333336,-0.18,0.984,-0.024
18736,1755585308192,9.99,96.61,26.83,817,777,776,756,811,34.48275862068966,-0.18,0.989,-0.023
18766,1755585308221,9.97,96.66,26.83,825,771,774,761,806,33.333333333333336,-0.177,0.988,-0.022
18795,1755585308251,9.96,96.71,26.91,830,782,774,753,807,34.48275862068966,-0.177,0.987,-0.021
18824,1755585308280,9.92,96.78,26.9,818,775,772,763,803,34.48275862068966,-0.177,0.987,-0.021
18854,1755585308310,9.92,96.84,26.94,824,777,771,755,822,33.333333333333336,-0.18,0.99,-0.022
18884,1755585308339,9.91,96.9,26.98,822,778,780,761,817,33.333333333333336,-0.178,0.988,-0.024
