timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
51643,1755585439792,17.06,-64.01,-33.91,790,770,772,800,824,34.48275862068966,-0.29,-0.857,0.415
51673,1755585439822,17.07,-64.01,-33.91,787,775,774,790,824,33.333333333333336,-0.289,-0.857,0.416
51702,1755585439851,17.07,-64.01,-33.9,794,776,772,798,825,34.48275862068966,-0.29,-0.859,0.416
51732,1755585439881,17.11,-64.01,-33.86,797,769,762,805,825,33.333333333333336,-0.289,-0.856,0.417
51762,1755585439911,17.11,-63.95,-33.89,799,760,770,807,830,33.333333333333336,-0.292,-0.857,0.418
51791,1755585439940,17.05,-63.91,-33.9,797,776,774,801,827,34.48275862068966,-0.294,-0.858,0.414
51821,1755585439970,17.1,-63.97,-33.88,800,774,768,800,830,33.333333333333336,-0.292,-0.856,0.415
51851,1755585440000,17.12,-63.97,-33.86,793,772,773,788,831,33.333333333333336,-0.29,-0.857,0.418
51880,1755585440029,17.12,-63.94,-33.85,797,776,776,799,819,34.48275862068966,-0.291,-0.858,0.419
51910,1755585440059,17.14,-63.93,-33.84,794,770,770,799,825,33.333333333333336,-0.294,-0.857,0.417
51939,1755585440089,17.17,-63.96,-33.82,798,781,773,801,821,34.48275862068966,-0.293,-0.855,0.415
51969,1755585440119,17.17,-63.99,-33.83,794,779,775,796,817,33.333333333333336,-0.292,-0.855,0.418
51999,1755585440148,17.18,-63.97,-33.85,791,771,772,803,827,33.333333333333336,-0.293,-0.856,0.419
52028,1755585440177,17.18,-63.98,-33.85,795,774,769,797,836,34.48275862068966,-0.292,-0.856,0.418
52058,1755585440207,17.22,-63.99,-33.83,790,779,773,803,824,33.333333333333336,-0.291,-0.855,0.419
52087,1755585440236,17.2,-63.92,-33.86,792,776,771,798,830,34.48275862068966,-0.293,-0.855,0.42
52117,1755585440267,17.18,-63.89,-33.87,789,777,774,789,831,33.333333333333336,-0.295,-0.854,0.416
52137,1755585440286,17.21,-63.94,-33.85,790,771,775,794,823,50.0,-0.295,-0.854,0.414
52167,1755585440316,17.18,-63.94,-33.86,801,771,781,796,817,33.333333333333336,-0.297,-0.855,0.416
52196,1755585440346,17.15,-63.91,-33.87,801,773,772,802,825,34.48275862068966,-0.295,-0.854,0.416
52217,1755585440366,17.16,-63.9,-33.86,796,770,776,793,846,47.61904761904762,-0.293,-0.856,0.418
52246,1755585440395,17.14,-63.89,-33.84,798,771,773,796,822,34.48275862068966,-0.29,-0.858,0.42
52275,1755585440425,17.13,-63.85,-33.82,793,779,775,799,823,34.48275862068966,-0.289,-0.859,0.42
52305,1755585440454,17.14,-63.8,-33.78,802,775,764,792,819,33.333333333333336,-0.291,-0.859,0.419
52334,1755585440484,17.13,-63.77,-33.74,794,774,768,794,819,34.48275862068966,-0.291,-0.857,0.418
52364,1755585440513,17.16,-63.76,-33.73,793,768,771,802,823,33.333333333333336,-0.293,-0.85,0.416
52394,1755585440543,17.12,-63.81,-33.77,798,768,775,795,808,33.333333333333336,-0.296,-0.851,0.418
52423,1755585440573,17.12,-63.82,-33.77,799,782,779,799,823,34.48275862068966,-0.295,-0.849,0.421
52443,1755585440593,17.14,-63.85,-33.79,797,774,765,788,822,50.0,-0.296,-0.85,0.424
52473,1755585440622,17.17,-63.8,-33.81,792,776,762,793,812,33.333333333333336,-0.295,-0.854,0.426
52503,1755585440652,17.25,-63.75,-33.81,795,778,766,797,826,33.333333333333336,-0.297,-0.857,0.424
52532,1755585440682,17.26,-63.66,-33.81,794,776,770,801,824,34.48275862068966,-0.304,-0.858,0.421
52562,1755585440711,17.24,-63.49,-33.77,792,772,766,793,831,33.333333333333336,-0.306,-0.861,0.418
52591,1755585440740,17.3,-63.48,-33.63,794,772,770,800,824,34.48275862068966,-0.301,-0.856,0.414
52621,1755585440771,17.38,-63.5,-33.57,797,773,769,799,825,33.333333333333336,-0.3,-0.851,0.42
52650,1755585440799,17.21,-63.4,-33.6,791,789,768,796,829,34.48275862068966,-0.298,-0.852,0.418
52680,1755585440830,17.21,-63.43,-33.52,789,777,768,799,832,33.333333333333336,-0.292,-0.85,0.421
52700,1755585440850,17.31,-63.47,-33.46,794,780,768,810,827,50.0,-0.292,-0.851,0.429
52730,1755585440879,17.15,-63.39,-33.52,796,774,772,800,826,33.333333333333336,-0.293,-0.848,0.429
52760,1755585440909,17.21,-63.37,-33.5,796,772,770,801,825,33.333333333333336,-0.299,-0.848,0.427
52789,1755585440939,17.29,-63.24,-33.37,794,770,772,793,826,34.48275862068966,-0.306,-0.853,0.428
52819,1755585440968,17.39,-63.09,-33.14,791,776,773,789,834,33.333333333333336,-0.304,-0.852,0.433
52848,1755585440998,17.47,-62.98,-33.02,796,776,773,789,825,34.48275862068966,-0.298,-0.846,0.434
52878,1755585441027,17.5,-62.95,-33.03,802,770,773,797,821,33.333333333333336,-0.296,-0.839,0.429
52908,1755585441057,17.47,-62.93,-33.12,790,778,770,794,830,33.333333333333336,-0.3,-0.837,0.426
52938,1755585441087,17.49,-62.97,-33.12,800,786,773,796,821,33.333333333333336,-0.304,-0.843,0.428
52967,1755585441117,17.59,-63.02,-33.03,795,772,775,801,827,34.48275862068966,-0.304,-0.848,0.433
52997,1755585441146,17.69,-63.02,-32.96,796,781,776,796,819,33.333333333333336,-0.303,-0.847,0.433
53027,1755585441176,17.71,-62.97,-32.96,802,768,769,805,825,33.333333333333336,-0.3,-0.845,0.428
53057,1755585441206,17.74,-63.0,-32.96,789,771,780,793,824,33.333333333333336,-0.301,-0.844,0.426
53086,1755585441235,17.83,-63.03,-32.93,797,772,774,795,823,34.48275862068966,-0.305,-0.843,0.43
53116,1755585441265,17.82,-63.02,-32.96,804,770,772,804,827,33.333333333333336,-0.308,-0.841,0.433
53145,1755585441294,17.87,-63.05,-32.98,797,772,765,801,819,34.48275862068966,-0.311,-0.841,0.434
53175,1755585441324,17.95,-63.03,-32.98,792,776,776,793,823,33.333333333333336,-0.314,-0.844,0.434
53204,1755585441353,18.0,-63.0,-32.97,796,770,769,794,820,34.48275862068966,-0.314,-0.843,0.432
53234,1755585441384,18.07,-63.03,-32.99,798,773,771,790,823,33.333333333333336,-0.313,-0.841,0.429
53254,1755585441403,18.07,-63.05,-33.01,799,773,770,805,837,50.0,-0.314,-0.841,0.429
53283,1755585441432,18.07,-63.04,-33.03,797,769,767,785,814,34.48275862068966,-0.315,-0.843,0.427
53313,1755585441462,18.12,-63.09,-33.01,795,770,772,799,834,33.333333333333336,-0.313,-0.845,0.427
53342,1755585441492,18.17,-63.11,-32.99,793,777,772,798,821,34.48275862068966,-0.315,-0.845,0.428
53372,1755585441521,18.09,-63.11,-32.98,797,774,769,801,815,33.333333333333336,-0.315,-0.841,0.425
53402,1755585441551,18.16,-63.17,-32.98,797,784,774,790,833,33.333333333333336,-0.32,-0.842,0.431
53431,1755585441581,18.16,-63.16,-33.0,794,769,769,802,823,34.48275862068966,-0.32,-0.847,0.431
53461,1755585441610,18.19,-63.6,-32.97,796,769,769,795,820,33.333333333333336,-0.32,-0.845,0.426
53490,1755585441640,18.27,-63.64,-32.92,798,774,773,810,822,34.48275862068966,-0.32,-0.844,0.425
53520,1755585441669,18.22,-63.66,-32.95,794,773,775,803,823,33.333333333333336,-0.32,-0.844,0.424
53550,1755585441699,18.14,-63.61,-32.92,795,762,772,799,838,33.333333333333336,-0.323,-0.845,0.424
53570,1755585441719,18.17,-63.56,-32.81,791,773,780,803,822,50.0,-0.321,-0.846,0.428
53599,1755585441748,18.17,-63.35,-32.69,795,771,772,802,814,34.48275862068966,-0.322,-0.85,0.436
53629,1755585441778,18.1,-63.05,-32.59,801,772,769,803,818,33.333333333333336,-0.324,-0.85,0.441
53658,1755585441808,18.27,-62.73,-32.33,796,773,773,798,828,34.48275862068966,-0.322,-0.847,0.44
