timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
42851,1755585539859,20.01,33.0,-16.92,797,841,774,755,808,33.333333333333336,-0.323,0.525,0.797
42880,1755585539888,20.0,33.01,-16.92,797,846,770,761,800,34.48275862068966,-0.326,0.525,0.799
42909,1755585539917,20.02,32.99,-16.94,791,850,770,751,809,34.48275862068966,-0.327,0.526,0.799
42939,1755585539947,20.02,32.97,-16.96,793,843,771,760,805,33.333333333333336,-0.327,0.526,0.799
42968,1755585539977,20.02,32.99,-16.97,791,840,766,755,814,34.48275862068966,-0.327,0.526,0.8
42998,1755585540006,20.04,33.0,-16.99,792,859,768,755,810,33.333333333333336,-0.328,0.525,0.8
43027,1755585540036,20.05,32.98,-17.01,795,850,773,754,821,34.48275862068966,-0.326,0.524,0.797
43057,1755585540065,20.02,32.93,-17.02,797,853,780,759,803,33.333333333333336,-0.326,0.525,0.798
43087,1755585540095,20.02,32.94,-17.06,793,851,781,758,808,33.333333333333336,-0.327,0.525,0.802
43116,1755585540124,20.05,32.97,-17.08,788,850,778,755,818,34.48275862068966,-0.326,0.523,0.8
43146,1755585540154,20.04,32.97,-17.08,790,833,777,758,813,33.333333333333336,-0.325,0.523,0.797
43175,1755585540183,20.02,32.92,-17.11,788,851,776,755,802,34.48275862068966,-0.324,0.524,0.797
43204,1755585540212,20.0,32.92,-17.12,789,841,776,752,805,34.48275862068966,-0.325,0.525,0.8
43234,1755585540242,20.01,32.98,-17.12,796,838,773,752,797,33.333333333333336,-0.326,0.524,0.802
43263,1755585540271,20.04,32.98,-17.14,796,856,770,758,810,34.48275862068966,-0.324,0.523,0.798
43293,1755585540301,20.0,32.93,-17.17,786,849,776,758,806,33.333333333333336,-0.323,0.523,0.796
43322,1755585540330,19.98,32.94,-17.19,788,855,766,759,800,34.48275862068966,-0.324,0.525,0.799
43351,1755585540360,20.01,32.99,-17.21,798,838,773,754,805,34.48275862068966,-0.325,0.525,0.8
43381,1755585540389,20.03,32.95,-17.23,789,848,776,759,810,33.333333333333336,-0.324,0.523,0.796
