timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
36224,1755585642908,19.58,-62.19,-55.23,756,776,762,808,827,34.48275862068966,-0.33,-0.837,0.451
36254,1755585642937,19.62,-62.17,-55.2,763,768,771,798,824,33.333333333333336,-0.321,-0.834,0.447
36283,1755585642967,19.72,-62.22,-55.23,766,774,772,813,823,34.48275862068966,-0.325,-0.83,0.448
36313,1755585642996,19.65,-62.1,-55.3,765,774,779,814,817,33.333333333333336,-0.33,-0.829,0.443
36342,1755585643026,19.69,-62.17,-55.29,768,775,771,808,827,34.48275862068966,-0.326,-0.828,0.437
36372,1755585643056,19.76,-62.38,-55.28,758,772,756,817,819,33.333333333333336,-0.325,-0.832,0.445
36392,1755585643075,19.73,-62.38,-55.29,765,765,768,810,821,50.0,-0.327,-0.833,0.449
36421,1755585643105,19.66,-62.23,-55.34,769,771,779,814,823,34.48275862068966,-0.327,-0.83,0.441
36451,1755585643134,19.68,-62.37,-55.32,764,781,769,804,820,33.333333333333336,-0.332,-0.831,0.436
36480,1755585643164,19.69,-62.36,-55.24,765,771,766,804,822,34.48275862068966,-0.329,-0.833,0.448
36510,1755585643194,19.61,-62.28,-55.3,764,779,770,798,829,33.333333333333336,-0.321,-0.828,0.453
36539,1755585643223,19.68,-62.35,-55.35,764,779,768,814,817,34.48275862068966,-0.324,-0.83,0.449
36569,1755585643253,19.69,-62.27,-55.3,759,777,765,822,812,33.333333333333336,-0.328,-0.833,0.447
36599,1755585643283,19.72,-62.21,-55.28,764,768,773,807,822,33.333333333333336,-0.326,-0.829,0.444
36629,1755585643313,19.68,-62.24,-55.35,760,779,785,807,819,33.333333333333336,-0.329,-0.828,0.443
36659,1755585643342,19.71,-62.19,-55.33,765,772,773,807,833,33.333333333333336,-0.326,-0.831,0.445
36688,1755585643372,19.79,-62.15,-55.36,759,782,768,799,827,34.48275862068966,-0.32,-0.827,0.452
36718,1755585643401,19.84,-62.18,-55.57,764,777,772,802,824,33.333333333333336,-0.32,-0.83,0.454
36747,1755585643431,19.71,-62.06,-55.77,770,769,772,807,825,34.48275862068966,-0.329,-0.832,0.449
36777,1755585643461,19.91,-61.93,-55.69,766,762,773,808,833,33.333333333333336,-0.332,-0.83,0.441
36806,1755585643490,19.98,-61.98,-55.7,762,773,772,805,825,34.48275862068966,-0.328,-0.83,0.444
36836,1755585643520,19.84,-62.02,-55.86,771,775,794,817,842,33.333333333333336,-0.324,-0.827,0.447
36865,1755585643549,19.98,-61.88,-55.84,763,777,757,809,824,34.48275862068966,-0.325,-0.83,0.448
36895,1755585643579,19.97,-61.9,-55.88,768,773,781,804,818,33.333333333333336,-0.328,-0.835,0.446
36925,1755585643609,19.89,-61.9,-55.87,765,782,776,807,825,33.333333333333336,-0.334,-0.832,0.443
36954,1755585643638,20.04,-61.88,-55.76,762,770,763,802,819,34.48275862068966,-0.334,-0.829,0.441
36984,1755585643668,19.97,-61.88,-55.76,775,777,773,811,823,33.333333333333336,-0.329,-0.829,0.444
37013,1755585643697,19.85,-61.9,-55.81,763,777,767,813,833,34.48275862068966,-0.325,-0.828,0.448
37043,1755585643727,19.9,-61.85,-55.78,763,770,771,825,823,33.333333333333336,-0.325,-0.831,0.449
37072,1755585643756,19.85,-61.83,-55.75,763,768,776,806,825,34.48275862068966,-0.329,-0.835,0.447
37102,1755585643786,19.85,-61.89,-55.67,765,780,772,811,820,33.333333333333336,-0.328,-0.828,0.446
37132,1755585643816,19.94,-61.89,-55.61,759,774,769,808,837,33.333333333333336,-0.322,-0.825,0.451
37161,1755585643845,19.82,-61.81,-55.67,765,779,769,807,825,34.48275862068966,-0.32,-0.826,0.454
37191,1755585643875,19.81,-61.84,-55.7,757,778,764,808,834,33.333333333333336,-0.325,-0.826,0.452
37221,1755585643904,19.93,-61.84,-55.63,762,770,776,812,820,33.333333333333336,-0.328,-0.83,0.452
37250,1755585643934,19.93,-61.83,-55.61,765,781,763,805,826,34.48275862068966,-0.327,-0.827,0.451
37280,1755585643964,19.96,-61.8,-55.58,762,775,768,814,829,33.333333333333336,-0.325,-0.823,0.452
37309,1755585643994,19.99,-61.81,-55.6,767,782,774,808,827,34.48275862068966,-0.323,-0.825,0.454
37339,1755585644023,19.95,-61.77,-55.64,760,776,772,808,830,33.333333333333336,-0.324,-0.829,0.45
37369,1755585644053,20.01,-61.84,-55.62,765,774,777,821,829,33.333333333333336,-0.329,-0.826,0.448
37399,1755585644082,20.18,-61.83,-55.52,759,768,773,800,831,33.333333333333336,-0.336,-0.828,0.451
37428,1755585644112,20.18,-61.73,-55.46,771,771,780,807,825,34.48275862068966,-0.337,-0.829,0.448
37458,1755585644141,20.24,-61.75,-55.39,763,783,767,810,818,33.333333333333336,-0.33,-0.823,0.45
37487,1755585644171,20.28,-61.68,-55.43,760,780,788,814,827,34.48275862068966,-0.329,-0.823,0.453
37517,1755585644200,20.25,-61.55,-55.44,765,776,771,810,833,33.333333333333336,-0.332,-0.82,0.447
37546,1755585644231,20.32,-61.67,-55.44,758,773,765,805,833,34.48275862068966,-0.336,-0.823,0.443
37566,1755585644250,20.31,-61.75,-55.43,761,771,767,803,824,50.0,-0.338,-0.825,0.445
37596,1755585644280,20.33,-61.64,-55.4,757,779,770,814,827,33.333333333333336,-0.337,-0.827,0.453
37626,1755585644309,20.28,-61.49,-55.36,759,774,772,809,855,33.333333333333336,-0.335,-0.825,0.45
37655,1755585644339,20.32,-61.55,-55.35,761,796,771,808,823,34.48275862068966,-0.337,-0.821,0.449
37685,1755585644369,20.25,-61.48,-55.38,763,778,773,813,828,33.333333333333336,-0.339,-0.821,0.451
37714,1755585644398,20.27,-61.46,-55.37,771,769,772,809,822,34.48275862068966,-0.338,-0.82,0.449
37744,1755585644428,20.33,-61.52,-55.37,762,779,773,810,826,33.333333333333336,-0.339,-0.822,0.451
37774,1755585644457,20.22,-61.46,-55.39,763,769,766,810,823,33.333333333333336,-0.338,-0.822,0.453
37803,1755585644487,20.25,-61.45,-55.39,765,779,772,798,819,34.48275862068966,-0.339,-0.821,0.451
37833,1755585644516,20.34,-61.46,-55.36,764,771,761,803,828,33.333333333333336,-0.339,-0.823,0.453
37862,1755585644546,20.32,-61.41,-55.34,767,777,769,811,835,34.48275862068966,-0.34,-0.821,0.453
37892,1755585644575,20.33,-61.4,-55.32,762,778,770,811,825,33.333333333333336,-0.342,-0.819,0.449
37921,1755585644605,20.33,-61.5,-55.36,761,773,786,811,823,34.48275862068966,-0.342,-0.82,0.446
37951,1755585644636,20.25,-61.51,-55.4,761,773,771,807,823,33.333333333333336,-0.342,-0.819,0.451
37972,1755585644656,20.24,-61.52,-55.41,766,778,771,809,835,47.61904761904762,-0.339,-0.82,0.457
38001,1755585644685,20.37,-61.52,-55.38,762,774,772,809,835,34.48275862068966,-0.341,-0.823,0.461
38031,1755585644714,20.36,-61.43,-55.38,773,760,765,814,826,33.333333333333336,-0.343,-0.82,0.455
38060,1755585644744,20.36,-61.88,-55.41,766,780,774,807,822,34.48275862068966,-0.34,-0.815,0.447
38090,1755585644774,20.38,-61.96,-55.41,766,783,762,809,826,33.333333333333336,-0.342,-0.815,0.449
38120,1755585644804,20.4,-61.9,-55.45,757,779,770,817,823,33.333333333333336,-0.346,-0.821,0.456
38149,1755585644833,20.36,-61.85,-55.47,763,776,769,812,822,34.48275862068966,-0.341,-0.823,0.453
38179,1755585644863,20.42,-61.86,-55.46,765,779,768,809,836,33.333333333333336,-0.342,-0.823,0.455
38209,1755585644893,20.37,-61.8,-55.46,765,773,771,818,832,33.333333333333336,-0.341,-0.819,0.45
