timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
39310,1755585748593,22.57,-49.81,-34.01,761,777,772,755,817,33.333333333333336,-0.364,-0.714,0.592
39340,1755585748622,22.6,-49.78,-34.01,761,775,771,754,823,33.333333333333336,-0.366,-0.716,0.599
39370,1755585748652,22.58,-49.66,-34.03,764,770,764,759,812,33.333333333333336,-0.365,-0.716,0.597
39400,1755585748682,22.7,-49.67,-34.03,757,775,773,757,816,33.333333333333336,-0.367,-0.713,0.593
39430,1755585748712,22.69,-49.71,-34.06,764,769,770,754,810,33.333333333333336,-0.365,-0.712,0.592
39459,1755585748742,22.72,-49.95,-34.13,761,778,778,758,814,34.48275862068966,-0.367,-0.714,0.591
39480,1755585748762,22.73,-50.03,-34.13,761,774,767,758,822,47.61904761904762,-0.372,-0.719,0.594
39509,1755585748792,22.71,-50.03,-34.12,758,776,772,762,816,34.48275862068966,-0.369,-0.718,0.598
39539,1755585748822,22.86,-50.0,-34.09,761,772,777,754,823,33.333333333333336,-0.366,-0.716,0.599
39569,1755585748851,22.85,-50.1,-34.11,753,781,771,751,815,33.333333333333336,-0.37,-0.715,0.592
39599,1755585748881,22.83,-50.27,-34.09,761,779,773,759,820,33.333333333333336,-0.371,-0.712,0.584
39629,1755585748911,22.87,-50.28,-34.12,760,774,770,756,813,33.333333333333336,-0.371,-0.713,0.587
39659,1755585748941,22.78,-50.29,-34.18,759,775,776,759,816,33.333333333333336,-0.372,-0.716,0.587
39689,1755585748971,22.82,-50.47,-34.16,761,768,770,756,823,33.333333333333336,-0.372,-0.721,0.592
39719,1755585749001,22.85,-50.45,-34.13,762,775,769,753,821,33.333333333333336,-0.371,-0.724,0.596
39748,1755585749031,22.83,-50.27,-34.11,760,774,770,753,810,34.48275862068966,-0.367,-0.72,0.589
39778,1755585749060,22.89,-50.36,-34.08,764,775,772,757,826,33.333333333333336,-0.368,-0.718,0.584
39808,1755585749090,22.83,-50.47,-34.08,759,769,768,759,820,33.333333333333336,-0.371,-0.72,0.585
39838,1755585749120,22.79,-50.36,-34.06,759,780,767,758,809,33.333333333333336,-0.367,-0.715,0.59
39868,1755585749150,22.87,-50.34,-34.09,762,778,777,759,813,33.333333333333336,-0.369,-0.716,0.59
39898,1755585749180,22.82,-50.4,-34.14,762,772,770,749,817,33.333333333333336,-0.375,-0.717,0.584
39927,1755585749210,22.86,-50.41,-34.08,758,765,777,756,818,34.48275862068966,-0.375,-0.715,0.581
39948,1755585749230,22.91,-50.45,-34.06,776,775,784,754,815,47.61904761904762,-0.373,-0.716,0.583
39968,1755585749250,22.9,-50.45,-34.07,756,766,773,756,819,50.0,-0.372,-0.718,0.586
39998,1755585749280,22.85,-50.43,-34.11,754,774,767,755,823,33.333333333333336,-0.371,-0.718,0.587
40028,1755585749310,22.93,-50.48,-34.1,765,775,765,754,819,33.333333333333336,-0.373,-0.719,0.586
40057,1755585749339,22.89,-50.43,-34.12,763,763,769,750,820,34.48275862068966,-0.37,-0.717,0.585
40087,1755585749369,22.9,-50.39,-34.16,764,777,775,756,820,33.333333333333336,-0.374,-0.716,0.583
40117,1755585749399,22.88,-50.43,-34.17,760,774,764,754,828,33.333333333333336,-0.38,-0.72,0.581
40137,1755585749419,22.86,-50.43,-34.13,763,773,772,757,813,50.0,-0.384,-0.722,0.582
