timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
73644,1755586236294,21.8,-34.6,-12.69,768,770,763,756,814,34.48275862068966,-0.387,-0.526,0.76
73673,1755586236323,21.79,-34.57,-12.71,761,772,767,756,813,34.48275862068966,-0.383,-0.525,0.765
73703,1755586236353,21.79,-34.54,-12.72,769,775,771,759,819,33.333333333333336,-0.387,-0.528,0.763
73732,1755586236382,21.83,-34.57,-12.7,766,776,773,755,815,34.48275862068966,-0.388,-0.525,0.757
73762,1755586236412,21.8,-34.62,-12.71,769,776,768,754,813,33.333333333333336,-0.388,-0.522,0.757
73792,1755586236442,21.75,-34.65,-12.72,767,778,777,759,814,33.333333333333336,-0.389,-0.523,0.762
73821,1755586236472,21.76,-34.63,-12.71,766,770,776,750,818,34.48275862068966,-0.386,-0.525,0.765
73842,1755586236491,21.78,-34.6,-12.71,768,773,775,757,818,47.61904761904762,-0.384,-0.527,0.764
73871,1755586236521,21.73,-34.56,-12.73,771,772,768,755,818,34.48275862068966,-0.384,-0.525,0.759
73901,1755586236551,21.74,-34.61,-12.74,764,771,767,754,812,33.333333333333336,-0.387,-0.525,0.759
73930,1755586236580,21.74,-34.61,-12.71,771,779,773,759,844,34.48275862068966,-0.386,-0.526,0.762
73960,1755586236610,21.73,-34.57,-12.71,774,766,776,751,812,33.333333333333336,-0.385,-0.525,0.763
73990,1755586236639,21.71,-34.55,-12.72,762,770,762,760,816,33.333333333333336,-0.386,-0.523,0.761
74019,1755586236669,21.71,-34.62,-12.72,769,769,773,751,819,34.48275862068966,-0.385,-0.522,0.756
74048,1755586236698,21.71,-34.7,-12.73,767,767,773,752,822,34.48275862068966,-0.385,-0.525,0.758
74078,1755586236728,21.66,-34.7,-12.73,766,768,771,756,813,33.333333333333336,-0.384,-0.528,0.766
74108,1755586236757,21.66,-34.62,-12.73,770,770,765,753,818,33.333333333333336,-0.385,-0.529,0.766
74137,1755586236787,21.71,-34.6,-12.7,770,764,773,753,808,34.48275862068966,-0.385,-0.529,0.762
74167,1755586236817,21.69,-34.6,-12.68,766,763,770,757,816,33.333333333333336,-0.383,-0.525,0.759
74187,1755586236837,21.67,-34.63,-12.68,771,764,769,754,816,50.0,-0.383,-0.522,0.758
74217,1755586236867,21.68,-34.68,-12.7,770,765,776,749,815,33.333333333333336,-0.387,-0.525,0.763
74246,1755586236896,21.68,-34.65,-12.69,769,780,776,762,820,34.48275862068966,-0.384,-0.526,0.764
74276,1755586236925,21.72,-34.61,-12.68,762,781,774,752,819,33.333333333333336,-0.382,-0.524,0.762
74305,1755586236955,21.66,-34.63,-12.71,768,768,776,763,808,34.48275862068966,-0.383,-0.524,0.76
74335,1755586236985,21.68,-34.65,-12.7,770,772,769,755,820,33.333333333333336,-0.385,-0.524,0.759
74364,1755586237014,21.76,-34.7,-12.68,769,764,767,751,819,34.48275862068966,-0.385,-0.524,0.763
74394,1755586237044,21.69,-34.65,-12.7,770,770,768,757,821,33.333333333333336,-0.383,-0.523,0.763
74424,1755586237074,21.7,-34.65,-12.72,760,777,770,759,815,33.333333333333336,-0.383,-0.525,0.762
74453,1755586237103,21.73,-34.64,-12.72,769,769,777,754,815,34.48275862068966,-0.384,-0.524,0.762
74483,1755586237133,21.73,-34.63,-12.74,771,768,768,753,818,33.333333333333336,-0.383,-0.523,0.763
74512,1755586237163,21.74,-34.65,-12.76,764,772,772,756,815,34.48275862068966,-0.384,-0.525,0.763
74542,1755586237192,21.75,-34.63,-12.75,766,775,782,755,815,33.333333333333336,-0.386,-0.525,0.761
74572,1755586237222,21.73,-34.59,-12.75,768,766,766,762,816,33.333333333333336,-0.384,-0.524,0.762
74601,1755586237251,21.77,-34.64,-12.79,768,768,769,755,816,34.48275862068966,-0.383,-0.523,0.762
74630,1755586237280,21.77,-34.66,-12.8,769,773,774,755,820,34.48275862068966,-0.386,-0.526,0.76
74660,1755586237310,21.77,-34.71,-12.79,771,777,773,750,826,33.333333333333336,-0.386,-0.525,0.759
74690,1755586237339,21.78,-34.75,-12.82,772,785,771,750,818,33.333333333333336,-0.386,-0.525,0.763
74719,1755586237369,21.7,-34.75,-12.83,765,771,766,758,820,34.48275862068966,-0.391,-0.532,0.762
74749,1755586237399,21.74,-34.78,-12.76,770,773,774,758,814,33.333333333333336,-0.386,-0.53,0.758
74778,1755586237428,21.76,-34.83,-12.77,767,775,768,753,815,34.48275862068966,-0.383,-0.525,0.761
74808,1755586237458,21.68,-34.81,-12.8,776,768,767,754,813,33.333333333333336,-0.387,-0.529,0.764
74838,1755586237487,21.78,-34.8,-12.76,769,768,778,753,822,33.333333333333336,-0.389,-0.529,0.762
74867,1755586237517,21.85,-34.79,-12.72,767,769,778,759,813,34.48275862068966,-0.388,-0.529,0.762
74897,1755586237547,21.79,-34.75,-12.75,763,779,766,753,819,33.333333333333336,-0.386,-0.526,0.761
74927,1755586237576,21.82,-34.73,-12.76,772,767,768,758,814,33.333333333333336,-0.387,-0.526,0.758
74956,1755586237606,21.81,-34.75,-12.74,767,772,775,752,820,34.48275862068966,-0.39,-0.528,0.757
74986,1755586237636,21.82,-34.74,-12.72,767,774,782,754,813,33.333333333333336,-0.387,-0.527,0.76
75016,1755586237665,21.83,-34.71,-12.71,768,774,770,760,815,33.333333333333336,-0.382,-0.526,0.762
75045,1755586237695,21.8,-34.67,-12.74,769,770,775,758,817,34.48275862068966,-0.384,-0.525,0.762
75074,1755586237724,21.76,-34.67,-12.76,767,766,772,756,827,34.48275862068966,-0.388,-0.527,0.76
75104,1755586237754,21.81,-34.67,-12.72,764,767,769,755,800,33.333333333333336,-0.387,-0.526,0.76
75133,1755586237783,21.81,-34.66,-12.73,768,771,772,754,814,34.48275862068966,-0.382,-0.524,0.762
75163,1755586237813,21.78,-34.65,-12.75,768,772,770,760,817,33.333333333333336,-0.383,-0.524,0.761
75193,1755586237843,21.78,-34.63,-12.74,769,776,769,759,822,33.333333333333336,-0.386,-0.527,0.761
75222,1755586237872,21.77,-34.58,-12.71,771,769,773,755,815,34.48275862068966,-0.385,-0.526,0.761
75252,1755586237902,21.82,-34.56,-12.73,770,778,765,750,816,33.333333333333336,-0.383,-0.524,0.763
75281,1755586237931,21.75,-34.56,-12.78,771,768,769,751,815,34.48275862068966,-0.386,-0.523,0.758
75311,1755586237961,21.79,-34.6,-12.77,762,770,777,756,819,33.333333333333336,-0.39,-0.524,0.757
75341,1755586237991,21.81,-34.61,-12.74,769,772,786,760,817,33.333333333333336,-0.388,-0.526,0.763
75370,1755586238020,21.79,-34.57,-12.75,768,768,765,753,820,34.48275862068966,-0.382,-0.524,0.764
75400,1755586238050,21.77,-34.54,-12.78,766,771,769,756,821,33.333333333333336,-0.381,-0.522,0.759
75429,1755586238079,21.77,-34.58,-12.8,771,771,778,758,818,34.48275862068966,-0.384,-0.523,0.758
75459,1755586238109,21.76,-34.61,-12.79,769,774,776,754,814,33.333333333333336,-0.388,-0.526,0.762
75488,1755586238138,21.75,-34.55,-12.76,765,768,773,751,809,34.48275862068966,-0.384,-0.524,0.763
75518,1755586238168,21.82,-34.57,-12.79,763,776,769,761,817,33.333333333333336,-0.386,-0.525,0.763
75547,1755586238197,21.72,-34.55,-12.82,763,772,771,755,814,34.48275862068966,-0.388,-0.527,0.762
75577,1755586238227,21.78,-34.56,-12.8,769,774,771,754,801,33.333333333333336,-0.385,-0.523,0.761
75606,1755586238256,21.79,-34.55,-12.83,762,775,772,755,823,34.48275862068966,-0.387,-0.523,0.765
75636,1755586238286,21.75,-34.57,-12.84,770,775,768,745,820,33.333333333333336,-0.386,-0.525,0.763
75666,1755586238316,21.81,-34.56,-12.82,770,765,772,762,817,33.333333333333336,-0.385,-0.526,0.762
75696,1755586238346,21.78,-34.55,-12.83,763,772,773,759,817,33.333333333333336,-0.384,-0.525,0.763
75726,1755586238376,21.78,-34.55,-12.85,773,778,773,758,822,33.333333333333336,-0.384,-0.522,0.763
75746,1755586238396,21.78,-34.56,-12.86,771,769,770,757,809,50.0,-0.388,-0.523,0.763
75776,1755586238426,21.79,-34.58,-12.85,766,770,774,752,815,33.333333333333336,-0.39,-0.525,0.763
75805,1755586238455,21.79,-34.56,-12.84,765,767,779,759,814,34.48275862068966,-0.386,-0.526,0.762
75835,1755586238485,21.8,-34.58,-12.86,767,768,773,751,813,33.333333333333336,-0.383,-0.523,0.762
75865,1755586238515,21.76,-34.61,-12.9,769,770,772,755,813,33.333333333333336,-0.387,-0.529,0.763
75894,1755586238544,21.77,-34.63,-12.87,766,768,767,755,811,34.48275862068966,-0.387,-0.531,0.764
75924,1755586238574,21.75,-34.17,-12.85,765,774,785,754,817,33.333333333333336,-0.383,-0.529,0.763
75953,1755586238603,21.71,-34.2,-12.88,772,773,780,757,821,34.48275862068966,-0.379,-0.523,0.761
75983,1755586238632,21.69,-34.21,-12.91,767,776,779,753,820,33.333333333333336,-0.386,-0.527,0.763
76012,1755586238662,21.69,-34.27,-12.89,767,769,774,760,816,34.48275862068966,-0.384,-0.528,0.762
76042,1755586238692,21.75,-34.26,-12.87,763,777,770,751,826,33.333333333333336,-0.381,-0.527,0.763
76071,1755586238721,21.7,-34.23,-12.89,766,762,773,749,821,34.48275862068966,-0.383,-0.526,0.764
76101,1755586238751,21.7,-34.25,-12.9,768,780,768,754,817,33.333333333333336,-0.386,-0.526,0.761
