timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
93270,1755586366096,12.56,57.09,5.45,824,771,842,874,874,34.48275862068966,-0.215,0.82,0.535
93300,1755586366125,12.51,57.06,5.37,817,770,834,870,872,33.333333333333336,-0.212,0.824,0.537
93329,1755586366155,12.5,57.08,5.3,818,757,822,879,876,34.48275862068966,-0.217,0.821,0.542
93359,1755586366184,12.54,57.1,5.27,815,763,838,876,862,33.333333333333336,-0.225,0.817,0.546
93388,1755586366214,12.54,57.11,5.33,819,765,851,876,874,34.48275862068966,-0.224,0.817,0.541
93417,1755586366243,12.55,57.1,5.35,820,762,849,871,871,34.48275862068966,-0.223,0.819,0.538
93447,1755586366273,12.59,57.15,5.33,820,778,845,876,873,33.333333333333336,-0.221,0.821,0.543
93476,1755586366302,12.6,57.2,5.32,816,767,837,873,865,34.48275862068966,-0.217,0.818,0.535
93506,1755586366332,12.58,57.13,5.31,812,769,838,875,873,33.333333333333336,-0.218,0.817,0.533
93535,1755586366361,12.59,57.12,5.26,822,771,852,879,874,34.48275862068966,-0.222,0.82,0.543
93565,1755586366391,12.66,57.22,5.22,817,770,847,881,869,33.333333333333336,-0.224,0.818,0.545
93594,1755586366420,12.68,57.25,5.25,827,772,839,875,868,34.48275862068966,-0.226,0.817,0.537
93624,1755586366450,12.66,57.18,5.27,819,768,823,884,888,33.333333333333336,-0.224,0.819,0.535
93653,1755586366479,12.66,57.16,5.22,825,762,854,871,876,34.48275862068966,-0.219,0.821,0.538
93683,1755586366508,12.65,57.22,5.21,818,764,853,877,869,33.333333333333336,-0.22,0.822,0.537
93712,1755586366538,12.63,57.19,5.17,814,776,841,879,875,34.48275862068966,-0.221,0.819,0.538
93742,1755586366567,12.65,57.15,5.1,825,768,845,878,874,33.333333333333336,-0.223,0.816,0.54
93771,1755586366597,12.64,57.14,5.17,818,764,857,880,860,34.48275862068966,-0.231,0.816,0.537
93801,1755586366626,12.65,57.1,5.21,818,776,842,880,873,33.333333333333336,-0.23,0.817,0.539
93830,1755586366656,12.73,57.08,5.2,817,774,847,881,879,34.48275862068966,-0.228,0.818,0.544
93860,1755586366686,12.76,57.08,5.24,810,767,846,873,872,33.333333333333336,-0.225,0.817,0.544
93889,1755586366715,12.73,57.08,5.25,816,768,839,881,866,34.48275862068966,-0.216,0.819,0.545
93919,1755586366744,12.77,57.08,5.08,816,777,838,880,878,33.333333333333336,-0.213,0.819,0.532
93948,1755586366774,12.76,57.02,5.0,814,775,853,874,874,34.48275862068966,-0.223,0.819,0.533
93978,1755586366803,12.7,56.96,5.03,817,782,850,874,870,33.333333333333336,-0.225,0.819,0.551
94007,1755586366833,12.82,57.06,4.99,817,763,837,872,869,34.48275862068966,-0.226,0.817,0.553
94036,1755586366862,12.84,57.1,5.03,816,771,853,880,872,34.48275862068966,-0.223,0.816,0.537
94066,1755586366891,12.8,56.98,4.97,823,769,850,873,868,33.333333333333336,-0.219,0.818,0.532
94095,1755586366921,12.79,56.93,4.89,815,770,846,885,868,34.48275862068966,-0.222,0.819,0.54
94125,1755586366950,12.81,56.93,4.86,814,773,840,875,873,33.333333333333336,-0.228,0.819,0.545
94154,1755586366980,12.86,56.99,4.86,821,765,841,877,872,34.48275862068966,-0.226,0.816,0.543
94183,1755586367009,12.9,56.92,4.79,824,774,844,880,876,34.48275862068966,-0.224,0.814,0.536
94213,1755586367039,12.91,56.85,4.76,819,776,836,874,870,33.333333333333336,-0.228,0.816,0.539
94242,1755586367068,12.91,56.87,4.73,822,768,841,877,878,34.48275862068966,-0.226,0.817,0.551
94272,1755586367098,12.95,56.96,4.63,819,772,844,872,871,33.333333333333336,-0.225,0.813,0.549
94301,1755586367127,12.97,56.9,4.54,810,774,845,877,876,34.48275862068966,-0.229,0.811,0.533
94331,1755586367156,12.93,56.76,4.48,821,773,844,866,871,33.333333333333336,-0.233,0.815,0.53
94360,1755586367185,12.94,56.73,4.32,819,772,849,876,873,34.48275862068966,-0.234,0.818,0.539
94389,1755586367216,12.95,56.73,4.27,821,772,834,874,879,34.48275862068966,-0.244,0.812,0.546
94410,1755586367235,12.95,56.72,4.32,822,769,856,873,869,47.61904761904762,-0.247,0.807,0.553
94439,1755586367265,13.0,56.72,4.34,823,773,843,893,872,34.48275862068966,-0.243,0.808,0.554
