timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
78894,1755586465674,21.75,-30.24,-55.5,808,757,810,864,875,33.333333333333336,-0.363,-0.47,0.807
78923,1755586465703,21.74,-30.21,-55.56,815,771,820,867,868,34.48275862068966,-0.369,-0.472,0.806
78953,1755586465733,21.74,-30.17,-55.57,816,773,825,870,868,33.333333333333336,-0.37,-0.471,0.809
78982,1755586465762,21.81,-30.09,-55.6,816,766,820,865,881,34.48275862068966,-0.368,-0.471,0.813
79012,1755586465792,21.8,-29.95,-55.61,815,762,817,869,872,33.333333333333336,-0.368,-0.473,0.808
79041,1755586465821,21.83,-29.86,-55.58,811,766,821,868,881,34.48275862068966,-0.371,-0.477,0.804
79071,1755586465851,21.88,-29.82,-55.49,813,770,811,874,867,33.333333333333336,-0.367,-0.472,0.804
79100,1755586465880,22.02,-29.75,-55.46,817,765,821,858,891,34.48275862068966,-0.365,-0.465,0.809
79130,1755586465910,21.99,-29.74,-55.51,811,773,817,862,872,33.333333333333336,-0.368,-0.463,0.807
79159,1755586465939,22.05,-29.78,-55.52,811,778,817,868,872,34.48275862068966,-0.375,-0.464,0.799
79189,1755586465969,21.98,-29.92,-55.54,813,767,819,871,870,33.333333333333336,-0.376,-0.46,0.795
79218,1755586465998,21.9,-30.04,-55.58,814,774,816,882,873,34.48275862068966,-0.378,-0.464,0.801
79248,1755586466028,21.83,-30.08,-55.56,811,769,823,872,877,33.333333333333336,-0.376,-0.471,0.811
79277,1755586466057,21.91,-30.02,-55.49,811,769,825,874,867,34.48275862068966,-0.372,-0.47,0.811
79307,1755586466087,21.84,-30.02,-55.5,820,765,817,857,871,33.333333333333336,-0.368,-0.462,0.803
79336,1755586466116,21.74,-30.15,-55.56,814,769,810,870,885,34.48275862068966,-0.371,-0.461,0.802
79366,1755586466146,21.69,-30.26,-55.57,815,776,820,870,866,33.333333333333336,-0.374,-0.466,0.81
79396,1755586466176,21.71,-30.2,-55.51,820,773,820,875,868,33.333333333333336,-0.373,-0.468,0.814
79425,1755586466205,21.68,-30.17,-55.48,814,762,826,865,872,34.48275862068966,-0.364,-0.465,0.811
79455,1755586466235,21.66,-30.17,-55.49,816,767,831,870,871,33.333333333333336,-0.362,-0.464,0.808
79484,1755586466264,21.62,-30.21,-55.51,815,773,834,860,851,34.48275862068966,-0.366,-0.467,0.808
79514,1755586466294,21.64,-30.21,-55.5,804,761,815,862,873,33.333333333333336,-0.368,-0.466,0.808
79543,1755586466323,21.62,-30.22,-55.5,811,769,821,883,870,34.48275862068966,-0.368,-0.464,0.804
79573,1755586466353,21.6,-30.29,-55.54,812,764,819,867,877,33.333333333333336,-0.371,-0.467,0.804
79603,1755586466383,21.59,-30.31,-55.54,808,768,815,876,872,33.333333333333336,-0.374,-0.469,0.805
79632,1755586466413,21.65,-30.31,-55.52,813,773,817,872,876,34.48275862068966,-0.37,-0.467,0.807
79662,1755586466442,21.62,-30.31,-55.56,813,764,818,867,873,33.333333333333336,-0.367,-0.466,0.808
79691,1755586466471,21.65,-30.27,-55.6,810,765,811,863,869,34.48275862068966,-0.367,-0.47,0.81
79721,1755586466501,21.66,-30.18,-55.6,817,770,813,861,877,33.333333333333336,-0.37,-0.471,0.809
79750,1755586466530,21.74,-30.1,-55.58,809,771,826,864,868,34.48275862068966,-0.372,-0.467,0.806
79780,1755586466560,21.74,-30.12,-55.61,813,766,812,871,874,33.333333333333336,-0.371,-0.462,0.8
79809,1755586466589,21.71,-30.2,-55.64,810,766,815,870,876,34.48275862068966,-0.37,-0.467,0.804
79839,1755586466619,21.72,-30.2,-55.63,814,770,819,868,868,33.333333333333336,-0.37,-0.468,0.809
79868,1755586466648,21.75,-30.2,-55.65,805,776,813,874,868,34.48275862068966,-0.365,-0.467,0.809
79898,1755586466678,21.76,-30.19,-55.7,815,769,828,869,874,33.333333333333336,-0.365,-0.468,0.808
79927,1755586466707,21.72,-30.22,-55.74,815,784,823,867,873,34.48275862068966,-0.371,-0.467,0.802
79957,1755586466736,21.73,-30.28,-55.74,814,769,820,868,864,33.333333333333336,-0.377,-0.468,0.805
79986,1755586466766,21.72,-30.29,-55.72,816,762,824,871,881,34.48275862068966,-0.37,-0.467,0.809
80016,1755586466795,21.74,-30.28,-56.2,812,774,817,875,867,33.333333333333336,-0.365,-0.467,0.807
80045,1755586466825,21.71,-30.3,-56.23,811,769,819,865,872,34.48275862068966,-0.367,-0.467,0.807
80075,1755586466855,21.71,-30.32,-56.26,813,757,825,872,888,33.333333333333336,-0.372,-0.466,0.804
80104,1755586466885,21.69,-30.37,-56.29,814,779,822,867,864,34.48275862068966,-0.375,-0.467,0.802
80134,1755586466914,21.66,-30.39,-56.28,809,771,822,869,871,33.333333333333336,-0.375,-0.472,0.807
80164,1755586466943,21.68,-30.37,-56.27,814,767,820,872,876,33.333333333333336,-0.369,-0.472,0.807
80193,1755586466973,21.68,-30.37,-56.29,814,764,821,859,860,34.48275862068966,-0.365,-0.47,0.807
80223,1755586467003,21.66,-30.38,-56.34,811,766,818,870,871,33.333333333333336,-0.368,-0.468,0.806
80253,1755586467033,21.66,-30.38,-56.35,813,764,818,855,874,33.333333333333336,-0.372,-0.471,0.809
80282,1755586467062,21.72,-30.35,-56.31,807,775,821,874,870,34.48275862068966,-0.37,-0.469,0.807
80312,1755586467092,21.7,-30.39,-56.34,806,772,828,869,870,33.333333333333336,-0.368,-0.466,0.802
