timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
29936,1755586534835,27.28,165.67,-32.13,814,768,828,870,864,34.48275862068966,-0.51,0.183,-0.842
29966,1755586534864,27.55,165.76,-31.88,814,772,827,864,879,33.333333333333336,-0.503,0.188,-0.842
29995,1755586534894,27.64,165.85,-31.83,816,764,824,865,880,34.48275862068966,-0.497,0.203,-0.86
30025,1755586534923,27.43,165.82,-31.96,818,769,833,866,877,33.333333333333336,-0.492,0.208,-0.86
30054,1755586534953,27.26,165.84,-32.12,813,772,822,868,878,34.48275862068966,-0.494,0.206,-0.847
30083,1755586534982,27.23,165.96,-32.24,812,770,839,868,871,34.48275862068966,-0.497,0.202,-0.843
30113,1755586535012,27.2,166.11,-32.29,815,764,817,871,875,33.333333333333336,-0.5,0.199,-0.847
30143,1755586535041,27.19,166.13,-32.35,816,773,821,863,875,33.333333333333336,-0.514,0.194,-0.845
30172,1755586535071,27.29,166.16,-32.25,815,769,816,862,875,34.48275862068966,-0.521,0.19,-0.844
30202,1755586535101,27.52,166.23,-32.03,817,775,816,878,872,33.333333333333336,-0.522,0.19,-0.843
30222,1755586535121,27.71,166.21,-31.9,813,762,824,858,865,50.0,-0.518,0.193,-0.847
30251,1755586535150,27.86,166.22,-31.72,813,771,830,868,872,34.48275862068966,-0.512,0.195,-0.851
30281,1755586535180,27.97,166.17,-31.62,808,769,826,853,879,33.333333333333336,-0.505,0.2,-0.857
30310,1755586535209,28.0,166.12,-31.68,816,772,824,869,872,34.48275862068966,-0.501,0.201,-0.848
30340,1755586535239,27.94,166.15,-31.74,810,768,820,888,872,33.333333333333336,-0.497,0.2,-0.852
30369,1755586535268,27.89,166.13,-31.84,815,761,819,879,878,34.48275862068966,-0.501,0.2,-0.848
30399,1755586535298,27.92,166.19,-31.88,816,768,833,868,867,33.333333333333336,-0.508,0.197,-0.845
30429,1755586535327,28.0,166.21,-31.88,815,769,825,859,874,33.333333333333336,-0.51,0.197,-0.845
30458,1755586535357,28.13,166.13,-31.87,822,770,826,865,879,34.48275862068966,-0.516,0.195,-0.842
30488,1755586535387,28.16,166.21,-31.8,814,770,814,866,881,33.333333333333336,-0.512,0.196,-0.845
30517,1755586535416,28.16,166.23,-31.73,813,766,813,867,873,34.48275862068966,-0.505,0.197,-0.85
30547,1755586535446,28.4,166.17,-31.68,816,762,820,865,873,33.333333333333336,-0.501,0.2,-0.853
30567,1755586535465,28.44,166.11,-31.73,810,763,807,873,873,50.0,-0.501,0.203,-0.848
30596,1755586535495,28.29,166.21,-31.82,809,769,825,868,915,34.48275862068966,-0.5,0.203,-0.842
30626,1755586535525,28.36,166.26,-31.85,814,772,821,874,871,33.333333333333336,-0.504,0.201,-0.846
30655,1755586535554,28.45,166.25,-31.82,818,769,829,867,867,34.48275862068966,-0.508,0.198,-0.846
30685,1755586535584,28.6,166.3,-31.72,817,763,818,874,871,33.333333333333336,-0.512,0.194,-0.839
30714,1755586535613,28.65,166.36,-31.63,818,765,821,866,869,34.48275862068966,-0.511,0.197,-0.846
30744,1755586535643,28.96,166.24,-31.48,813,762,821,874,885,33.333333333333336,-0.508,0.2,-0.852
30774,1755586535672,29.16,166.13,-31.43,814,777,836,861,875,33.333333333333336,-0.501,0.204,-0.845
30803,1755586535702,29.34,166.12,-31.39,812,773,826,876,875,34.48275862068966,-0.493,0.204,-0.842
30833,1755586535732,29.58,166.07,-31.35,812,773,833,866,886,33.333333333333336,-0.486,0.207,-0.85
30862,1755586535761,29.89,165.97,-31.37,810,767,831,870,872,34.48275862068966,-0.493,0.206,-0.851
30892,1755586535792,29.83,165.98,-31.48,810,765,831,865,885,33.333333333333336,-0.489,0.209,-0.856
30913,1755586535811,29.85,166.0,-31.51,818,765,824,876,888,47.61904761904762,-0.485,0.207,-0.855
30942,1755586535841,29.81,165.92,-31.6,816,768,818,869,889,34.48275862068966,-0.485,0.205,-0.854
30972,1755586535870,29.89,165.92,-31.6,813,766,820,861,880,33.333333333333336,-0.487,0.208,-0.856
31001,1755586535900,29.99,165.81,-31.63,820,760,824,860,892,34.48275862068966,-0.483,0.21,-0.869
31031,1755586535930,29.85,165.69,-31.76,814,772,828,862,896,33.333333333333336,-0.478,0.211,-0.868
31051,1755586535950,29.72,165.6,-31.87,823,763,828,866,878,50.0,-0.474,0.213,-0.865
31081,1755586535979,29.67,165.54,-32.0,815,774,824,863,887,33.333333333333336,-0.479,0.212,-0.859
31110,1755586536009,29.52,165.6,-32.12,817,769,825,865,889,34.48275862068966,-0.481,0.211,-0.85
31140,1755586536038,29.45,165.78,-32.16,819,767,833,862,882,33.333333333333336,-0.483,0.21,-0.85
31169,1755586536068,29.47,165.9,-32.16,815,767,829,860,884,34.48275862068966,-0.488,0.207,-0.858
31199,1755586536097,29.4,165.97,-32.14,814,762,824,864,890,33.333333333333336,-0.488,0.21,-0.865
31228,1755586536127,29.31,166.02,-32.19,815,770,820,869,886,34.48275862068966,-0.485,0.209,-0.86
31257,1755586536156,29.17,166.1,-32.25,811,770,819,864,882,34.48275862068966,-0.479,0.207,-0.86
31287,1755586536186,29.06,166.14,-32.39,818,771,820,868,895,33.333333333333336,-0.48,0.209,-0.859
31316,1755586536215,29.02,166.22,-32.51,815,769,834,873,879,34.48275862068966,-0.484,0.208,-0.857
31346,1755586536244,28.87,166.33,-32.58,814,771,828,858,887,33.333333333333336,-0.489,0.204,-0.856
31375,1755586536274,28.8,166.42,-32.61,816,769,824,857,882,34.48275862068966,-0.491,0.201,-0.855
31404,1755586536303,28.76,166.52,-32.62,812,771,821,871,881,34.48275862068966,-0.495,0.199,-0.857
31434,1755586536333,28.54,166.6,-32.7,819,765,820,872,887,33.333333333333336,-0.497,0.197,-0.856
31463,1755586536362,28.52,166.6,-32.73,810,770,827,870,889,34.48275862068966,-0.5,0.195,-0.857
31493,1755586536392,28.48,166.61,-32.73,809,770,831,874,888,33.333333333333336,-0.505,0.192,-0.853
31522,1755586536421,28.49,166.7,-32.63,811,768,819,869,877,34.48275862068966,-0.505,0.191,-0.851
31552,1755586536451,28.5,166.82,-32.54,813,770,818,862,879,33.333333333333336,-0.504,0.191,-0.856
31581,1755586536480,28.53,166.81,-32.51,814,770,812,871,890,34.48275862068966,-0.502,0.193,-0.862
31611,1755586536510,28.46,166.81,-32.51,818,770,823,864,886,33.333333333333336,-0.498,0.197,-0.861
31641,1755586536539,28.34,166.81,-32.57,815,773,816,874,880,33.333333333333336,-0.492,0.197,-0.863
31670,1755586536569,28.29,166.75,-32.69,816,763,828,860,887,34.48275862068966,-0.494,0.197,-0.857
31700,1755586536598,28.17,166.75,-32.83,817,773,827,865,887,33.333333333333336,-0.493,0.198,-0.856
31729,1755586536628,28.04,166.73,-32.99,815,766,825,866,902,34.48275862068966,-0.502,0.194,-0.851
31759,1755586536658,28.07,166.76,-33.05,816,769,822,873,878,33.333333333333336,-0.512,0.19,-0.851
31788,1755586536688,27.93,166.88,-33.05,814,771,811,873,885,34.48275862068966,-0.518,0.185,-0.848
31818,1755586536717,27.81,167.03,-33.02,817,768,826,867,889,33.333333333333336,-0.52,0.183,-0.838
31848,1755586536746,27.94,167.27,-32.8,810,770,811,868,881,33.333333333333336,-0.524,0.183,-0.829
31877,1755586536776,28.12,167.59,-32.55,818,770,823,869,888,34.48275862068966,-0.527,0.181,-0.832
31906,1755586536805,28.08,167.77,-32.42,816,770,828,861,881,34.48275862068966,-0.52,0.182,-0.844
31936,1755586536835,28.16,167.8,-32.37,815,764,820,866,879,33.333333333333336,-0.518,0.181,-0.85
31966,1755586536865,28.12,167.79,-32.42,811,769,819,860,890,33.333333333333336,-0.515,0.185,-0.847
31986,1755586536884,28.09,167.81,-32.48,818,765,830,868,883,50.0,-0.513,0.186,-0.841
32015,1755586536914,28.02,167.85,-32.61,816,776,829,865,877,34.48275862068966,-0.511,0.184,-0.839
32044,1755586536943,28.01,167.87,-32.75,808,765,810,868,878,34.48275862068966,-0.511,0.184,-0.84
32074,1755586536973,27.89,167.92,-32.97,810,760,818,864,896,33.333333333333336,-0.516,0.183,-0.843
32103,1755586537002,27.86,167.94,-33.14,812,777,830,872,883,34.48275862068966,-0.524,0.177,-0.844
32133,1755586537032,27.83,167.97,-33.26,811,772,816,868,872,33.333333333333336,-0.53,0.173,-0.843
32162,1755586537061,27.86,167.98,-33.32,814,774,829,871,878,34.48275862068966,-0.537,0.168,-0.837
32192,1755586537091,27.89,168.04,-33.31,811,774,824,864,884,33.333333333333336,-0.536,0.166,-0.841
32221,1755586537120,28.07,168.01,-33.26,815,773,832,868,891,34.48275862068966,-0.536,0.167,-0.842
32251,1755586537150,28.19,168.04,-33.28,823,769,821,866,885,33.333333333333336,-0.531,0.17,-0.841
32281,1755586537179,28.09,168.12,-33.37,816,762,836,862,874,33.333333333333336,-0.527,0.169,-0.841
32310,1755586537209,28.01,168.13,-33.51,813,768,829,869,891,34.48275862068966,-0.526,0.171,-0.844
32340,1755586537238,28.05,168.11,-33.63,812,768,816,862,873,33.333333333333336,-0.534,0.167,-0.838
32369,1755586537268,28.0,168.08,-33.75,812,765,825,869,879,34.48275862068966,-0.541,0.163,-0.833
32399,1755586537298,27.93,168.15,-33.8,815,767,824,865,877,33.333333333333336,-0.546,0.16,-0.824
32429,1755586537328,28.16,168.27,-33.74,813,768,829,868,877,33.333333333333336,-0.546,0.16,-0.826
32458,1755586537357,28.3,168.4,-33.69,815,772,837,869,880,34.48275862068966,-0.549,0.16,-0.831
32488,1755586537387,28.29,168.43,-33.67,815,774,826,861,885,33.333333333333336,-0.554,0.158,-0.836
32517,1755586537416,28.35,168.52,-33.56,814,773,827,867,879,34.48275862068966,-0.553,0.154,-0.83
32547,1755586537446,28.46,168.65,-33.37,812,770,824,872,876,33.333333333333336,-0.549,0.153,-0.834
32577,1755586537475,28.56,168.67,-33.23,818,774,827,866,885,33.333333333333336,-0.546,0.157,-0.839
