timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
71992,1755586900059,13.14,62.18,27.82,803,825,795,819,812,34.48275862068966,-0.23,0.863,0.458
72022,1755586900088,13.12,62.13,27.79,801,833,790,822,808,33.333333333333336,-0.227,0.863,0.461
72051,1755586900118,13.09,62.09,27.79,802,828,795,820,812,34.48275862068966,-0.226,0.862,0.464
72081,1755586900148,13.09,62.08,27.83,797,832,795,820,810,33.333333333333336,-0.226,0.86,0.467
72110,1755586900177,13.07,62.07,27.87,800,832,794,824,804,34.48275862068966,-0.225,0.86,0.463
72140,1755586900207,13.05,62.04,27.86,798,838,788,825,819,33.333333333333336,-0.226,0.861,0.462
72170,1755586900237,13.03,62.03,27.91,800,842,794,812,805,33.333333333333336,-0.229,0.863,0.464
72199,1755586900266,13.01,62.03,27.94,801,839,788,820,836,34.48275862068966,-0.225,0.864,0.466
72229,1755586900296,13.03,62.06,27.97,805,838,803,826,810,33.333333333333336,-0.221,0.864,0.469
72258,1755586900325,13.05,62.08,27.98,799,839,788,819,813,34.48275862068966,-0.22,0.864,0.47
72288,1755586900355,13.02,62.11,27.97,802,825,784,816,813,33.333333333333336,-0.216,0.864,0.466
72318,1755586900384,13.01,62.1,27.94,790,836,792,817,810,33.333333333333336,-0.222,0.863,0.462
72347,1755586900414,12.99,62.09,27.98,800,835,780,819,807,34.48275862068966,-0.227,0.864,0.462
72377,1755586900444,13.0,62.11,27.98,807,845,787,821,815,33.333333333333336,-0.227,0.863,0.464
72406,1755586900473,13.0,62.13,28.05,797,832,792,819,808,34.48275862068966,-0.228,0.864,0.463
72435,1755586900503,12.98,62.08,28.1,803,844,794,828,818,34.48275862068966,-0.223,0.861,0.461
72465,1755586900532,12.94,62.05,28.11,802,834,789,822,802,33.333333333333336,-0.218,0.862,0.46
72494,1755586900562,12.89,62.02,28.1,799,834,797,825,830,34.48275862068966,-0.217,0.865,0.464
72524,1755586900591,12.84,62.0,28.08,802,837,791,820,810,33.333333333333336,-0.218,0.862,0.467
72554,1755586900621,12.85,62.0,28.02,798,826,795,817,807,33.333333333333336,-0.219,0.861,0.466
72583,1755586900650,12.86,61.95,27.97,798,827,797,818,809,34.48275862068966,-0.22,0.863,0.458
72612,1755586900679,12.85,61.8,27.87,799,832,783,824,811,34.48275862068966,-0.218,0.864,0.459
72642,1755586900709,12.89,61.81,27.72,795,833,780,812,822,33.333333333333336,-0.221,0.865,0.471
72671,1755586900738,12.89,61.93,27.73,798,835,798,821,812,34.48275862068966,-0.224,0.863,0.472
72700,1755586900767,12.86,61.94,27.77,803,834,783,821,828,34.48275862068966,-0.223,0.859,0.468
72730,1755586900797,12.85,61.94,27.77,801,828,795,821,809,33.333333333333336,-0.226,0.859,0.469
72759,1755586900826,12.87,61.97,27.83,804,829,787,824,812,34.48275862068966,-0.231,0.859,0.473
72789,1755586900856,12.87,62.04,27.9,797,828,789,819,810,33.333333333333336,-0.227,0.861,0.469
72818,1755586900885,12.86,62.06,27.92,797,830,789,828,809,34.48275862068966,-0.224,0.861,0.469
72848,1755586900915,12.87,62.09,27.93,800,828,785,823,797,33.333333333333336,-0.224,0.861,0.472
72877,1755586900944,12.9,62.14,27.91,800,833,785,820,807,34.48275862068966,-0.225,0.861,0.468
72907,1755586900973,12.92,62.19,27.9,799,832,786,828,809,33.333333333333336,-0.226,0.865,0.462
72936,1755586901003,12.94,62.14,27.89,801,826,794,820,805,34.48275862068966,-0.225,0.864,0.461
72965,1755586901033,12.96,62.22,27.89,799,834,791,823,813,34.48275862068966,-0.225,0.864,0.465
72986,1755586901052,12.98,62.26,27.89,794,833,791,823,809,47.61904761904762,-0.228,0.865,0.465
