timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
62764,1755586991283,20.36,-52.49,-9.08,776,851,775,815,822,33.333333333333336,-0.358,-0.751,0.562
62793,1755586991313,20.31,-52.45,-9.04,769,863,778,810,832,34.48275862068966,-0.354,-0.74,0.56
62823,1755586991342,20.29,-52.48,-9.08,773,867,785,805,835,33.333333333333336,-0.352,-0.734,0.561
62852,1755586991372,20.28,-52.49,-9.14,775,864,764,807,825,34.48275862068966,-0.356,-0.738,0.568
62882,1755586991401,20.35,-52.46,-9.16,786,867,766,811,837,33.333333333333336,-0.359,-0.742,0.57
62911,1755586991431,20.41,-52.46,-9.16,779,858,776,805,833,34.48275862068966,-0.36,-0.743,0.567
62941,1755586991461,20.44,-52.4,-9.16,776,867,781,811,838,33.333333333333336,-0.358,-0.742,0.565
62971,1755586991490,20.46,-52.4,-9.18,772,856,778,806,810,33.333333333333336,-0.353,-0.743,0.565
63000,1755586991520,20.54,-52.38,-9.18,784,860,773,809,829,34.48275862068966,-0.351,-0.746,0.567
63030,1755586991549,20.63,-52.37,-9.18,776,862,776,813,830,33.333333333333336,-0.352,-0.745,0.568
63059,1755586991579,20.71,-52.33,-9.18,778,865,778,801,836,34.48275862068966,-0.354,-0.738,0.568
63089,1755586991608,20.81,-52.32,-9.2,782,868,777,807,839,33.333333333333336,-0.358,-0.736,0.566
63118,1755586991638,20.91,-52.28,-9.24,773,856,772,808,844,34.48275862068966,-0.363,-0.741,0.562
63148,1755586991667,20.99,-52.27,-9.23,778,865,776,799,830,33.333333333333336,-0.366,-0.744,0.56
63177,1755586991697,21.01,-52.31,-9.24,776,872,782,807,830,34.48275862068966,-0.366,-0.742,0.558
63207,1755586991726,21.02,-52.29,-9.24,773,866,778,806,833,33.333333333333336,-0.367,-0.741,0.558
63236,1755586991756,21.02,-52.36,-9.25,776,862,778,816,828,34.48275862068966,-0.366,-0.74,0.556
63266,1755586991786,21.03,-52.43,-9.23,778,862,773,803,830,33.333333333333336,-0.366,-0.74,0.557
63296,1755586991815,21.01,-52.43,-9.26,776,870,777,808,834,33.333333333333336,-0.367,-0.74,0.558
63325,1755586991845,21.0,-52.43,-9.27,775,867,776,799,832,34.48275862068966,-0.367,-0.743,0.558
63355,1755586991875,21.02,-52.44,-9.26,773,863,768,807,834,33.333333333333336,-0.368,-0.747,0.557
63385,1755586991904,21.05,-52.46,-9.23,780,858,775,802,828,33.333333333333336,-0.367,-0.749,0.555
63414,1755586991934,21.08,-52.46,-9.19,773,852,773,804,836,34.48275862068966,-0.364,-0.749,0.554
63444,1755586991963,21.07,-52.44,-9.2,771,866,778,807,826,33.333333333333336,-0.363,-0.746,0.554
63473,1755586991993,21.07,-52.43,-9.21,776,865,776,813,848,34.48275862068966,-0.363,-0.744,0.558
63503,1755586992022,21.1,-52.43,-9.21,779,860,768,805,832,33.333333333333336,-0.365,-0.742,0.561
63532,1755586992052,21.1,-52.41,-9.23,775,867,772,811,821,34.48275862068966,-0.367,-0.739,0.562
63562,1755586992081,21.11,-52.38,-9.25,776,868,775,811,839,33.333333333333336,-0.367,-0.737,0.559
63591,1755586992111,21.12,-52.41,-9.27,773,863,763,811,820,34.48275862068966,-0.366,-0.74,0.556
63621,1755586992140,21.11,-52.42,-9.3,776,865,770,798,826,33.333333333333336,-0.367,-0.745,0.554
63650,1755586992170,21.15,-52.39,-9.27,769,854,771,806,833,34.48275862068966,-0.366,-0.751,0.552
63680,1755586992200,21.13,-52.4,-9.23,771,859,784,806,828,33.333333333333336,-0.365,-0.753,0.552
63710,1755586992229,21.12,-52.41,-9.18,773,876,770,809,829,33.333333333333336,-0.363,-0.75,0.554
63739,1755586992259,21.16,-52.36,-9.14,773,870,771,805,830,34.48275862068966,-0.362,-0.747,0.558
63759,1755586992279,21.15,-52.33,-9.14,782,867,777,809,825,50.0,-0.359,-0.742,0.559
63789,1755586992309,21.13,-52.29,-9.17,775,865,774,805,828,33.333333333333336,-0.361,-0.739,0.561
63819,1755586992338,21.19,-52.25,-9.17,770,876,777,811,827,33.333333333333336,-0.365,-0.739,0.56
63848,1755586992368,21.19,-52.27,-9.19,777,865,770,817,837,34.48275862068966,-0.368,-0.74,0.559
63878,1755586992397,21.16,-52.26,-9.2,771,852,779,804,832,33.333333333333336,-0.368,-0.738,0.556
63907,1755586992427,21.2,-52.29,-9.2,777,858,779,804,830,34.48275862068966,-0.368,-0.74,0.556
63937,1755586992456,21.19,-52.3,-9.21,778,868,777,799,824,33.333333333333336,-0.367,-0.742,0.557
63966,1755586992486,21.19,-52.3,-9.2,778,866,777,804,835,34.48275862068966,-0.367,-0.744,0.558
63996,1755586992515,21.22,-52.29,-9.18,763,864,775,815,841,33.333333333333336,-0.366,-0.746,0.559
64025,1755586992545,21.22,-52.25,-9.17,771,867,788,807,837,34.48275862068966,-0.365,-0.746,0.56
64055,1755586992575,21.29,-52.22,-9.12,777,864,771,800,836,33.333333333333336,-0.365,-0.744,0.56
64085,1755586992604,21.34,-52.2,-9.1,780,874,768,814,834,33.333333333333336,-0.365,-0.74,0.558
64114,1755586992634,21.31,-52.22,-9.11,772,858,767,809,839,34.48275862068966,-0.367,-0.738,0.557
64143,1755586992663,21.31,-52.21,-9.12,777,872,766,814,844,34.48275862068966,-0.368,-0.736,0.557
64173,1755586992693,21.31,-52.22,-9.15,777,875,766,810,828,33.333333333333336,-0.367,-0.737,0.559
64202,1755586992722,21.31,-52.2,-9.16,774,864,778,806,828,34.48275862068966,-0.368,-0.741,0.561
64232,1755586992751,21.35,-52.19,-9.14,779,869,771,803,829,33.333333333333336,-0.366,-0.742,0.559
64261,1755586992781,21.37,-52.2,-9.14,786,863,776,808,835,34.48275862068966,-0.365,-0.741,0.559
64291,1755586992810,21.37,-52.17,-9.15,773,868,779,810,827,33.333333333333336,-0.364,-0.739,0.559
64320,1755586992840,21.38,-52.16,-9.16,772,858,777,809,829,34.48275862068966,-0.366,-0.739,0.559
64349,1755586992869,21.37,-52.18,-9.18,770,857,773,805,832,34.48275862068966,-0.368,-0.739,0.557
64379,1755586992898,21.37,-52.2,-9.18,773,871,781,811,833,33.333333333333336,-0.37,-0.741,0.558
64408,1755586992929,21.38,-52.18,-9.17,782,861,780,808,830,34.48275862068966,-0.369,-0.741,0.559
64429,1755586992948,21.38,-52.18,-9.16,776,860,776,807,828,47.61904761904762,-0.368,-0.741,0.559
64458,1755586992978,21.36,-52.19,-9.15,772,870,776,806,826,34.48275862068966,-0.366,-0.738,0.556
64488,1755586993008,21.32,-52.23,-9.18,776,856,780,818,826,33.333333333333336,-0.365,-0.736,0.557
64518,1755586993037,21.27,-52.26,-9.24,774,872,777,806,832,33.333333333333336,-0.364,-0.736,0.561
64547,1755586993067,21.3,-52.22,-9.28,782,858,773,810,834,34.48275862068966,-0.365,-0.739,0.565
64577,1755586993097,21.32,-52.2,-9.33,775,858,796,798,823,33.333333333333336,-0.367,-0.744,0.56
64607,1755586993126,21.35,-52.21,-9.3,779,858,773,796,835,33.333333333333336,-0.37,-0.747,0.557
64636,1755586993156,21.38,-52.21,-9.25,789,866,791,810,832,34.48275862068966,-0.37,-0.747,0.557
64666,1755586993185,21.32,-52.14,-9.25,777,866,775,806,824,33.333333333333336,-0.367,-0.743,0.557
64695,1755586993215,21.29,-52.12,-9.26,772,861,778,807,833,34.48275862068966,-0.365,-0.742,0.558
64725,1755586993245,21.33,-52.15,-9.23,776,868,776,808,826,33.333333333333336,-0.365,-0.744,0.557
64754,1755586993274,21.34,-52.18,-9.19,776,875,781,803,837,34.48275862068966,-0.366,-0.744,0.561
64784,1755586993304,21.32,-52.12,-9.16,765,863,767,802,834,33.333333333333336,-0.364,-0.74,0.563
64814,1755586993333,21.36,-52.07,-9.13,773,870,771,813,828,33.333333333333336,-0.364,-0.738,0.565
64843,1755586993363,21.35,-52.02,-9.13,780,863,777,804,836,34.48275862068966,-0.365,-0.738,0.563
64873,1755586993392,21.36,-52.05,-9.12,777,857,773,806,866,33.333333333333336,-0.365,-0.739,0.56
64902,1755586993422,21.32,-52.05,-9.13,774,859,779,812,825,34.48275862068966,-0.366,-0.741,0.562
64932,1755586993451,21.29,-52.03,-9.12,777,871,772,814,838,33.333333333333336,-0.367,-0.741,0.561
64961,1755586993481,21.28,-52.07,-9.1,772,860,773,808,833,34.48275862068966,-0.368,-0.741,0.563
64991,1755586993511,21.29,-52.05,-9.07,770,862,767,807,832,33.333333333333336,-0.367,-0.741,0.564
65021,1755586993541,21.3,-52.02,-9.06,776,858,775,802,829,33.333333333333336,-0.366,-0.738,0.563
65051,1755586993571,21.31,-52.03,-9.06,770,869,768,814,839,33.333333333333336,-0.365,-0.736,0.563
65071,1755586993590,21.31,-52.03,-9.06,776,866,785,806,826,50.0,-0.365,-0.734,0.564
65100,1755586993620,21.3,-52.01,-9.09,768,862,787,803,827,34.48275862068966,-0.365,-0.733,0.564
65130,1755586993649,21.28,-52.0,-9.16,771,868,774,812,842,33.333333333333336,-0.365,-0.73,0.562
65159,1755586993679,21.2,-52.05,-9.28,770,855,779,810,833,34.48275862068966,-0.365,-0.727,0.56
65189,1755586993709,21.09,-52.08,-9.41,772,864,773,805,832,33.333333333333336,-0.367,-0.73,0.563
65218,1755586993738,21.03,-52.15,-9.51,776,846,778,809,823,34.48275862068966,-0.368,-0.735,0.562
65248,1755586993767,21.07,-52.24,-9.51,780,862,770,809,834,33.333333333333336,-0.367,-0.744,0.562
65277,1755586993797,21.12,-52.26,-9.47,770,861,768,808,832,34.48275862068966,-0.363,-0.75,0.559
65307,1755586993827,21.15,-52.24,-9.43,778,859,775,805,831,33.333333333333336,-0.358,-0.75,0.561
65337,1755586993856,21.14,-52.26,-9.44,772,870,781,811,840,33.333333333333336,-0.353,-0.745,0.563
65366,1755586993886,21.19,-52.27,-9.46,775,863,772,794,828,34.48275862068966,-0.353,-0.742,0.565
65396,1755586993916,21.26,-52.25,-9.46,775,864,781,804,859,33.333333333333336,-0.355,-0.742,0.566
65425,1755586993945,21.29,-52.19,-9.49,779,864,773,802,829,34.48275862068966,-0.357,-0.743,0.565
65455,1755586993975,21.27,-52.15,-9.56,777,852,773,807,831,33.333333333333336,-0.36,-0.742,0.559
65485,1755586994005,21.31,-52.16,-9.61,777,864,776,803,830,33.333333333333336,-0.365,-0.745,0.556
65505,1755586994025,21.31,-52.18,-9.61,787,862,770,811,826,50.0,-0.365,-0.749,0.555
65525,1755586994045,21.31,-52.21,-9.59,778,861,768,806,825,50.0,-0.363,-0.748,0.554
65555,1755586994075,21.29,-52.27,-9.62,778,870,775,805,834,33.333333333333336,-0.361,-0.742,0.559
65585,1755586994104,21.28,-52.2,-9.61,778,854,779,801,827,33.333333333333336,-0.359,-0.742,0.559
65614,1755586994134,21.32,-52.2,-9.59,776,863,779,806,824,34.48275862068966,-0.36,-0.741,0.56
65644,1755586994164,21.32,-52.23,-9.61,775,873,777,806,828,33.333333333333336,-0.358,-0.739,0.559
65674,1755586994193,21.22,-52.27,-9.69,778,868,784,799,839,33.333333333333336,-0.358,-0.737,0.557
65703,1755586994223,21.21,-52.33,-9.75,780,848,771,812,832,34.48275862068966,-0.36,-0.738,0.556
65733,1755586994252,21.31,-52.35,-9.73,770,872,767,812,825,33.333333333333336,-0.361,-0.743,0.554
65762,1755586994282,21.26,-52.41,-9.75,780,869,772,804,835,34.48275862068966,-0.36,-0.747,0.554
65792,1755586994312,21.22,-52.44,-9.74,779,858,777,821,827,33.333333333333336,-0.36,-0.749,0.556
65822,1755586994341,21.25,-52.44,-9.71,778,860,773,802,833,33.333333333333336,-0.36,-0.75,0.557
65851,1755586994371,21.25,-52.45,-9.68,775,862,785,808,823,34.48275862068966,-0.359,-0.751,0.557
65881,1755586994400,21.22,-52.49,-9.66,776,863,763,807,832,33.333333333333336,-0.359,-0.748,0.556
65910,1755586994430,21.18,-52.49,-9.66,779,873,774,814,834,34.48275862068966,-0.358,-0.745,0.557
65940,1755586994459,21.15,-52.44,-9.68,774,867,769,811,828,33.333333333333336,-0.358,-0.745,0.558
65969,1755586994489,21.15,-52.42,-9.68,763,859,771,807,833,34.48275862068966,-0.359,-0.746,0.557
65999,1755586994518,21.16,-52.43,-9.66,772,860,781,794,839,33.333333333333336,-0.36,-0.75,0.558
66028,1755586994548,21.13,-52.36,-9.62,775,863,775,812,823,34.48275862068966,-0.357,-0.749,0.557
66058,1755586994578,21.08,-52.39,-9.61,775,857,773,810,832,33.333333333333336,-0.355,-0.747,0.557
66088,1755586994608,21.09,-52.37,-9.59,773,858,773,808,834,33.333333333333336,-0.356,-0.748,0.558
66118,1755586994637,21.07,-52.28,-9.56,770,861,779,812,824,33.333333333333336,-0.356,-0.747,0.558
66147,1755586994667,21.02,-52.31,-9.54,775,861,774,797,836,34.48275862068966,-0.357,-0.745,0.557
66177,1755586994697,21.02,-52.35,-9.51,772,863,771,801,841,33.333333333333336,-0.359,-0.745,0.558
66207,1755586994726,20.99,-52.35,-9.49,784,838,771,807,836,33.333333333333336,-0.358,-0.743,0.557
66236,1755586994756,20.92,-52.34,-9.5,776,869,779,808,836,34.48275862068966,-0.358,-0.741,0.558
66266,1755586994785,20.87,-52.36,-9.51,775,863,779,814,825,33.333333333333336,-0.356,-0.74,0.556
66295,1755586994815,20.83,-52.41,-9.54,772,867,772,811,833,34.48275862068966,-0.357,-0.743,0.558
66325,1755586994844,20.79,-52.38,-9.55,779,870,770,820,826,33.333333333333336,-0.358,-0.747,0.562
66354,1755586994874,20.79,-52.36,-9.55,776,866,775,803,824,34.48275862068966,-0.358,-0.751,0.564
66384,1755586994903,20.79,-52.32,-9.51,771,868,771,801,823,33.333333333333336,-0.358,-0.751,0.561
66413,1755586994933,20.79,-52.29,-9.45,779,864,779,810,831,34.48275862068966,-0.355,-0.746,0.561
66443,1755586994963,20.78,-52.27,-9.43,778,865,769,801,829,33.333333333333336,-0.352,-0.74,0.563
66463,1755586994983,20.77,-52.26,-9.45,777,856,783,809,828,50.0,-0.351,-0.736,0.564
66493,1755586995012,20.78,-52.25,-9.48,780,863,775,803,820,33.333333333333336,-0.353,-0.738,0.563
66522,1755586995042,20.8,-52.29,-9.5,777,863,775,804,847,34.48275862068966,-0.356,-0.741,0.559
66552,1755586995071,20.73,-52.37,-9.54,778,859,771,810,833,33.333333333333336,-0.357,-0.743,0.556
66581,1755586995101,20.58,-52.45,-9.59,778,870,775,803,829,34.48275862068966,-0.356,-0.745,0.556
66611,1755586995130,20.55,-52.46,-9.58,771,863,772,795,835,33.333333333333336,-0.356,-0.746,0.558
66640,1755586995160,20.59,-52.5,-9.55,774,859,777,817,832,34.48275862068966,-0.355,-0.748,0.56
66670,1755586995190,20.6,-52.49,-9.53,776,875,776,805,829,33.333333333333336,-0.353,-0.749,0.564
66700,1755586995220,20.61,-52.4,-9.5,778,866,771,799,832,33.333333333333336,-0.351,-0.746,0.563
66730,1755586995249,20.65,-52.38,-9.48,772,864,780,812,837,33.333333333333336,-0.349,-0.744,0.56
66759,1755586995279,20.64,-52.37,-9.5,776,862,768,802,834,34.48275862068966,-0.351,-0.744,0.561
66789,1755586995309,20.61,-52.36,-9.52,772,872,773,808,827,33.333333333333336,-0.351,-0.743,0.561
66819,1755586995338,20.62,-52.38,-9.54,774,868,778,810,832,33.333333333333336,-0.353,-0.744,0.562
66848,1755586995368,20.66,-52.35,-9.52,773,868,766,806,833,34.48275862068966,-0.353,-0.744,0.564
66877,1755586995397,20.71,-52.41,-9.53,769,859,780,811,830,34.48275862068966,-0.353,-0.744,0.561
66907,1755586995427,20.73,-52.47,-9.56,771,867,779,805,854,33.333333333333336,-0.351,-0.743,0.56
66937,1755586995456,20.73,-52.45,-9.6,780,863,772,808,830,33.333333333333336,-0.351,-0.743,0.562
66966,1755586995486,20.7,-52.45,-9.66,777,871,771,794,845,34.48275862068966,-0.352,-0.745,0.56
66996,1755586995516,20.72,-52.51,-9.67,776,867,774,811,828,33.333333333333336,-0.352,-0.75,0.559
67026,1755586995546,20.77,-52.59,-9.63,779,874,775,802,834,33.333333333333336,-0.354,-0.753,0.559
67046,1755586995565,20.82,-52.67,-9.58,778,857,776,803,825,50.0,-0.358,-0.753,0.558
67075,1755586995595,20.81,-52.83,-9.5,777,852,774,812,830,34.48275862068966,-0.358,-0.751,0.556
67095,1755586995615,20.82,-52.9,-9.47,774,865,775,806,835,50.0,-0.355,-0.753,0.555
67125,1755586995644,20.78,-52.84,-9.44,778,870,777,801,832,33.333333333333336,-0.355,-0.752,0.554
67154,1755586995674,20.71,-52.82,-9.45,777,873,770,802,838,34.48275862068966,-0.354,-0.751,0.554
67184,1755586995704,20.65,-52.71,-9.47,777,881,782,807,835,33.333333333333336,-0.354,-0.752,0.559
67214,1755586995734,20.64,-52.54,-9.46,775,865,776,812,825,33.333333333333336,-0.352,-0.751,0.557
67244,1755586995763,20.7,-52.56,-9.43,776,868,778,813,835,33.333333333333336,-0.352,-0.751,0.554
67273,1755586995793,20.73,-52.58,-9.4,773,864,776,811,829,34.48275862068966,-0.354,-0.751,0.553
67303,1755586995823,20.68,-52.53,-9.39,777,861,767,807,833,33.333333333333336,-0.355,-0.748,0.554
67333,1755586995852,20.69,-52.53,-9.38,774,874,769,802,831,33.333333333333336,-0.356,-0.747,0.554
67362,1755586995882,20.69,-52.54,-9.35,778,858,779,810,839,34.48275862068966,-0.358,-0.747,0.554
67392,1755586995911,20.65,-52.52,-9.33,772,863,775,807,832,33.333333333333336,-0.358,-0.746,0.552
67421,1755586995941,20.6,-52.55,-9.34,766,863,777,803,829,34.48275862068966,-0.356,-0.744,0.553
67451,1755586995971,20.57,-52.6,-9.36,774,860,766,801,831,33.333333333333336,-0.355,-0.744,0.555
67481,1755586996000,20.57,-52.59,-9.34,778,871,781,809,843,33.333333333333336,-0.355,-0.746,0.558
67510,1755586996030,20.6,-52.62,-9.34,772,859,765,801,824,34.48275862068966,-0.354,-0.747,0.558
67540,1755586996059,20.57,-52.6,-9.37,773,865,781,807,834,33.333333333333336,-0.354,-0.748,0.558
67569,1755586996089,20.57,-52.57,-9.38,777,863,773,808,832,34.48275862068966,-0.355,-0.748,0.557
67599,1755586996119,20.58,-52.6,-9.36,776,863,773,802,833,33.333333333333336,-0.356,-0.748,0.555
67629,1755586996148,20.52,-52.61,-9.35,773,861,781,803,832,33.333333333333336,-0.356,-0.748,0.557
67658,1755586996178,20.48,-52.58,-9.35,778,866,779,806,832,34.48275862068966,-0.354,-0.745,0.558
67688,1755586996207,20.48,-52.61,-9.33,769,865,768,808,828,33.333333333333336,-0.352,-0.744,0.558
67717,1755586996237,20.42,-52.62,-9.36,781,865,779,809,826,34.48275862068966,-0.352,-0.746,0.561
