timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
56550,1755587068068,61.14,-105.29,-34.03,775,770,776,749,888,33.333333333333336,-0.873,-0.465,-0.138
56580,1755587068098,61.11,-105.24,-34.05,778,772,778,748,876,33.333333333333336,-0.875,-0.467,-0.135
56609,1755587068128,61.11,-105.31,-34.07,771,778,771,744,887,34.48275862068966,-0.875,-0.468,-0.132
56630,1755587068148,61.12,-105.31,-34.06,770,776,778,752,873,47.61904761904762,-0.877,-0.471,-0.125
56659,1755587068178,61.11,-105.15,-34.03,771,780,772,751,876,34.48275862068966,-0.877,-0.471,-0.128
56680,1755587068198,61.08,-105.08,-34.01,776,776,777,749,883,47.61904761904762,-0.875,-0.472,-0.133
56709,1755587068228,61.15,-105.19,-34.02,775,771,774,749,933,34.48275862068966,-0.876,-0.471,-0.134
56739,1755587068258,61.16,-105.23,-33.98,773,766,775,750,881,33.333333333333336,-0.877,-0.47,-0.132
56769,1755587068288,61.18,-105.04,-33.92,771,777,778,748,887,33.333333333333336,-0.878,-0.468,-0.128
56799,1755587068318,61.25,-104.99,-33.91,770,781,771,748,884,33.333333333333336,-0.878,-0.466,-0.132
56819,1755587068338,61.27,-105.05,-33.93,773,774,776,748,892,50.0,-0.877,-0.465,-0.136
56849,1755587068368,61.26,-105.07,-33.92,775,771,771,746,876,33.333333333333336,-0.877,-0.466,-0.138
56869,1755587068388,61.27,-105.11,-33.91,774,770,768,749,881,50.0,-0.876,-0.469,-0.141
56899,1755587068418,61.27,-105.1,-33.92,767,776,773,749,892,33.333333333333336,-0.872,-0.467,-0.14
56929,1755587068448,61.24,-105.15,-33.95,769,765,772,746,903,33.333333333333336,-0.87,-0.468,-0.138
56949,1755587068468,61.21,-105.16,-33.97,777,796,764,743,889,50.0,-0.876,-0.471,-0.139
56979,1755587068498,61.19,-105.19,-33.96,772,776,774,744,890,33.333333333333336,-0.879,-0.472,-0.135
57009,1755587068528,61.25,-105.16,-33.92,766,771,774,742,902,33.333333333333336,-0.878,-0.47,-0.13
57039,1755587068558,61.3,-105.11,-33.89,765,766,766,745,892,33.333333333333336,-0.879,-0.469,-0.13
57069,1755587068587,61.33,-105.12,-33.89,774,773,780,747,882,33.333333333333336,-0.877,-0.466,-0.134
57099,1755587068617,61.35,-105.14,-33.91,769,774,774,746,878,33.333333333333336,-0.875,-0.464,-0.133
57129,1755587068647,61.33,-105.17,-33.95,765,763,774,749,873,33.333333333333336,-0.877,-0.465,-0.135
57159,1755587068677,61.32,-105.23,-33.97,779,780,777,748,895,33.333333333333336,-0.878,-0.468,-0.137
57189,1755587068707,61.3,-105.3,-34.0,779,780,776,749,889,33.333333333333336,-0.875,-0.466,-0.132
57219,1755587068737,61.24,-105.31,-34.06,772,775,765,745,872,33.333333333333336,-0.874,-0.466,-0.13
57239,1755587068757,61.19,-105.32,-34.1,773,770,777,744,883,50.0,-0.875,-0.468,-0.133
57269,1755587068787,61.1,-105.29,-34.12,774,773,792,746,881,33.333333333333336,-0.877,-0.464,-0.137
57298,1755587068817,61.07,-105.34,-34.21,771,769,773,747,883,34.48275862068966,-0.877,-0.468,-0.135
57319,1755587068837,61.04,-105.34,-34.24,775,778,779,748,878,47.61904761904762,-0.878,-0.478,-0.137
57349,1755587068867,61.0,-105.38,-34.17,786,772,768,748,895,33.333333333333336,-0.882,-0.493,-0.144
57379,1755587068897,61.02,-105.52,-34.02,764,771,770,746,882,33.333333333333336,-0.884,-0.495,-0.137
57408,1755587068927,61.15,-105.52,-33.88,775,771,761,747,881,34.48275862068966,-0.878,-0.483,-0.116
57438,1755587068957,61.24,-105.19,-33.73,769,771,769,742,889,33.333333333333336,-0.874,-0.473,-0.111
57468,1755587068987,61.05,-104.95,-33.65,769,777,772,744,882,33.333333333333336,-0.868,-0.465,-0.134
57498,1755587069017,60.99,-105.04,-33.66,769,773,768,743,883,33.333333333333336,-0.873,-0.463,-0.146
57528,1755587069046,61.02,-105.19,-33.65,773,776,774,752,889,33.333333333333336,-0.883,-0.463,-0.14
57558,1755587069077,60.8,-105.26,-33.68,770,775,772,749,885,33.333333333333336,-0.872,-0.465,-0.14
57578,1755587069097,60.61,-105.33,-33.72,774,775,771,747,881,50.0,-0.871,-0.469,-0.134
57608,1755587069126,60.5,-105.47,-33.8,765,767,770,746,884,33.333333333333336,-0.879,-0.463,-0.111
57638,1755587069157,60.34,-105.27,-33.79,770,768,775,750,886,33.333333333333336,-0.884,-0.465,-0.093
57668,1755587069186,60.04,-105.09,-33.81,772,771,778,743,887,33.333333333333336,-0.869,-0.469,-0.104
57698,1755587069216,60.02,-105.31,-34.08,765,777,768,744,877,33.333333333333336,-0.87,-0.473,-0.122
57728,1755587069246,59.89,-105.37,-34.17,770,797,773,750,889,33.333333333333336,-0.877,-0.471,-0.133
57748,1755587069266,59.61,-105.33,-34.18,773,773,772,750,889,50.0,-0.875,-0.47,-0.139
57778,1755587069296,59.65,-105.6,-34.28,768,770,779,748,881,33.333333333333336,-0.885,-0.47,-0.131
57808,1755587069326,59.98,-105.79,-34.3,770,777,772,748,889,33.333333333333336,-0.897,-0.468,-0.116
57837,1755587069356,60.11,-105.57,-34.16,767,765,774,741,879,34.48275862068966,-0.896,-0.473,-0.108
57858,1755587069376,60.18,-105.29,-34.02,773,773,769,742,891,47.61904761904762,-0.89,-0.482,-0.102
57878,1755587069396,60.37,-105.12,-33.9,772,772,778,745,879,50.0,-0.88,-0.482,-0.107
57907,1755587069426,60.92,-105.3,-33.96,773,769,766,744,883,34.48275862068966,-0.873,-0.469,-0.113
57937,1755587069456,60.98,-105.21,-34.02,767,773,774,747,887,33.333333333333336,-0.871,-0.468,-0.112
57967,1755587069486,60.59,-104.96,-34.06,773,780,774,750,889,33.333333333333336,-0.869,-0.477,-0.117
57987,1755587069506,60.45,-104.97,-34.12,771,769,774,749,891,50.0,-0.873,-0.482,-0.128
58007,1755587069526,60.46,-105.13,-34.17,768,776,778,750,883,50.0,-0.88,-0.483,-0.128
58037,1755587069556,60.49,-105.12,-34.12,774,773,773,747,893,33.333333333333336,-0.881,-0.484,-0.11
58058,1755587069576,60.5,-104.93,-34.06,776,771,769,747,885,47.61904761904762,-0.875,-0.48,-0.105
58087,1755587069606,60.62,-104.77,-34.06,766,766,771,749,886,34.48275862068966,-0.873,-0.472,-0.12
58117,1755587069636,60.51,-104.76,-34.1,775,775,773,749,885,33.333333333333336,-0.873,-0.473,-0.135
58147,1755587069666,60.4,-104.77,-34.11,771,769,776,750,885,33.333333333333336,-0.88,-0.478,-0.137
58168,1755587069686,60.38,-104.76,-34.11,774,767,772,742,891,47.61904761904762,-0.878,-0.477,-0.134
58197,1755587069716,60.39,-104.74,-34.09,775,771,775,751,881,34.48275862068966,-0.879,-0.478,-0.123
58227,1755587069746,60.1,-104.61,-34.05,768,775,773,748,888,33.333333333333336,-0.867,-0.477,-0.12
58257,1755587069775,59.97,-104.53,-34.09,769,773,770,743,881,33.333333333333336,-0.872,-0.476,-0.115
58287,1755587069805,59.92,-104.41,-34.1,765,774,777,750,888,33.333333333333336,-0.879,-0.473,-0.112
58317,1755587069835,59.92,-104.35,-34.05,776,769,767,740,885,33.333333333333336,-0.888,-0.476,-0.116
58347,1755587069865,59.92,-104.53,-34.02,771,786,765,749,892,33.333333333333336,-0.885,-0.475,-0.108
58377,1755587069895,60.08,-104.5,-34.0,768,774,778,750,896,33.333333333333336,-0.876,-0.468,-0.098
58406,1755587069925,60.06,-104.4,-34.04,765,762,764,746,901,34.48275862068966,-0.876,-0.464,-0.096
58436,1755587069955,59.99,-104.32,-34.12,777,772,774,749,905,33.333333333333336,-0.876,-0.468,-0.103
58466,1755587069985,60.07,-104.3,-34.12,777,776,778,747,880,33.333333333333336,-0.884,-0.472,-0.109
58496,1755587070015,60.05,-104.28,-34.11,765,776,775,746,881,33.333333333333336,-0.882,-0.47,-0.105
58516,1755587070035,60.03,-104.21,-34.12,774,773,775,752,888,50.0,-0.877,-0.469,-0.101
58546,1755587070065,60.02,-104.14,-34.16,776,790,769,746,877,33.333333333333336,-0.874,-0.469,-0.104
58576,1755587070094,60.07,-104.11,-34.24,773,771,775,745,892,33.333333333333336,-0.873,-0.466,-0.108
58606,1755587070125,59.94,-104.0,-34.32,771,774,778,744,890,33.333333333333336,-0.874,-0.462,-0.099
58626,1755587070145,59.73,-103.87,-34.4,774,771,771,746,879,50.0,-0.875,-0.469,-0.095
58646,1755587070165,59.63,-103.73,-34.43,776,771,775,749,880,50.0,-0.881,-0.48,-0.093
58676,1755587070195,59.72,-103.6,-34.41,773,775,775,749,884,33.333333333333336,-0.883,-0.49,-0.085
58706,1755587070225,59.85,-103.41,-34.33,769,758,770,748,893,33.333333333333336,-0.877,-0.488,-0.077
58726,1755587070245,59.85,-103.14,-34.28,772,774,778,752,889,50.0,-0.87,-0.483,-0.075
58756,1755587070275,59.97,-102.94,-34.28,765,778,767,749,890,33.333333333333336,-0.872,-0.481,-0.087
58786,1755587070305,60.11,-102.89,-34.27,770,765,771,751,883,33.333333333333336,-0.874,-0.487,-0.101
58806,1755587070325,60.18,-102.89,-34.24,772,773,771,750,883,50.0,-0.878,-0.489,-0.11
58826,1755587070345,60.27,-102.94,-34.21,770,772,773,747,878,50.0,-0.876,-0.484,-0.112
58846,1755587070365,60.36,-103.0,-34.2,769,774,770,749,885,50.0,-0.874,-0.478,-0.109
58876,1755587070395,60.51,-103.01,-34.21,770,777,770,745,870,33.333333333333336,-0.88,-0.476,-0.107
58906,1755587070425,60.49,-102.97,-34.2,770,768,774,744,884,33.333333333333336,-0.881,-0.474,-0.101
58926,1755587070445,60.49,-102.95,-34.2,770,776,773,745,893,50.0,-0.878,-0.476,-0.098
58956,1755587070475,60.59,-102.89,-34.16,773,777,773,752,888,33.333333333333336,-0.877,-0.483,-0.091
58977,1755587070495,60.68,-102.76,-34.09,772,776,771,752,893,47.61904761904762,-0.877,-0.485,-0.082
59006,1755587070525,60.76,-102.57,-34.01,766,774,771,748,885,34.48275862068966,-0.876,-0.487,-0.08
59027,1755587070545,60.81,-102.37,-33.93,768,772,778,750,884,47.61904761904762,-0.873,-0.487,-0.086
59047,1755587070565,60.9,-102.3,-33.89,772,772,771,749,878,50.0,-0.873,-0.485,-0.098
59067,1755587070586,61.0,-102.32,-33.87,761,776,774,748,886,50.0,-0.874,-0.48,-0.11
59087,1755587070605,61.06,-102.36,-33.84,776,773,771,752,900,50.0,-0.877,-0.475,-0.112
59117,1755587070636,60.94,-102.38,-33.82,766,772,771,747,880,33.333333333333336,-0.873,-0.471,-0.109
59147,1755587070665,60.91,-102.4,-33.85,769,773,772,747,878,33.333333333333336,-0.877,-0.472,-0.102
59177,1755587070696,60.88,-102.24,-33.81,775,771,767,753,887,33.333333333333336,-0.881,-0.474,-0.1
59197,1755587070716,60.92,-102.15,-33.77,772,774,776,743,883,50.0,-0.883,-0.476,-0.1
59227,1755587070746,61.04,-102.19,-33.74,770,769,770,748,886,33.333333333333336,-0.878,-0.476,-0.099
59248,1755587070766,61.07,-102.15,-33.7,776,778,780,748,878,47.61904761904762,-0.877,-0.476,-0.097
