timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
26291,1755587135196,7.94,66.71,44.59,825,891,856,897,890,33.333333333333336,-0.183,0.896,0.417
26320,1755587135226,7.99,66.73,44.67,824,900,862,897,893,34.48275862068966,-0.184,0.9,0.417
26350,1755587135255,7.98,66.71,44.71,833,895,873,891,895,33.333333333333336,-0.18,0.899,0.415
26379,1755587135285,8.0,66.76,44.73,826,894,862,879,901,34.48275862068966,-0.178,0.899,0.415
26409,1755587135314,8.01,66.76,44.77,824,898,862,893,894,33.333333333333336,-0.18,0.898,0.414
26438,1755587135344,8.02,66.71,44.83,824,877,865,898,895,34.48275862068966,-0.181,0.898,0.411
26468,1755587135373,8.01,66.67,44.89,827,898,870,884,889,33.333333333333336,-0.179,0.9,0.413
26497,1755587135403,8.03,66.71,44.89,822,892,866,891,897,34.48275862068966,-0.176,0.899,0.416
26527,1755587135432,8.07,66.77,44.93,831,887,862,891,886,33.333333333333336,-0.179,0.899,0.413
26556,1755587135462,8.05,66.74,44.99,828,904,856,889,891,34.48275862068966,-0.177,0.898,0.407
26585,1755587135491,8.05,66.59,44.99,821,888,850,887,889,34.48275862068966,-0.179,0.898,0.411
26615,1755587135521,8.05,66.55,45.02,826,879,853,893,888,33.333333333333336,-0.179,0.898,0.416
26644,1755587135550,8.06,66.55,45.07,826,892,870,881,886,34.48275862068966,-0.18,0.899,0.414
26674,1755587135579,8.03,66.49,45.14,825,898,859,892,882,33.333333333333336,-0.179,0.896,0.413
26703,1755587135609,8.01,66.38,45.18,827,887,860,894,889,34.48275862068966,-0.176,0.896,0.414
26732,1755587135638,8.04,66.38,45.16,830,891,858,891,883,34.48275862068966,-0.176,0.898,0.418
26762,1755587135668,8.05,66.41,45.16,824,895,861,884,885,33.333333333333336,-0.177,0.896,0.417
26791,1755587135697,8.05,66.37,45.16,819,898,861,884,888,34.48275862068966,-0.176,0.894,0.416
26821,1755587135726,8.1,66.38,45.15,825,897,862,890,877,33.333333333333336,-0.176,0.893,0.416
26850,1755587135756,8.12,66.41,45.15,823,889,861,890,889,34.48275862068966,-0.181,0.896,0.414
26879,1755587135785,8.09,66.3,45.21,820,894,852,884,895,34.48275862068966,-0.182,0.896,0.412
26909,1755587135815,8.06,66.23,45.21,829,897,865,898,896,33.333333333333336,-0.177,0.894,0.414
26929,1755587135835,8.09,66.22,45.17,824,892,863,881,884,50.0,-0.175,0.895,0.418
26958,1755587135864,8.07,66.23,45.2,824,886,866,886,888,34.48275862068966,-0.178,0.895,0.416
26988,1755587135894,8.05,66.24,45.21,822,889,869,888,887,33.333333333333336,-0.181,0.895,0.417
27018,1755587135923,8.04,66.3,45.25,827,896,854,891,884,33.333333333333336,-0.182,0.898,0.42
27047,1755587135953,8.07,66.37,45.27,827,884,860,888,883,34.48275862068966,-0.181,0.896,0.42
27077,1755587135983,8.15,66.5,45.29,827,899,857,881,889,33.333333333333336,-0.184,0.895,0.42
27106,1755587136012,7.72,66.62,45.4,825,895,863,895,888,34.48275862068966,-0.187,0.898,0.416
27136,1755587136042,7.68,66.61,45.49,826,893,861,893,898,33.333333333333336,-0.182,0.898,0.411
27165,1755587136071,7.67,66.63,45.53,827,890,856,890,891,34.48275862068966,-0.178,0.897,0.414
27195,1755587136101,7.72,66.65,45.53,828,892,863,892,893,33.333333333333336,-0.18,0.898,0.415
27224,1755587136131,7.7,66.66,45.57,826,902,858,890,892,34.48275862068966,-0.181,0.9,0.408
27244,1755587136150,7.69,66.58,45.58,824,886,863,898,888,50.0,-0.177,0.897,0.405
27274,1755587136179,7.67,66.5,45.59,824,894,866,882,913,33.333333333333336,-0.176,0.896,0.408
27303,1755587136209,7.68,66.49,45.59,830,894,864,892,915,34.48275862068966,-0.18,0.898,0.41
27333,1755587136239,7.65,66.42,45.63,823,889,873,888,888,33.333333333333336,-0.182,0.897,0.41
27362,1755587136268,7.63,66.32,45.66,823,892,854,886,896,34.48275862068966,-0.18,0.896,0.413
27392,1755587136297,7.67,66.29,45.66,827,885,859,885,887,33.333333333333336,-0.179,0.897,0.415
27421,1755587136327,7.67,66.22,45.66,828,890,863,890,889,34.48275862068966,-0.18,0.895,0.415
27451,1755587136357,7.65,66.14,45.7,826,886,866,892,884,33.333333333333336,-0.18,0.894,0.417
27480,1755587136386,7.64,66.13,45.75,823,880,859,881,891,34.48275862068966,-0.18,0.894,0.422
27510,1755587136416,7.66,66.15,45.79,826,888,852,886,883,33.333333333333336,-0.18,0.894,0.419
27539,1755587136445,7.67,66.07,45.83,820,897,863,888,898,34.48275862068966,-0.18,0.895,0.42
27569,1755587136475,7.65,65.93,45.4,813,891,873,890,888,33.333333333333336,-0.176,0.894,0.421
27598,1755587136504,7.64,65.98,45.46,822,879,859,897,893,34.48275862068966,-0.177,0.891,0.425
27628,1755587136534,7.65,65.91,45.47,830,896,862,892,894,33.333333333333336,-0.178,0.89,0.426
27658,1755587136563,7.67,65.85,45.49,827,884,856,889,894,33.333333333333336,-0.182,0.891,0.425
27687,1755587136593,7.65,65.85,45.6,826,890,866,889,888,34.48275862068966,-0.184,0.893,0.426
27717,1755587136623,7.66,65.83,45.64,825,890,869,885,892,33.333333333333336,-0.18,0.889,0.428
27737,1755587136642,7.71,65.81,45.65,826,886,845,887,889,50.0,-0.181,0.892,0.428
27766,1755587136672,7.71,65.91,45.71,821,893,876,892,893,34.48275862068966,-0.18,0.892,0.431
27795,1755587136701,7.71,65.84,45.7,824,885,870,899,896,34.48275862068966,-0.177,0.891,0.426
27825,1755587136731,7.67,65.76,45.75,832,887,858,884,893,33.333333333333336,-0.178,0.891,0.423
27855,1755587136760,7.65,65.77,45.81,822,893,857,905,884,33.333333333333336,-0.18,0.893,0.428
27884,1755587136790,7.66,65.67,45.82,823,907,863,884,894,34.48275862068966,-0.178,0.89,0.431
