timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
50141,1755587237386,50.2,-20.46,41.51,780,892,828,873,886,33.333333333333336,-0.991,-0.075,0.162
50171,1755587237416,50.22,-20.45,41.79,780,889,828,891,883,33.333333333333336,-0.992,-0.075,0.163
50201,1755587237446,50.2,-20.48,42.07,784,890,821,863,882,33.333333333333336,-0.988,-0.073,0.163
50230,1755587237476,50.15,-20.48,42.33,787,891,819,868,892,34.48275862068966,-0.986,-0.072,0.161
50260,1755587237505,50.09,-20.49,42.58,782,880,819,874,888,33.333333333333336,-0.99,-0.074,0.161
50290,1755587237535,50.04,-20.53,42.86,787,896,828,868,890,33.333333333333336,-0.993,-0.075,0.161
50320,1755587237565,50.03,-20.53,43.15,780,879,818,873,886,33.333333333333336,-0.989,-0.074,0.162
50349,1755587237595,49.96,-20.53,43.41,781,885,822,870,882,34.48275862068966,-0.986,-0.07,0.163
50379,1755587237625,49.87,-20.5,43.67,776,889,830,872,871,33.333333333333336,-0.987,-0.071,0.166
50409,1755587237655,49.88,-20.41,43.95,789,886,819,870,889,33.333333333333336,-0.991,-0.073,0.165
50439,1755587237685,49.88,-20.44,44.22,788,886,823,876,878,33.333333333333336,-0.99,-0.073,0.163
50459,1755587237704,50.07,-20.46,44.43,792,887,836,869,875,50.0,-0.987,-0.073,0.162
50489,1755587237735,50.03,-20.44,44.68,789,885,832,871,882,33.333333333333336,-0.987,-0.072,0.161
50509,1755587237754,50.2,-20.45,44.85,791,890,818,879,876,50.0,-0.989,-0.071,0.158
50539,1755587237784,50.14,-20.53,45.12,787,883,824,868,878,33.333333333333336,-0.991,-0.075,0.158
50559,1755587237804,50.34,-20.59,45.31,790,884,819,874,905,50.0,-0.993,-0.076,0.163
50589,1755587237834,50.28,-20.57,45.6,784,880,817,870,883,33.333333333333336,-0.988,-0.073,0.166
50619,1755587237864,50.24,-20.51,45.84,787,885,815,865,889,33.333333333333336,-0.983,-0.071,0.168
50648,1755587237894,50.22,-20.51,46.08,787,885,815,863,884,34.48275862068966,-0.988,-0.074,0.166
50678,1755587237924,50.21,-20.52,46.37,789,883,820,876,886,33.333333333333336,-0.995,-0.076,0.162
50698,1755587237944,50.36,-20.57,46.58,786,881,822,866,888,50.0,-0.992,-0.076,0.161
50728,1755587237973,50.35,-20.54,46.85,788,886,821,873,891,33.333333333333336,-0.985,-0.071,0.163
50758,1755587238003,50.33,-20.58,47.05,788,878,819,875,880,33.333333333333336,-0.984,-0.071,0.164
50788,1755587238033,50.28,-20.57,47.32,782,888,829,870,882,33.333333333333336,-0.992,-0.075,0.163
50818,1755587238063,50.22,-20.61,47.62,783,888,825,872,887,33.333333333333336,-0.993,-0.077,0.162
50847,1755587238093,50.23,-20.62,47.89,781,892,811,862,883,34.48275862068966,-0.987,-0.076,0.165
50877,1755587238123,50.2,-20.65,48.13,785,886,825,866,886,33.333333333333336,-0.987,-0.077,0.165
50897,1755587238142,50.37,-20.69,48.3,786,891,819,876,882,50.0,-0.99,-0.077,0.163
50927,1755587238172,50.38,-20.67,48.59,787,880,819,867,890,33.333333333333336,-0.994,-0.075,0.164
50957,1755587238202,50.37,-20.74,48.86,785,878,817,865,878,33.333333333333336,-0.99,-0.077,0.165
50987,1755587238232,50.33,-20.75,49.12,791,890,845,870,882,33.333333333333336,-0.987,-0.077,0.162
51017,1755587238262,50.32,-20.79,49.38,787,887,825,877,921,33.333333333333336,-0.99,-0.076,0.161
51046,1755587238292,50.31,-20.84,49.67,776,893,826,864,889,34.48275862068966,-0.994,-0.077,0.163
51076,1755587238321,50.33,-20.84,50.0,789,885,833,870,883,33.333333333333336,-0.995,-0.077,0.164
51106,1755587238351,50.34,-20.83,50.29,771,883,816,868,878,33.333333333333336,-0.989,-0.074,0.163
51136,1755587238381,50.32,-20.9,50.54,788,886,820,866,897,33.333333333333336,-0.988,-0.075,0.158
51166,1755587238411,50.29,-20.96,50.81,782,891,828,865,882,33.333333333333336,-0.989,-0.075,0.156
51195,1755587238441,50.3,-21.04,51.12,785,880,825,875,888,34.48275862068966,-0.992,-0.076,0.16
51225,1755587238471,50.31,-21.1,51.38,784,890,819,866,886,33.333333333333336,-0.99,-0.076,0.161
51255,1755587238500,50.25,-21.1,51.65,783,885,818,875,887,33.333333333333336,-0.985,-0.075,0.161
51285,1755587238530,50.22,-21.13,51.88,788,884,819,869,883,33.333333333333336,-0.987,-0.075,0.158
51315,1755587238560,50.23,-21.16,52.14,789,892,813,869,880,33.333333333333336,-0.994,-0.077,0.157
51345,1755587238590,50.18,-21.19,52.48,782,886,827,863,887,33.333333333333336,-0.994,-0.078,0.157
51375,1755587238620,50.21,-21.17,52.77,785,890,824,871,881,33.333333333333336,-0.989,-0.075,0.156
51404,1755587238650,50.13,-21.2,53.01,781,895,834,864,881,34.48275862068966,-0.98,-0.07,0.154
51434,1755587238680,50.05,-21.16,53.24,780,891,822,870,886,33.333333333333336,-0.984,-0.071,0.155
51464,1755587238710,50.05,-21.18,53.51,789,890,830,881,890,33.333333333333336,-0.994,-0.076,0.157
51484,1755587238730,50.26,-21.21,53.72,782,887,823,864,877,50.0,-0.992,-0.076,0.154
51504,1755587238750,50.48,-21.28,53.91,784,887,817,877,882,50.0,-0.987,-0.072,0.15
51524,1755587238770,50.72,-21.31,54.06,785,883,833,869,880,50.0,-0.984,-0.073,0.155
51554,1755587238800,50.57,-21.32,54.29,789,889,833,861,901,33.333333333333336,-0.982,-0.075,0.156
51584,1755587238829,50.63,-21.28,54.55,787,887,842,877,884,33.333333333333336,-0.988,-0.076,0.157
51614,1755587238859,50.66,-21.2,54.84,786,890,821,862,882,33.333333333333336,-0.994,-0.073,0.157
51644,1755587238889,50.58,-21.22,55.14,790,881,824,870,894,33.333333333333336,-0.988,-0.074,0.155
51664,1755587238909,50.8,-21.27,55.33,781,889,828,874,892,50.0,-0.98,-0.075,0.152
51694,1755587238939,50.86,-21.22,55.56,779,888,821,871,882,33.333333333333336,-0.987,-0.073,0.149
51723,1755587238969,50.73,-21.31,55.82,782,896,810,869,871,34.48275862068966,-0.988,-0.073,0.146
51753,1755587238999,50.74,-21.4,56.08,788,883,820,874,879,33.333333333333336,-0.992,-0.078,0.146
51783,1755587239028,50.7,-21.39,56.4,771,886,831,870,883,33.333333333333336,-0.991,-0.076,0.148
51813,1755587239058,50.67,-21.37,56.65,784,882,830,865,895,33.333333333333336,-0.983,-0.071,0.146
51843,1755587239088,50.59,-21.45,56.85,783,885,825,863,899,33.333333333333336,-0.984,-0.073,0.147
51872,1755587239118,50.56,-21.48,57.11,782,893,835,873,894,34.48275862068966,-0.992,-0.076,0.149
51902,1755587239147,50.57,-21.48,57.43,784,890,816,870,876,33.333333333333336,-0.995,-0.076,0.149
51932,1755587239177,50.5,-21.52,57.71,787,888,817,869,887,33.333333333333336,-0.986,-0.075,0.148
51962,1755587239207,50.5,-21.58,57.95,778,891,834,857,869,33.333333333333336,-0.985,-0.076,0.146
51982,1755587239227,50.67,-21.66,58.1,783,882,822,867,891,50.0,-0.99,-0.078,0.148
52002,1755587239247,50.81,-21.75,58.29,788,886,823,867,884,50.0,-0.996,-0.079,0.149
52032,1755587239277,50.78,-21.8,58.58,781,887,834,875,880,33.333333333333336,-0.995,-0.079,0.15
52061,1755587239307,50.81,-21.81,58.87,782,895,832,873,879,34.48275862068966,-0.992,-0.075,0.151
52081,1755587239327,50.98,-21.84,59.05,788,886,836,878,884,50.0,-0.989,-0.074,0.15
52111,1755587239357,50.88,-21.9,59.29,781,878,818,869,882,33.333333333333336,-0.99,-0.077,0.149
52141,1755587239386,50.86,-21.97,59.57,781,879,814,872,881,33.333333333333336,-0.995,-0.079,0.149
52171,1755587239416,50.82,-22.0,59.86,784,876,817,875,873,33.333333333333336,-0.993,-0.077,0.15
52201,1755587239446,50.73,-21.99,60.14,785,892,817,869,886,33.333333333333336,-0.988,-0.074,0.152
52231,1755587239476,50.71,-21.98,60.37,772,872,826,867,882,33.333333333333336,-0.989,-0.075,0.154
52261,1755587239506,50.68,-22.0,60.65,781,891,822,883,882,33.333333333333336,-0.993,-0.078,0.152
52291,1755587239536,50.65,-21.99,60.95,785,883,822,875,881,33.333333333333336,-0.992,-0.078,0.15
52311,1755587239556,50.81,-22.03,61.13,785,889,825,866,886,50.0,-0.988,-0.075,0.149
52340,1755587239586,50.76,-22.08,61.36,779,883,818,863,883,34.48275862068966,-0.985,-0.074,0.149
52361,1755587239606,50.91,-22.1,61.51,783,894,834,866,881,47.61904761904762,-0.988,-0.073,0.15
52390,1755587239636,50.79,-22.12,61.77,784,892,823,870,892,34.48275862068966,-0.992,-0.077,0.152
