timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
68414,1755587331745,14.81,57.5,-25.58,794,778,778,843,862,34.48275862068966,-0.243,0.825,0.506
68444,1755587331775,14.75,57.43,-25.69,779,780,768,835,859,33.333333333333336,-0.25,0.826,0.516
68473,1755587331804,14.82,57.41,-25.85,778,783,765,841,863,34.48275862068966,-0.26,0.828,0.525
68503,1755587331834,14.9,57.5,-25.86,787,779,784,841,856,33.333333333333336,-0.27,0.823,0.531
68532,1755587331863,14.91,57.66,-25.7,778,780,768,850,859,34.48275862068966,-0.272,0.82,0.531
68562,1755587331893,14.98,57.72,-25.66,794,779,765,844,866,33.333333333333336,-0.266,0.819,0.523
68591,1755587331922,15.0,57.77,-25.66,784,770,773,841,864,34.48275862068966,-0.264,0.82,0.521
68620,1755587331951,14.95,57.78,-25.57,790,767,778,840,860,34.48275862068966,-0.258,0.822,0.521
68650,1755587331981,14.94,57.85,-25.58,790,783,771,845,858,33.333333333333336,-0.253,0.823,0.526
68679,1755587332010,15.03,57.92,-25.68,790,786,784,841,853,34.48275862068966,-0.25,0.823,0.527
68709,1755587332040,15.09,58.04,-25.71,790,776,774,836,849,33.333333333333336,-0.255,0.823,0.524
68738,1755587332069,15.11,58.16,-25.64,806,775,772,844,864,34.48275862068966,-0.256,0.828,0.516
68768,1755587332099,15.14,58.25,-25.66,789,775,774,833,869,33.333333333333336,-0.254,0.828,0.511
68797,1755587332128,15.16,58.29,-25.66,782,772,771,843,864,34.48275862068966,-0.258,0.828,0.507
68827,1755587332158,15.18,58.33,-25.65,785,792,770,838,865,33.333333333333336,-0.258,0.828,0.506
68856,1755587332188,15.17,58.37,-25.64,785,774,777,837,853,34.48275862068966,-0.258,0.829,0.504
68886,1755587332217,15.17,58.4,-25.66,782,775,774,841,858,33.333333333333336,-0.255,0.828,0.503
68915,1755587332247,15.17,58.39,-25.7,784,774,774,839,863,34.48275862068966,-0.258,0.83,0.507
68945,1755587332276,15.19,58.42,-25.69,785,780,772,848,863,33.333333333333336,-0.258,0.83,0.509
68975,1755587332306,15.22,58.51,-25.71,789,775,769,846,873,33.333333333333336,-0.257,0.831,0.506
69004,1755587332335,15.25,58.57,-25.68,787,777,777,837,853,34.48275862068966,-0.258,0.831,0.504
69034,1755587332365,15.26,58.52,-25.7,789,779,764,840,862,33.333333333333336,-0.255,0.829,0.504
69063,1755587332394,15.31,58.55,-25.73,789,775,772,844,863,34.48275862068966,-0.256,0.834,0.504
69093,1755587332424,15.3,58.69,-25.69,785,772,775,840,870,33.333333333333336,-0.255,0.835,0.502
69123,1755587332454,15.33,58.69,-25.7,788,773,775,839,863,33.333333333333336,-0.253,0.835,0.496
69152,1755587332484,15.36,58.67,-25.73,789,774,771,838,854,34.48275862068966,-0.257,0.835,0.495
69182,1755587332513,15.33,58.69,-25.7,790,773,781,839,861,33.333333333333336,-0.258,0.835,0.498
69212,1755587332543,15.35,58.69,-25.72,780,788,769,841,856,33.333333333333336,-0.261,0.834,0.498
