timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
18269,1755587365246,48.27,-79.48,-36.35,781,779,767,823,848,33.333333333333336,-0.762,-0.65,0.06
18298,1755587365275,48.2,-79.35,-36.27,780,773,760,822,838,34.48275862068966,-0.764,-0.65,0.06
18328,1755587365304,48.24,-79.39,-36.21,781,772,769,825,846,33.333333333333336,-0.761,-0.647,0.056
18357,1755587365334,48.37,-79.45,-36.17,778,775,773,808,858,34.48275862068966,-0.762,-0.65,0.057
18387,1755587365363,48.36,-79.41,-36.07,779,784,775,819,850,33.333333333333336,-0.761,-0.649,0.057
18416,1755587365393,48.4,-79.55,-36.06,780,774,766,828,852,34.48275862068966,-0.758,-0.645,0.057
18446,1755587365422,48.48,-79.64,-36.07,779,765,771,819,854,33.333333333333336,-0.76,-0.645,0.061
18475,1755587365452,48.53,-79.6,-36.01,779,771,767,820,844,34.48275862068966,-0.761,-0.645,0.064
18505,1755587365481,48.61,-79.56,-35.96,787,775,773,817,846,33.333333333333336,-0.762,-0.643,0.063
18534,1755587365511,48.67,-79.68,-35.96,776,780,764,822,840,34.48275862068966,-0.762,-0.643,0.06
18564,1755587365540,48.71,-79.8,-35.97,784,782,777,826,846,33.333333333333336,-0.762,-0.641,0.063
18593,1755587365570,48.65,-79.72,-35.96,788,768,766,827,839,34.48275862068966,-0.762,-0.641,0.063
18623,1755587365599,48.66,-79.83,-35.96,783,772,772,819,872,33.333333333333336,-0.763,-0.641,0.058
18652,1755587365629,48.64,-80.07,-35.97,785,774,766,826,850,34.48275862068966,-0.762,-0.642,0.058
18682,1755587365658,48.67,-80.22,-35.97,782,768,770,820,851,33.333333333333336,-0.762,-0.642,0.066
18711,1755587365688,48.66,-80.22,-35.99,781,777,776,816,842,34.48275862068966,-0.762,-0.641,0.073
18741,1755587365718,48.67,-80.22,-35.99,781,778,774,819,843,33.333333333333336,-0.761,-0.64,0.073
18771,1755587365747,48.68,-80.25,-35.99,777,773,769,824,843,33.333333333333336,-0.762,-0.639,0.071
18800,1755587365777,48.66,-80.28,-35.98,775,777,758,825,853,34.48275862068966,-0.765,-0.638,0.066
18830,1755587365807,48.66,-80.33,-36.02,782,771,762,822,851,33.333333333333336,-0.766,-0.639,0.062
18860,1755587365836,48.65,-80.39,-36.05,785,785,766,821,853,33.333333333333336,-0.765,-0.641,0.059
18889,1755587365866,48.63,-80.48,-36.05,784,775,774,821,848,34.48275862068966,-0.766,-0.644,0.061
18919,1755587365895,48.71,-80.48,-36.02,779,772,766,823,847,33.333333333333336,-0.768,-0.645,0.068
18948,1755587365925,48.76,-80.49,-35.97,785,771,765,823,852,34.48275862068966,-0.764,-0.642,0.073
18978,1755587365955,48.86,-80.53,-35.97,779,769,778,814,852,33.333333333333336,-0.765,-0.643,0.077
19007,1755587365984,48.81,-80.45,-35.95,775,775,779,833,846,34.48275862068966,-0.765,-0.644,0.072
19037,1755587366014,48.81,-80.55,-35.92,787,778,773,821,853,33.333333333333336,-0.765,-0.639,0.069
19067,1755587366044,48.87,-80.69,-35.91,783,774,773,826,838,33.333333333333336,-0.769,-0.639,0.069
19097,1755587366074,48.8,-80.76,-35.88,779,777,770,826,855,33.333333333333336,-0.766,-0.639,0.067
19126,1755587366103,48.77,-80.78,-35.86,777,772,776,822,845,34.48275862068966,-0.765,-0.638,0.071
19156,1755587366133,48.84,-80.76,-35.86,781,777,767,819,856,33.333333333333336,-0.765,-0.639,0.075
19186,1755587366163,48.84,-80.87,-35.86,780,776,769,819,857,33.333333333333336,-0.768,-0.64,0.074
19216,1755587366193,48.91,-80.89,-35.85,786,774,773,820,849,33.333333333333336,-0.765,-0.64,0.075
19246,1755587366223,48.99,-80.88,-35.84,778,774,775,818,848,33.333333333333336,-0.763,-0.638,0.076
19275,1755587366252,49.01,-81.0,-35.89,783,776,773,824,857,34.48275862068966,-0.764,-0.638,0.075
19305,1755587366282,49.06,-81.1,-35.91,778,770,769,826,848,33.333333333333336,-0.767,-0.641,0.074
19335,1755587366311,49.07,-81.08,-35.9,787,776,775,822,858,33.333333333333336,-0.766,-0.64,0.072
19364,1755587366341,49.09,-81.19,-35.9,770,775,775,824,856,34.48275862068966,-0.765,-0.638,0.072
19394,1755587366371,49.16,-81.23,-35.9,777,766,766,821,844,33.333333333333336,-0.765,-0.64,0.074
19424,1755587366400,49.12,-81.18,-35.9,788,776,768,821,854,33.333333333333336,-0.763,-0.639,0.072
19453,1755587366430,49.13,-81.24,-35.9,780,773,772,820,837,34.48275862068966,-0.764,-0.639,0.072
19483,1755587366460,49.16,-81.34,-35.89,784,772,785,814,844,33.333333333333336,-0.766,-0.64,0.072
19512,1755587366489,49.2,-81.37,-35.85,784,767,777,820,848,34.48275862068966,-0.767,-0.641,0.073
