timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
31256,1755587459095,24.74,2.97,-88.98,770,776,774,818,843,33.333333333333336,-0.252,0.326,0.917
31285,1755587459124,24.8,2.96,-89.08,773,766,777,813,829,34.48275862068966,-0.25,0.328,0.923
31314,1755587459154,24.82,2.96,-89.22,768,766,767,808,832,34.48275862068966,-0.247,0.328,0.919
31344,1755587459183,24.8,2.92,-89.35,769,773,776,813,841,33.333333333333336,-0.249,0.327,0.916
31373,1755587459213,24.88,2.92,-89.47,774,776,770,804,843,34.48275862068966,-0.252,0.322,0.922
31403,1755587459242,25.0,3.08,-89.52,770,776,772,818,837,33.333333333333336,-0.258,0.32,0.931
31432,1755587459272,25.15,3.43,-89.58,768,771,765,825,839,34.48275862068966,-0.261,0.325,0.932
31462,1755587459302,25.37,3.75,-89.62,775,768,764,821,836,33.333333333333336,-0.259,0.331,0.925
31491,1755587459331,25.41,3.85,-89.72,774,770,771,815,841,34.48275862068966,-0.254,0.335,0.91
31521,1755587459360,25.2,3.68,-89.82,768,771,766,814,844,33.333333333333336,-0.249,0.335,0.895
31550,1755587459390,25.15,3.6,-90.02,770,779,768,817,841,34.48275862068966,-0.251,0.333,0.909
31580,1755587459420,25.17,3.74,-90.08,767,768,773,815,849,33.333333333333336,-0.257,0.34,0.923
31609,1755587459450,25.13,3.85,-90.14,772,774,775,815,845,34.48275862068966,-0.255,0.337,0.918
31630,1755587459469,25.04,4.06,-90.2,768,769,771,812,840,47.61904761904762,-0.256,0.336,0.912
31659,1755587459499,25.03,4.13,-90.26,770,778,762,814,848,34.48275862068966,-0.253,0.341,0.907
31689,1755587459529,24.97,4.1,-90.4,766,773,769,814,837,33.333333333333336,-0.253,0.344,0.901
31709,1755587459548,24.81,4.12,-90.79,772,772,770,816,840,50.0,-0.254,0.341,0.898
31738,1755587459578,24.79,4.08,-90.9,775,772,764,821,845,34.48275862068966,-0.255,0.341,0.911
31767,1755587459607,24.81,4.15,-91.05,764,772,766,819,843,34.48275862068966,-0.258,0.344,0.92
31797,1755587459636,24.7,4.21,-91.12,770,774,770,809,838,33.333333333333336,-0.256,0.342,0.911
31826,1755587459666,24.75,4.13,-91.25,775,774,772,814,856,34.48275862068966,-0.253,0.342,0.907
31856,1755587459695,24.7,4.08,-91.37,770,772,777,812,847,33.333333333333336,-0.252,0.34,0.907
31885,1755587459724,24.67,4.08,-91.48,773,773,774,809,846,34.48275862068966,-0.256,0.345,0.908
31914,1755587459754,24.7,4.1,-91.58,773,771,771,816,837,34.48275862068966,-0.258,0.346,0.911
31944,1755587459784,24.65,4.03,-91.68,774,774,777,812,837,33.333333333333336,-0.252,0.342,0.913
31974,1755587459813,24.59,4.1,-91.79,771,777,772,817,843,33.333333333333336,-0.248,0.346,0.909
32003,1755587459843,24.63,4.05,-91.96,758,779,771,815,849,34.48275862068966,-0.247,0.349,0.908
32033,1755587459872,24.6,4.01,-92.11,771,785,769,820,838,33.333333333333336,-0.246,0.347,0.913
32062,1755587459902,24.56,3.99,-92.28,775,776,774,815,840,34.48275862068966,-0.246,0.344,0.912
32092,1755587459932,24.57,4.04,-92.4,764,774,767,818,839,33.333333333333336,-0.249,0.344,0.916
32122,1755587459961,24.58,4.06,-92.56,773,770,770,817,840,33.333333333333336,-0.253,0.342,0.92
32151,1755587459991,24.51,4.05,-92.69,769,771,774,821,844,34.48275862068966,-0.257,0.34,0.918
32180,1755587460020,24.41,4.14,-92.75,767,765,763,816,841,34.48275862068966,-0.252,0.342,0.916
32210,1755587460049,24.51,4.21,-92.9,775,769,764,816,842,33.333333333333336,-0.249,0.346,0.918
32239,1755587460079,24.46,4.19,-92.98,764,766,772,814,845,34.48275862068966,-0.249,0.346,0.913
32269,1755587460108,24.4,4.22,-93.07,765,780,752,809,842,33.333333333333336,-0.247,0.348,0.913
32298,1755587460137,24.41,4.25,-93.21,768,766,774,815,839,34.48275862068966,-0.247,0.347,0.913
32327,1755587460167,24.3,4.25,-93.23,771,773,771,815,831,34.48275862068966,-0.253,0.345,0.915
32357,1755587460196,24.22,4.2,-93.28,772,773,772,812,835,33.333333333333336,-0.247,0.346,0.916
32386,1755587460226,24.26,4.16,-93.39,770,767,764,810,838,34.48275862068966,-0.245,0.347,0.916
32416,1755587460255,24.22,4.22,-93.46,763,774,768,814,826,33.333333333333336,-0.246,0.347,0.917
32445,1755587460284,24.18,4.19,-93.57,768,765,770,816,843,34.48275862068966,-0.239,0.347,0.918
32474,1755587460314,24.28,4.27,-93.72,765,765,772,820,833,34.48275862068966,-0.245,0.344,0.92
32504,1755587460343,24.25,4.34,-93.81,768,772,766,817,844,33.333333333333336,-0.247,0.344,0.914
32533,1755587460373,24.19,4.43,-93.87,767,776,769,810,839,34.48275862068966,-0.249,0.346,0.916
32562,1755587460402,24.27,4.41,-93.99,774,777,770,812,838,34.48275862068966,-0.248,0.346,0.915
32592,1755587460431,24.22,4.43,-94.06,769,768,771,817,841,33.333333333333336,-0.245,0.347,0.91
32621,1755587460461,24.2,4.46,-94.15,772,767,772,812,835,34.48275862068966,-0.244,0.35,0.913
32651,1755587460491,24.24,4.37,-94.3,768,768,770,807,841,33.333333333333336,-0.241,0.349,0.914
32681,1755587460520,24.13,4.44,-94.4,769,776,763,813,843,33.333333333333336,-0.242,0.35,0.914
32710,1755587460550,24.12,4.46,-94.5,766,768,772,812,836,34.48275862068966,-0.242,0.35,0.916
32740,1755587460579,24.22,4.47,-94.63,768,779,775,815,841,33.333333333333336,-0.242,0.352,0.914
32769,1755587460609,24.11,4.44,-94.73,771,771,770,819,842,34.48275862068966,-0.24,0.349,0.909
32799,1755587460639,24.15,4.39,-94.86,769,771,774,823,846,33.333333333333336,-0.239,0.347,0.914
32828,1755587460668,24.24,4.4,-94.97,768,772,772,801,844,34.48275862068966,-0.247,0.349,0.923
32858,1755587460697,24.13,4.34,-95.03,762,767,770,811,835,33.333333333333336,-0.247,0.346,0.912
32887,1755587460727,24.06,4.33,-95.07,767,785,774,810,842,34.48275862068966,-0.245,0.351,0.909
32917,1755587460756,24.09,4.36,-95.22,771,772,766,817,840,33.333333333333336,-0.235,0.355,0.916
32946,1755587460785,24.02,4.35,-95.35,770,770,772,815,836,34.48275862068966,-0.236,0.355,0.915
32975,1755587460815,23.95,4.34,-95.49,771,767,783,820,840,34.48275862068966,-0.239,0.35,0.914
33005,1755587460844,23.96,4.36,-95.6,769,773,770,810,835,33.333333333333336,-0.235,0.348,0.92
33034,1755587460874,23.99,4.41,-95.77,772,775,763,811,843,34.48275862068966,-0.237,0.35,0.919
33064,1755587460903,23.93,4.45,-95.88,767,770,769,817,851,33.333333333333336,-0.239,0.348,0.912
33093,1755587460933,23.89,4.28,-95.99,767,769,773,810,834,34.48275862068966,-0.242,0.346,0.912
33123,1755587460962,23.84,4.33,-96.08,761,772,764,810,842,33.333333333333336,-0.243,0.349,0.918
33152,1755587460992,23.84,4.38,-96.16,770,773,769,819,832,34.48275862068966,-0.241,0.351,0.918
33181,1755587461021,23.81,4.33,-96.26,771,771,770,815,833,34.48275862068966,-0.24,0.349,0.917
33211,1755587461051,23.75,4.35,-96.3,770,769,774,818,842,33.333333333333336,-0.236,0.343,0.919
33240,1755587461080,23.76,4.42,-96.4,768,771,777,816,841,34.48275862068966,-0.233,0.349,0.916
33270,1755587461111,23.68,4.32,-96.5,780,774,761,811,836,33.333333333333336,-0.231,0.346,0.912
33290,1755587461130,23.61,4.37,-96.62,774,775,769,819,849,50.0,-0.229,0.342,0.914
33320,1755587461159,23.63,4.48,-96.7,770,764,770,826,846,33.333333333333336,-0.234,0.342,0.921
33349,1755587461189,23.68,4.56,-96.82,766,772,769,804,839,34.48275862068966,-0.234,0.346,0.92
33379,1755587461218,23.65,4.5,-96.93,769,772,774,817,845,33.333333333333336,-0.236,0.344,0.914
33408,1755587461248,23.6,4.51,-96.99,765,776,773,810,840,34.48275862068966,-0.233,0.342,0.914
33438,1755587461278,23.65,4.57,-97.08,770,770,765,817,845,33.333333333333336,-0.23,0.347,0.921
33468,1755587461307,23.67,4.58,-97.22,772,779,776,816,843,33.333333333333336,-0.232,0.348,0.918
33497,1755587461336,23.64,4.57,-97.32,764,771,766,819,834,34.48275862068966,-0.234,0.347,0.91
33526,1755587461366,23.62,4.52,-97.42,767,776,765,810,842,34.48275862068966,-0.236,0.349,0.911
33556,1755587461395,23.66,4.6,-97.54,772,777,771,815,840,33.333333333333336,-0.233,0.35,0.918
33585,1755587461424,23.75,4.77,-97.66,766,770,772,809,841,34.48275862068966,-0.235,0.35,0.922
33614,1755587461454,23.7,4.78,-97.74,766,775,763,810,842,34.48275862068966,-0.235,0.352,0.913
33644,1755587461483,23.64,4.66,-97.87,770,770,768,813,842,33.333333333333336,-0.231,0.349,0.909
33673,1755587461513,23.66,4.65,-98.02,772,771,772,806,844,34.48275862068966,-0.228,0.352,0.915
33703,1755587461543,23.71,4.64,-98.19,767,771,779,810,872,33.333333333333336,-0.23,0.353,0.915
33733,1755587461572,23.81,4.66,-98.38,769,776,771,817,845,33.333333333333336,-0.237,0.351,0.914
