timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
35217,1755587547408,22.3,-54.92,-15.88,762,770,763,801,848,50.0,-0.375,-0.756,0.523
35247,1755587547437,22.27,-54.96,-15.9,759,779,767,818,864,33.333333333333336,-0.373,-0.758,0.53
35277,1755587547467,22.26,-54.87,-15.89,758,773,773,813,846,33.333333333333336,-0.373,-0.761,0.533
35307,1755587547497,22.23,-54.89,-15.89,769,772,773,810,846,33.333333333333336,-0.375,-0.763,0.527
35337,1755587547527,22.21,-55.03,-15.87,758,768,772,812,838,33.333333333333336,-0.375,-0.76,0.523
35367,1755587547557,22.19,-55.11,-15.91,759,771,769,819,843,33.333333333333336,-0.372,-0.758,0.53
35396,1755587547587,22.13,-55.02,-15.94,761,775,766,812,833,34.48275862068966,-0.37,-0.758,0.532
35426,1755587547617,22.15,-55.05,-15.93,757,767,774,814,836,33.333333333333336,-0.37,-0.762,0.529
35456,1755587547647,22.16,-55.1,-15.93,762,766,774,813,851,33.333333333333336,-0.37,-0.765,0.532
35486,1755587547676,22.19,-55.06,-15.93,761,775,756,816,844,33.333333333333336,-0.369,-0.763,0.531
35516,1755587547706,22.17,-55.08,-15.96,761,780,766,811,839,33.333333333333336,-0.372,-0.762,0.527
35536,1755587547726,22.16,-55.1,-15.98,760,777,781,817,834,50.0,-0.374,-0.761,0.524
35566,1755587547756,22.19,-55.08,-15.95,755,773,764,813,842,33.333333333333336,-0.374,-0.76,0.521
35586,1755587547776,22.2,-55.1,-15.95,754,763,762,813,833,50.0,-0.372,-0.76,0.523
35616,1755587547806,22.19,-55.09,-15.98,762,763,773,812,840,33.333333333333336,-0.372,-0.762,0.527
35645,1755587547836,22.2,-55.08,-15.97,757,769,774,813,849,34.48275862068966,-0.373,-0.762,0.526
35675,1755587547866,22.24,-55.11,-15.95,748,774,770,815,841,33.333333333333336,-0.373,-0.763,0.526
35705,1755587547895,22.2,-55.08,-15.98,755,771,771,822,837,33.333333333333336,-0.374,-0.762,0.527
35735,1755587547925,22.22,-55.05,-15.96,755,765,769,818,845,33.333333333333336,-0.374,-0.761,0.524
35765,1755587547955,22.2,-55.11,-15.96,748,771,764,818,847,33.333333333333336,-0.374,-0.761,0.526
35785,1755587547975,22.18,-55.12,-15.97,761,777,766,812,840,50.0,-0.375,-0.762,0.53
35815,1755587548005,22.18,-55.13,-15.97,761,777,770,821,847,33.333333333333336,-0.375,-0.763,0.529
35844,1755587548035,22.18,-55.13,-15.96,759,767,773,812,852,34.48275862068966,-0.373,-0.76,0.527
35874,1755587548065,22.22,-55.13,-15.96,757,773,773,814,841,33.333333333333336,-0.372,-0.761,0.528
35904,1755587548094,22.15,-55.09,-15.97,754,775,775,815,845,33.333333333333336,-0.371,-0.76,0.526
35934,1755587548125,22.18,-55.15,-15.96,762,774,772,805,845,33.333333333333336,-0.371,-0.759,0.526
35954,1755587548144,22.15,-55.18,-15.99,765,775,761,815,839,50.0,-0.372,-0.763,0.529
35984,1755587548174,22.1,-55.11,-16.02,759,768,763,821,833,33.333333333333336,-0.374,-0.763,0.529
36014,1755587548204,22.12,-55.13,-15.99,757,777,777,817,846,33.333333333333336,-0.373,-0.761,0.529
36034,1755587548225,22.14,-55.18,-15.98,758,770,779,814,845,50.0,-0.374,-0.764,0.533
36054,1755587548245,22.1,-55.17,-16.0,758,770,771,814,842,50.0,-0.373,-0.762,0.533
36084,1755587548275,22.13,-55.12,-15.98,766,773,776,814,837,33.333333333333336,-0.371,-0.76,0.531
36114,1755587548305,22.1,-55.12,-16.01,761,773,771,812,844,33.333333333333336,-0.373,-0.763,0.529
36134,1755587548324,22.06,-55.12,-16.05,759,771,773,820,837,50.0,-0.375,-0.761,0.526
36164,1755587548354,22.1,-55.12,-16.02,756,769,768,820,846,33.333333333333336,-0.376,-0.76,0.526
36194,1755587548384,22.12,-55.14,-16.03,748,768,762,814,841,33.333333333333336,-0.377,-0.762,0.526
36224,1755587548414,22.07,-55.21,-16.05,757,770,770,811,845,33.333333333333336,-0.377,-0.763,0.525
36253,1755587548444,22.1,-55.24,-16.01,762,769,772,814,848,34.48275862068966,-0.374,-0.76,0.529
36283,1755587548474,22.15,-55.14,-15.99,763,769,770,809,853,33.333333333333336,-0.374,-0.76,0.534
36303,1755587548494,22.08,-55.06,-16.04,755,774,762,817,845,50.0,-0.375,-0.761,0.532
36333,1755587548524,22.06,-55.12,-16.07,754,772,768,815,846,33.333333333333336,-0.375,-0.762,0.524
36363,1755587548554,22.12,-55.23,-16.03,759,778,766,815,850,33.333333333333336,-0.376,-0.765,0.53
36383,1755587548574,22.1,-55.14,-16.04,759,779,782,812,850,50.0,-0.375,-0.765,0.535
36413,1755587548604,22.08,-55.07,-16.02,761,768,771,814,831,33.333333333333336,-0.374,-0.765,0.534
36443,1755587548634,22.12,-55.12,-15.96,759,773,763,817,841,33.333333333333336,-0.375,-0.766,0.53
36463,1755587548654,22.12,-55.21,-15.94,761,771,775,815,845,50.0,-0.377,-0.768,0.526
36483,1755587548674,22.12,-55.25,-15.93,757,770,766,817,842,50.0,-0.379,-0.766,0.529
36513,1755587548704,22.12,-55.13,-15.92,760,771,771,809,834,33.333333333333336,-0.375,-0.761,0.531
36534,1755587548724,22.1,-55.1,-15.95,751,774,772,818,835,47.61904761904762,-0.372,-0.757,0.53
36563,1755587548754,22.06,-55.13,-16.0,758,775,766,817,845,34.48275862068966,-0.373,-0.755,0.525
36584,1755587548774,22.08,-55.2,-16.0,755,771,767,817,845,47.61904761904762,-0.372,-0.752,0.522
36613,1755587548804,22.09,-55.28,-16.06,758,763,762,814,844,34.48275862068966,-0.372,-0.756,0.53
36643,1755587548834,22.05,-55.16,-16.12,749,770,771,805,850,33.333333333333336,-0.373,-0.761,0.529
36663,1755587548854,22.05,-55.18,-16.13,756,775,741,814,843,50.0,-0.373,-0.764,0.524
36684,1755587548874,22.13,-55.26,-16.09,759,774,766,819,843,47.61904761904762,-0.372,-0.767,0.527
36704,1755587548895,22.21,-55.25,-16.05,761,772,767,814,840,50.0,-0.372,-0.77,0.534
36724,1755587548915,22.21,-55.15,-16.04,755,771,773,810,838,50.0,-0.369,-0.767,0.536
36744,1755587548935,22.19,-55.08,-16.08,756,763,785,814,847,50.0,-0.368,-0.761,0.528
36774,1755587548964,22.18,-55.13,-16.13,762,772,769,811,846,33.333333333333336,-0.374,-0.758,0.52
36804,1755587548995,22.18,-55.14,-16.15,762,771,764,819,833,33.333333333333336,-0.376,-0.756,0.518
36824,1755587549015,22.12,-55.2,-16.22,770,769,774,819,842,50.0,-0.377,-0.758,0.518
36854,1755587549045,21.99,-55.32,-16.3,754,775,769,806,835,33.333333333333336,-0.38,-0.761,0.518
36884,1755587549075,21.97,-55.35,-16.23,764,770,764,809,843,33.333333333333336,-0.38,-0.764,0.523
